1k2r3/3R3R/8/3pp3/8/P1P5/KP6/3r4 w - -,a3a4
2q5/7p/3p1Q1P/1p1P1b2/p1k2N2/P4PK1/1P6/8 b - -,c4b3
r1bq1rk1/pp2ppbp/2n3p1/2n5/P1NpP3/1P1P1NP1/5PBP/R1BQ1RK1 b - -,a7a5
r3b3/4r1kp/p1p2pp1/PpNp4/1P1P1P2/2R1P3/5PP1/2R3K1 w - -,f2f3
4rrk1/pp1q2bp/6p1/2pPppN1/2Pn4/3P4/1P3BPP/3QRRK1 w - -,f2d4
8/ppr4p/5kp1/1P6/8/5P1P/3R2P1/7K w - -,h1h2
r4rk1/2q1bppp/p2p1n2/4nP2/3Bp3/RN5B/1PP1Q1PP/R5K1 b - -,a8c8
1br1nr1k/1pqb2pp/p2ppp2/4n2P/P3PB2/1NN3Q1/1PPRBPP1/3R2K1 w - -,h5h6
2r1r1k1/7p/p5pP/6b1/1B2R3/P7/KPR5/8 w - -,e4e8
8/8/1pk2pp1/p6p/1P1K1P1P/P5P1/6b1/3N4 w - -,d1c3
2k3rr/pp1nq3/4p3/b2pPp2/b1pP1Ppp/P1P3P1/R1PBN1BP/1R2Q1K1 b - -,h8h5
r4r1k/2q1bppp/bn2p3/p2pP2P/P2p1B2/1pPP2P1/1P1Q1PB1/R3RNK1 b - -,d4c3
r2qr2k/pb3ppp/1ppPnb2/5N2/4B1Q1/6P1/PP3P1P/R1BR2K1 b - -,d8d7
6k1/pb1n1p2/1p5p/3p2p1/1P1P1n2/P4P2/1rR3PP/R3BBNK b - -,b2c2
r2q1k1r/ppp3bp/2n2p2/3ppQ2/4P3/2P5/PP1N1PPP/R3KB1R b KQ -,c6e7
6k1/1p3p2/r1q3p1/2p1Pn1p/2PpNP2/2pP2P1/2Q5/4R1K1 w - -,c2b3
1r2n1k1/4qp2/pr1p2p1/2pP4/2B1PPb1/1PQ3B1/R5K1/4R3 w - -,e4e5
r1r3k1/pp2pp1p/2bp2p1/q7/P1PQ3P/1P4P1/4PPB1/2RR2K1 b - a3,c6g2
2rq1k1r/3n1pb1/1p1p2p1/p2P3p/2PBpPn1/2R5/PP1QB1PP/N4RK1 b - -,f7f5
r1rq2k1/3bbppp/p2p4/3Pp3/nP2P3/1Q3N1P/2BB1PP1/1R2R1K1 b - -,d7b5
2r3k1/p2r1pp1/7p/1R1pn3/3N4/2P1P3/P4PPP/4K2R w K -,e1d2
4r1k1/p1P5/1n5p/6p1/1B1Nn3/2PbP1P1/P5BP/2K5 b - -,g5g4
4n1k1/5p1p/pr1p4/2pPq1p1/1r2P3/2N4P/1P2QPP1/RR4K1 w - -,a1a6
8/6pk/2r4p/7P/4p3/2P3P1/1R3PK1/8 w - -,b2c2
3bk2r/p2p1p2/1p1Pp2p/2r1P1PQ/8/3q2B1/P4PP1/2R1R1K1 b k -,d8g5
2r2Bk1/5ppp/8/1p3pPP/1p2qP2/P2rp2Q/NP6/K3R3 w - -,a2c1
r5k1/p4ppp/1qpb1n2/8/3P1N2/2Q2N2/PPb3PP/R1B3K1 b - -,c2e4
2b3rk/6rp/p2p4/1p1PpPq1/6n1/2NN3P/PP6/2R1QR1K w - -,e1e4
2r3k1/pp1qb1pp/2n1pB2/4p3/7P/PNN1P3/1P2QPP1/1KR5 b - -,g7f6
8/6p1/4kp2/7p/3KPP1P/2p3P1/R7/2r5 w - -,a2a6
b3rbk1/1q1n1pp1/2p2n1p/1p1pp3/1P1PP3/1QPB1NPP/3N1P2/BR4K1 w - -,d4e5
r2q2k1/1n3ppp/p3p3/8/Q2P4/5N2/P4PPP/2R3K1 w - -,a4c6
r4rk1/pbRnqpp1/4p3/1p4p1/3N3P/3BP3/PP3P2/3QK1R1 b - -,b7d5
r1r3k1/1p3ppp/5n2/2qP3P/1pPQ4/1P3B2/5PP1/1K1RR3 b - -,c5a5
r1bq1rk1/2p2ppp/pbpp1n2/8/3PPP2/2N2N2/PP4PP/R1BQ1RK1 w - -,g1h1
r5k1/1b4b1/p3p2p/QpB2q2/4NPp1/6P1/PPn2NKP/3R4 w - -,a5c7
r3kb1r/pb1n1ppp/1qp1p3/8/Qp1PB3/4P3/PP1N1PPP/R1B1K2R b KQkq -,a8c8
r1b1qr1k/2p3pp/1pnp1n2/p3pp2/P1P5/B1PPP1P1/4NPBP/R2Q1RK1 w - -,d1c2
4k2r/r4pp1/2b5/ppNpPR1p/7P/P3R1P1/1PP5/1K6 w - -,e5e6
r5k1/1qnbbrpp/ppnpp3/6P1/P2N1P2/2N1B3/1PP3BP/R2Q1R1K w - -,f4f5
5rk1/1b3p2/3p2pQ/2nPq1P1/1p2p1BP/8/1Pr1NP1K/3R1R2 w - -,h2g2
