8/2K5/4r3/P6p/7k/1R5P/8/8 w - -,b3a3
r2q1rk1/ppp2ppp/2n2n2/2b1p3/3pP1b1/2PP1N2/PPQNBPPP/R1B2RK1 w - -,h2h3
rnb2rk1/pp2ppbp/6p1/2P5/4P3/2B5/PP3PPP/2RqKBNR w K -,e1d1
7r/5k1P/2n1N1p1/Bp1p1p2/2p5/8/8/R5K1 w - -,a5c3
r4rk1/1p3ppp/5q2/4p3/2P1p1b1/NP1BQn2/1K5P/R1N4R w - -,e3e4
q4rk1/2p2ppp/3p4/4n1N1/5P2/2N5/1PP1Q1bP/4R1K1 b - f3,e5f3
r1b2rk1/pp1n1pb1/1q4pp/2p1p3/2BPP2N/BQP5/P4PPP/R4RK1 w - -,d4c5
r3r1k1/ppqbbpp1/3p1n1p/2p1p3/3nP3/1PNP1NP1/P1PQ1PBP/R1B1R1K1 w - -,c3d1
4R3/8/2nk1r1p/6p1/6B1/6PP/5PK1/8 w - -,g4f3
2k2r2/ppq2p2/2brp2p/4P3/2B5/P7/1PQR1P1P/2K5 w - -,e5d6
1r2nr1k/p3Npbp/2Bp2p1/q3P3/2P2P2/7P/1P4P1/1RQ2RK1 w - -,c6d5
2Q5/3n3p/1q1k1ppB/p2Pp3/1p4P1/1P5P/2P2bB1/7K b - -,d6e7
r3k2r/ppqbbp2/4p2p/3p2p1/3N1P2/1QPBP1P1/PP4P1/R3K2R b KQkq -,e8c8
r1bq1rk1/pp1n2bp/2pp2p1/4Pp1n/2P1P3/2N1BNPP/PP3PB1/R2Q1RK1 b - -,d6e5
r4k2/p3R2p/5P2/R2p2p1/4b3/1Br5/P4K1P/8 w - -,b3d5
2kr3r/pp1b1ppp/2n1p2q/2b5/1p3P2/2P2NP1/PB1P2BP/1R1Q1R1K b - -,b4c3
r1b2rk1/2qnbpp1/1pp1p2p/p1Pp4/1P1P1P2/2NB1NP1/P1Q2P1P/R4RK1 w - a6,a2a3
rn1qkbnr/pb1ppp1p/1p4p1/8/3NP3/1P1B4/P1P2PPP/RNBQK2R b KQkq -,f8g7
8/3b4/8/3k4/8/4BPK1/6P1/8 w - -,g3f4
r3k3/pR1b1pp1/1nn5/2Bp2N1/3Pp2r/4P2P/PP3P2/4KBR1 b q -,c6d8
5rk1/ppq2pp1/3b1R1p/2p5/4Q3/3P3N/PPPB2PP/6K1 b - -,g7f6
r6r/4k3/2pnpp2/3p3p/P1pP3P/2P1PP2/R1bNB2K/5R2 b - -,c2h7
r1bqk1nr/ppp1nppp/8/3p4/3P4/P1PB4/2P2PPP/R1BQK1NR w KQkq -,d1f3
r3k1r1/pp1qbp2/2ppnn2/6Np/2NP2pP/2P3B1/PPQ2PP1/2K1R2R b q -,e8f8
2R5/1B3pk1/Pp3n1p/6p1/r7/6PP/5PK1/8 b - -,a4a5
7r/8/p1PK1N2/8/1P6/5kp1/8/8 w - -,d6d7
rn1qk2r/pp1bnpbp/6p1/1BpPP3/8/2N2N2/PP4PP/R1BQ1RK1 b kq -,e8g8
4r2k/p3rqpp/1p1n4/2p1pp2/P6P/1P1P1PNQ/2P2P2/2R1RK2 w - -,e1e2
r4rk1/p1nqppbp/1p4p1/2p5/3PP3/2P2N2/P3QPPP/1RB2RK1 w - -,f1d1
r2q1rk1/p3npb1/bpn1p1pp/2ppP3/7P/2PP1NP1/PP2QPB1/RNBR2K1 w - -,a2a4
2rr2k1/2p2pp1/p6p/2Q5/1qbPR3/2N2P2/1PP3PP/1K1R4 b - -,a6a5
8/1r1k2p1/Rb1p3p/2n1p3/2P2p2/2BN1P2/1P4PP/3K4 w - -,d3c5
2R2rk1/4rppp/p2q4/Pp2p3/3pP2P/1Q1P2P1/1P3P2/2R3K1 b - -,e7e6
2r5/4p3/5k2/1p1Rb2p/8/P2R2PP/1P4K1/8 b - -,h5h4
rnbqk2r/ppp1bppp/4p1n1/8/2BP4/4NN2/PPP2PPP/R1BQK2R b KQkq -,c7c6
1r6/2r1kp1p/3ppp1b/2q5/1p2P3/1Q4P1/4BP1P/1R3RK1 w - -,g1g2
r1bq1rk1/1pp2pbp/2np1np1/p3p3/2PP4/P1N2NP1/1P2PPBP/R1BQ1RK1 w - e6,d4d5
3rqn1k/3b2p1/1p3p1p/p2p1B2/3P3P/P5Q1/1P1B1PP1/6K1 w - -,f5d3
r1bqkb1r/p4ppp/1pn1pn2/2pp4/3P4/1P1BPN2/PBP2PPP/RN1Q1RK1 b kq -,c8b7
r2r2k1/p3ppbp/2p3p1/4P3/3P4/4B3/P2K1PPP/2R4R w - -,f2f4
2rq1r1k/pp1nn1bp/2p1ppp1/3pP3/3P1P2/1B4QP/PPP1NBP1/R3R1K1 w - -,c2c3
1bN2nk1/5p2/P5p1/8/1q1p2B1/6PP/5QK1/8 w - -,h3h4
r2q1rk1/1p4pp/3p1b2/3Pnp2/pnPBp3/2N5/PP2BPPP/R2Q1R1K w - -,c3a4
8/2R4p/6p1/3pp1P1/rk6/4K3/7P/8 w - -,c7h7
8/5K2/8/2p5/2k2Q2/3p4/8/8 b - -,c4b3
r5r1/p5bk/1pq5/2p1pBQ1/8/2P4P/PP6/R1B3K1 b - -,h7h8
4r1k1/ppR2p2/8/3pnq2/4p2Q/1P2P2p/PB3PP1/6K1 w - -,h4g3
2rr2k1/5p1p/1R3p2/3p4/8/2b2NP1/4PP1P/3R2K1 w - -,d1d3
r5k1/3R1p1p/p2prbp1/R1p5/8/2P3PP/1P1N1PK1/8 b - -,g8f8
8/1b5p/p2bk1p1/1p2p1P1/1P2p1P1/r3B3/1RP5/3N2K1 w - -,g1f2
2r2n1k/6p1/3n3p/p3N2P/2p2PP1/P4Q2/1q3NK1/3R4 b - -,d6e8
r3kb1r/1bqn1ppp/pp1ppn2/8/2PNPP2/2NQ4/PP2B1PP/R1B2RK1 w kq -,b2b4
