8/4kp1p/3R3P/1p2P3/2bB3r/2P1K3/8/8 b - -,e7e8
2r3k1/5p1p/p3p1p1/1b1pP3/1B3P2/P2rP3/4R1PP/R5K1 w - -,g1f2
1r5k/p5bp/3q2p1/3BpP2/2Pp4/3Q4/P4P1P/R5K1 b - -,g6f5
1R6/5pk1/Qp1rqn1p/6p1/PP6/5BPP/5PK1/8 w - -,a6c8
8/6pk/3q3p/5p1P/1K2p3/4P1P1/P3QP2/8 w - -,b4b3
r4rk1/1q1nbppp/pp1ppn2/7b/2PP1BP1/1PN1QN1P/P3BP2/2R1R1K1 b - g3,h5g6
1r2k3/Rpb1Bppp/2P1p3/1P1pP3/3N4/8/4KPPP/8 b - -,e8e7
3r2k1/p3bpp1/1p5p/4P3/1P4P1/n7/B3RPP1/4B1K1 b - -,d8d1
r2qk2r/pp1n1ppp/3bp1b1/3p4/2PP3N/4P1P1/P3BP1P/R1BQ1RK1 b kq -,d5c4
r4rk1/1b5p/p3p3/1pnpPp2/2pN1P2/P1P5/1PB3PP/R4R1K b - -,g8f7
4k3/p2r3p/P3r1p1/Rp1p4/1P1B1P2/2P3KP/6P1/8 w - -,g3f3
3k4/p1q1b3/2p2p2/2p2Q2/1PPp4/3P3P/P1N5/6K1 w - -,b4c5
8/2p5/1p1p4/1B1P1k2/p1P4r/P7/1P6/2K5 w - -,c1c2
r3r1k1/1ppb1ppp/3b1q2/p1N1n3/3Q4/1P2P3/PB2BPPP/R4RK1 b - -,d7c6
r7/pp3kpp/2n2n2/3pBp1b/1P1P4/5P2/P1Q3PP/5NK1 w - -,f1e3
1r3k2/6p1/3p1n2/2rPpB1p/2P2P2/P3Q3/1q1R3P/3K2R1 b - c3,b2b6
rnbqkb1r/pp3ppp/2p5/3np3/8/2N3P1/PP1PPPBP/R1BQK1NR w KQkq -,g1f3
4r1k1/1p3ppp/p3nN2/4p1P1/P3P1Q1/5R2/1Pqr3P/R6K b - -,g7f6
2b5/p7/2PB2n1/1p6/k2K2P1/P4B2/8/8 b - -,a4b3
2kr4/ppq1npp1/4p2p/2p1P2P/2P3Q1/2B3P1/PP3P2/1K1R4 w - -,d1d8
3r1rk1/pb1qbppp/1p2p3/2p2n2/3nNP2/1P1P2P1/PBPQ2BP/3NRRK1 b - -,f5h6
r4rk1/4bpp1/p1qpbn1p/np2p3/P3P3/2P2NNP/1PB2PP1/R1BQR1K1 b - -,f8e8
1Q6/1pp2k2/1n2p2p/8/2PNb1p1/1P6/P3BqPP/4N2K w - -,b8c7
2r3k1/p4p2/2R4p/8/8/4P3/5PPP/5RK1 b - -,c8c6
7k/2p4p/3p4/pp6/8/2KP4/1P5r/6R1 w - -,c3b3
r3k2r/1b1nq1b1/p1p2npp/1p2p3/4P1P1/P1N1BN1P/1PPQ4/2KR1B1R w kq -,f3h4
r3r2k/pp2ppbp/2np4/3B1PB1/2P4P/1Pq2P2/P2R1Q2/3R3K b - -,c6d8
r5k1/1pQ2ppp/4r3/p7/P4BP1/1P3Pbq/1P1R4/5RK1 b - -,g3f4
5b2/1k1b3p/4n1p1/B3Q3/p5P1/2N4K/2q1B2P/8 w - -,e5d5
2r2rk1/5p1p/p1Q4p/2b1p3/5q1n/2N3N1/PP3P1P/R4R1K w - -,c6e4
r4r2/pp4bk/4b1qp/5p2/3Ppp2/1N5P/PPQ2PP1/R3RBK1 w - -,c2c7
r2k3r/pppn2pp/4pn2/2B1p3/4P3/5P2/PPPN2PP/R3K1NR b KQ -,d7c5
r1br2k1/pp2qppp/2p2n2/4B3/1PP1p3/P3P2P/2BN1PP1/R2Q1RK1 b - -,e7e5
1r6/4r1pk/3b1p1p/3Bn3/1R1BP3/2P4P/6P1/5R1K w - -,b4b8
r2qrnk1/1p1bbppp/p3pn2/2ppN3/3P1B2/2PBP2P/PP1NQPP1/R4RK1 w - -,f4g5
r1bqk2r/pp3pbp/6p1/3p4/Q2P4/6P1/PP3PBP/R1B1K2R b KQkq -,c8d7
r2qkb1r/1p1n1ppp/2p1pn2/p2p4/2P5/1PN2BP1/PB1PPP1P/R2Q1RK1 b kq -,d5c4
r1b4k/p3Br1p/n1p5/2p1Rp2/2p5/2N5/PP3PPP/3R2K1 b - -,h8g7
r1b1k2r/pp1n2pp/2pqpn2/3p1p2/2PP4/5NP1/PPQ1PPBP/RN2K2R w KQkq -,e1g1
4qbk1/4rpp1/p6p/1p1P4/6Q1/P5P1/5P1P/2BR2K1 w - -,c1e3
1r6/p2R1kpp/5p2/4n2P/P2q4/4R1P1/4BP2/2Q3K1 b - -,d4d7
8/8/pR6/P4R2/1p2p1P1/3q2KP/4k3/8 w - -,g3g2
8/8/p4n2/3k1p1p/P4P2/3KB2P/6P1/8 w - -,a4a5
