2Q5/3Q4/5k2/8/8/6Pp/5PKP/2q5 w - -,g2h3
8/7k/8/8/2K5/p7/Pb6/6R1 b - -,h7h6
1r1qr1k1/1pn3pp/5p2/p3p2b/2Pp4/PPBP1PP1/3N2BP/3RRQK1 b - -,d4c3
6r1/pp3pk1/3p4/2pPn1P1/2Pb4/1P6/P2BR1K1/5R2 w - -,f1f6
2r5/1p6/2n2k2/2p1p3/2P1BBp1/1P5p/1K3R1P/8 b - -,e5f4
r1br2k1/ppq1bppp/2n1pn2/2pp4/4P3/2PP1N2/PPQ1BPPP/R1B1RNK1 b - -,b7b5
8/4k3/8/1b1pPBP1/p2Kp3/P7/1P6/8 w - -,g5g6
8/5B2/3k3p/8/1r1nR3/8/1P4PP/6K1 b - -,d6c5
8/2p2b2/2k2P2/6R1/3p4/3B4/P2K3r/8 w - -,d2e1
rnbq1rk1/pp2ppbp/5np1/3p4/3B4/1P3NP1/P1P1PPBP/RN1Q1RK1 b - -,b8c6
3qr1k1/pp3ppp/3b4/3n1b2/2B5/P1P1PP2/7P/R1BQ1R1K b - -,d8h4
8/8/1p1p2B1/p1pP4/2P5/2K1kn2/PP6/8 b - -,f3d4
2Q5/p2n2kp/1p1q1pp1/3p4/3P4/P5P1/1P3P1P/4R1K1 w - -,c8d8
r2q2k1/pp1bprbp/n2p1pp1/2pP1P2/2P1P2B/2N4P/PP2Q1P1/RB3RK1 w - -,h4g3
3r2r1/2q2b2/p1p2P2/1pPkpQ2/7p/P6P/1P2B1P1/5R1K w - -,b2b4
r2qrbk1/1bp2pp1/p2p1n1p/np2p3/3PP3/2P2NN1/PPB2PPP/R1BQR1K1 b - -,c7c5
r3rnk1/p1pb1Rqp/2n3p1/3N4/3p3b/PP1BB1NP/5QP1/5RK1 b - -,g7e5
r1r5/5pk1/p4np1/4p3/2B1P3/1q5P/5PP1/2R1R1K1 w - -,c4b3
6k1/6bp/n1p2pp1/1p6/3P4/P3B1PP/1n1N1PK1/4R3 b - -,g7f8
r1b2rk1/pp2pp1p/n5p1/q1P5/4Q3/2b1BN2/PP3PPP/R3KB1R w KQ -,f3d2
8/1p5p/p1r3pk/3RP3/1q6/7P/P5P1/Q6K b - -,b4f4
