8/R2k4/5K1p/8/4P3/8/8/7r b - -,d7e8
q1r3k1/pb1rbpp1/1p1ppnnp/8/1PP1PP2/P1N3B1/3NQ1PP/2R1RB1K b - b3,e7f8
7r/R4p2/3k2pp/8/2bPPP2/5B2/Pr5P/R5K1 b - e3,h8b8
r3r3/pp3k1p/2b1pnpq/3pB3/8/2P2B2/PP3PPP/R2QR1K1 w - -,e5f6
2kr1b1r/1pp2ppp/p2q1n2/4nb2/8/2N1BN1P/PPP1BPP1/R2Q1RK1 w - -,d1c1
r1r3k1/pR4b1/2pppnpp/5p2/2P5/P1NP2PP/3BPP2/1R4K1 b - -,e6e5
8/1pN2k2/5b2/3K4/4Pr2/8/3p2P1/7R w - -,h1d1
1r2r1k1/3Q1pp1/p1B4p/8/7q/1Pb4P/P4RP1/2BR2K1 b - -,b8d8
8/8/4k1P1/p3p3/8/3K4/8/8 w - -,g6g7
1r3k2/5Pbp/r2p1np1/2p5/n3Q3/5N2/PP3PPP/1RBN1RK1 b - -,f6e4
r1bqk2r/pp1n1ppp/2p1pn2/3p4/1bPP4/1PN1PN2/P4PPP/R1BQKB1R w KQkq -,c1b2:c1d2
r4rk1/5ppp/p3B3/P3q3/1Q2P3/8/2P2RPP/1R4K1 b - -,e5e6
r3k2r/pbp5/1p1pPq1p/5pp1/2P1n3/2PBP1B1/P1Q2PPP/R3K2R w KQkq -,f2f3
r2qk2r/pb1nnppp/1p2pb2/3pN3/2PP4/1P1B4/PB1N1PPP/R2QR1K1 b kq -,d7e5
r5k1/p1rqn1bp/3p2p1/1pPPpp2/4P3/P1NP1PP1/3B2KP/R2Q1R2 b - -,c7c5
2r3k1/1r3pb1/NB4pp/P2n4/8/1R6/6PK/5R2 w - -,f1b1
8/2r3pk/7p/1p1R1p2/p1pK1P2/P5PP/1P6/8 b - -,b5b4
2k1r3/1p4R1/2nB2p1/p3P3/3p4/7P/1r4P1/3R3K w - a6,d1f1
1r1q1rk1/p3ppbp/2bp1np1/3N3P/1p2P1P1/4BP2/PPPQ4/2KR1B1R b - -,c6d5
2kr4/p3n2p/2n2Q2/3pP3/1p1P2P1/3R4/1qPKB2P/1b4R1 w - -,g1c1
