8/ppr3k1/7p/3R2r1/1P6/P7/1KP4R/8 w - -,d5d6
R7/5R2/2pk4/4b3/P5r1/4K3/8/8 b - -,c6c5
rnbqk2r/p3bpp1/1p1pp2p/2p5/3P4/2PBPNP1/PP1N1PP1/R2QK2R w KQkq -,d1e2
5r2/4ppbk/7p/pb1rPp2/3P4/6N1/1BR3PP/4R2K w - -,g3f5
r3k2r/1bq1bppp/p1nppn2/1p6/3NP1P1/2NBBP2/PPPQ3P/2KR3R w kq -,g4g5
r5k1/1p3ppp/p7/3b2P1/3N4/3P1P2/nP1K2BP/7R w - -,g2h3
3n4/1b1k4/p2p1p1r/1p1NpP2/4P1P1/2P2B2/P1P3KP/3R4 b - -,d8f7
r2qr1k1/pp3pbp/6p1/2p1nP2/5BP1/2PP2NP/P2Q2K1/R4R2 w - -,f4e5
8/R4p1p/4pkp1/3n4/P7/5BKP/5PP1/2r5 w - -,h3h4
5rk1/1q4pp/2rp1b2/P7/1n1BP3/2N5/1PPR3P/5RQK b - -,g8h8
rnb1kb1r/p2p1ppp/1q2pn2/2pP2B1/2p1P3/5N2/PP3PPP/RN1QKB1R w KQkq -,b1c3
8/8/6R1/2p1K3/1k5r/8/8/8 w - -,g6b6
r2q1rk1/ppp2pp1/2nbp3/5n1p/3P4/P1NBPPB1/1PQ2P1P/R3K2R b KQ -,f5d4
r7/1q2b1kp/p3p3/3pP3/1p3P2/3QB3/1PP5/1K5R b - -,g7f8
8/p1B2pkp/4pb2/1PK3p1/1P1r4/8/R4PPP/8 b - -,d4g4
r3rqk1/3b2bp/1pp3p1/3pPP2/1nP1nP2/pP2BNNP/P3R1B1/1Q3RK1 w - -,g3e4
2r1r1k1/8/1pNn3R/p2P1pp1/6P1/1P2PK2/1B3P2/8 b - -,f5g4
8/1p3p2/6p1/1pbk3p/6P1/P2K1P2/3B3P/8 w - -,d2c1
1b2r1k1/1p1q1pp1/p3bn1p/n2p4/3N4/P1NQ2P1/1P2PPBP/2BR2K1 b - -,e8d8
r1bqk1nr/ppp1p1bp/2n2pp1/3pP3/3P4/2N1B3/PPP2PPP/R2QKBNR w KQkq -,f2f4
8/5kp1/PR5p/r3K2P/6P1/8/8/8 w - -,e5d6
3q3k/6pp/8/2rp1Q2/5P2/8/2P3P1/5R1K b - -,c5c6
r2r3k/pp1P1n2/5NpP/5p2/8/1P2P3/1P2K3/3R3R b - -,a7a5
8/8/8/pK2kp2/8/2P3P1/8/8 b - -,a5a4
4n3/p4p1k/1q6/6p1/P6p/2Q2B1P/1P4P1/5K2 w - -,c3e5
4r1k1/1pp3pp/p1p5/8/1n2N3/1P2rP2/P1R3PP/3R3K w - -,c2d2
2r5/5p1p/4p3/4Pp1k/1p3P2/1P1K2P1/2R4P/8 b - -,c8c2
r2qkb1r/1pp1pppp/pn3n2/3P4/3P4/2NQ1P2/PPP3PP/R1B1K1NR w KQkq -,g1e2
rr1q2k1/4ppbp/bn1p1np1/2pP4/8/1PN2NP1/P1QBPPBP/1R3RK1 w - -,f3h4
1r2k1r1/4Pp1p/1qp3p1/3n1P2/p2P2P1/Q2B3P/PP6/1K1R3R w - -,h1e1
8/8/1k6/8/1K3p2/5B2/6P1/2r5 w - -,b4b3
