8/6k1/R5p1/8/4KP1P/p7/P6r/8 b - -,h2a2
8/5p2/4bk2/2R5/1R2KP2/8/8/5r2 w - -,c5e5
rn2rk2/pb5Q/1p2p1p1/2b1q1P1/8/2NB4/PP4PP/5R1K b - -,e5f5
8/5pk1/4b2p/r1p5/6p1/p7/P1R3PP/2R4K b - -,c5c4
r2r1bk1/pp1b1pp1/2n2q1p/8/5N2/P3QN2/1P3PPP/1B1RR1K1 w - -,b2b4
1n1q1rk1/3bbppp/r7/pp1pN3/2p2B2/P5P1/1P3PBP/R2QR1K1 w - -,g2d5
rnb1k2r/1p3ppp/p3pn2/2b5/8/4PN2/PP2BPPP/RNBR2K1 b kq -,b7b6:b8d7:b8c6
1b3rk1/1p2np1n/p2q2p1/3p4/NB1Pp1P1/P3P2P/1PR5/3Q1BK1 b - -,d6f6
r2qr1k1/1p4p1/2p3bp/p2p4/P2BnP2/6P1/1P2P1BP/R1Q2RK1 b - -,d8d7
4r1k1/p1p2rb1/1pbp3p/6p1/2P5/1P3nB1/P1NQ3P/2RR1B1K b - -,f3d2
8/4R1p1/4p1kp/7b/4N3/4K1P1/8/5r2 b - -,f1f3
1r2r1k1/R1qn1pb1/5np1/N2Pp3/2p5/2p1B2P/1PB3P1/3Q1RK1 b - -,c7c8
5k2/5p2/p3b2r/1pp1Q2p/6pq/2N5/PP3PP1/4R1K1 w - -,e5c5
3qnrnk/N1p3bp/1p1pP1p1/p3p3/P3P2P/1P2BPP1/4Q2K/2R2R2 b - -,d8f6
8/1r3p2/4p1p1/2k1PbBp/2p2P1P/r7/3R1K2/2R5 b - -,c4c3
8/8/3R2p1/4pp1p/2r4P/3k1P2/5KP1/8 b - -,c4d4
3q2k1/1p3p2/p1p1rbp1/5r1p/3PQ2P/1P2B1P1/P2R1PK1/3R4 w - -,e4c2
r1b2rk1/1p3ppp/3qpn2/p7/1nQ5/P4NP1/1P1NPPBP/1R3RK1 b - -,b4c6
r2q1rk1/pb1pbppp/1pn1pn2/2p3B1/3PP3/2PB1N2/PP1N1PPP/R2Q1RK1 b - -,c5d4
1r4k1/5bpp/5p2/4pPP1/3pP2P/bp1NP3/3R1K2/5B2 w - -,d3b2
1rr5/p1q2pk1/2P1pbp1/PP1p3p/3p3P/6P1/3QPPB1/1RR3K1 w - -,d2b4
