2r4r/8/5Q2/8/1P1K4/5k2/P7/8 b - -,f3e2
4k3/pb3p1p/1p2p3/8/P7/6P1/1P3QP1/2qq1RK1 w - -,f2f7
r2qkb1r/1b1n1p2/p5pp/3np3/1p4PP/1N2BP2/PPPQN3/2KR1B1R w kq -,e2g3
r1b2rk1/1pqn1pbp/2pp1np1/p3p1B1/2PP4/2NBPN1P/PPQ2PP1/2R2RK1 b - -,g8h8
5r1k/1R4bp/6p1/3pQ3/8/1p1P1BP1/5PKP/8 b - -,g7e5
rnbq1rk1/ppppbppp/4pn2/8/2P5/1P2PN2/PB1P1PPP/RN1QKB1R b KQ -,d7d5
r3k2r/1b1pb1p1/p3p2q/1pp1Pp1p/4NP2/1PNP4/1PP3PP/R2Q1RK1 w kq f6,e4d6
6k1/1b1q1p1p/1p2p1p1/2r5/2Bp1P2/Pp1P4/3Q2PP/1R4K1 w - -,c4b3
r1b1k1nr/2q1bppp/pp1pp3/2n5/4PP2/1N1BB3/PPPNQ1PP/1K1R3R b kq -,g8f6
2k4r/1p1r1pp1/pBp1p3/4b3/P5Pp/1R6/2P2P1P/1R4K1 w - -,b6e3
7R/4k3/8/2r5/4PK2/8/8/8 b - -,c5a5
2r1k3/pp3p1p/2b1pPpB/P1n1p3/1PP1P3/3r2PP/4R1BK/1R6 b - -,c5b3
rnbq1r1k/1p2p1bp/2pp2p1/p1P2p2/3Pn3/1QN1BNP1/PP2PPBP/1R3RK1 b - -,e4c3
r3k2r/ppqbbp1p/1n2p1pP/n2pP3/2pP4/P1P3P1/1P1N1PBN/R1BQ1RK1 w kq -,h2g4
3q2k1/5p1n/6pp/pP2P3/PbP2P2/3p2PP/5BB1/3Q2K1 b - -,d3d2
1qr1r1k1/pb4p1/1pp1pR1p/3pP3/2P5/1P4P1/PBQ1P1BP/3R2K1 b - -,g7f6
6k1/2R4p/3b1Kp1/p2p4/P2PpP2/4r3/8/3R4 b - -,d6c7
2q3k1/p4ppp/1pp2bn1/8/P7/1QP1B1PP/1P3PB1/6K1 b - -,g6e5
r2qr1k1/pbpn1p2/1p1p1npb/7p/1PP1P3/PN1BNP2/1BQ3PP/R3R1K1 b - -,d7e5
2r2rk1/1q1pbppp/npp1p1b1/p7/2PP1B2/P1Q3P1/1P1NPPBP/2RR2K1 w - -,e2e4
4b3/1r2qnrk/2p1p1p1/1pPpPpNp/pP1Q1P1P/P1K1P1P1/4B3/2R3R1 b - -,f7g5
rn3rk1/pp2ppb1/6pp/8/3PP1b1/4BN2/q3BPPP/1R1Q1RK1 b - -,b8c6
5r2/6k1/2pp1rp1/p1p1p2p/2P1Pn1P/1P1P1PK1/P4R2/5RN1 w - -,f2d2
rnb1k2r/1q2bppp/p2ppn2/1p6/3NP1P1/1BN1BP2/PPP4P/R2Q1RK1 b kq g3,b5b4
8/8/6k1/2p1pp1p/2PbP3/4NKP1/5P2/8 b - -,d4e3
2rq1rk1/pp1nppbp/2np2p1/8/1P2PP2/P1NBBQ1P/2P3P1/1R3RK1 w - -,c3e2
8/1p6/8/6p1/8/p1k2PP1/Pn1pK3/1R6 w - -,b1d1
7k/p4pp1/3bp3/1B6/5P2/P1r1P3/5P1P/R5K1 b - -,d6a3
r1bqkb1r/pp1n1ppp/2n1p3/2ppP3/3P4/2P2N2/PP2NPPP/R1BQKB1R b KQkq -,c5d4:f8e7:b7b5:d8a5
3r2k1/1pq3pp/2p1b3/p3pp2/PbP1P3/1PN3PP/2Q2PB1/3R2K1 b - -,g7g6
2r5/1p6/6k1/3ppbp1/p1P1N3/1P1K2b1/P5P1/6R1 w - -,c4d5
5k2/R6p/p4pp1/1b3N2/1p6/1P5P/P2r1PP1/6K1 w - -,f5e3
8/8/2Q3k1/7p/7P/1p2q1P1/7K/8 b - -,g6f5
2r5/p4pkp/1Q3p2/1b6/2p1PP2/2R3PP/P7/5BK1 b - -,a7b6
2r5/6P1/8/7p/3kp2P/2R3P1/PK6/8 b - -,c8e8
8/8/8/p3rk2/2R3p1/8/4p3/4K3 w - -,c4c8
8/8/2B4p/8/6Pp/4kPr1/7K/8 b - -,e3f2:e3f4
r1bqk2r/pppp1ppp/3b1n2/1B2p3/3nP3/P1N2N2/1PPP1PPP/R1BQK2R w KQkq -,b5c4
5rk1/p4pbp/6p1/5b2/8/5B2/P1nP1PPP/1NB2RK1 b - -,c2d4
r4rk1/2qn1ppp/p3p3/4P3/2N5/2b3P1/1P2QPKP/R2R4 w - -,b2c3
8/pp4k1/1p3p2/5K2/8/5P2/PP6/8 w - -,f5e6
8/5pk1/p2R2p1/8/2P2nP1/6N1/r3p3/3K4 w - -,g3e2
r1bk1bnr/pp4pp/2p5/2p2p2/2P5/2N1PP2/PP3P1P/R1B1KB1R b KQ -,g8f6
7R/1p3k2/2p3p1/5bPp/2PQ1P2/1P4b1/P3q1BK/8 w - -,h2g3
r1bq4/1p1n2k1/p2p1pp1/2pPr2p/2P1PQ2/P2BNR1P/1P4P1/5RK1 w - -,e3f5
r2q1rk1/1pp1npp1/p2pb2p/P2N4/2BPPQ2/7P/1PP3P1/R3R1K1 b - -,e6d5
2r5/1p4b1/6k1/1P1rp2p/4R3/4B3/5PKP/1R6 w - -,e4a4
r3k2r/pb2bppp/1q2pn2/1pppP3/Pn6/3P1NP1/1PPNQPBP/R1B1R1K1 b kq -,f6d7
5k2/7p/1pN1rp2/p2p1b1p/3P1P1P/2R2P2/PP6/6K1 w - -,g1f2
3r1n2/ppk2n1p/2p1bpp1/1PP1p3/P1N1P3/2N4P/4BPP1/3R2K1 w - -,b5b6
8/5pkp/P5p1/1Q3b2/3q4/r5P1/3pBPKP/5R2 b - -,f5e4
4rbk1/5p2/2Np4/3Ppb1p/2B1n1q1/1R3R2/2Q3P1/7K b - -,f5g6
r2q1rk1/ppp3bp/n2pbnp1/3Np3/2P1P3/2N3P1/PP3PBP/R1BQ1RK1 b - -,d8d7
r2qr1k1/pb2bppp/3ppn2/2p1n3/2P1N3/PP1BP3/1B1N1PPP/2RQ1RK1 w - -,d3c2
4r3/3q3k/pp1r2pP/3Bpp1b/2P4P/1P6/P2Q2RK/5R2 w - -,g2g5
2rq1rk1/pp3pp1/3npn1p/3p4/3P2PP/2PR2Q1/P3NPB1/1R4K1 b - -,b7b6
r1b1r1k1/pp1n1pp1/4pn1p/2pp4/2PP3B/P1P1P3/3N1PPP/2R1KB1R w K -,c4d5
2k5/2p2pp1/p3P1r1/5K2/PP2QP2/6P1/q4B1P/8 b - -,g6e6
4n1k1/4q2p/6p1/8/2Q2P2/6PP/7K/8 b - -,g8g7
r2r2k1/1pqnbpp1/p1p1p2p/Pn1pP3/3Pb3/1NP1B2P/1P1QBPPN/2R1R1K1 b - -,c6c5
5r2/1p4k1/p2pB1p1/b2Pq3/4P1Pp/P3Q3/2P5/1K5R w - -,g4g5
r3r3/p2b3k/1p5p/3Pqpp1/3R1n2/2N2BR1/PP1Q1P1P/5K2 w - g6,h2h4
3b2k1/5pp1/p2q3p/8/1Pp1PP2/P2r4/2N1Q2P/5RK1 w - -,c2e1
4k3/R7/1p1nK1P1/p7/8/P1B5/1P4r1/8 b - -,g2g6
2rq3k/ppn4n/3p4/2pP2r1/2P3RN/7P/PP1Q1PP1/5RK1 w - -,d2c3
r2k1b2/1p2ppp1/pq5r/3P3p/1P2Q3/2N1PP2/P6P/R4R1K b - b3,h6d6
r2qkbnr/pp4pp/2n1bp2/2p1p3/P2pP3/3P1NP1/1PPN1PBP/R1BQK2R w KQkq -,e1g1
r1bqkb1r/3n1ppp/p1n1p3/1p1pP3/3p1P2/2N1BN2/PPP1B1PP/R2Q1RK1 w kq -,f3d4
r7/p1q2nk1/2pbrNp1/1p2Pp1P/3p1P2/1P1N4/P1P1Q1K1/R3R3 b - -,f7h6
r1bq1rk1/4b1pp/4pn2/PnppN3/5B2/4P2P/1PQ1BPP1/R4RK1 w - -,e5c6
r2qrnk1/pp1n1ppp/2p3b1/2b1p1P1/4P2P/2P3N1/PPB1QP1N/R1B1K2R b KQ -,f7f6
r4rk1/pp2qppb/4pn1p/2b1N3/PnB1P3/2N3B1/1P2QPPP/3R1RK1 w - -,g1h1
rn2kb1r/pp1b1ppp/4pn2/1Bpq4/8/1PN2N2/PBPP1PPP/R2QK2R b KQkq -,d5d6
5rk1/2r2pp1/3Rp2p/1p2P3/2p2P2/4q1P1/1PQ1P2P/3R1K2 w - -,c2c3
r4rk1/ppp1qpbp/2b3p1/2N1p3/8/P2PPPP1/1PQ3BP/2R1R1K1 w - -,b2b4
r4r2/pp4kp/1q2ppp1/1nQ5/4P3/5N2/PP3PPP/2R2RK1 b - -,e6e5
r7/1pr2pkp/1b1p2p1/3PpnP1/1P2P1NP/pKP4R/P7/3R1B2 b - -,f5e7
1rb1r1k1/2qn1pbn/p2p2p1/P1pPp2p/2P1P3/2NNBPP1/6BP/R2Q1RK1 b - -,f7f5
8/6pk/5p1p/3pP3/1P1Bp3/4P3/5PPP/q4BK1 b - -,a1a4
r5k1/6pp/1p1n4/2pPqp2/2P1pN1P/r3n1P1/1R1QBP2/2R3K1 b - -,e3g4
r2q1rk1/1p1nb1pp/3p4/3Ppp2/pnP5/P3BB2/1P3PPP/RN1Q1RK1 b - -,b4a6
r4rk1/pbqnbppp/2p1pn2/1p6/3P4/3B1NN1/PPPBQPPP/R3R1K1 b - -,c6c5
2k1r2r/1ppb2b1/p1nppqpp/8/3PR3/PB3NBP/1PPQ1PP1/2KR4 b - -,c6e7
3rr1k1/p4ppn/1p5p/2pnP3/4N1P1/2Pb4/P2B2BP/4R1RK w - -,e4d6
r1b5/pp3pkp/3r1np1/2pPP3/2P2R2/3B3P/PP4P1/R5K1 b - -,f6d5
7k/1b2q3/3n4/ppp3PP/4Pp2/1PP2Q2/P2N4/6K1 w - -,f3f4
2r2rk1/1p1n2p1/p3p2p/R1p1p3/4P3/5N2/1PP2PPP/4RK2 w - -,e1d1
q2r2k1/1p2ppbp/3nb1p1/3pN3/rB1P4/1Q2P1P1/P4PBP/R1R3K1 w - -,e5d3
7k/ppp4p/3bBr2/2pP4/2P1R3/P6P/1P6/1K6 w - -,e4g4
q1r1rbk1/1b1n1p1p/3ppnp1/1N6/p1P1PPP1/P7/3NQBBP/2R1R1K1 b - -,d7c5
3k4/7p/p3p3/1p3q1Q/4Nb1p/P1P2P2/1PK5/8 w - -,h5h4
8/4p2r/1p6/1PpK4/3nP3/7k/1R6/4B3 b - -,h3g4
r2q1b1r/p4pk1/1np1p1pp/1pp1P3/2P1RBP1/3P1N1P/PP2QP2/3R2K1 w - -,h3h4
3r2k1/5p2/p3p1p1/1p4P1/3r4/5Q2/1P5P/1K3R2 b - -,d8d7
1k1r1b1r/ppqn1p2/2p1ppp1/8/2BP4/2P3P1/PP1BQP1P/2KR3R w - -,c1b1
rn1qk2r/p3npp1/1p2p2p/2ppP3/b2P3P/P1PB1N2/2P2PP1/R1BQK2R w KQkq -,h4h5
3r1b2/p4k1p/1p3pp1/1P1p4/1n1P1BP1/1P3B1P/5PK1/R7 b - -,d8a8
2q3r1/2n2k1p/2r1p1pP/p3QpP1/1pPp1P2/1P1R4/P7/B1KR4 w - -,d3d4
r1bq1rk1/ppp1npbp/3p1np1/3Pp3/2P1P2P/2N3N1/PP2BPP1/R1BQK2R b KQ h3,c7c6
1qr3k1/1b1Rbppp/p3p3/2p1P3/2p1NP2/1PN1Q1PP/P7/5BK1 b - -,e7f6
8/8/6pk/3n4/8/5R1P/4r1P1/6K1 b - -,d5e3
4r1k1/p5Bp/1p4p1/5p2/N1P2n2/PP3b2/3Rp1PP/4KB2 w - -,g2f3
r2q1rk1/1p4b1/2npb1pp/p1p1pn2/2P5/P1NPB3/1P1NBPPP/1R1Q1RK1 b - -,h6h5
r2r2k1/pp3ppb/1qp1pn1p/8/n3PP2/B1P1Q1PP/P1PN2BK/4RR2 w - -,d2c4
3r4/1p3pbk/6pp/P7/2R1PN2/Q4N1P/1P2pPPK/3q4 b - -,g7e5
6r1/5pb1/1p2k3/p2pPRBr/2pP4/2P3K1/PP6/5R2 b - -,f7f6
8/6kp/3p1p2/pP1Pr3/2P5/7P/2qR2P1/4nNQK b - -,c2c4
r1r3k1/pp1bbpp1/5p1p/2Pp4/1P1N4/4P3/P3BPPP/R1R3K1 b - -,a7a6
r1n1r1k1/1ppb4/p2p1pp1/3P1p2/P1P2P2/1PN5/5NPP/R4RK1 w - -,f1e1
r1bqk2r/pppp1ppp/2n2n2/2bNp3/2P5/6P1/PP1PPPBP/R1BQK1NR w KQkq -,g1f3:e2e3
2r2rk1/pppnpp2/2n3p1/3q3p/1P2N2P/3P1NP1/PQ2PPK1/2R2R2 w - -,c1c2
2b2rk1/3n2r1/8/p2Pb3/4PB1Q/1p3P2/1P2N2P/1B5K w - -,f4h6
1R6/rp2rk2/1R3p2/p4P1p/P1P5/1P3K2/8/8 w - -,b8h8
rnbqk1nr/pp1p1ppp/4p3/8/1b1NP3/2P5/PP3PPP/RNBQKB1R b KQkq -,b4c5
3r4/4kp2/3qp3/2r5/3N2P1/Q1n3RP/5K2/1R6 w - -,g3c3
r1b2rk1/pp3pbp/n2ppnp1/q1pP2B1/2P1PP2/2N2N2/PP1QB1PP/R3K2R b KQ -,e6d5
7k/R7/6p1/2p5/1p4r1/pBb5/2P4P/5K2 w - -,a7c7
8/p2q2k1/3P2pp/2r5/1Q1p4/P2P4/5NK1/8 b - -,d7d6
5rk1/5q1p/3Q2p1/1p2r3/2p1Nn2/7P/P1n2PPK/3RR3 w - -,d6e5
n4k2/5n2/p2pN3/B1pPp2p/b1P1Pp2/P4P2/5NP1/5K2 b - -,f8e7
r1bqkbnr/1p2pppp/p1np4/8/3QP3/4BN2/PPP2PPP/RN2KB1R w KQkq -,d4d2:d4b6
2k2r2/1p3p2/n3p2p/4P1p1/8/1q3BP1/5P1P/R4QK1 w - -,g1g2
