8/5p1k/2p2Qp1/p2qP3/5PP1/8/5K2/8 b - -,d5e6
r1b1k2r/pp2npp1/2n1p2p/q1ppP2P/3P4/P1P2N2/2PB1PP1/R2QKB1R b KQkq -,c5d4
3r4/p1p2r2/1pP1k1pb/1P2p2p/P1RP4/2N1P1P1/5PK1/3R4 b - -,e5d4
rnbqkbnr/p2p1ppp/2p1p3/1p6/1P1PP3/2PBB3/P4PPP/RN1QK1NR w KQkq -,a2a4
2k5/1p3p1R/p4n1p/3p4/7P/2P2P2/PP3K2/4N3 b - -,f6h7
5Q2/7k/3p2R1/2pP4/1pP4N/pPn4P/4r3/2K5 b - -,c3a2
2rr2k1/p4p1p/2p1bp2/q7/2pP4/b1N1P1P1/P1R1QPBP/R5K1 b - -,a3b4
2r2k2/3rnp1p/4pbpB/1p6/3PR1P1/1B3P1P/1P6/3R2K1 b - -,f6g7
r1r1b1k1/pp2p2p/4N1p1/4p3/nP2P3/3B4/3K1PPP/R1R5 w - -,e6c7
r3k1r1/1b3p2/p2bpn2/3pn3/PP3q2/5N2/1P2Q1Pp/1BRRBN1K b q -,e5f3
r1bq1rk1/bpp1nppp/p2p4/4n3/2P5/2N1P1P1/PP2NPBP/R1BQ1RK1 w - -,b2b3
r2nq1rk/p2nb2p/1pb1p1p1/3pPp2/2pP1PP1/P1N1BBN1/1PPQ2RP/2R4K b - -,e8f8
r1bq1rk1/3pb1pp/p4n2/1pp1N3/3QP3/8/PPP2PPP/RNB1R1K1 w - c6,d4d1
b1r1nrk1/2pnq1pp/p2b1p2/Bp2p3/1P1PP3/P4NPB/2QN1P1P/2R1R1K1 b - -,g7g6
5r1k/7p/4Bbp1/2r5/1p3P2/4P2P/1P1R2P1/3R2K1 w - -,g1f2
r2qk1nr/pb1pbppp/1pn1p3/2p5/2P5/1PN2NP1/P2PPPBP/R1BQ1RK1 b kq -,g8f6
3b4/p2r3k/7p/8/2P5/P2PR1P1/1P3P2/6K1 b - -,d8g5
5rk1/1p4pp/4bp2/1q6/1Q2P3/3N4/P1P3PP/1K5R b - -,b5c6
1rbr2k1/6pp/n2p4/1N1Pp3/1PB1Pp1P/2P2P2/6P1/R4RK1 b - -,b8b6
6k1/6p1/8/1pr4p/4P3/2P2nK1/8/2R5 b - -,f3d4
3B4/1p1n1p1k/p1b2Ppp/3p3P/6P1/4Pp2/PPB4K/8 b - -,d7e5
rn1qkbnr/pp2pppp/2p5/3p1b2/3P1B2/4P3/PPP2PPP/RN1QKBNR w KQkq -,f1d3:c2c4
r1b2rk1/2q2ppp/p1p1pn2/1pN5/1b2P3/4B3/PPP1BPPP/R2Q1RK1 w - -,c2c3
8/1k6/8/1PK5/P4B2/8/4b3/8 w - -,f4e5
2kr3r/pp3pp1/4p2p/3p2q1/3N1P2/2N5/PPPQ2PP/2KR4 b - f3,g5f6
r1b1kb1r/pp3ppp/1qn1pn2/3p4/3N4/4P1P1/PPP2PBP/RNBQ1RK1 w kq d6,b2b3
r1bq1rk1/ppp2pbp/2np1np1/4p3/2PPP3/2N1BP2/PP1Q2PP/R3KBNR w KQ e6,d4d5:g1e2
3k4/1p1b3p/p1p3p1/8/2P4P/6K1/PP3P2/5B2 w - -,g3f4
rq5r/4bkpp/pB1p1p1n/3Ppn2/2N3P1/Q7/PP2BP1P/2KR3R b - g3,f5h4
2kr4/1pn2p2/p1p3p1/2P1Pb1p/2R2P2/P4BP1/3rNK1P/4R3 w - -,a3a4
r1r3k1/1b1qn3/1p1p2pb/p2Pp3/4P1pP/3Q2B1/PP1N2P1/1K1N1R1R w - -,f1f2
5rk1/pp2p2p/3ppbp1/3N4/2r1P3/5P2/PPPq2PP/1K1RR3 w - -,d5f6
1rb3kr/ppN3p1/3p3p/4pPnq/4P1nR/2NPB1P1/PPP1Q2P/R5K1 b - -,g5h3
2rq1rk1/pb1nbppp/1pp1pn2/P2p4/2PP4/1P3NP1/2QBPPBP/RN1R2K1 b - -,d5c4
rn2k1nr/pp3ppp/4p3/1qbpP3/1P6/P1P2N2/5PPP/RNBQK2R b KQkq b3,c5b6
rn1qk2r/ppp2ppp/3bp3/3n1b2/3P4/5N1P/PPP1BPP1/RNBQK2R w KQkq -,e1g1
r1bqkb1r/ppp3pp/8/3Bn1p1/8/8/PPP2PPP/RNBQK2R w KQkq -,e1g1
7r/p1bk4/3P3p/5p2/1P4p1/PB6/6K1/7R b - -,c7d6
8/5R2/3p4/1BbP1kPp/5B2/6P1/6K1/4r3 b - -,f5g4
r4rk1/1bp3pp/p4q2/1pP1p3/8/3R2PP/1PPBQP2/4R1K1 w - -,d2c3
2rq1rk1/pp2bppp/4pn2/1Q1p4/3P4/4PPP1/PP4BP/R2RB1K1 b - -,d8c7
r5k1/pp4pp/2pNq3/2P1n3/6p1/2P3P1/P3Q1B1/5RK1 b - -,a8f8
