4Q3/5pkp/3r2p1/1P6/8/5qPP/5P1K/8 w - -,e8e5
r5k1/1q4pp/3np3/1PQp1p2/2n5/N5P1/K4P1P/1RB5 w - -,b1b3
8/5p1b/2N2k2/2KB1P2/1P2Pb2/2R5/8/6r1 w - -,c3h3
8/6k1/5p2/2K1b1p1/4Q2p/7r/8/8 w - -,c5d5
r3r1k1/ppq3pp/2pb1p2/3p1b1Q/3PnP2/2P5/PP1N1NPP/R1B2RK1 b - -,g7g6
r6k/pp5p/6p1/8/4N3/1B6/Pb6/R6K w - -,a1b1
5k2/5p2/N2p1npp/1NbP4/8/5PP1/6KP/8 w - -,b5c7
8/5B2/5n1p/2k5/1p3P2/4K2P/PP6/8 w - -,a2a3
rnbqk2r/1p1nppb1/p2p2pp/2pP4/2P1P3/2N1BP1N/PP1Q2PP/R3KB1R b KQkq -,d8a5
2k4r/1pn3pp/1QpRpp2/B1P3q1/8/8/PPK5/8 b - -,g5g6
r3r1k1/pq4bp/1p2p1p1/3p1p2/2PPnP2/1P1N1QP1/PBR4P/4R1K1 w - -,e1c1
r1q1r3/1ppb1pbk/p2pnnpp/8/2PNPP2/2N1B1PP/PP1Q2BK/3RR3 b - -,a8b8
rn2r1k1/5p2/2p2b1p/p5p1/1p1B1p2/2P2B2/PP4PP/3R1K1R b - -,f6d4
2r2r1k/1p2Npp1/q6p/p3p3/P2bP3/1Q3P2/1P4PP/3R1R1K b - -,c8c4
r2q1rk1/pbn1bppp/1p1p1n2/2pP4/2B5/1PN1PN2/PB3PPP/R2Q1RK1 b - -,b6b5
3r2k1/pp1rppbp/n1p1bnp1/P7/2P5/N2N2P1/3BPPBP/1RR3K1 w - -,d2e3
r2q1rk1/pp1nbppp/2p1p1b1/3pP3/2PP1BP1/1PN2B2/P3QP1P/R4RK1 b - -,a8c8
8/4r3/8/8/6k1/4p2p/4R3/6K1 w - -,g1f1
rnbqk2r/pp1n1ppp/2p1p3/3pP3/1b1P1P2/2N1B3/PPP3PP/R2QKBNR b KQkq -,c6c5
2r2rk1/2PR1p2/6p1/7p/2Q4P/q5P1/5P2/2R3K1 b - -,a3a5
r1b3k1/p2pn2p/1qp2rp1/5P2/8/1NN5/PP3PPP/R2QR1K1 b - -,e7f5
r2q1rk1/p2nbpp1/4p2p/1p1p1b2/2pP4/2P1P2P/PP1NBPPB/R1Q1R1K1 b - -,d7b6
2r2nk1/1p1b1rp1/1q2p2p/3pP2N/p4P2/1B4R1/PP4PP/R2Q3K b - -,a4b3
r2qk2r/ppp2pp1/2npb2p/8/4PPnB/2N1Q3/PPP1B1PP/R3K2R w KQkq -,e3h3
2r1k2r/2q1ppb1/p1npb2p/6p1/2pNP2P/2N2P2/PPPQ1BP1/1K1R3R b k -,c6d4
r1b2rk1/2qnbppp/p1npp3/1p6/4PP2/PNN1B1P1/1PP3BP/R2Q1R1K b - -,d7b6
6k1/pp4b1/3q2pp/3p4/6Q1/1P1p1PNP/P5K1/8 b - -,d6a3
r1b1k1nr/bp1p1ppp/p1n1pq2/8/4P1Q1/1NNB4/PPP2PPP/R1B2RK1 b kq -,d7d6
r1bqk2r/pp2npbp/2np2p1/2pNp3/2P5/2N1P1P1/PP1P1PBP/R1BQK2R b KQkq -,e8g8
2r5/p2r1pkp/1P4p1/8/3q4/Q7/P4PPP/1R3RK1 b - -,a7b6
8/2R5/1p1R2p1/1P1Pp3/4Pk2/8/1q3K2/8 w - -,f2g1
6k1/Q3pp1p/6p1/2p2b2/P7/2q2PP1/P3BK1P/8 b - -,c3d4
5rk1/pp1b2p1/2pb3p/3pn3/1P1P3N/P5P1/3B2BP/4R1K1 b - -,e5c4
r1bq1rk1/pppnppb1/3p1npp/8/2PPP2B/2N5/PP2BPPP/R2QK1NR w KQ -,g1f3
4k3/8/p2bpQ1P/1p6/4b3/7K/PPP2PP1/3r4 b - -,d1h1
r3r1k1/ppb1qppp/2p1b3/8/3B1P2/2P1R1NP/PP1Q2P1/3R2K1 w - -,g3h5
3rr1k1/1p1bqppp/p2b1nn1/3p4/1P6/P3PN1P/1B1N1PP1/R2QRBK1 w - -,d1b3
r2r2k1/pq4pp/3Bp3/1p2Pp2/3Pb3/1P6/P3Q1PP/R4RK1 b - -,a8c8
r2q1rk1/pp3pbp/n3bnp1/2pN2B1/2Q1P3/5N2/PP2BPPP/R3K2R w KQ -,a1d1
r5k1/1p2rppb/2pq1n1p/p2p2P1/3P1N1P/PQ2PP2/1P4B1/4RRK1 b - -,f6e8
r2q1rk1/pp5p/3p2pQ/2n1p3/2P5/3bN3/PP2NPPP/3RR1K1 b - -,d8f6
r3nrk1/pp4bp/3p2p1/2pPpb2/2P4N/4B2P/PP2BPP1/R3K2R b KQ -,g7f6
