8/8/5kp1/r4p1p/7P/5BPN/5PK1/8 w - -,h3f4
6k1/4qpb1/p5p1/1pr1P1Pp/7P/4QN2/PPP5/1K2R3 b - -,c5d5
r3k2r/ppq1nppp/2n5/3p4/3P2b1/P1PB1N2/3B1PPP/R2Q1RK1 b kq -,e8g8
2r1qr1k/p2b3p/1p2p3/1P1pPpb1/P2B4/1Q1R4/1N3PPP/R5K1 b - -,e8h5
8/1p2k2p/p5p1/3p4/2n3P1/1P3N2/P1P2PK1/8 b - -,c4d6
5r2/R5kp/1n2ppp1/8/2q1NP2/2Q4P/6B1/6K1 b - -,g7h8
8/8/8/6Rp/8/4kpKP/8/6r1 w - -,g3h4
rn1q1rk1/pb2bpp1/1p2p2p/3nP3/4N3/P2B1N2/1P2QPPP/R1B2RK1 b - -,b8d7
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/2N3Q1/PPPP1PPP/R1B1K1NR b KQkq -,g8f6
5k2/pp1r2b1/2p5/5Pp1/3PRn2/PB2BK2/1P6/8 w - -,b3e6
r2q1rk1/1p2npbp/p5p1/2pp4/P4P2/1PNP3P/1P1B2P1/R2Q1RK1 b - -,e7f5
r2q1rk1/pb2bppp/1p2pn2/nN6/2PP4/5N2/PB2BPPP/2RQ1RK1 w - -,f3e5
r1b2rk1/bpp1qppp/p2p4/4P3/3P1p2/1BP2N1P/PP3PP1/R2QR1K1 b - -,c7c5
r3qrk1/1ppb1p1n/n7/p1pPp1pp/2P1P3/PPN2PP1/2QNB2P/R4R1K b - -,e8e7
8/3k4/2R5/p2R4/1p6/2P2B1K/PP4P1/1q6 b - -,d7e7
r1b1qrk1/ppp3bp/n2p1pp1/3N4/2PpPBn1/5N2/PP2BPPP/R2QR1K1 b - -,g4e5:d4d3
1qr2rk1/3npp2/p2p2p1/1p1P2Pp/3Q1P2/3B3P/PPP5/1K1R3R b - -,b8b6
r3k2r/pbp2pb1/1p1qp1np/2np4/4P3/3P2PN/PPPNQPB1/R1B1K2R w KQkq -,e4d5
8/p2k3p/bp3p2/4p3/3pP3/2P3P1/PP1K2BP/8 w - -,g2h3
r1r1b1k1/pp2bppp/3ppn2/4qP2/3NP3/2NQ4/PPPB2PP/2KR3R w - -,h1f1
2r5/p3pkb1/1p3p2/n5pp/3P4/4PPB1/PRrN2PP/1R2K3 b - -,h5h4
rr4k1/p5b1/2p2np1/2B1p2p/1PP5/5P2/R4NPP/3R2K1 b - -,g7f8
5rk1/p3qrb1/3pb1pp/pPp1p3/P1P1Pp2/3P2P1/3N1PBP/1R1Q1RK1 w - -,b5b6
2r5/2P5/1K1Bk3/1P6/P6p/5bp1/3R4/8 w - -,d6f4
rn2r1k1/2b1qpp1/2p1bn1p/ppPpN3/1P1P1P1B/P1NB3P/2Q3P1/4RRK1 b - -,e7f8
rn1q1rk1/pbp2ppp/1p1bp3/3p4/3Pn3/3BPNB1/PPPNQPPP/R3K2R w KQ -,f3e5
