1R6/8/3p4/2nk4/8/2b1K3/1p6/1B6 b - -,d5c6
2r3k1/p4ppp/1p2p1n1/8/8/1P4P1/PBPR1PKP/8 b - -,f7f6
1r4k1/5pb1/p3p1pp/4N3/b4P2/3q2P1/5PBP/2Q1R1K1 b - -,g7e5
1q1rrbk1/6pp/1np1npb1/1p2pN2/1P2P3/2B2NPP/2P2P2/R1Q1RBK1 w - -,c3d2
3r2k1/p1q2pp1/2p2n1p/b7/2Q5/7P/P4PP1/1R3R1K w - -,b1c1
2r3k1/5pbp/2p3p1/4p3/2rpP1b1/2nN2PP/1R2PPB1/2B1R1K1 b - -,g4e2
8/3b2pp/p3k3/P7/2Np3P/5P2/5KP1/8 b - -,d7b5
r3k2r/1p1bbppp/p1n1p1n1/2q5/B1P5/2N2N2/PP2QPPP/R1BR2K1 b kq -,a8d8
6k1/5pb1/pq2r1p1/4n2p/p1p2P2/P1B4P/1PQ3PK/4R2R b - -,e5d3
2rq1rk1/3nbppb/2p1pn1p/pp1p4/2P5/PP1P1NP1/1B1NPPBP/R1Q1R1K1 b - -,d8b6
r1n2rk1/pb1q1ppp/1p1pp3/8/2NPP3/B1P3Q1/P4PPP/R3R1K1 w - -,a3d6
r3r1k1/p2n1ppp/2b5/2p5/2Pp4/1P1N3P/P4PP1/R3RBK1 w - -,g2g4
r1b1r1k1/ppqnppbp/3p1np1/2p5/2PP4/1P2PN2/PBQ1BPPP/RN3RK1 w - -,d4c5
r2q1rk1/pp1n1ppp/2p3b1/2P5/2BPp1Pb/2N1B2P/PP1Q1P2/R3K2R b KQ -,d8f6
r1bqr1k1/3n1pbp/p1pp1np1/1p2p3/2PPP3/2N1BNPP/PPQ2PB1/R4RK1 w - b6,f1d1:d4d5
r1bqk2r/pp1nppbp/2pp1np1/8/2PPP3/2N3P1/PP2NP1P/R1BQKB1R w KQkq -,f1g2
rnbq1rk1/ppp1bppp/5n2/3pN3/2PP4/3B4/PP3PPP/RNBQ1RK1 w - -,d1b3
r1bq1rk1/1pn1ppbp/p2p1np1/2pP4/P1P1P3/2NB1N1P/1P3PP1/R1BQ1RK1 b - a3,a8b8
r1bqkb1r/pppnp2p/3p1np1/5pB1/3P4/2NQ1N2/PPP1PPPP/R3KB1R w KQkq -,e2e4
8/B1kp4/1p3pp1/3n1p1p/3r1P2/P6R/1PK5/8 w - h6,h3g3
6r1/p1p2p2/2k1n3/2p1P3/2R3pR/1PBr2P1/P4P2/5K2 w - -,f1e2
r3k2r/5p2/1q2p3/1b1pPp1p/p2P1P2/Q4N1P/6P1/1NKRB3 w kq -,e1b4
8/5p2/1p1k1b2/p1p5/P1P1K3/1P1P3N/8/8 w - -,e4f5:h3f4
3r2k1/pbrqb2p/1pp1ppp1/3n4/3PNP2/PQ1NP2B/1P1R1P1P/2R3K1 b - -,g8h8
r1b1r1k1/2p2ppp/p1p2n2/2bqp3/8/1NPP1N1P/PP3PP1/R1BQR1K1 b - -,c5f8
4r1k1/5pp1/4n1P1/3B4/3b1B2/8/5P2/5K1R w - -,f4g3
8/p3r1b1/1p2r1k1/2p1Pppp/2P3P1/1P3K1P/P3R2B/4R3 b - -,h5g4
r5k1/4bppp/1p2p3/1Np5/P1n5/2B1P1P1/5PKP/2R5 w - -,c1a1
8/8/7n/n1N4P/8/kp6/8/1K6 w - -,c5b3
r7/3nk3/r4p2/1p4p1/3P4/pN6/4Q1PP/2R3K1 b - -,e7d8
6k1/4np2/3bq1p1/3p3p/Q2P4/P1N1PR1P/1r3BP1/6K1 b - -,e7f5
8/4K1B1/4BpkP/6n1/1p4P1/2b5/P7/8 b - -,g6h7
1r1bnk2/2q1n1p1/2p1p2p/1rPpNp2/3P1PP1/2B1P2P/2QN4/R5RK b - -,e8f6
r4rk1/1pqbppb1/p1np1np1/7p/P3P3/1NN1BP2/1PPQB1PP/R2R2K1 b - -,b7b6
r1b2rk1/1p2bppp/pq2pn2/8/P2N4/4B1P1/1PQ1PPBP/R2R2K1 b - -,b6a5
1rbq1rk1/4n1bp/p2p1np1/2pPpp2/R1P1P3/2NNB1PP/1P2QPB1/1R4K1 w - -,g1h2
r4rk1/pb1nqppp/1p1bpn2/3pN3/2PP4/1P6/PB1NBPPP/2RQ1RK1 b - -,f8d8
8/p3k3/1b2p1p1/4P3/r1p2P2/3r1NPK/2R4P/5R2 w - -,f3h4
N7/1p1k2p1/2b3pp/4P3/2R2P2/2p3P1/6rP/5K2 b - -,c6b5
r4r1k/6p1/p2pb1qp/1p6/2PpPp2/3Q1P1P/P2NR1P1/3R2K1 b - -,e6h3
