8/7R/2k5/1pn5/2p1p3/2P1P3/2K5/8 b - -,c5a4
3rkbr1/pp1qpp1p/6p1/2pPB3/8/1P3Q1P/P4PP1/3RR1K1 b - -,f7f5
2r2rk1/ppq1nb2/2p2n1p/3p1pp1/2PP4/1B2Pp2/PP1NN1PP/R3QRK1 w - -,f1f3
r6r/1p2k1bp/p2ppnp1/4Q3/4P3/1BN5/PPP3PP/3RK2R b K -,d6e5
r4rk1/1np5/1p3pp1/p1bPp3/P1P1P3/3B3q/3BQP1P/R4R1K w - -,f2f4
8/3k4/KP6/7p/7P/6R1/5r2/8 b - -,f2a2
rnbqkb1r/pp2pppp/3p1n2/8/3PP3/B7/2P2PPP/RN1QKBNR w KQkq -,f1d3
r2qkb1r/pb1npp1p/2pp1np1/1p6/3PPP2/P1N1B2P/1PPQ2P1/R3KBNR b KQkq f3,a7a5
r2qkbnr/pp1n1ppp/2p1p3/3p3b/8/3P1NPP/PPPNPPB1/R1BQ1RK1 b kq -,f8d6
8/2p2k2/p2b4/5r1p/R7/P3B3/5PK1/8 w - -,a4a6
5bk1/2pn4/1p1p2p1/pP3p1p/P1PPr3/4B1PP/3N1PK1/2R5 b - -,e4e8
3rk2r/ppQ2ppp/n1p1p3/7b/P1NPP3/4B1P1/1P2nPBP/R3K2R b KQk -,a6c7
4b1k1/1p6/p1p1pb1p/6p1/1PP3P1/4P3/P5BP/3R2K1 b - -,g8f7
r1bqkbr1/p4p2/2p1pP2/1p6/2pP4/2N3P1/PP3P1P/R2QKB1R b KQq -,c8b7:d8f6
r3k2r/p2b1ppp/1p6/1Bp1b3/P1N3n1/2P1B3/1P3PPP/R3K2R b KQkq -,e5c7
8/2k4p/p5p1/r4p2/1K3P2/2R1P2P/6P1/8 b - -,c7b6
2q2rk1/4ppbp/3p2p1/n1pP4/b2rN3/1P4PP/2QBPPBK/1R3R2 b - -,a5b3
r4q1k/3b1pp1/p2b3p/1ppP1B2/2n5/2BQ1N1P/P1P2PP1/4R1K1 b - -,d7f5
