8/5p2/6k1/2pK2p1/2r4p/7P/1P3RP1/8 b - -,c4c1
6k1/r4pp1/4q2p/3pP3/2pP2P1/1pP2Q1P/1P3RK1/8 w - -,f2f1
r3r1k1/p5p1/1pb2nnp/3p4/P1pP3P/2P1P1BB/3N1P2/RR4K1 b - -,c6d7
8/1rn2k2/7p/2R1PP1P/5PK1/8/8/8 w - -,c5c6
r4bk1/1q4p1/p2p3p/2pPp1r1/2NNPp2/1P3P2/R1PK2PR/Q7 b - -,c5d4
r4r1k/4p2p/3p1p1Q/2pPP1pP/n1q5/2B3PB/bP3P2/R3R1K1 b - -,a4c3
8/7k/8/3R2p1/3Bn1r1/P3P3/8/5K2 b - -,g4h4
5R2/8/8/8/p4k2/8/K6p/7r b - -,f4e5
rn1qkb1r/pb1p1ppp/4pn2/2p5/8/5NP1/PPP1PPBP/RNBQ1RK1 w kq -,c2c4
1rr3k1/4np2/pppqp1p1/7p/2RP3P/1Q2PBP1/PPR2PK1/8 b - -,c8c7
1Q6/6p1/8/7p/7k/2K5/2P5/5q2 w - -,b8b4
b1r3k1/4p1b1/p2q2pp/1p2Np2/1B1P4/3B1Q1P/PP3PP1/4R1K1 b - -,d6b4
8/8/2r3p1/1Pk1pp1p/7P/3KP1P1/5P2/8 w - -,b5c6
r5k1/pb2n1b1/1pnqprp1/2ppN2p/5P2/2PP1N2/PPQBB1PP/R4RK1 b - -,d5d4
2r1r1k1/1q3pp1/1pN1pn1p/1Q6/2R5/2P4P/1P3PP1/4R1K1 w - -,e1d1
1r1q1rk1/pppbbpp1/2n1pn1p/3p4/4PP2/1P1P1NP1/PBPN2BP/R2Q1RK1 w - -,e4d5
r1b2rk1/1p3ppp/2n5/pB1R4/5B2/1N6/PPP2bPP/2K4R b - -,a5a4
8/5k2/p2p2p1/P2Ppb2/1KP5/4B3/5R2/4r3 w - -,e3d2
r1bqkb1r/1ppp1ppp/2n5/p1n1P3/2P5/PP3N2/2Q1PPPP/RNB1KB1R b KQkq -,d7d6
