8/8/3bp3/1k1p3p/3P3P/4K3/5B2/8 w - -,e3d3
8/1pp1kp2/3p4/3Pp3/1P2P3/q1K5/3R4/8 w - -,c3c4
2brr1k1/1pp2pb1/p1nq3p/3p1P2/3P4/2P1NQ2/PPB3PN/R3R1K1 w - -,e3d5
4r1k1/1p2r3/p1p2pq1/3p2p1/3P2Pn/P3PPN1/1P2RQ1R/7K w - -,e3e4
2n2rk1/1pq2pp1/4b2p/pB2p3/P3P3/2P1Q3/2P3PP/1R1R3K b - -,c8d6
r1bqkb1r/pp3ppp/2n1p3/2p2n2/4NP2/2P2NP1/PP1P2BP/R1BQK2R b KQkq -,h7h5
1B6/7p/4n1p1/3kpp2/7P/5KP1/5P2/8 b - -,d5d4
r2qr1k1/1p1n1ppp/2pbpn2/p2p3b/2P5/PP1P1NPP/1B1NPPB1/R2Q1RK1 w - -,d1c2
2k2r1r/p2q4/bp1p3p/n1pP2pn/P1P1Pp2/2PB1P2/Q2B1RNP/2K4R b - -,d7e7
6k1/pR3p1p/1b4p1/8/1r6/7P/4K1P1/8 b - -,a7a5
5rk1/1prbpp1p/p2p2p1/2q5/P3P3/RBP4P/2PQ1PP1/4R1K1 w - -,a3a1
r4r1k/1p3pb1/4bNpp/1P6/2QpN3/q1n5/4BPPP/2R2RK1 w - -,c4d3
n1kr1b1r/Bp2p1pp/2p5/P3p3/2Pn2P1/2N5/1PK1BP1P/R6R w - -,a7d4
3r4/5pk1/2b3p1/2pBp2p/p3Pb2/1P3P1P/P5P1/4RNK1 b - -,c6d5
1k1r3r/pp1qbppp/2n2n2/2pp1R2/8/1PN1P3/PBPPB1PP/3R1QK1 b - -,d7e6
r1bqk2r/pp2bppp/2pp4/8/3pP3/1B6/PPPP1PPP/R1BQK2R w KQkq -,e1g1
2r3k1/6p1/p6p/1b1RN3/p2B1PPb/P7/1K6/8 b - -,c8b8
r4r2/p5pk/1p2Q3/2qp1p1b/8/P2B2P1/2P4K/5R2 w - -,f1f5
8/8/5k2/8/4Rpp1/5r2/6KP/8 w - -,e4a4
r1bqkb1r/3n1pp1/p1pp1n1p/1p6/3BP1P1/2N2PN1/PPPQ3P/R3KB1R b KQkq -,d7e5
8/8/8/p2b2p1/5kB1/P1K5/8/8 w - -,g4h3
1r1qr1k1/2p2ppp/p2p4/3P4/p6b/7R/1PP2PPP/2BQ1RK1 b - -,h4g5
4r3/5bk1/3q2p1/p5Pp/3p4/P2Q1BP1/5PK1/2R5 b - -,d6e5
8/R4p2/3k2p1/6n1/8/8/4KN1r/8 w - -,e2f1
3r2k1/1p4b1/p1nN2pp/2B1pb2/1P6/q4N1P/2P1QPP1/2R3K1 w - -,c1e1
r5k1/pb2q1pp/2p5/4nR2/1p1QP3/6P1/PP4PP/R5K1 b - -,a8e8
3rrbk1/pp6/4P2p/2n3p1/2NQ4/3pN1P1/PP5P/3RR1K1 b - -,d8d4
8/8/R6P/4k3/3p1pn1/1P6/P1P3b1/2K5 b - -,g2e4
3r1rk1/p4pb1/1p5p/2p1p3/PP3Pq1/1nPbB1N1/6NP/2QRR1K1 w - -,c1b2
3rk3/2n1bpp1/p1r5/1p1pP3/1P1P4/3BKPP1/R2B4/7R b - -,d8b8
4r1k1/2Q2pp1/2p3qp/2P5/4b2P/2R1P1PB/Pr6/4R1K1 b - -,e4d5
r1bq1rk1/1p2bppp/2pp4/p1n1n3/P2NPB2/2N4P/BPP2PP1/R2QR1K1 w - -,f4e3
1k4rr/1p3p2/p3p3/n7/P2P2n1/5R2/1P2BP1P/2R2N1K b - -,f7f5
rnbqk2r/p3p3/2pp1bpp/1p3p2/2BP3P/2NQPN2/PPP2PP1/R3K2R w KQkq b6,c4b3
7N/6Qp/p1kbp3/1p1q4/P3b3/6BP/1P1p1PPK/8 w - -,a4b5
4rrk1/1pqb2bn/p2p2p1/2pPnp2/P1P2B1p/R4P1P/1P2B1P1/1N1Q1RKN b - -,g6g5
1r6/6pk/q6p/2PpP3/p2P4/2R1BP2/3NK3/1R6 w - -,e2f2
1rb1k2r/4qpb1/3p3p/1ppBp1pP/3nP1P1/3PN3/1PP2P2/R1BQK2R b KQk -,e7c7
8/6pk/p3r3/R7/p4r2/2P2P2/1P3R1P/3K4 b - -,h7h6
3b1rk1/p1qbr1pp/2pppn2/2p5/N1P2P2/1P6/PB1PQNPP/R4RK1 b - -,d7e8
8/6pk/8/6p1/2q5/p5PP/4RP1K/4R3 w - -,e2d2
2r1kb1r/1p2pppp/pqp2nb1/6N1/P1QP4/R5P1/1P3PBP/2B1R1K1 b k d3,h7h6
8/6pk/5n2/8/4p3/1Pq3PP/P3BQRK/2r5 b - -,e4e3
2kr3r/p2p1pb1/bp2q1pp/2p5/2P1P3/1PNQ1N2/P1P3PP/2KR3R w - -,c3d5
r2qr1k1/ppp2bbp/2np4/2n2p2/1PP2P2/2N1B1R1/P1NQB1PP/R5K1 b - b3,c5e6
2Rq2k1/5pp1/pP5p/3p1B2/5B1P/P2n1NP1/1b3P2/6K1 b - -,d8c8
r3kb1r/pp1q1ppp/2nppn2/8/2PNP3/8/PP3PPP/RNBQR1K1 b kq c3,f8e7
b5k1/5pn1/1p6/2ppP1N1/3P3p/2P5/1P3K1P/5N2 b - -,c5d4
r2q1rk1/p1pbbppp/2pp1n2/8/3NPP2/2N4P/PPP3P1/R1BQ1RK1 b - -,c6c5
4b3/pp2kpp1/2n1p2p/4P3/3r1P1P/2R5/PP1N2P1/4KB2 w - -,g2g3
r1bq1rk1/pp2bppp/3ppn2/8/2B1P3/2NPB3/PP3PPP/R2Q1RK1 w - -,c4b3
3r1rk1/p2bppbp/2p3p1/2p5/4P1P1/1NN1B3/PP2KPP1/R2QR2q b - -,d7g4
r2qkbnr/ppp2ppp/3pb3/1P3n2/8/4PN2/PBPP1PPP/RN1QKB1R b KQkq -,g8e7
