8/p2Rrk1R/4p3/1p2P3/8/1P2q3/P5PK/8 b - -,f7g6
r7/p6R/2nkp3/1p3p2/7R/5PP1/PP3K2/8 b - -,a7a5
6r1/4k2p/3p4/3Pp3/4Pn1P/1pN1K3/1P1R4/8 w - -,e3f3
2bqr1k1/r4p1p/p5p1/1pp2n2/3b1P2/1BPPN3/PP4PP/R1BQR1K1 w - -,c3d4
3b4/8/2k1p3/1p1nB3/1P2B3/2P5/2K5/8 w - -,c2b3
8/5pk1/p5p1/1p1pQPq1/1P1P1n2/2PB4/P1K5/8 b - -,g7g8
8/3n1pkp/2R1b1p1/p2N4/2pKP3/3n1PP1/P6P/8 w - -,c6c4
r2qkb1r/pp1b1ppp/4p3/n2p4/3PnB2/2NBP2P/PPQ2PP1/R3K1NR b KQkq -,e4c3
r4rk1/pp1q1pbp/2pp1np1/4nb2/2P2N2/1PN3P1/PB1QPPBP/3R1RK1 b - -,g6g5
8/ppkb4/4p1R1/2P1Pp2/2BP3r/P3K3/5P2/8 b - -,h4h3
r1bqk2r/pp1pbppp/2n2n2/4N3/2PPp3/2N5/PP2BPPP/R1BQK2R b KQkq -,e8g8
5b2/5k1p/5p2/5P2/p3K3/2P1B3/1P5P/8 w - -,e4d5
r2qnrk1/p4pbp/bp4p1/3Pp3/4P3/4B1PP/PP2NRB1/R2Q2K1 b - -,e8d6
2rq1r2/p2b1pk1/5np1/2pPp2p/4P2P/6N1/P2Q1PP1/K2R1B1R b - -,f6e8
3q4/1b4kp/ppp1pp2/8/P3PQ1P/2N5/1PP2PP1/6K1 b - h3,c6c5
6k1/p7/2pp1r2/8/2PPp3/4Nr2/P3KP2/6R1 b - -,g8f7
8/4B2p/5pp1/8/2k1p1P1/3nPP2/3K3P/8 w - -,f3e4
3rr3/1p1n1pkp/2p2np1/p2p4/P2RP3/2N4P/1PP2PP1/4RB1K b - -,d7c5
r4rk1/1p1bnppp/p1nqp3/3p4/3P1P2/2PB2N1/PPN3PP/R2Q1RK1 b - -,e7f5
3r1k2/6pQ/5p1p/p2PpB2/Pb2PP2/1q4PK/7P/8 w - -,h7h8
r2r2k1/1bqn1ppp/4p3/pBP5/1p1Pn3/4PN2/1B2QPPP/R4RK1 w - -,f1c1
r2qkbnr/pp3ppp/2n1p3/3p1b2/8/3P1NP1/PP2PPBP/RNBQ1RK1 b kq -,g8f6
2r3k1/ppq1p1b1/6QB/3pPr2/2n5/2P2N2/P4PP1/2R1R1K1 b - -,f5f7
r6r/2kn3p/2p1pp2/ppb1p3/4P3/2P1NNP1/PP3P1P/1K1R3R b - -,c5e3
2r3k1/5p1p/4p3/1N4p1/2nPp3/P3B1P1/1P3P1P/6K1 w - -,e3g5
r1b1kb1r/ppqppppp/2n5/1BpnP3/8/5N2/PPPP1PPP/RNBQ1RK1 w kq -,f1e1
r1bq1rk1/p4ppp/2pb1n2/3p4/8/2N1PB2/PP1B1PPP/R2Q1RK1 b - -,c8f5
4rr1k/1p2b2p/p1p1q3/3pPp2/4nP2/P1B2Q1P/1P5K/1B1R2R1 w - -,g1g2
1br2rk1/1b2n2p/p2qppp1/1p6/3Bp3/PP2P2Q/2PNBPPP/2R2RK1 w - -,f1d1
8/6k1/5bp1/1q3p2/1pNrp3/1P4Q1/2P2PP1/4R1K1 w - -,e1a1
1r4k1/5p1p/4pbp1/2p5/3q1P2/1P5R/2Q3PP/2B4K b - -,b8d8
8/5P1k/4B2P/4N1K1/6P1/8/5r2/8 b - -,h7h8
6k1/1b2np1p/p5p1/1p2b3/4PN2/1B2BPP1/P2q3P/5K2 w - -,e3d2
R7/4r1p1/4p1k1/5p2/1P1B1r2/2P4R/K7/8 b - -,e6e5
