8/8/1R6/P6p/5r1k/7p/5P1K/8 w - -,h2g1
r1bqk2r/ppppnppp/5n2/3Pp3/2P5/2PBP3/P3NPPP/R1BQK2R b KQkq -,d7d6
5rk1/5pp1/p3p2p/3nP3/r4P2/8/PR1B2PP/5RK1 b - f3,d5e7
4R3/5ppk/1bN4p/2p1n3/2P3P1/1r3P2/6KP/8 w - -,c6e5
r1bq1rk1/pp2bpp1/5n1p/n2p4/3P4/P1N2NP1/4PPBP/RQB2RK1 w - -,c1f4
r1bq2nk/ppp2r1p/3p1n2/3PppN1/1PP5/2N5/P2QBPPP/R4RK1 b - -,f7g7
1rq2r2/2p2p1k/2Pp2pb/1P1Bp1n1/8/4P1P1/P3QP2/B1R1R1K1 w - -,d5g2
8/3b2k1/p2p1p2/p1pPp1q1/PrN1P1P1/1P3P2/2P2QK1/R7 w - -,c4d6
r2qk2r/ppp1bppp/3p4/5b2/8/2P1BP2/PPPQ1P1P/2KR1B1R w kq -,d2d5
r2qk2r/1p1nppb1/p2p1npp/2p2b2/2PP1B2/2N1PN1P/PP2BPP1/R2Q1RK1 w kq c6,d4d5
4r3/1b1q1pk1/pp4p1/2pP3p/P1Bb4/1PNQ2P1/5P1P/3R2K1 w - -,c3e2
rn4rk/pbp2p2/1p2p2p/8/1b1PN2q/2NB2P1/PP3P1P/R2QR1K1 w - -,d3f1
8/3nB3/3P2kp/4pR2/3r2PP/8/5PK1/8 w - -,h4h5
1r2qb2/6pk/p2r1p1p/4p3/1R6/2P2P1P/QP1R2P1/6BK w - -,d2d6
4r1k1/1pq2pbn/3p2p1/P1pP2Pp/1rNn4/3QB2B/RP2PP2/4R1K1 b - -,c7e7
r3r3/5k2/2p2ppb/1p1b1n2/p2P4/P1B2N1P/1P3PB1/3RR1K1 b - -,h6f4
8/1b4kp/p5p1/Pp1p4/1r1R1P2/1r2P3/3RBKPP/8 w - -,d4b4
2k2N2/8/1pR4p/pP2p2p/P1n1r3/8/5PPK/8 b - -,c8b7
q4rk1/pb6/1p2pp1p/3p4/1bP5/3BP3/P3Q1PP/3R1RK1 w - -,e2g4
2r1k2r/pp1nppbp/2np2p1/8/4PPb1/2NBBN1P/PPP2KP1/R6R b k -,g4f3
