8/8/8/5br1/4k3/R7/7K/8 w - -,a3g3
5r2/1r4p1/p2pk3/3Rp2p/P1P4P/1P2RP2/K5P1/8 b - -,b7b6
8/1p5p/2pk1bp1/pP3p2/P1P2P2/3K3P/2N2P2/8 w - -,c2d4
3r1q1k/2R3bp/p5p1/8/1p6/4BB2/PP3PPP/5RK1 b - -,g7b2
1qrr2k1/pb1nbppp/1p2p3/2p5/3PP3/1P3NP1/PB2QPBP/2RR2K1 w - -,d4d5
3k3r/1pq3pp/pr3n2/8/1b6/1BN5/PPP1QPPP/3RR1K1 b - -,d8c8
rnbqk2r/ppp1p1b1/3p1n1p/5ppP/2PP4/4PN2/PP2BPP1/RNBQK2R w KQkq -,f3h2
8/pQ1Pq1p1/P5kp/7P/8/4P1P1/5PK1/8 b - -,g6f7
5rk1/pr2p2p/3pQpp1/3P4/2pq4/P6R/1P3PPP/5RK1 b - -,g8g7
1kbr1q2/1rb4p/8/5pp1/8/1BP1N1P1/PP1nQP1P/3RR1K1 b - -,d2b3
1nrr2k1/p1q2ppp/b1p1pn2/1p2N3/3P1P2/1QN1P3/PP1R1PBP/5RK1 b - -,b5b4
7r/pp3kb1/2p1p1p1/2P1Pp2/PP1Pp3/2B1P3/7R/6K1 w - -,h2g2
r2q1rk1/pb3ppp/4p3/1ppnb3/3P4/1P2P1P1/PB3PBP/R2Q1RK1 w - -,d4e5
2r1r3/1p5k/pB2p1p1/7p/1bP2P2/1N4PP/P3B3/4R1K1 w - -,e1d1
8/1r2k2p/2p1nb2/pp3p2/4pP2/2P1P3/NP4KP/3R1B2 b - -,f6h4
2r3k1/1b3ppp/p1P1p1n1/1p2P3/3N3P/P4P2/1B3P2/2R3K1 b - -,b7a8
4r3/1pp3bk/p6p/1Q3r2/4Np2/8/PP4PP/R1B2R1K b - -,a6b5
r3r1k1/ppp2pbp/4q1p1/3R4/4P1P1/2N1QP1P/PP6/2K4R w - -,h1d1
1rbqnrk1/pp2b1pp/5p2/4p3/2Pp4/BP1P2P1/P4PBP/RN1QR1K1 b - -,e7a3
5R2/4p3/3pk1pQ/5r1p/7P/Kb3P2/P4q2/8 w - -,h6g6
4r1k1/p2R4/1b6/5P2/1p3PKB/1P5P/3N2r1/8 w - -,g4f3
3r2k1/5pR1/5b1P/p4P2/1q2p3/1PN1Bb2/PP3Q1P/2K5 b - -,g8h8
3rr3/1p4k1/4b1p1/p3pp2/3q4/2NnRQPP/PP4BK/5R2 w - -,c3b5
r2q1rk1/1p1n1pp1/p1p2b1p/P2p4/1P1P4/2NBPQ1P/5PP1/2R2RK1 b - -,f6e7
8/8/5kp1/pp1b1n2/6Rp/2K4P/6P1/8 b - -,g6g5
r3k2r/pp3p1p/2b1p1p1/8/2Pb4/2N5/PP2BPPP/2R1K2R w Kkq -,e1g1
4r2k/p3R1np/1p1p2q1/2pP1pp1/P7/2PP2pP/1P1Q2BK/5R2 w - -,h2g3
r5k1/pp2bppp/1np5/3r4/8/P2PPNP1/1P3NKP/2R2R2 b - -,a7a5
2r2nk1/2r1bppp/bp2p3/pq1pP2P/3P1B2/P4NP1/1P4PK/RB1QR3 w - -,d1d2
5r2/1p4rk/1q2p1p1/p2pPpQp/5P1P/P1R1P3/1PR3PK/8 b - -,a5a4
8/p3k1p1/4p1p1/1p6/1P1N1PP1/PK5r/8/8 w - -,b3b2
1r2r1k1/pp5p/2p3p1/4p3/1PRPN3/P3P3/6PP/6K1 w - -,e4f6
r1b1kb1r/pp3ppp/1qn1p2n/3pP3/3P4/3B1N2/PP3PPP/RNBQ1RK1 b kq -,h6f5
5k2/5p1B/7P/7P/3p4/3K4/2P5/3b4 b - -,f7f5
r2r2k1/p4qb1/2p1b1pp/1P3p2/1BP1p3/1P4P1/Q3PPBP/3R1RK1 b - -,c6b5
2r2rk1/1q2bppp/ppn1pn2/1N2N3/1P1P4/P3B3/4QPPP/2RR2K1 w - -,b5c3
rn4k1/p6p/1pq1p1p1/8/3P4/2PB1r2/P4PQP/R4RK1 b - -,f3d3
1n3k2/4n3/1p6/p2B2B1/b2b2NP/6P1/3N1P2/6K1 w - -,d5e4
6k1/2p2pp1/1p2p3/qP1rP2P/4nP2/r1bNB3/4P2P/1RRQ2K1 w - -,d1f1
8/3b2p1/1p1k1p2/p1p2P1P/2K1BP2/P1P5/1P6/8 b - -,d7e8
8/pp2k3/4pbp1/5r1p/PPP4P/4RNP1/2K5/8 w - -,c2d3
r4rk1/ppqn1pbp/2pp1np1/4p3/2PPP3/2N1BB2/PPQ2PPP/R2R2K1 w - -,f3e2
8/5pkp/5p2/P3p3/4P3/2Q3PP/1P2q3/6K1 b - -,e2e4
1r4k1/4pp2/pr2b1p1/4b2p/2p5/2N3PP/PP1RPPB1/2R3K1 w - -,c1c2
r3k1r1/pp2p2p/3p3B/2pPnR2/2P1n3/2P5/P3N1PP/R5K1 w q -,a1f1
3r1rk1/p2nq1pp/1p1bp3/2p2p2/2PPb3/1P3N2/PB1QBPPP/R3R1K1 w - -,f3g5
8/2q3k1/5r1p/1n1Pp1pP/2p1P3/2R1Q3/P4PP1/6K1 w - -,c3c1
8/8/8/1p5q/k7/6Q1/2K5/8 b - -,h5e2
7k/6b1/p2Q2p1/8/Pp1R2P1/1P6/1n3PPK/4r3 b - -,g7e5
2rr1k2/1p3pp1/pq3n1p/3b4/3p4/P2N1BPP/1PP3P1/1Q1R1RK1 w - -,g1h2
r3kb1r/1b1p1ppp/p3pn2/q3B3/Np1NP3/1P1Q1B2/P1P2PPP/R3K2R b KQkq -,a5e5
2kr1b1r/ppq2p1p/2n1pn2/5p2/2QP4/2N2N1P/PP3PP1/R1B2RK1 b - -,a7a6
2r3k1/5p2/p3pQp1/R6p/8/7P/5PPK/2q5 b - -,c1c7
n7/7p/1k6/5N2/4pP2/4K3/7P/8 w - -,e3e4
r2q1rk1/p2bppbp/2pp1np1/8/2B1P3/2N1BP2/PPPQ2PP/R3K2R w KQ -,e3h6
8/5k2/R3p1p1/2b1P2p/4KP2/p7/8/8 w - -,a6a5
3r2k1/p5pp/1pp2pn1/8/1qPP3P/5N2/P4PP1/2Q1R1K1 b - -,b4a5
r2qk2r/pp1n1ppp/3bpn2/3p4/3P2b1/1P3N2/PBPNBPPP/R2Q1RK1 b kq -,a8c8
rnbqkbnr/p1p1pppp/8/1p6/2pPP3/8/PP3PPP/RNBQKBNR w KQkq b6,b1c3:a2a4
4r1rk/pppb1q1p/3pp3/5p1n/2PP1N2/P2BPPP1/1P5Q/2K1B1R1 b - -,h5f4
2R1n3/p2r1q2/2Q1p1k1/PP3p1p/6pP/4P3/5PP1/2R3K1 b - -,g6g7
4r1k1/1b1r1pp1/3n3p/PP1PRn2/1B6/3B1N1P/5PP1/R5K1 b - -,e8e5
r5k1/pp2Bp2/2p3pQ/4bq2/2P5/1P4P1/P4P1P/4R1K1 b - -,e5d4
4r1k1/5pp1/3bq2p/8/2p1p3/2B3PP/1P2QPK1/4R3 b - -,f7f5
r2qkb1r/1p1n1ppp/p1p1pn2/3p4/2PP2b1/1P1BPN2/P1QN1PPP/R1B1K2R b KQkq -,g4h5:f8d6
1rbq1rk1/pp2p2p/2n2ppQ/2p3N1/8/2PP2P1/4PPBP/1R3RK1 b - -,f6g5
1r2r1k1/1b1nppbp/p2p1np1/q1p5/2BP4/1PN1PN1P/P2Q1PP1/B1RR2K1 w - -,c4e2
1r4k1/4ppb1/3p1npp/1PpPn3/1q2PP2/r1N5/1P2QNPP/2B2RK1 w - -,f4e5
4r2k/1p1q2b1/3pR2p/PN4p1/2P2pP1/B2P1P2/3Q1K2/8 b - -,e8e6
2q3k1/p3nppp/1b2p3/8/1N3B2/1N4P1/PP3PKP/3R4 b - -,e6e5
rnbq1rk1/pppp2pp/4p3/5p2/1bPP4/5NP1/PP1nPPBP/R1BQ1RK1 w - -,f3d2
8/8/8/4b3/2k5/2p3p1/2K3B1/8 b - -,c4d4
r3k2r/p4pp1/1ppq1np1/3p4/N2P4/1Q2P2P/PPR2PP1/4K2R b Kkq -,g6g5
4r1k1/3b1np1/p1p4p/q2p4/3B2Pb/1BN4P/PPP3Q1/5RK1 w - -,c3a4
rnb2rk1/ppq1p1b1/2pp1npp/8/2PPp3/2N3P1/PP1BNPBP/R2QK2R w KQ -,c3e4
2r3k1/5ppp/p3p3/3rP3/3N4/4B1P1/1P3P1P/R5K1 w - -,a1a6
8/1r6/8/8/1P6/2K1k3/8/8 w - -,c3c4
2R5/1p3ppk/pB5p/P4P1P/4pbP1/8/2PrKP2/8 w - -,e2e1
8/4k3/8/8/6Q1/4KP2/1q6/8 b - -,b2e5
rn2r1k1/ppq1bp1p/2p1p1pB/8/3PQ3/3B4/PPP2PPP/3R1RK1 b - -,b8d7
8/4r3/6R1/5k2/8/6P1/6P1/5K2 w - -,g6g8
3k4/p2p1p1p/1p2rnp1/5p2/3B1P2/P4R2/1PPK4/8 b - -,f6d5
6k1/3p2p1/4p2p/6qP/3N4/3QPKP1/P6r/8 w - -,d3g6
2rq1rk1/pp1nbpp1/2p1pn1p/5b2/1P2N3/P2P1NP1/2PBQPBP/1RR3K1 w - -,c2c4
r2q1rk1/pb1pppb1/1pn2np1/2p3Bp/2P1P3/2NP1NPP/PP1Q1PB1/R3K2R b KQ e3,f6h7
r2qr1k1/1b1nbppp/pp1p1n2/2pP4/P3PB2/2N2N1P/1P2BPP1/R2QK2R w KQ -,e1g1
8/5pk1/6p1/4P2p/5P2/1r6/4RKPP/8 w - -,e2e3
4r3/1p2r1k1/p1pn4/PnNp1ppp/1P1P4/3BPPPP/5K2/2R1R3 b - -,g7f6
8/3q4/7k/1P2Qpp1/8/7P/1KP5/8 b - -,f5f4
r1b1k3/ppq2p1p/4pnr1/2P5/2P1p3/P3QP2/2PBB1PP/R4RK1 b q -,c8d7
5r2/p1p3k1/3pr1pp/1P5P/2P1nq2/5Q2/6R1/4B1RK w - -,g2g6
6k1/5p1p/1p4p1/1Pn3P1/2R1B3/4P2P/5P1K/3r4 w - -,e4c6
6k1/1R6/3p1np1/1NpPb3/2P5/1P6/2KB1r1P/8 w - -,c2d3
r1q1nrk1/pp2ppb1/2p1b1pp/8/2PPPB2/5N1P/P1Q1NPP1/R4RK1 w - -,a1c1
7k/2p3p1/3p4/2p1q3/2P4P/1P3QPK/8/8 w - -,g3g4
r1bqk2r/pp2ppbp/1np3p1/2p1P3/8/1P1P3P/PBP2PP1/RN1QK1NR b KQkq -,e8g8
r3r1k1/2qbbppp/p2p1n2/1pnP4/4P3/BPP2N1P/2B2PP1/RN1QR1K1 w - -,b1d2
r4rk1/p1q2p1p/1p2p1p1/2bnP3/1nN4Q/8/PP3PPP/RBB2RK1 w - -,c1g5
6k1/r4p2/2p3p1/1p2p1q1/1Pn1P2p/2P2QP1/5P1P/3R1NK1 w - -,g1g2
r2q1rk1/1bp1bppp/p1np1n2/1p2p3/4P3/1BPP1N1P/PP3PP1/RNBQ1RK1 w - -,b1d2
rnbqkb1r/1p3ppp/p3pn2/8/P1Bp4/4PN2/1P3PPP/RNBQ1RK1 w kq -,e3d4:f3d4
6k1/1bR2pp1/p3p2p/1p1q4/1b6/3PBP2/6PP/2R3K1 w - -,d3d4
2r3k1/3r4/1q1Pp2p/p3Pp2/2p2Pp1/8/B3QK1P/2R5 w - -,f2f1
5r2/pp2pbkp/1n1p4/3P1p2/2r2P2/2N5/PP2N1PP/3RK2R w K -,d1d3
5rk1/p4rbp/8/2Rq4/3p4/P2Q2pP/1B5K/2R5 w - -,d3g3
rnbqkbnr/pp2pp1p/2pp2p1/8/3PP3/3B4/PPP1NPPP/RNBQK2R b KQkq -,f8g7
8/8/3r4/7K/7P/4k1P1/4p3/R7 w - -,g3g4
b7/3k4/2p2p2/p3b2p/2P3p1/1P1KB1P1/P5BP/8 w - -,g2e4
k7/1p4Qp/p1p5/6P1/K1P2P2/1P6/P6q/8 w - -,g7h8
1q3rk1/pb3pbp/1p1n2B1/1p4N1/3P1B2/PQ6/5PPP/4R1K1 b - -,h7g6
r4rk1/1p3pp1/1q2pnp1/p1pPn3/PbB5/2N1P1P1/1PQ2P1P/R1BR2K1 w - -,b2b3
3r2k1/p4p2/1pp2p1p/4p2P/2NnP1q1/1P2Q1Nb/1PP2R2/4K3 b - -,d4c2
3r4/pQ4kp/3p1qp1/1Pp1b3/2PnP1P1/P5BP/7K/3R1B2 b - -,g7h6
3r1rk1/1pn1qppp/p1p3n1/5P2/3P4/1PNB2QP/P3N1P1/5RK1 b - -,c7b5
8/1R3rkp/p1P3p1/4n3/4B3/b6P/P5P1/7K b - -,f7b7
r1b1qrk1/pp2b1p1/2p1p2p/3PPp2/5N2/6P1/PPQ1PPBP/3R1RK1 b - -,e6d5
r5k1/4ppbp/2p3p1/2n5/3Pb3/1P3NP1/P3PPBP/5RK1 w - -,d4c5
8/3r1kpp/8/3KP3/1N6/p1N5/6P1/8 w - -,d5c6
8/4k1p1/3p1b1p/rr1P4/5P2/P1P5/1PK3PP/3R3R b - -,b5d5
r1bq1rk1/2n1ppbp/p2p1np1/1p4B1/2PP4/2NB1N1P/PP1Q1PP1/R3R1K1 b - -,c8b7
4rrk1/6b1/5q1p/Qp1P2p1/3p2b1/5N2/PP1B1PP1/2RB2K1 b - -,g4f5
5rk1/p6p/1pqb2r1/4p1p1/2b1p1N1/2P1P3/PP2Q1PR/R3B1K1 w - -,e2f2
3r2k1/5p1p/b3p3/q1P1P1b1/P7/5BP1/2Q1PB2/1R4K1 w - -,c5c6
r1q1r1k1/1pp2pp1/3p1n1p/8/N1b5/P5PP/4PPBK/1RBQ1R2 b - -,c4e2
8/5p2/p4p1r/P2p4/1p1N2k1/3Pb3/1PK5/7R w - -,h1h6
r1b1r1k1/pp1n1pb1/1qp2npp/4pP2/4P3/2N2NP1/PPP3BP/R1BQ1R1K w - -,a1b1
r3r1k1/4qbb1/ppn1p1pp/2p2p2/P4P2/2PP1N1Q/1PBB2PP/4RRK1 w - -,g2g4
r4rk1/5q1p/1Q1p2pb/3P4/p2pP1N1/P7/NP4PP/1K5R b - -,h6g7
r4rk1/p1qn1pp1/B1p2b1p/2Pp4/1P1P1p2/P1N5/Q4PPP/R3R1K1 w - -,a2d2
5rk1/1p3pp1/2P1n1p1/b1P3B1/3P4/5BP1/2Q3KP/4r3 w - -,c6b7
r1bq1rk1/2p2ppp/pbnp1n2/1p6/3NP3/1BP5/PP2QPPP/RNBR2K1 b - -,d8e8
r3kb1r/1q1n1ppp/p1n1p3/4P3/1p3B2/5N2/PPP1N1PP/R2Q1RK1 b kq -,f8c5
1qrr2k1/pB1nbppp/1p2pn2/8/2PP3N/1Q4P1/PB1N1P1P/2R1R1K1 b - -,b8b7
5k2/1R6/4Kp2/2pPpP2/1p2P3/1r6/8/8 w - -,d5d6
8/8/3pB2p/2kP1p1P/5Pb1/1p1K4/8/8 w - -,d3c3
R2qk2r/3bppbp/2np1np1/1p6/1Pp1P3/2P2N2/2BPQPPP/1NB2RK1 b k -,d8a8
2r1k2r/2q1bp2/p1bp1p1p/1p2pP2/4P3/2NQ4/PPP1N1PP/2KR3R w k b6,d1d2
r1b1kb1r/ppp2ppp/5n2/4p3/2Pq4/2NPB3/PP3PPP/R2QKB1R b KQkq -,d4d8
6k1/6p1/8/1p3pp1/1q6/4B2P/P2r1QP1/7K w - -,f2d2
r1b4r/pp2kppp/2nb1n2/8/2BP1p2/5N2/PPP3PP/RNB1K2R w KQ -,e1g1
r1b1k1nr/p1pp1ppp/2p5/2b5/2B1P2q/2P5/PP3PPP/RNBQK2R w KQkq -,d1f3
1r3rk1/2p2pb1/2p3pp/1q1PP3/pBn2Q1P/P2R1P2/1PP3P1/1K1N3R b - -,g7e5
rnbqk1nr/1p3ppp/p2p4/P1pPp1b1/4P3/3B4/1PPN1PPP/R1BQK1NR b KQkq -,g5d2
