8/2B5/1Pk1K1p1/5p2/1P5P/6P1/8/3b4 b - -,d1e2
8/2r2pkp/2N3p1/1B1pp3/P7/2R4P/1r3PP1/6K1 w - -,c3d3
q1r3k1/pb2bppp/1p2pn2/1P1p4/P1rP4/1QN3P1/1B2PPBP/R3R1K1 w - -,c3a2
1rbq1r1k/6bp/p2pPn2/4pp2/NP6/1Q6/R2B1PPP/4RBK1 b - -,d8e7
r1b1r1k1/pp3ppp/1qnbpn2/3pN3/3P4/PP1B4/1BP2PPP/RN1Q1R1K b - -,c6e7
r1b2rk1/ppq1bppp/4pn2/3Pn3/3N4/PPN1P3/2Q1BPPP/R1B1K2R b KQ -,e6d5
4r3/p2kn1RP/2pp1P2/8/r7/8/PPP5/2KR4 b - -,a4h4
8/2q5/4P3/8/1PK1Q3/6k1/8/8 w - -,c4b3
4k3/8/1PN5/3p2p1/P2P1rP1/6K1/5P2/8 b - -,f4f7
r2q1rk1/pp1n1ppp/2pbpnb1/4NP2/2PP2P1/2N1B3/PP2B2P/R2Q1RK1 b - -,e6f5
6rk/2p3r1/3p4/p2P4/2Pp1q2/P4PN1/2Q2RKP/8 w - -,c2e4
5n1r/ppkb2n1/3p1pp1/2pPrP1p/2P1P2P/2PBN3/P5R1/2B2RK1 w - -,f5g6
2r2rk1/p2nq2p/Ppb1p3/3p1pp1/3Pn3/1Q1BPN2/1PR1NPPP/R5K1 b - -,g5g4
2b5/3q1k2/6p1/B2P1p1p/2Q1pP2/4P1PP/6K1/8 b - -,d7b7
6k1/6p1/7p/5P2/8/3RK1PP/8/r7 w - -,e3f4
5rk1/p2b1pq1/2n1p1p1/1p2b1P1/8/1Q5R/P4PP1/2R1KB2 w - -,b3b5
8/4Rk2/p4n1p/3p4/1P6/P1P2P1P/6P1/6K1 b - -,f7e7
8/8/5K2/1R1b4/4kB2/6P1/1p2r3/8 b - -,d5a2
8/7p/pRp2kp1/Pp1p4/1r4P1/8/4NK1P/8 w - -,b6c6
2n1rbk1/1p1q1r1p/6p1/p1PNBb2/PP4p1/6N1/3Q2PP/4RRK1 b - -,e8e5
8/5pp1/1k6/1r5p/p1K2P2/R5PP/8/8 b - -,b6a5
7r/4bk2/2p1b1np/1p1pPp2/Q2P1P2/3N3R/1P1N2P1/2B1K3 b - -,b5a4
r4rk1/pbp1qpp1/1p2p2p/3n4/3PNb2/2PBB3/PP2QPPP/1K1R3R w - -,g2g3
8/8/1k4p1/1p3r2/8/P1RN4/1P4K1/8 b - -,f5g5
r5k1/1p3p2/2nN2p1/4b1n1/p1P1PNqp/4R1P1/PP3BK1/1Q1R4 w - -,f4e2
r1b1qrk1/1pp2pbp/n2p1np1/p2Pp1B1/2P1P3/2N4P/PP1N1PP1/R2QKB1R w KQ -,f1e2
r1bq1rk1/4ppb1/1pn3pp/1Rp5/8/3P2P1/P1PNPPBP/3Q1RK1 w - -,g2c6
3r4/3r2kp/1p4p1/2R5/p2nB1P1/P2P4/1P5P/5R1K w - -,c5c4
2kq4/p1r5/R1p1npp1/QpP1p2p/1P2P3/1P2P3/3r1NPP/R5K1 b - -,d8e7
8/8/6p1/2R3P1/2K1p1k1/1P1r4/8/8 w - -,c5e5
r3k2r/5ppp/pq2p3/1p1p4/3P1P2/1PnN4/P1P1Q1PP/R4RK1 w kq -,e2e5
5r2/2P5/8/4K3/2R3p1/5k2/8/8 b - -,f8e8
2b3r1/r6k/1q2p1pP/1p3pP1/8/1B1Q4/PP5P/1KR1R3 b - -,g8e8
r1n2rk1/1pp2q1p/p1n2pp1/2PNp3/4P1b1/1P2QNP1/P4PBP/R2R2K1 b - -,c8a7
4rrk1/1qnnp1bp/3p2p1/2pP4/P3P3/1PN3P1/2QBN1KP/1R3R2 b - -,d7f6
r2r1bk1/2q4p/2n1p1p1/p1p1Pp2/2Nn1P2/2N1B1P1/PP3Q1P/3R1RK1 w - a6,c3a4
r1bqkb1r/pp3ppp/2Nppn2/8/4P3/2NB4/PPP2PPP/R1BQK2R b KQkq -,b7c6
r4rk1/p1p3pp/1p2p2q/n2P4/3P4/2PQ1P2/P5PP/R3BRK1 b - -,e6d5
rn1qkb1r/pp1bpp1p/3p1np1/1Bp5/P3P3/2N2N2/1PPP1PPP/R1BQ1RK1 b kq -,f8g7
8/6kB/r4pP1/p1R5/Pr2p2P/1P2K3/6P1/8 b - -,b4b3
8/1p3k2/1b6/2p4P/p7/2P1B3/bP1N1PP1/6K1 w - c6,d2e4
1r6/1r3p2/RP1k2p1/1R6/3Pp1K1/8/5PP1/8 w - -,g4f4
r1bq1rk1/ppb2pp1/2p2nnp/3pp3/PP2P2N/1BPP4/3N1PPP/R1BQR1K1 w - -,h4g6
r1bq1rk1/ppn1ppbp/3p1np1/2p3B1/2PP4/2NBPN2/PP3PPP/R2QR1K1 b - -,c8g4
8/8/p2n4/1p1k3p/1P3PpP/PP1K4/8/4B3 b - -,d6f5
4r2k/7p/1p1pN3/3P1pPn/p3n1q1/P7/1PQ4R/1K5R b - -,e4g3
r3k2r/1p3pp1/1n1bbn1p/1Pp1p3/Pq1p4/B2PP3/2QN1PPP/R2NKB1R b KQkq -,b4a4
2r1qrk1/pp2bp2/4bnBp/2pp4/3P1N2/2N1P3/PP3PPP/2RQ1RK1 b - -,f7g6
r1bq1rk1/ppp1n1pp/1b3p2/3P2B1/4R3/2N2N1P/PP3PP1/R2Q2K1 w - -,d1b3
3q1rk1/1p1b3p/p4pn1/2Pp2pN/1P1B3P/2P2P2/P2Q2P1/4R1K1 b - h3,g6f4
1qrr2k1/pb1n1pbp/1pp1pnp1/8/PPNPP3/B2B1N2/2R1QPPP/1R4K1 b - -,g7f8
1r4k1/3Rpp1p/5bp1/2q1N3/5nP1/2N4P/5P1K/4Q3 w - -,c3e4
2r5/4q1kp/5npb/4p3/3p4/3P1B1P/Q4PP1/B4RK1 w - -,f1b1
3r2k1/2q1nppp/p3p3/1pB1P1Q1/1P2P3/P6P/5PP1/2R3K1 b - -,d8c8
3r2k1/2qr1pb1/2n1b1pp/1ppnp3/2N4P/1BPP1N2/1PQ2PP1/2BRR1K1 w - -,c4a3
r1bqkb1r/1p1npppp/pn6/1Bp5/8/2N2N2/PPPP1PPP/R1BQ1RK1 w kq -,b5d7
6k1/8/8/1bP3p1/7r/P3N3/3K1p2/2R5 b - -,h4d4
r2qr3/pp4bk/1n1p2pp/1P1Q1p1n/4p2N/B1NP2P1/P3PP1P/1R3RK1 w - -,d5b3
r3k2r/pp5p/2ppbqp1/8/2PpP3/1P4P1/P4PBP/R2QK2R w KQkq -,e1g1
rr4k1/4ppbp/2qp2p1/2p1P3/5BP1/P4P2/1P2QRKP/3R4 b - -,a8a4
6k1/1p3pp1/2p2b1p/8/2Pp4/1P3QP1/q2B1P1P/6K1 w - -,d2h6
r1bqk2r/pppp1ppp/5nn1/2bPp3/2P1P3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,f1e2
rnb1kb1r/pp2pppp/3p1n2/q1P5/4P3/5N2/PPPB1PPP/RN1QKB1R b KQkq -,a5c5
3r4/p5k1/2b1p2p/1p2Pp2/7q/P2BQRp1/1PP3P1/6K1 b - -,h4h2
5r1k/p6p/3p4/2p2pqp/2b5/2N2Pb1/PPP1P1R1/1R1Q3K w - -,b2b4
r4k2/1r2pp1p/p1Np2p1/3P4/RP3P2/6P1/7P/2B4K w - -,c1e3
3rr1k1/1pp2pp1/2b2n1p/2Pn4/p1N1p3/PP2P1PP/1B3PB1/2RR2K1 w - -,b3b4
r1bq1rk1/pppn1pbp/3p1np1/4p3/2PPP3/2N2NP1/PP3PBP/R1BQ1RK1 b - e3,b7b6:a7a6:a7a5:f6e8:f8e8:e5d4:f6h5:c7c6:h7h6
rnbqk1nr/pp3ppp/4p3/2bpP3/6Q1/8/PPP2PPP/RNB1KBNR b KQkq -,e8f8
7R/5kr1/1p1p1p2/2bP1P2/P2p4/3B2p1/6K1/8 w - -,h8h3
1r3k2/5pbp/2BR4/1P3p2/5P2/1P3R2/1r5P/6K1 b - -,b2b1
r1b1r1k1/p4pbn/2p3p1/2p1p2p/3pP1Pq/1P1P1PNP/PBPN4/R2QK2R w KQ -,e1f2
rn1q1rk1/pbp1bppp/1p1pp3/8/2PP4/2Q2NP1/PP2PPBP/R1B1R1K1 b - -,b7e4
r1b1nb1k/1pp1qr1p/6P1/p1pPp1P1/2P1Pp2/2N2N2/PP2BP2/R2QK1R1 b Q -,h7g6
