5rR1/4kP1p/8/p7/4b1P1/PB3pKP/5P2/8 w - -,g3f4
8/p1q3k1/5p2/1P2n1p1/4Q2p/7P/5PP1/5BK1 w - -,e4f5
r2q1rk1/pb1nppbp/2pp1np1/1p6/3PP3/3BBNNP/PPPQ1PP1/R3K2R b KQ -,e7e5
6k1/3R1p2/p5pp/1p6/4B2P/2P2PP1/r7/6K1 b - -,a2a1
6Br/ppk5/2np4/7q/1P1PPQ2/2P1N3/P5b1/5NK1 b - -,g2e4
4r1k1/7p/p2p2p1/P2Pq3/7R/1P2rPp1/3R2K1/3QB3 b - -,e3e1
1r4k1/1q3pbp/b5p1/4p3/1rP1N3/2Q1B2P/B4PP1/3R1RK1 b - -,b7e4
6k1/2Q2pp1/1p1r1q1p/4p3/PP1n2B1/6P1/5PP1/4R1K1 b - -,g7g6
2b3k1/4rpb1/2BRn1p1/4P2p/1rp2P1P/p3B1P1/P3N3/2R3K1 b - f3,c8b7
3rrbk1/pp1q1p1p/3n2p1/P1BPp3/1Q2P2P/1P6/4N1P1/3R1RK1 w - -,e2c3
r1bqr1k1/pppn1pp1/7p/2b4n/2P5/1QN2N2/PP1BBPPP/3R1RK1 b - -,c7c6
2kr1b1r/5p2/p1n1pp2/1p1p1b1p/3P1B2/1BP5/PP2NPPP/R4RK1 w - h6,a2a4
r1b2r1k/1p1n2pp/p1qbBp2/P1pNp3/1P2P3/4B1Q1/2P2PPP/R2R2K1 w - -,g3h3
2b1rbk1/1pq2p2/r4p1p/p3p3/1PP5/P1Q2NP1/5PBP/4RRK1 w - -,f3h4
r1b2rk1/p3bp1p/n2ppp2/2pP4/2B1P3/3N4/PP1N1PPP/R4RK1 b - -,a6c7
4k3/2R3p1/6Kp/8/5PP1/2pr4/8/8 w - -,c7c8
8/2k5/1p6/2q1p3/2Pn1p2/1P1Q1P2/PK6/3B4 b - -,c5b4
r1bq1rk1/1pp2pp1/p2p1n1p/2b1pP2/2P1P3/P1N1BN2/1PP1Q1PP/R3K2R b KQ -,c5e3
3Rbr1k/1pp3n1/pb1p4/7p/4B3/2P2P1R/PP6/5N1K w - -,e4b7
1r3r2/4b2k/pq1p1p2/3Q1PP1/2p2p2/2N5/PPP5/KR6 w - -,d5h1
4kr1r/pp1bqp1p/2pp1Rpn/4p3/4P3/1BNPP2P/PPP2QP1/5RK1 b - -,d7e6
r4rk1/1bq1bp1p/p2ppnp1/1pn5/3NPP2/P1NB1R2/1PP1Q1PP/5RBK b - -,e6e5
r5k1/2pQ3p/5b2/pp6/6Pp/P1nP4/5PK1/8 b - -,a8d8
1k6/pp3p2/3bp3/7p/2PPQP1q/1P5r/3B4/6KR b - -,h4g4
rnbqk2r/pp3ppp/1n1bp3/2p5/3P4/1BP2N2/PP3PPP/RNBQK2R b KQkq d3,e8g8
r1r3k1/1p2ppbp/p1n1b3/5q2/4NQ2/2P2N2/PP3PPP/R1B1R1K1 b - -,b7b5
3Q1k2/p3rp1p/1p2r3/8/8/1P3K2/P6P/8 b - -,f8g7
r7/1p2k2p/2p1bpp1/4p3/1p2PPP1/1P2K2P/P2R4/5B2 b - -,e5f4
3r1k2/3n1pp1/1pBP3p/p6R/P1P5/6PP/1r6/3R2K1 b - -,f7f6
6k1/8/2N2p2/P2p2K1/r7/8/8/8 w - -,g5f6
r1bqkb1r/pp2pppp/2n2n2/2pp4/5P2/1P2P3/PBPP2PP/RN1QKBNR w KQkq -,g1f3
2rr4/4k1b1/p1p3p1/1pn1pp1p/8/4P1P1/PPKNBPP1/3R3R w - -,b2b4
1n1qrbk1/5pp1/3p1n1p/1P1bp3/8/5N1P/1PBN1PP1/2BQR1K1 b - -,b8d7
r1b2rk1/pp3pbp/1q1pp1p1/2P2nB1/3PN3/6P1/PP3PBP/R2Q1RK1 b - -,d6c5
4r3/p2RP2p/1kp5/8/8/8/P5PP/6K1 b - -,c6c5
r5k1/p1p1p1q1/pb4b1/3P1N1p/4Q3/P1N5/1PP3PP/3R3K b - -,g6f5
8/5R1p/6p1/6P1/4k2P/7K/8/6q1 b - -,g1e3
2r3k1/2r2ppp/4pq2/1B1pb3/P7/1N4P1/5P1P/2RQ1RK1 b - -,c7c1
r4rk1/ppq1n1b1/1n1pbpp1/1Pp1p2p/2P4P/1QNP2P1/P2BPPB1/1R2K1NR b K -,f8d8
r1b1k1nr/pp3ppp/1qn1p3/3pP3/3P4/b4N2/PP3PPP/R1BQKB1R w KQkq -,b2a3
3rb2r/2q1k3/1p5P/p1b1PBp1/P2n2P1/1P2N2Q/1B6/2RR1K2 w - -,b2d4
6k1/5pp1/p6p/1p6/1Pp5/P2n2P1/2Q2PKP/4q3 b - -,e1e4
5r2/pp4k1/6Pp/2p2n2/3P4/q1PB1P2/P2Q2P1/4R1K1 w - -,e1e5
2r1qrk1/4p3/3p1npR/p3p3/Pp2P1P1/1P3P2/2PQN3/R3K3 b Q -,e8f7
4nrk1/r2n2bp/pp2qp2/2p1pNB1/P1P1N3/3QR3/1P4PP/5R1K b - -,f8f7
r1b4r/p3bk1p/2p1pp2/3q2p1/3P4/2Q2NB1/PP3PPP/2R1R1K1 b - -,c8b7
4q1k1/1p3pb1/6p1/3p3p/P2P3P/B4QP1/5P2/6K1 w - -,f3d5
8/8/6p1/p1kp1p1p/Pr4RP/1PK1P1P1/6R1/8 b - -,b4g4
3r2k1/p2rbpp1/1p2p2p/2p1P2P/2P2P2/4B1P1/PP2K3/3RR3 w - -,d1d7
r7/7R/8/8/8/6p1/6k1/4K3 b - -,a8e8
r1bqk2r/4ppbp/p1n2np1/1pp5/3pP3/P2P1NN1/1PPBBPPP/R2Q1RK1 w kq b6,c2c3
8/6kp/pr4p1/1bp2P2/3p2K1/1n4P1/1P3R2/4R3 b - -,b6b7
