5k2/7R/r7/4KP2/8/8/8/8 w - -,e5f4
8/5p2/p3pp1p/8/4nP2/p1k3P1/2P1K2P/2N5 w - -,e2d1
r4k2/1b1qnr1p/p1pp2nP/1p3pR1/3P1Pp1/P1N3N1/1PPQB1P1/2KR4 b - -,b7c8
8/8/3p4/k1pPb2p/2P4r/1K1B1R1P/8/8 w - -,b3a3
8/1p6/p7/5k2/3Bpbr1/PK6/1P2R1P1/8 b - -,e4e3
1kr4r/pp2qp1p/2p1b1p1/3p4/Q2P4/R2BPN1P/PP3nP1/K6R w - -,a4a7
r3k2r/1bqn1p2/1p1bpn1p/p1p3p1/P2P4/3B2PN/1PP1QPNP/R1B2RK1 w kq -,c1e3
8/8/2N3pk/8/1p4b1/1B2ppK1/1P6/8 b - -,e3e2
1q2r1k1/1b3p1p/1p2p1p1/8/1PPQnb2/5P2/P3B3/2RR1K2 w - -,c1c2
6k1/p2q1pb1/2n3pp/1p2p3/1Pb1P3/P1N1B1PP/2Q2PB1/6K1 b - -,c6d4
1r2nrk1/2qbbn1p/3p1pp1/1ppPp3/1P2P3/2PBBN1P/R3QPP1/4RNK1 b - -,f6f5
N2k4/pp6/2n3q1/1B1pbp2/3P4/8/PPP2PP1/3KR3 w - -,d4e5
3r4/4k1p1/2rp4/4p1p1/P1B1PnPp/2P2P1P/3R3K/3R4 w - -,c4b5
r1bq1rk1/2n1p1bp/p2p1np1/1ppP1p2/2P5/1PN2NP1/PBQ1PPBP/4RRK1 b - -,a8b8
1r3rk1/ppR3pp/b3ppq1/7N/3Q4/5B2/PP3P1P/3R3K b - -,g6f5
r1q1kb1r/1pp2pp1/p3P2p/n2N4/5p2/1BP4P/PPQ2P2/2KR2R1 b kq -,a5b3
3r3k/r3q1pp/3pnpn1/2pBp3/1p1PP2P/1P2PN2/P2Q1RP1/5RK1 w - -,h4h5
k1r5/p2q2p1/P1p1p3/p3P1Np/Q1RP1r1P/8/5PPK/8 w - -,f2f3
r1n1k2r/1p1bqppp/p1n1p3/2P5/1P2N3/P2B1N2/3Q1PPP/R3R1K1 b kq -,e8g8
2kr3r/2p1pp1p/4b1p1/p1p1P3/2P5/1P4P1/P4PBP/3RK2R b K -,e6g4
r3r1k1/2p1qpp1/2p1b2p/p1b1P3/2PpNpP1/PP1Q3P/1B2P3/R2R2K1 b - -,c5b6
r4rk1/pp4pp/1b1q4/3b1p2/1P2p3/P2p2P1/1B1P1PBP/R1R1Q1K1 w - -,g1h1
8/1p3p2/p1b4k/6p1/1N1K4/8/PPP2r1P/6R1 w - -,b4d3
8/6k1/5p2/p3pp2/r4P2/P1R1P1P1/6K1/8 b - -,g7g6
5k2/1p3p1p/p5p1/8/r7/P1PK2P1/5P1P/2R5 w - -,c1a1
rn1q1rk1/pp3ppp/1n2p3/2p1Pb2/2PP4/P1PB1N2/6PP/R1BQK2R w KQ c6,a3a4
3rr1k1/pbp4p/1p1b1pp1/2p1p3/2NPPn1q/2P2QNP/PP3PP1/2BRR1K1 b - -,b7a6
r4rk1/pbq2ppp/1pnbp3/4N3/2PP4/1B6/P2BQPPP/R2R2K1 w - -,e5f3
r3r1k1/5pp1/2p2n1p/p2pbb2/8/PqN1PBP1/1P1Q1P1P/R1B1R1K1 b - -,f5c2
rnb1k2r/1pq1ppbp/p5pn/8/Q7/N1P1BN2/PP2BPPP/R3K2R b KQkq -,c8d7
3r2k1/p5pp/2Q5/1p2P3/2b3P1/7P/Pq4B1/4R2K w - -,c6c7
6k1/5pp1/1q2p2p/2bbP3/3N4/2B2P1P/rP2Q1P1/3R3K w - -,e2d3
r1b2rk1/pp2qppp/1bpp4/8/1PP3n1/P1N1PQP1/1B1P2BP/R4RK1 w - -,f3e4
6r1/pp6/8/4k3/5RpP/P5K1/1P5P/8 w - -,f4g4
4r3/5pk1/1p5p/p1bRP1p1/Pp5P/1P1R2P1/5PK1/8 w - -,h4h5
rq1r3k/ppb3pb/2p2p1p/3nn3/1PN5/PQ2P2P/1B2BPP1/R3NRK1 w - -,c4e5
8/3k4/1p2p3/3P4/pP2K2R/P7/6r1/8 b - -,e6d5
2r4r/4kp1P/p1q1bP2/1p6/6p1/PPN5/1P1Q4/1K1R3R b - -,e7f6
1rb2rk1/3qbppp/3p1N2/1pp1p3/2BnPP2/1P1P3P/1BP1NRP1/R2Q2K1 b - -,e7f6
8/1pp1k3/p3bp2/8/4PP2/1P6/P1K5/3B4 w - -,c2c3
r1b2rk1/ppp1qppp/2p5/2n1P3/8/5N1P/PPPN1PP1/R2Q1RK1 w - -,d2b3
1R3b1k/5r2/7p/2p3pP/1p1pN3/1P1P2P1/2P2PK1/8 b - -,h8g7
r1bqk1nr/1p1p1p1p/p1n3pb/2p1p3/P1B1P2P/2N3N1/1PPP1PP1/R1BQK2R b KQkq h3,d7d6
8/8/8/1B4k1/P5p1/6N1/5PK1/r7 w - -,g3e2
6k1/p3Npbp/1p1pn1p1/6Bn/P2r4/5P1q/1PPQ1P2/R4RK1 b - -,g8f8
2r2rk1/3qbp2/pn1p1np1/1p1P4/3N1B2/5BPp/PPP4P/2QR1RK1 w - -,d4c6
3r3r/pp2bkpp/b1p2p2/3n4/4NB2/5N2/PP3PPP/3RR1K1 w - -,f4g3
1rq3k1/4pp1p/r1pp1np1/8/nPP5/2N1P1PP/4QPBK/1R1R4 w - -,c3a4
r4r2/1p1b2bk/p1np1qpp/1B3p2/3P1N1P/5N2/PP1Q1PP1/R2R2K1 w - -,b5a4
r3r1k1/1pp3bp/3p2p1/1PN2b2/p1P2P2/3Pq3/PB4BP/1R1Q1R1K b - -,d6c5
2kr1b1r/pp1n1p1b/2p4p/4n1PN/5N2/2P1B3/PP2BPP1/R3K2R b - -,h6g5
2kr3r/1pp1qppp/p1pbbn2/4p3/2N5/1P1PP2P/PBP1NPP1/R2Q1RK1 b - -,e6c4
Q1b3k1/p2q1ppp/1p6/8/1n2N3/4P1P1/P4PBP/6K1 w - -,a2a3
1r6/5k1p/4bp2/BB6/P1pb4/2P1K1P1/7P/8 w - -,e3d4
8/8/P1Bp4/6p1/1k2P3/5P2/1K3b2/8 b - -,b4a5
2k4r/1bq1np2/2n1p3/p2pP3/1ppP1NN1/2P3PP/PPQ3B1/5RK1 w - -,g4f6
2r2rk1/1bqpb1p1/pp2p2p/2p1P3/P2P1p2/N1P1BP2/QP4PP/2R1NRK1 b - -,f4e3
2rq1rk1/p4ppp/1p2p1n1/b1P1N3/Q3P3/4B1P1/P4PKP/2RR4 b - -,d8e7
7r/8/4p3/p1P2p2/kp5P/6P1/1P3PK1/R7 b - -,a4b3
2q5/1p3kp1/p1r1p1Qp/2Pp3P/PR1P2p1/4P3/5P2/6K1 b - -,f7g8
2r3k1/1r5q/3p4/1b1Pp1pp/p1p1Pp2/2PN1P1P/RP2Q1PN/3R2K1 b - -,c4d3
rnbq1rk1/pp3pbp/3ppnp1/2p5/2B1PP2/2NP1N2/PPP3PP/R1B1QRK1 b - -,d6d5
3r2k1/pb2qpp1/1p2p2p/3n4/1b1Q4/1P2PNP1/P3BP1P/B1R3K1 b - -,d5c3
r1b1k2r/1pp2ppp/p7/2bNP3/6n1/8/PPP1NPPP/R1B2RK1 b kq -,e8d7
1r6/p2k3p/3Pn1p1/1p1B1b2/1P2p2P/4PR2/P1P5/2KR4 b - -,e4f3
r1bqkbnr/ppp2ppp/2n5/3pp3/8/1P2P3/PBPP1PPP/RN1QKBNR w KQkq -,f1b5
r1b1k2r/ppp2pp1/2nppq1p/8/2PP4/P1b2N2/1PQ1PPPP/R3KB1R w KQkq -,c2c3
2kr4/4n2p/2n1P3/p2p4/1p1Q2P1/8/2P1R2P/2RK4 b - -,c6d4
r3Rk2/p4ppp/NnN3b1/3p4/8/5PP1/PPP4P/2KR4 b - -,a8e8
r6r/p2k1ppp/2p2n2/2b5/3N4/1P1b1NP1/1P3P1P/R1B1R1K1 w - -,e1d1
2r2k2/3Bbp1p/Q5r1/2Bppq2/3n4/2R5/1PP2P1P/1K1R4 b - -,g6a6
8/5p2/7p/3k4/r6P/p5K1/8/R7 b - -,a3a2
r7/8/3kp1p1/p6p/R1K1PP2/3P2PP/8/8 b - -,d6c6
2r2rk1/1bqnbppp/pp2p3/2pn4/3P4/NP3NP1/PB1QPPBP/R2R2K1 w - -,a1c1
8/Pk2b2p/6p1/1N3p2/8/5KP1/5P1P/8 w - -,h2h3
5rk1/2q5/pn3npp/1p3pb1/8/P3B1NP/1PP1QPP1/R4BK1 b - -,f8e8
3r4/6kp/8/8/Rbp1Np2/5K2/P2p3P/8 w - -,e4d2
r1bqk2r/1p2bppp/1nn1p3/p2pP3/3P4/5NN1/PP2BPPP/R1BQR1K1 b kq -,h7h5
1k6/pp2b3/2np3p/4p3/8/2P2q2/PP1R1P1r/3RBK2 w - -,d2d6
r1r5/p3pn1k/1p1pNp1p/q1pPB3/2P1P3/2P5/P1Q3PP/R4RK1 b - -,f7e5
1Q6/1p3kp1/6Np/7P/2b1P1P1/p4PK1/3q4/8 b - -,d2e1
3k4/p3n3/4P2K/1pp4B/2n2B2/P1P5/8/8 b - -,e7d5
r4rk1/p5pp/2p3q1/2Pp4/3Q1p2/P4PB1/1P4KP/2R1R3 b - -,f4g3
r2q1r2/p2n1ppk/1p1p1B2/2pQ4/8/1P2PN2/P4PPP/R4RK1 b - -,d7f6
3rr1k1/2qb1pb1/1ppp2p1/p6p/P1PNn3/B3P1PP/P3QPB1/2RR2K1 b - -,e4c5
2r1rbk1/1pp2p2/5npp/1Pn5/pNPN1B1P/P4PP1/6K1/1R1R4 b - h3,e8e7
7k/3b1pbp/p7/2p2P2/2PpQ3/4q2P/PP4B1/4NK2 b - -,e3e4
r1bq1rk1/pp3pbp/2n1pnp1/2pp4/4PP2/3P1NP1/PPP3BP/RNB1QRK1 w - -,e4e5
r1bqkb1r/p1pp1ppp/1pn1p3/2P1P3/8/2P1BN2/PP3PPP/R2QKB1R w KQkq -,c5b6
5k2/5p2/1p1p1bpp/p2B4/P2p1P2/1P6/2P2KPP/8 b - -,g6g5
1r1qk2r/3n1ppp/2p1pn2/p7/Qp2NP2/6P1/P2PP1BP/1R3RK1 b k -,f6e4
8/3k4/1p1n3p/p5p1/2P2bPP/3B1K2/P7/4R3 w - -,h4h5
5k2/5pp1/1p5p/p1n5/Pn1p1P1P/Q2P1BP1/1P1R2K1/2r1qN2 w - -,f3e2
r3k2r/p2q2pb/2p2p2/1p2pP2/n2PP1P1/2PB4/2Q5/1RB2RK1 b kq -,e5d4
b1rr2k1/p3ppbp/1n4p1/q1P1P3/8/pN1B1P1P/4Q1P1/BRR3K1 b - -,a5a4
8/p1r2pk1/1p2p1p1/1q1p3p/RNnP3P/1PP1P1P1/1Q3P1K/8 w - -,b2c2
r3k1r1/p1pq1pp1/1pn4p/3pPp1P/3P4/P1PQ3R/2P2PP1/R1B1K3 b Qq -,e8c8
6k1/8/8/2b5/2P1KB1P/4P3/r7/8 b - h3,g8f7
r3q1k1/pp4p1/8/3p1n2/6PP/2Pp2b1/6P1/RNBQ2KR b - -,e8e7
2rr2k1/pbqn1ppp/1p1bp3/2p1N1N1/2PPpP2/1P2P3/PBQ3PP/3R1RK1 b - -,c5d4
1r3rk1/2qnpp1p/b5p1/2p5/Pp5Q/1PnN2P1/1NR1PPBP/5RK1 w - -,g2f3
r2qr1k1/p3bppp/2n1bn2/1ppppN2/4P1P1/2PP1N1P/PPB1QP2/R1B1K2R b KQ -,c5c4
r1bqk2r/pp1n1pp1/2pb1n1p/3pp3/2PP2P1/2N1PN1P/PPQ2P2/R1B1KB1R w KQkq -,g4g5
rnbqk2r/pp3pbp/3p1np1/2pPp3/2P1P3/P1N2N2/1P2BPPP/R1BQK2R b KQkq -,e8g8
2r2bk1/1q1n1ppp/rpp1pn2/p1Pp4/1P1P1P2/P1NQP1NP/1B4P1/R1R3K1 w - -,d3e2
6k1/2p2p2/p1pp2pp/4PP2/2P3P1/6P1/3R1QK1/1rq5 w - -,f2e2
8/p4p1p/4p1p1/pPk5/Prb2P2/2R2P2/2BK2PP/8 w - -,d2e3
r7/6p1/2p3k1/1P1pPpP1/p3nP2/P7/3B2K1/2R5 b - -,c6c5
r1b3k1/p1q1pp2/1pn2bpp/3r4/8/2PB1N1P/PP1NQPP1/R2R2K1 w - -,d3e4
r1bqkb1r/pp1p1ppp/2n2n2/2p1p3/2P5/2NP2P1/PP2PPBP/R1BQK1NR b KQkq -,d7d6
r2qk2r/ppp2ppp/2npbn2/2b1p3/2P1P3/2NP2PP/PP2NPB1/R1BQK2R b KQkq -,h7h6
1k6/1P6/P3R3/8/4p3/3pP2P/5K2/1r6 w - -,e6e8
3r2k1/p4p2/6p1/8/8/1P1p4/3R3P/7K b - -,g8g7
3r2k1/p2r1ppb/2pPpn1p/1pn1B3/1bN1P3/1P4PP/NP2RPB1/R5K1 b - -,a7a5
1rbq1rk1/pp2ppbp/2np1np1/2p5/P4P2/2PP1NP1/1PQ1P1BP/RNB2RK1 b - a3,a7a6
r3kb1r/1b1n1p1p/pq2pp2/1p6/3P4/1QN1P3/3N1PPP/R3KB1R w KQkq -,f1e2
rn2k2r/p3qppp/1ppbpn2/3P4/3P4/1QN1PPB1/PP3P1P/R3KB1R b KQkq -,f6d5
8/4kp2/1p5p/p1p2P2/Pr2BK2/8/8/R7 b - -,b4d4
8/3n2p1/1Npbkp1p/4p2P/PP2P1P1/3KBP2/8/8 b - -,d6b4
8/8/P4R2/8/r5p1/2K5/7k/8 w - -,c3b3
6r1/1b2k3/p3p3/1p1pn3/P2Rp2r/1PN4P/2P5/2KR1B2 b - -,e5c6
8/1p1k4/p2n4/3r4/PP2pbP1/8/4Q3/4BK2 b - -,d5d3
k2rrb2/1pqn1p2/p1p1p1bp/P1NpPnp1/1P1P4/1QP5/1N3PPP/R1B1RBK1 b - -,f5e7
1r3rk1/4b1pp/8/1q6/pP2p3/P1Bn1RP1/3RQ1KP/8 w - -,f3f8
3rk2r/2p3b1/ppn2q1p/3Qpp2/2P5/P1N1B2P/1P3PP1/R4RK1 w k -,d5f3
r4r1k/3qnpbp/p4np1/1b2p3/4P3/1BP3NP/1P3QPN/R1B1R1K1 b - -,d7c7
r2r2k1/1p1nbppp/1q2pn2/p1p4b/2QP4/PP3NP1/1B1NPPBP/2R1R1K1 w - -,d4c5
2rq1rk1/pp1bn1p1/1b2p2p/3pPp2/5P2/PN1BB3/1PP2QPP/R4RK1 b - -,b6e3
3b1r1k/qp1b2pp/2npn3/3N1p2/pPP2P2/P1BPP3/2Q3BP/R4RK1 w - -,c2b2
8/2nb4/1p1p4/1PpPp3/2P1P2k/5B2/1N3K2/8 w - -,b2d1
r5k1/2q2p1p/2N1p1p1/1Pp1b3/8/1Q1Pp1PP/4P1K1/5R2 w - -,c6e5
2r3k1/r4p2/3q2p1/1pnPp2p/p1p1P2P/1nP1N1P1/R4P2/1Q2RBK1 b - -,d6b6
8/1r3pkp/5p2/4pP2/K3P1P1/6N1/Pb1p3P/3B4 b - -,b2d4
r4r1k/p4p1p/bqn1pp2/2p5/7Q/P4N2/1P1RPPPP/4KB1R b K -,h8g7
r3r1k1/p2b1ppp/8/qp1p2B1/8/1NP1P3/P2nB1PP/2R2RK1 w - -,b3a5
4r2k/2p1q2p/3pr3/8/2PP3R/5Q1K/PP4R1/8 w - -,f3g4
r2q2k1/2pn1rb1/1p1p2n1/pN1Pp1pp/1PP1Pp2/P4P2/3N1BPP/R2QR1K1 w - -,b4a5
6k1/1b1Pb2p/3r1p2/2p2Q2/pp6/5PPB/PP3K2/8 w - -,f5h5
r3qrk1/pppb1pbp/1n1p2p1/4n3/8/2P1PN1P/PP1NBPPB/R2QR1K1 w - -,d1c2
r2qkb1r/pp1n1ppp/2p1b3/8/PnN1P3/2N2P2/1P4PP/R1BQKB1R w KQkq -,c1f4
r4rk1/pp5p/1q1bb1p1/5N2/4B3/3p4/PP1B2PP/2RQ1R1K b - -,g6f5
2r5/1pr1kp2/p3p2p/2Pp3n/bP1N1P2/P1R4P/3KP1B1/5R2 w - -,c3e3
5k2/1p3rpp/p1p5/4R3/3p4/P2P1P2/1P2P2P/6K1 b - -,f7e7
8/2q5/5Q2/3k1PK1/8/7P/8/8 w - -,f6e6
r1bqk2r/p2pppbp/1p2n1p1/8/2P1P3/2N1B3/PP3PPP/2RQKB1R w Kkq -,f1d3:f1e2:d1d2
7k/R7/8/3p4/4p1KP/1P2Prb1/P4P2/2R5 b - -,g3d6
r1bqnr1k/ppp1n1p1/1b3p1p/3pP3/3P3B/2NB1N2/PP1Q1PPP/R3R1K1 b - -,c7c6
rnb1kb1r/pp3ppp/1qp1pn2/3p4/2PP4/1QN1PN2/PP3PPP/R1B1KB1R b KQkq -,b8d7
2r1k1nr/1p2bpp1/p1bpp3/q5P1/4P1Q1/2N1B2P/PPP5/R3KBR1 b Qk -,c6d7
r3k1r1/1ppbqp1p/p3n3/Q3p1p1/2B1n3/N5B1/PPP3PP/3R1RK1 w q -,g3e5
r4r1k/1p4pp/2p1Q3/6b1/p2PPNP1/qP6/P6P/3R1RK1 w - -,f4h5
r5k1/1p3p2/p4B1p/8/8/3rRP1b/PP3P2/R5K1 b - -,d3d6
1r3rk1/p1p3p1/2pp2bp/4pp2/2P3Pq/P1QP2NP/1P2PP2/R3K2R w KQ -,g4f5
r3k2r/p3b1pp/2p1qp2/3np3/8/5NP1/PPP2P1P/R1BQR1K1 w kq -,c2c4
r1bqk2r/1p2bp1p/p1n1p3/2npP3/3N1Pp1/P1N1B3/1PPQ2PP/R3KB1R w KQkq -,g2g3
8/6R1/6p1/p1k5/6P1/8/r2p4/3K4 b - -,a2a4
7r/4k3/pb4pp/3n4/1p1p2P1/BP1P2NP/2P5/5RK1 w - -,a3c1
rnbq1rk1/4bppp/p2ppn2/1p4P1/3NP3/2N1BP2/PPPQ3P/R3KB1R b KQ -,f6d7
6k1/p5pp/4b3/1P2P3/q7/P1R5/1B6/K5R1 b - -,a4b5
3q4/r1pbr1pk/Pn6/1PQ1p2p/4Pp2/5P1P/5BPN/R2R3K w - -,d1d5
r2q1r1k/1b2bppp/1p2p3/p1nnP3/3N2Q1/5N2/PP1B1PPP/R3RBK1 w - -,a2a3
r1bqkb1r/ppp1pppp/1n3n2/3P4/2B3P1/2N2P2/PPPPQ2P/R1B1K1NR w KQkq -,e2d3
b5k1/4bpp1/3pp2p/1QnP4/r7/4NNP1/5PKP/8 w - -,b5e8
8/4P2R/p3r3/1p6/1P6/8/3K1p2/5k2 b - -,e6e2
4k2r/p4p1p/r1p1p1P1/3pP1Q1/1pnP4/q1bR1P2/PPP2P2/K1N2B1R w k -,g6f7
8/8/8/4Bb1k/PP4pp/2P5/6qP/2KQ4 w - -,e5d6
6k1/1pr3p1/p1n1RnBp/2Np1P2/3P4/1P5P/P5P1/6K1 w - -,c5b7
2kr1n1r/pp2bppp/2p1Nn2/6B1/8/2N2B2/PPP2PPP/2KRR3 b - -,f8e6
rn1qr1k1/1b2bppp/4pn2/1ppp4/p1P1P3/3P1NP1/PP1NQPBP/R1BR2K1 w - -,e4e5
8/2r3pk/7p/3R1p2/1PpK1P2/p5PP/1P6/8 w - -,d4c3
4r3/8/P4k1p/1PQ3p1/4bpK1/8/7P/8 w - -,c5d4
r6r/pp1Pkppp/2n5/2B1N3/1n6/7P/P4PP1/R2R2K1 b - -,e7e6
8/1p6/p1p2k1b/2Pp2p1/PP2pP2/7K/8/4B3 b - -,g5f4
1rb1k2r/1pq1bppp/p1p1pn2/8/2NQ4/4B1P1/PPP1BP1P/R4RK1 w k -,e3f4
r2n2r1/2kqnpp1/4p2p/pp1pP2P/b1pP2Q1/P1P1N1PB/R1PB1P2/5RK1 w - -,g4f4
r4rk1/1p1qbppp/2p2n2/p1np4/3N4/PPNPB1Pb/2Q1PPBP/R3R1K1 w - -,g2h1
2b4k/6q1/7r/pp2Q3/3PB3/2P5/PP6/4R1K1 w - -,e4g2
r1b1k2N/pp4p1/1npbpnBp/8/q7/8/PP1BQPPP/R3R1K1 b - -,e8f8
2r2kr1/1p6/p2q4/P3p1p1/4Pn1b/4B2P/1PP2PB1/3R1RK1 w - -,d1d6
8/1P6/1K2k3/7p/1r5P/7R/8/8 w - -,b6c6
r1bq1rk1/1ppn1ppp/p2p2n1/3P2b1/2P1Pp2/1QNN4/PP2B1PP/R1B2RK1 w - -,d3f4
1rb2rk1/1p1nqpbp/p2p1np1/2pP4/P3PB2/2N2NPP/1P3PB1/R2Q1RK1 b - e3,f6e8
5bk1/5p1p/3p2p1/4pNQ1/1n2P1B1/6PP/4RPK1/q1r5 b - -,b4c6
8/2R5/1BPp1k2/K2Pp1p1/4Pp2/5P2/1r4P1/8 b - -,b2g2
2r1kbnr/3b1ppp/pq1p4/1p2p3/2P1P3/N2QBN2/PP3PPP/R4RK1 b k -,b6b7
r1b2rk1/2q1bppp/ppNp4/3P4/4nPP1/P3BB2/1P5P/2RQ1RK1 b - -,f7f5
8/8/6kp/p2K2p1/Pp6/1P3P1P/8/8 b - -,g6f5
rn2qrk1/p3bppp/n1p5/1p6/1P2N1b1/1B3N2/P1P1QPPP/R1BR2K1 w - -,h2h3
8/2k5/8/2P5/p6p/P3K2P/8/8 w - -,e3d4
8/2p1k3/6p1/rp2p1P1/4Pp1p/1PP2P1P/3RK3/8 b - -,a5a3
r4rk1/1b1pq1pp/6p1/1pp1P3/4PB2/1P3PQ1/PP4K1/R6R w - -,f4e3
