8/1p1k4/pK6/P7/2P1bB2/1P3p2/5P2/8 b - -,d7c8
r3k1nr/ppp2ppp/2nqp3/3p3b/3P4/4PN1P/PPP1BPP1/RN1QK2R w KQkq -,e1g1
r1bq1rk1/pppnnpbp/3p2p1/3Pp3/2P1P3/2N3P1/PP3PBP/R1BQK1NR w KQ -,g1e2
8/7p/7P/8/2k2p2/1p2nP2/3K4/B7 w - -,a1b2
r2r2k1/ppq1bpp1/2p1pn1p/4N2P/2PP4/3Q4/PP1B1PP1/2KR3R w - -,d2h6
2q2k2/1r3p2/pp1p1R1r/2p1n2N/P1P4Q/3P3P/1P4P1/R5K1 b - -,e5g6
8/5rrk/p3Q1np/2p5/6R1/P6P/1P3PP1/6K1 w - -,g4g6
2r2rk1/p5p1/2bqppNp/1pN5/2pPP3/P4PP1/1P1Q2P1/3R2K1 b - -,f8d8
6R1/8/8/5p2/8/4p1p1/5rk1/4K3 b - -,f5f4
r1b1qrk1/ppp3pp/2np1n2/5p2/2PPp3/2P1P1P1/P3NPBP/R1BQ1RK1 w - -,e2f4
8/8/8/p3k3/2P5/1P2K1Pb/P7/8 w - -,e3d3
r2r1bk1/2B2p2/6pp/p1p5/Ppn5/1R3NP1/1P3PKP/R7 w - -,c7d8
r2q1rk1/1pp1npb1/3pbnpp/1p2p3/P1P1P3/2NP1NP1/5PBP/R1BQ1RK1 w - -,c4b5
8/2R5/3p2p1/3k1p1p/P4P2/r6P/4K1P1/8 w - h6,c7g7
rnbqr1k1/pppp1ppp/5n2/4N3/1b2P3/2N5/PPPPBPPP/R1BQK2R w KQ -,e5d3:e5f3
3r1k2/2n4p/1pPp4/3B1pP1/1P3P1P/5K2/8/3R4 b - -,d8a8
2rqr1k1/3n1pb1/p5p1/PppN3p/3P4/1Q2P3/1PR2PPP/3RB1K1 b - -,c5d4
r1bq1rk1/3n1ppp/p3pn2/8/2Q1N3/4BN2/PP3PPP/R2R2K1 b - -,f6d5
r3k2r/pp1nbpp1/2p1pn1p/q3N3/3P1P1P/2P3N1/PP1BQ1P1/R3K2R w KQkq -,f4f5
2r2rk1/pbq1ppbp/1p1p1np1/8/P1P5/1PB1Q1P1/4PPBP/2RRN1K1 b - -,f8e8
r4rk1/pp2q1pp/2n5/4pp2/2P5/P7/1P1Q1PPP/1B1R1RK1 b - -,a8d8
4R3/8/3K4/5k2/5n2/8/8/8 w - -,d6c5:e8e3
1r4k1/5pbp/3q2p1/Rp6/2pB1n2/2P2N1P/1PQ2PP1/6K1 b - -,f4d3
5k2/2r1pp2/3p1nP1/p1r4p/3K4/2P3PP/RP2B3/3R4 b - -,f7g6
6k1/5p1p/4b1p1/2r5/pB2P3/n5PP/1R3P2/5BK1 b - -,a3c4
2b2rk1/1pp1qppp/n2p1n2/3P4/1PP1p3/2N2NP1/1Q2PPBP/R5K1 w - -,f3d4
r1q2rk1/1p2bppp/3p1nn1/PR1Pp3/4P3/3QBP2/2P1N1PP/1R5K w - -,e3d2
8/5kP1/p1p5/1pP2N2/1P2pn2/P7/3K4/8 w - -,d2e3
3rk3/1Q4R1/p2q2p1/5pp1/8/1P4P1/P4PK1/8 b - -,d6e6
r1b1k2r/pp3pp1/2nb1q1p/2p1p3/2Pp4/P2P1NP1/1P2PPBP/RN1Q1RK1 w kq -,b1d2
r5k1/p7/5Qpq/1p5p/2p5/2P4P/PP3R1K/R7 w - -,f6e6
1r1r4/pp2k1pp/2Bq1p2/2p5/Q2P4/2P3P1/PP3PP1/2KR3R b - -,b7c6
6r1/8/1pp1kn1p/p7/3PPR2/P2K1P2/1P2N2P/8 w - -,f4h4
5rk1/1p3ppp/3pp3/r7/3Pbn1P/pP3N2/P1PK1PPR/4R3 w - -,e1e4
8/5b2/1p6/8/5K2/2P2P2/5Pk1/8 w - -,f4e3
r2qk2r/pp2ppbp/2p2np1/2p5/4P3/3P1Q1P/PPP2PP1/RNB2RK1 w kq -,b1c3:b1d2
3r2k1/2Q2ppp/1b4q1/5n2/1P2N3/P4PP1/2P4P/4K2R w - -,c7c3
1r1q1rk1/4bpp1/p2p1n1p/4nP2/1Pp2PP1/2N1B2P/BPPQ4/2KR3R b - f3,e5c6
r1bq1rk1/4p3/npp3p1/p2pP1b1/3P4/1PNB3P/P1P1Q1P1/R4RK1 w - -,d3g6
8/3n4/3r1kP1/5P2/2K1p3/7R/8/5R2 w - -,h3h8
6k1/2q2p2/4r1bQ/p1P5/1rR1p1P1/1P1p2P1/P4P1N/2b2BK1 w - -,c4c1
