8/8/8/K5Q1/P4pp1/1p3k2/8/8 w - -,g5d5
2r2rk1/1pq1npp1/p2p1n1p/4p3/1PP1P3/P2QB1PP/3N1PB1/3b1RK1 w - -,f1d1
r1bqk2r/ppbp1pp1/2p2n1p/4P3/B1N2p2/2PP4/PP4PP/R1BQ1RK1 b kq -,b7b5
2rqkb1r/2pb1ppp/p1n1pn2/1p6/3P4/1N2P1P1/P4PBP/RNBQ1RK1 w k -,c1b2
8/5Rpk/3p3p/3Pp3/p3P3/4BPP1/r7/5K2 b - -,a2a1
r2q1rk1/pppnppbp/2np2p1/8/2BPP3/7P/PPP2PP1/RNBQ1RK1 w - -,c2c3
r3nrk1/pp1q2bp/3p2p1/2pPp1P1/2P1P2P/1Q2B3/PP1NK3/R6R w - -,h4h5
rk2qb1r/1pR4p/1B1p1Rp1/1b2p1P1/4P3/7P/P2Q2B1/6K1 w - -,f6f7
3rkr2/1b6/p1p1p1pQ/1pq1p3/4P3/1PN4P/1PP3P1/2KR4 w - -,h6g6
r3r1k1/3q1pb1/3P2pp/ppn3n1/2p4B/P1N2Q1P/1PB2PP1/R2R2K1 w - -,h4g5
4r1k1/1bq2p1p/p5pb/2p1p3/2N1Pn2/2P2P1P/P4QPB/4RBK1 b - -,e8e6
1r1r2k1/1bqn1ppp/p3pb2/1p6/2pPNP2/2P3P1/PP2Q1BP/R3BRK1 b - -,g7g6
1n3rk1/6pp/3p3b/2pPPp2/R7/2q2N2/Q3KPPP/7R b - -,f8e8
r3r1k1/1p2Bppp/1np5/p2p4/3Pn3/1N1NP3/PP3PPP/2R2RK1 b - -,e8e7
r3brk1/pp2q1pp/2n1pp2/2Pp4/3P4/4RN2/PP1QBPPP/5RK1 b - -,a7a5
r1bqr1k1/p3bp1p/1p2p1p1/n7/3P4/P1PQ4/B3NPPP/R1B1R1K1 b - -,c8b7
r1bqk2r/pp1n1ppp/4pn2/2pp4/2PP4/P1P1PN2/2Q2PPP/R1B1KB1R b KQkq -,e8g8
4r3/2npr1k1/ppp2qp1/7p/1PP2p2/PQ2NNP1/4PK1P/2RR4 b - -,e7e3
5k2/4pp1p/p2qQ1p1/1npP4/3b2P1/5R2/7P/4R2K b - -,d6e6
2r1rbk1/3n1ppp/3Pp3/qp6/5P2/1PNRBQ2/2P3PP/3R3K b - -,c8c3
1r4k1/1B1R1pp1/p3q1np/4P3/1p4PP/1Pr1N3/P2Q1P2/1K1R4 w - -,b7h1
8/7P/1p6/p1k2K2/P1P2N2/8/3b4/8 b - -,d2c3
2r5/4qpk1/pQp2bp1/8/N1R1P2p/1P4PP/P4PK1/8 w - -,g3g4
5rk1/1p3r1p/1qp5/p2p2p1/P2Pp1P1/4P1PP/1PQ3RK/2R5 w - -,c2c5
1r3rk1/1p1nqpbp/p2p1np1/2pP4/P3PB2/2N2BP1/1P3P1P/R2QR1K1 w - -,d1d3
r1bqr1k1/pp3ppp/1np2n2/3p4/2PP4/P1P2N1P/4BPP1/R1BQ1RK1 w - -,c4c5
8/3b4/3K4/p4p2/5Pp1/1k4P1/8/1B6 b - -,d7b5
7R/3r4/p3r3/6p1/PPkBp1Pp/2P1K3/8/8 w - -,b4b5
