6k1/4R3/6P1/6P1/6K1/8/8/5r2 w - -,g6g7
1k5r/2pQ1p2/pp5q/4P3/6P1/P2R4/1PP1KP2/8 b - -,h6c1
r1bqk2r/1p1p1ppp/p1N1pn2/8/1bB1P3/2N2P2/PPP3PP/R1BQK2R b KQkq -,b7c6
r1bq1rk1/Bpp2pp1/p1n2n1p/3pp3/4P3/1BPP1N1P/PP3PP1/R2QKN1R b KQ -,a8a7
8/2nr1pp1/p1k4p/1pb1p3/2pnP1P1/P4P2/1PPBN2P/2KR2N1 b - -,c5b6
r1bq1rk1/pp2bppp/2n1p3/3n4/3P4/P1NB1N2/1P3PPP/R1BQ1RK1 b - -,e7f6:d5f6:d5c3
1r1qr3/1ppb1pbk/p5pp/2BPp3/3n4/1P4PP/P2NPPB1/R1Q1R1K1 b - -,e5e4
2kr3r/1bqnbp2/pp2p3/2p1P2p/2P2Bn1/2N5/PPN1QPP1/2KR1BR1 w - -,f2f3
r2q1rk1/4b1pp/2N1p3/p1n1Pp2/Ppn5/5N1Q/1P1B1PPP/R4RK1 b - -,d8d7
8/8/P2p2kP/3P4/1PP5/7P/K4b2/4r3 b - -,e1c1
r1b2r1k/1p3ppB/p3pn2/2q1N3/3R3Q/8/PPP2PPP/2K4R w - -,h7d3
r1bqr1k1/pp3pbp/2pBnnp1/1PPp4/3P4/2N2NP1/P1Q2PBP/R4RK1 b - -,f6e4
r1b1k1nr/1pqpbppp/p1n1p3/8/2PNP3/P1N5/1P3PPP/R1BQKB1R w KQkq -,d4c6
1r2r3/1p2q1kp/pN1p1pp1/2nP4/2PQ1R2/4P1P1/P5KP/5R2 b - -,e8f8
4r1k1/1ppn3p/2n3pB/p2q4/R1Q1p3/2P3P1/1P5P/5R1K b - -,d5c4
r1bq2n1/p3k3/2p1p2Q/1p3r2/3P1NPP/5P2/PPP5/1K1R3R w - -,h6g7
r1bq1rk1/pp2b2p/2p1p3/3pNp2/2PPn1Pp/2NBP3/PPQ2P2/R3K2R w KQ -,g4f5
8/1p2p3/p1nb2k1/3p1R2/2p2P2/4PK2/1PB5/8 b - -,d5d4
