7Q/8/5pk1/5q2/4p3/8/5P2/4K3 w - -,h8g8
2brn2k/p4ppq/1pp2r1n/3pQPR1/2PPp1BP/PP2P3/3N3P/B5RK b - -,f6d6
rn2kb1r/pp3ppp/2p1pn2/q3Nb2/2BP4/2N5/PPP2PPP/R1BQ1RK1 b kq -,b8d7
8/1b6/pP6/P1k2Npp/8/1P2K3/7P/8 w - -,f5g7
r4rk1/1p1bbppp/p1n1pn2/8/2P2B2/1NN5/PP2BPPP/2KR3R w - -,e2f3
r2q1rk1/1pp2pbp/p4np1/3Pp3/2Q1P3/2N1BP2/PP3P1P/R4RK1 w - -,f1d1
r1k3r1/p1p1b1Bp/1pq5/3ppP1N/7Q/2P5/PP4PP/5R1K w - -,h4e7
8/1r3k2/R7/2BK4/8/8/8/8 w - -,a6c6
r4rk1/2qn1pp1/1bp2np1/pP2p3/1P2P3/2P1N1P1/4QPBP/R1BR2K1 b - -,c6b5
1r4k1/3nbppp/3p4/2pPp3/2B5/1P2BP2/r1P3PP/1R1R2K1 w - -,c2c3
6R1/8/p2p4/Pp2n3/1P5p/2Prb2k/8/5R1K b - -,d3d2
7q/1pk3p1/p1n2n2/4pPQ1/3pP3/P2P2N1/1P4K1/3B4 w - -,g5g6
r2q1rk1/p1nnbppp/1p2p3/2ppP3/3P4/5NN1/PPP2PPP/R1BQR1K1 w - -,c2c3
8/1r2rk2/p5pp/5p2/P3b3/2p2N1P/2P3P1/1RR4K w - -,b1b7
3rb1k1/4q1p1/nr2p2p/1p1pQ3/p7/P3PN1P/1P2BPP1/2RR2K1 w - -,e5d4
r1bqnrk1/ppp3bp/3p2n1/1PPPppp1/2N1P3/B1N5/P3BPPP/R2Q1RK1 w - -,f1e1
r1b2rk1/pp3ppp/1b3n2/4p2q/3n2P1/P1NQN2P/1P1BPPB1/R3K2R b KQ -,h5h4
r1bq1rk1/pp1nbppp/2pp1n2/4p3/3PP3/1BN1BN1P/PPP2PP1/R2QK2R b KQ -,b7b5
1r3rk1/p3qppp/2nnb3/2p1p3/3pP3/PP3P2/N1P1BBPP/R2Q1RK1 w - -,a2c1
r3kb1r/1bqp1ppp/p1n1pn2/1p6/3NPP2/2NBBQ2/PPP3PP/R3K2R w KQkq -,e1g1
1r4k1/1p4bp/p1nNp1nr/P1p1PpRN/3p1P2/3P3q/1PPBQ2P/R5K1 b - -,g8f8
