8/6k1/P7/2q5/8/5K2/6B1/5Q2 b - -,c5c6
1k6/p5p1/5r2/2p5/p7/2PnNR2/1P1r1P2/1R3K2 w - -,f3f6
8/4Q3/b3Brpk/3P3p/7P/1P1p1PP1/P4RK1/q7 b - -,d3d2
r1bq1rk1/1p2npbp/p3p1p1/3pP3/3Q1PP1/2N2N2/PPP4P/R1B2RK1 w - -,d4f2
rnbqk2r/6pp/p3pn2/1p4NB/2pP4/2P5/3B1PPP/R2QK2R b KQkq -,g7g6
r4rk1/1bqnbppp/p2ppn2/1pp5/3PP3/2P2NN1/PPB2PPP/R1BQR1K1 b - -,f8e8
r1b2rk1/p1q1bppp/1p2pn2/3pn3/3P4/2PB3P/PP1N1PP1/R1BQR1K1 w - -,d4e5
rnbqkb1r/pp3ppp/3p1n2/8/3NP3/3B4/PP3PPP/RNBQK2R b KQkq -,b8c6
r4rk1/pp4pp/2pbpn2/5qN1/3PQ3/2P1B3/PP4PP/R3K2R w KQ -,e4f5
b3q1k1/p4p1p/5Pp1/4P3/2prp1P1/4Q2P/PP4N1/6K1 w - -,e3d4
r2r2k1/pp1n1ppp/2p1pn2/8/Pq1P4/R2BPN2/1P3PPP/1Q1R2K1 b - -,b4e7
r1bq1rk1/ppp1npbp/3p1np1/3Pp3/4P3/2PB1N1P/PP1N1PP1/R1BQK2R w KQ -,e1g1
8/1R3pk1/1Pp5/3b1K1p/6p1/1r6/3R3P/8 w - -,f5g5
3b4/3n1k2/3p4/pr1Ppppp/8/3P2PP/RP1BKP2/3N4 w - -,d1c3
r1nqkb1r/pp1n1pp1/2p1p1bp/3pP3/3P1B2/1N6/PPP1BPPP/R2QNRK1 b kq -,f8e7
k7/2r2p2/6p1/N7/1p1R4/1P3b1r/1PP4P/1K3R2 b - -,f7f5
8/p2rpk1p/2p1p1p1/6P1/8/4P3/1PR2PKP/8 w - -,c2c6
r2qkb1r/pp1npppp/2b2n2/2p5/4P3/3P1NP1/PP3PBP/RNBQ1RK1 b kq e3,e7e5
4B3/8/5k1p/1pr5/6PP/7K/8/8 w - -,h3g3
3r1rk1/2pq3p/2b2p2/p1b5/P2p1P2/3Q1N2/2P2BPP/R3R1K1 w - -,e1d1
2bk1n2/2p1b1qp/pp1r1n2/5Q1P/P1B3P1/2BP1P2/1PP5/2K1R2R w - -,f5e5
r2qkb1r/pp1nnppp/2p1p3/3pPb2/3P3N/1N6/PPP2PPP/R1BQKB1R b KQkq -,f5g6
1r3rk1/2p2q1p/2Q2pp1/3n4/8/1PP2NP1/4RPP1/4R1K1 w - -,f3d4
2kr3r/4b3/p1p1pp2/1pP1n1Pp/1P6/7P/PBB3P1/1R1R2K1 w - -,c2b3
