5bk1/8/2N5/p1p5/2P1KB2/3PP3/r6P/8 w - a6,d3d4
b6r/4k1pp/3pp3/1B1n1p2/P7/6P1/1P5P/2KRR3 w - -,c1b1
6k1/3q4/3r2p1/3P1b1p/7P/4Q1P1/1R4BK/8 w - -,b2b8
r4rk1/p1b2ppp/b1p2n2/1qPpp3/NP6/P3P1P1/1BQ2PBP/R3R1K1 b - -,f6e4
1r1q3k/6pp/1N3p2/B1p5/8/3pP3/5PPP/3Q2K1 b - -,h7h6
6k1/1pB2pbp/6p1/2p1P3/5P2/2P5/3r2PP/5RK1 b - -,f7f6
5r1k/7p/pp1p1p1q/2pPr3/2P1Pnb1/3BR3/PP3RP1/4QNK1 w - -,e1d2
1r3rk1/p3ppbp/1q1p2p1/3PP3/2p2Pn1/2B2N2/PPQ3PP/R3R1K1 w - -,c3d4
r2qk2r/pppnbppp/4pn2/8/3P4/3B1bN1/PPP1QPPP/R1B2RK1 w kq -,e2f3
rnbqk2r/pp3ppp/4p3/3n4/1b1N4/1N6/PPPB1PPP/R2QKB1R b KQkq -,e8g8
2r5/6pp/5k2/p1b1pp2/P7/3B1PB1/4RPKP/8 b - -,f5f4
rnbqk2r/1p3p2/p2p2pp/3Np1b1/2B1P3/4N3/PPP2PPP/R2Q1RK1 w kq -,g2g3
5rk1/ppp1q2p/2n3p1/8/2P3QP/P1B1P3/1P6/1K4R1 b - h3,e7f7
r1nr2k1/p3qpbp/1p6/2pPp3/4PP2/2P3B1/P1Q1B2P/3R1RK1 w - -,f4e5
8/1p2B3/p3p3/3p3p/1P1Pkb2/7P/4K3/8 w - -,e7f6
8/B7/p1p5/P2k2np/3P4/2K5/8/8 w - -,c3d3
r1b1k1nr/pp2pp1p/3p2p1/2q5/4P3/5N2/P1PB1PPP/R2Q1RK1 w kq -,f1e1
8/3b4/2p3p1/3pk2p/1P2p2P/2P1K3/4NPP1/8 b - -,d7e6
rn2k1nr/ppq1ppbp/2pp2p1/8/2PPP3/4BB2/P2N1PPP/1R1Q1RK1 w kq -,h2h4
4r1k1/7p/2p3p1/1p1pBn2/1P1P3P/8/5PP1/R5K1 b - -,f5h4
2k2b2/1pp5/p3b1p1/2p1pN2/4P1P1/1P3P2/PNP2K2/8 w - -,f5h4
4k3/8/6Np/1p2P3/1r2bR2/4K3/6PP/8 b - -,b4b2
r3k3/p2q2p1/2n1pr2/2p3B1/7P/P1P5/4QPP1/R3K2R b KQ -,f6f5
rn1q1rk1/p3bppp/bp1p1n2/2pP2P1/8/P1N2N2/1PQ1PP1P/R1B1KB1R b KQ -,f6d7
r2rqbk1/1pB2p1p/p1p1p1p1/7n/P1PP4/1P3N1P/5PPQ/R4RK1 b - -,d8d7
2r2rk1/1q2bppp/p1bppn2/1p6/3BPP2/P1N3PP/1PP1Q1B1/3R1RK1 b - -,f8d8
2Rnr1r1/3N4/p5k1/3P3p/5p2/B2P1K2/4P2P/8 w - -,a3c5
6k1/1n3rpp/p1r1p1b1/1pNp1P2/1P4P1/P7/2PR1RBP/7K b - -,b7c5
2rqr1k1/1p2pp1p/p1npb1p1/3N4/2PbP3/1P2B1P1/P3QPBP/2R1R1K1 w - -,c1d1
