6k1/6p1/3B4/8/1P4q1/4P3/5K2/7Q w - -,h1d5
r2q1rk1/pp2ppbp/1nn3p1/2p5/3PP1b1/N1P2NP1/PB2QPBP/1R3RK1 w - -,f1d1
1qrr4/3bnNk1/p3pNp1/1p2P2p/1bnP1B1P/3Q2P1/PP3P2/1BR1R1K1 w - -,f7d8
8/1p1R4/p7/4pk1p/1P5P/P4PPK/2r5/8 b - -,c2c3
r1q2rk1/ppb2ppp/2p1b3/3nN3/3PR2B/1B5P/PP3PP1/R2Q2K1 b - -,c7d8
6k1/5p1p/6p1/1rpr4/p2pn3/P4PP1/1PR1P2P/2RB2K1 b - -,e4d6
r1bq1rk1/pp2bppp/2p1pn2/3n4/3P4/1BN1PN1P/PPQ2PPB/R3K2R b KQ -,b7b6
5k2/1p3p1p/2r5/p1bN1Pp1/P1P3P1/1P1KR2P/8/8 w - -,e3f3
3r1k2/p2b1pp1/4n2p/2P1r3/N1R5/P5P1/5PP1/2R2BK1 b - -,d7b5
3qk3/5pQ1/pn1p1P1p/1p2p3/2r1P3/1NN5/PPP4P/1K6 w - -,g7g8
r3kb1r/pp1nnpp1/2p1p1b1/q3P1Bp/2BP3P/2N3N1/PP3PP1/R2QK2R w KQkq -,e1g1
5bk1/1p1n3p/2p1bpp1/4p2n/1qP1P1N1/1P3Q1P/r1B2PPB/3RNK2 b - -,f8e7
r1bqkb1r/ppp2p1p/2np1np1/4p3/2PP4/2N1PN2/PP2BPPP/R1BQK2R b KQkq -,f8g7
8/5pk1/6p1/1R6/7N/r5PK/2r5/8 w - -,h4g2
r2r1bk1/1bp1qp1p/p3n1p1/Pp2p3/1P2P3/1NPBBP2/5QPP/R2R2K1 b - -,e7e8
2r3k1/q4p2/3p1bp1/1QnPp2p/P3P2P/2p1N1P1/P1B2P2/1R4K1 w - -,b5b6
R7/8/p2b1kpp/1pn2p2/3N4/4K2P/P1P5/8 w - -,d4b3
8/p6p/2n1kpp1/1pp5/4PP2/2P3P1/P2NK2P/8 w - -,g3g4
2r2rk1/2p1qpb1/4p1pp/pp4P1/1P2P2P/P1PP2Q1/4N3/2KR3R b - -,a5b4
r7/1p2r1p1/2p4p/pPkp4/P6P/3B1P2/2PP1KP1/1R6 b - h3,a8f8
2r3k1/7p/p2p2pP/6P1/2rb1B2/P4R2/KP1R4/8 w - -,f4d6
2rr2k1/ppqnppbp/2p3p1/2PpN3/3P4/1PBQPP2/P5PP/2R2RK1 w - -,f3f4
r7/2n2pkp/p1b1pqp1/P1p1p3/2Br4/1PN2P2/2PRQ1PP/3R2K1 w - -,d1e1
5rk1/1bp2ppp/p1q2b2/8/P4B2/1BPP4/1P3QPP/4rRK1 w - -,f1e1
7r/1k6/p1pp1p2/2q2B1p/4Pb1P/1P6/P7/1K1Q2R1 b - -,f4e5
rb3r1k/pb4pp/5q2/1Pp1pp2/8/1B2B3/P3QPPP/3R1RK1 w - -,e3c5
5bk1/5p1p/Q5p1/8/2P1rP2/P7/7P/1K6 b - -,e4f4
4Br1k/2bP3p/6p1/8/3p4/6P1/7P/3R3K b - -,c7d8
6rk/pp1b1q2/2p4r/3p1p1p/3P1P1N/PP1QP2R/1KP5/7R w - -,h4f3
r2qr1k1/pp3ppp/5n2/2bpn1Bb/7N/2NP2PP/PPQ2PB1/R4RK1 b - -,a8c8
2kr1b1r/1bq2Bp1/p2p3p/2n5/3Bn2N/7Q/PPP2P1P/2KR2R1 b - -,c8b8
8/1r1n4/2rkp1p1/R3p1Pp/R1p1P2P/1pP2P2/1P2K2B/8 b - -,c6c8
r1b2rk1/pp1nqppp/2p1p3/3n4/2BPP3/P1N2N2/1P3PPP/R2Q1RK1 b - -,d5c3
4rbk1/pp3p1p/b5p1/8/P1rN1B2/2P1P3/5PPP/R3R1K1 b - -,c4c3
6k1/B3pp1p/2qp2p1/p7/1b2P3/1P2QP2/P3B1PP/6K1 w - -,e2c4
8/5pkp/4p1p1/p2p4/3N4/2nNP1PB/5PKP/1r6 b - -,a5a4
4rrk1/2p3pp/1p3n2/pP2Npq1/2PBb3/Pn2PB2/4Q1PP/3R1R1K w - -,d4b2:d4c3
r2q1r2/1bp2pkp/pp1p2p1/3PpP1n/P3P2b/5N1P/1PPQN1P1/R2R1BK1 b - -,h7h6
2r3k1/p5p1/1p2p3/n7/P5R1/3B1r2/2P2P1P/4R1K1 b - -,g8f7
3R4/5P1k/5Pp1/5r2/2p2K2/2P5/1P6/8 w - -,f4e4
