8/8/8/8/1pP2kp1/8/8/K7 w - -,a1b2
6k1/8/3pN1p1/3R4/2P5/2b3P1/5PKP/1r6 b - -,b1b6
2r2rk1/6pp/pp1p2q1/3Ppn2/1PP1Qp2/2R3P1/P2N1P1P/5RK1 w - -,f1e1
r4rk1/1b1qn1b1/pppp1npp/3P1p2/2P2P1B/N2B1N2/PP1Q2PP/3RR1K1 w - -,d2e3
1rr2b1k/6pp/p1Rp4/4pp2/1P6/PBR5/5PPP/6K1 b - -,c8c6
4q1k1/pp6/2ppbB1p/Q5p1/7P/6P1/PP3P1K/8 b - -,g5h4
3nr1k1/1p1q1pp1/3r1b1p/p1pB4/2Pp4/PP1QP1P1/1B2RPKP/3R4 b - -,d4e3
2r1r1k1/1pq4p/p2p2n1/3P1Q2/nPP4P/6R1/P3BRP1/6K1 b - h3,e8f8
rnbq1rk1/p3ppbp/3p1np1/1PpP4/4PP2/2N5/PP2B1PP/R1BQK1NR b KQ -,a7a6
6k1/2B5/4Q1p1/2N5/7p/7P/4p1P1/6K1 b - -,g8h7
2r2rk1/1q2bpp1/p1b2n1p/2ppB3/5Q2/P1N1P3/1P2BPPP/2R2RK1 w - -,f4g3
r1bq1r2/pp1n1pkp/4n1p1/3NP3/6N1/5B2/PP4PP/R2QR1K1 b - -,d8g5
6k1/1p6/8/P7/6r1/P3P2p/4K3/7R w - -,h1h3
4rbk1/2pn4/1p1p2p1/pP3p1p/P1PP4/4B1PP/5PK1/1NR5 b - -,f8e7
8/5p1p/4pkp1/2n5/8/2r2BPP/3R1PK1/8 b - -,f6e7
3r1r2/p2nppkp/1p2b1p1/1Pp5/8/2N1PPP1/PP4BP/R2R2K1 w - -,f3f4
r4n1k/1pb3p1/2pn4/p3N1P1/2PPr2P/PP2P3/1B3P2/R3K2R b KQ -,d6f5
r1b2rk1/1pq1bppp/p2ppn2/5P2/3QP3/1BN5/PPP3PP/R1B2R1K b - -,c8d7
r1b2rk1/pp4p1/2n4p/2p2p2/2PP1q2/P3P3/1P2N2P/2KR1B1R w - -,e3f4
r3k2r/pp3pb1/2pq1npp/2n1p3/2B3bP/2NPB1N1/PPP1QPP1/R3K2R w KQkq -,f2f3
b1rr2k1/p2qppbp/Nn4p1/4P3/p1PN4/B2B3P/4QPP1/1RR3K1 w - -,a3b2
8/5pk1/1R5p/2pR1b2/8/6P1/r4K2/8 w - -,f2f3
2k5/pp6/4p3/2p1b3/2P1PR2/1PNP2r1/P1K1R3/8 b - -,e5f4
2bq1rk1/3nbppp/1pp1p3/2Pp4/1P1Pn3/2NNP3/4BPPP/B2Q1RK1 b - -,e4c3
r4rk1/pp2qppp/2n1p1b1/2ppP2P/2nP1P2/2N5/PPP1N1P1/2KRQB1R b - -,g6f5
2rRq2k/5pp1/2N4p/1Pn1p3/2b1P3/6P1/5PBP/3Q2K1 b - -,c8d8
2rq1r1k/1b1nbppp/pp1ppn2/8/2PNP3/2N1BPQ1/PP2B1PP/2RR2K1 b - -,f8e8
r1bqkb1r/2p2ppp/p1np1n2/1p2p3/4P3/2PP1N2/PPB2PPP/RNBQK2R b KQkq -,f8e7
r4rk1/1q1nbppp/bpp1pn2/2Pp4/1P1P4/2NNPP2/4B1PP/R2QBRK1 b - -,a6c4
8/8/8/4kp1p/7R/1p4r1/6P1/2K5 b - -,g3g2
6r1/8/8/6P1/3Pp1K1/3k1p2/R4P2/8 b - -,d3d4
r5k1/pp2p1bp/2p1Ppp1/3r1n2/8/5P2/P2B1N2/1N3QK1 b - -,f5d4
r2n1rk1/3q1n1p/p1bpp1p1/2p2pP1/P3PN1P/1QPPB1P1/6B1/1R3RK1 w - -,a4a5
1k5r/pp2qp2/2n5/4b1P1/Q3p1B1/3rB3/PP3P1P/R4K1R b - -,d3e3
