3R4/1p5k/1r1B1K2/8/8/5p1P/6r1/8 w - -,d8d7
r2qkbnr/pp1n1ppp/2p1p3/3p4/6b1/3P1NPP/PPP1PPB1/RNBQ1RK1 b kq -,g4h5
1r3r2/6k1/3R1pp1/pp1Rpb1p/8/PBP4P/1P3PP1/5K2 b - -,g6g5
8/3p1k2/2bP1pp1/ppP1p2p/4P2P/P1R1NP1K/3r2P1/8 b - -,d2f2
r3r1k1/p2p1p1p/1p3bp1/2pP4/2q4P/2B1PQP1/PP1K1P2/R6R b - -,f6c3
r4Bk1/q4ppp/p3p3/3nP3/8/5Q2/P4PPP/1R1R2K1 b - -,a8f8
8/1p1r1p1k/pKp1p3/2P1P1Q1/1P1r4/P7/6B1/8 b - -,d4d2
5n2/8/2kb1pp1/p1p1p2p/P1K1P2P/2P1BP2/4N2P/8 b - -,f8d7
r3kb1r/ppq2ppp/2p1bn2/4p3/3P4/5NP1/PP3PBP/R1BQR1K1 w kq -,f3g5
8/2r4k/p3p3/4Pp1p/2pQ1b1P/2N2q2/PPK5/4R3 b - -,f3g2
r1b2rk1/pp1nqppp/1np1p3/8/2BPN3/4PN2/PP3PPP/2RQK2R w K -,c4d3
4r1k1/1pb1qpp1/r1pN3p/8/pP6/Pn1QB1P1/2R1PPBP/1R4K1 b - -,c7d6
8/6pk/Ppb1p1r1/2b1Qn1p/2P2P2/8/6PP/3R3K w - -,d1d5
rnbq1rk1/ppp2pp1/4pn1p/3p2B1/2PP4/P1P2P2/4P1PP/R2QKBNR w KQ -,g5h4
r4rk1/pp4pp/6q1/3pb3/4nP2/1P1B3P/P3N2K/1RBQ1R2 b - -,e5c7
r3knr1/pp1qbp2/2pp1n2/6Np/2NP2pP/2P3B1/PPQ2PP1/2KR3R b q -,f8e6
r3r1k1/pp2qp1p/2n2pp1/2b5/6b1/2PB2B1/PPQRNPPP/5RK1 b - -,a8d8
3q1rk1/2p2ppp/5b2/1n1Bp2P/1P1pP3/1Q1P2P1/5P2/2B1R1K1 b - -,f6g5
8/5pp1/2n1k3/4p2p/2K1P3/1P3P1P/3B2P1/8 b - -,e6d6
r3k2r/1p4pp/pBnR1p2/8/8/8/bP2BPPP/2K4R b kq -,e8g8
8/8/2r2k2/8/p2K4/2p5/6PP/2R5 b - -,c3c2
r3r1k1/pp3pbp/nq3np1/2pP1b2/2Q2B2/1PN2N2/P3BPPP/3R1RK1 b - -,f6e4
8/6pk/1Q4p1/8/P4bP1/5B1q/4KP2/8 b - a3,h3h4
1qr1r1k1/1b1nbppp/pp1pp3/4n3/2PNP3/1PN1BP2/P2QB1PP/2RR2K1 b - -,e7d8
2b2rk1/Bp3pbp/n3n1p1/4p3/1PP5/2N2N1P/1P2BPP1/3R2K1 w - -,c3d5
8/6kp/6p1/5p2/n3p3/P1pbP1P1/2N2P1P/5BK1 w - -,c2b4
1r4k1/1pn1q1pp/p2p2b1/2nPp3/PR2Nr2/5PN1/2P1B1PP/3Q1RK1 w - -,d1d2
r5k1/1b3rp1/p2R1n2/2P1p3/2P4Q/8/Pb3PPP/5RK1 b - -,a8c8
r1bq1rk1/pp2p2p/3p2n1/4n3/2PB2P1/2N5/PPQ1BP2/R3K2R w KQ -,e1c1
8/Bbk5/p5pp/4b3/2B1P3/4K2P/P5P1/8 w - -,e3f3
r2q1k1r/2p1bp2/p1pp1npp/4P3/2P1P2B/2N2b2/PP3PPP/R2QK2R w KQ -,e5f6
r4rk1/1pp2ppp/2b2b2/2q5/p1Pnp1PP/PP2Q2B/1B1P1PR1/2KR2N1 w - -,c1b1
2r4k/p5pp/2Bpb1qr/1p3p2/PP5P/2Q1P1P1/2P2P2/3RR1K1 b - a3,a7a6
8/2kb4/4p1p1/1P1pPp1p/pP1N1P1P/K5P1/8/8 b - -,c7b7
r4rk1/p1q1ppb1/1pp1b1pp/P3P3/2PpNB2/3P3P/1P3PP1/R2QR1K1 w - -,d1d2
6rk/7p/1p3q2/1P2p3/R6P/p2P4/4Q2K/8 b - -,a3a2
q3rbk1/2R2ppp/p4n2/1p1pnN2/5P2/PP4P1/2Q1P1BP/1N4K1 b - f3,e5g6
r4rk1/5ppp/4pn2/pP1q4/2R5/6P1/2Q1PPKP/2B2R2 w - -,e2e4
rn1qk2r/pbppbppp/4pn2/1B4B1/2PP4/5N2/PP3PPP/RN1QR1K1 b kq c3,e8g8
r2r2k1/p1q1ppbp/b1p3p1/4n3/4PB2/1BN3Q1/PP3PPP/R2R2K1 w - -,a1c1
rnbqk2r/pp2bppp/2p2n2/3p2B1/3QP3/2N3P1/PPP2P1P/2KR1BNR b kq -,h7h6
rr4k1/1p2P1bp/3N2p1/q4p2/1n1NpP2/pP2B3/P3R3/3RQ1K1 b - -,g7f6
1r2r1k1/pbqn1pbp/1n2p1p1/1p2P1P1/6N1/3P1B2/PP1NQ2P/R1B1R1K1 b - -,c7c5
r2r1bk1/pbq2ppp/1p1npn2/3pN2P/2PP1P2/1P1B2P1/PB1NQ2K/2R1R3 b - -,c7e7
2r3k1/1p3pp1/p2q1n2/5P2/P2pp2p/1P4nP/1P1Q1RP1/1B1R2K1 w - -,d2g5
1k1rr3/pp6/6pp/1QbPpp2/7q/P4P2/KPP1B2P/3R3R b - -,h4e7
b2rq1k1/p2rbppp/1pn1p3/2p2nP1/2P2PN1/2BPPN2/P2RQ1BP/3R2K1 b - -,e7f8
3b4/2p5/1p1k3p/pK5P/P5P1/5B2/8/8 w - -,f3c6
rn3rk1/pp3ppp/1qp1p1b1/2b5/4P1PN/4B2P/PPP2PB1/R2QR1K1 w - -,e3c5
2qR1b1k/1r3ppp/1p6/2p1r1B1/8/1P3QP1/P4PKP/8 b - -,c8d8
6k1/1b3pp1/pr1pr2p/R3p3/2P1P3/RP1B3P/5PP1/6K1 b - -,e6e7
r5k1/2R4p/p3Pp2/1p1r1p2/5R2/P3p3/1P4PP/5K2 w - -,f4f3
6k1/5r2/p5pB/7p/4K3/P3Nn2/1P6/8 b - -,g6g5
r1bqkb1r/pp1n1p1p/3p1np1/2pP4/4P3/2NB1N2/PP3PPP/R1BQK2R b KQkq -,f8g7:a7a6
r2qk2r/pb3ppp/1pnppn2/2p5/2PPPP2/2PB4/P3N1PP/R1BQ1RK1 b kq f3,c6a5
r1b2k1r/pp3ppp/1q3n2/1N1p4/8/6P1/PP2PPBP/R2QK2R w KQ -,a2a4
1rbqk2r/4p1bp/1pp2ppn/p1p5/P1N1P3/3PBN1P/1PP2PP1/R2QK2R w KQk -,d3d4
r2q1rk1/1b1nbppp/pp2pn2/2pp4/2P5/1PNPPNP1/PB2QPBP/R4RK1 b - -,a8a7:d8c7
2n3k1/p3B3/7p/2p4p/nPP5/1B6/2K2PPP/8 w - -,e7h4
5rk1/p1B3pp/1p2P3/2n5/2P5/P3r3/1P4KP/3RR3 b - -,e3e6
8/2r3pk/5p2/4pPn1/Qp2P3/8/6K1/8 w - -,a4b4
r4rk1/pp3qbp/n1p1bnp1/4p1B1/N1P2p1N/1P4P1/P1Q1PPBP/3R1RK1 b - -,f6d7
r1b1k2r/ppq4p/2p2n2/3p2B1/2P5/2Q1P1PP/PP6/R3KB1R b KQkq -,c7g3
r1bq1rk1/pp3pbp/4p1p1/n2p1P2/2BpP1P1/3P4/PPP1N2P/R1BQ1RK1 w - d6,c4b3
r3r1k1/pp3pb1/2pq1np1/3p4/2PpPN2/3P1PPb/PP4K1/R1BQ3R w - -,f4h3
1rb1r1k1/1pq2pbp/p2p1np1/P1pn4/4PP2/1RN1B2P/1PQNB1P1/5RK1 w - -,c3d5
r1b2rk1/1p2p1bp/q1np2p1/8/p2P4/3B1NP1/P2BPP1P/1R1Q1RK1 b - -,a6a7
3b1r1k/1p1q4/p2p4/P2Pp1pp/1PR2rP1/5PNP/4QRK1/8 b - -,h5g4
2rr4/p2k1pp1/1pb1p2p/2pnb3/8/P1NP2P1/1P1BPPBP/1RR3K1 w - -,c3d1
2r5/p4k1p/3rpq2/1Pp2pp1/8/1P2PPP1/P2Q3P/5RK1 w - -,d2d6
r1bq1rk1/ppp3bp/2n2p2/1B1pP3/8/5N2/PPP1QPPP/R1B1K2R w KQ -,c1e3:e5e6:b5c6
2r3k1/pRp2pp1/5n2/B6p/3P4/P3P3/5P1q/4KQ2 w - -,b7a7
2r3k1/5pp1/Q7/4p1Pb/3bP1pP/1p4B1/1P1R1PBK/2q5 b - -,c8c2
6k1/1q4bp/3p2p1/3Pp1P1/rRp1Pp2/2Q2P2/P4B2/K6R b - -,a4b4
r2q1rk1/pp1n1pp1/2pbpn1p/3p1b2/2PP4/1PN1PN2/PB2BPPP/R2Q1RK1 b - -,f8e8
4rrk1/1p4p1/p1b1p1q1/4Pp1R/2pPP3/2P5/5QPP/3BR1K1 w - -,f2h4
8/7k/6p1/p7/6NP/N4r2/1K6/8 b - -,f3f4
r5k1/1p3p2/4pb1p/n2n2p1/4N1P1/P7/2R3PP/3R3K b - -,f6e7
rnbqkb1r/pp3ppp/4pn2/3pN3/3P4/1Q2P3/PP3PPP/RNB1KB1R w KQkq -,f1d3
5b1k/p4P1p/2b1q1p1/8/1pprP1PQ/7P/P4R2/4R1K1 w - -,f2f6
r6r/1bq2ppp/p1n2k2/1pp1Np2/8/2PP2P1/P1P1Q1BP/R3R1K1 w - -,g2c6
8/5R2/4p2p/4k3/5r2/8/6KP/8 w - -,f7h7
5k2/8/3p1N2/p1pP2pP/PnP2r2/5p1P/5P1K/1B2R3 b - -,f4f6
8/6k1/1p1p1b2/p2P1b2/P2p2P1/1P3N2/3B1K2/2r5 w - -,d2c1
2r3k1/2r2p1p/1q1p1Qp1/1b1Pn3/4PN2/2p4P/P1B3P1/2R1R2K b - -,b5c4
4nbk1/p6p/1p1qp1pP/3b1p2/5P2/1P2N1P1/PB2Q2K/4R3 b - -,d5e4
1qr2r2/1p1bppbk/p2p1np1/7p/2PBP3/1PN2P2/P2QB1PP/2R1R2K b - -,b7b5
r1b1kb1r/pp1pnppp/4p3/q7/3QP3/P1P5/1P1N1PPP/R1B1KB1R b KQkq -,e7c6
rnbqkb1r/pppp2pp/4pn2/5p2/2PP4/1P3N2/P3PPPP/RNBQKB1R b KQkq -,f8e7
r3k2r/p4pp1/b1nb1q1p/1pp1pP2/3pP2N/1P1P2P1/P1P1Q1BP/RN2K2R b KQkq -,a8b8
6k1/p4pp1/1p6/4r1p1/1P1p2B1/P5P1/5K1P/5N2 w - -,g4d1
1qr1k3/1b3pr1/pp2pp2/2b5/2PN1PB1/P3P3/1BQ2KPP/2R3R1 b - -,g7g4
r2q1rk1/pp2pp1p/6p1/1BNpbb2/3P4/8/PPP2PPP/R2Q1RK1 b - -,d8b6
3qr1k1/ppr2ppp/2p2n2/3p1b2/2PP4/PQ2P1P1/3N1PBP/R3R1K1 b - -,d5c4
r4rk1/1bq1bppp/p2p1n2/1p1Pp3/2n1P3/5N1P/PPB2PP1/R1BQRNK1 b - -,f8c8
r1q1r1k1/pbpn1pbp/1p1p1np1/4p3/2PP4/2N1PN1P/PPQ1BPPB/R2R2K1 b - -,e5d4
rn3rk1/ppp2ppp/3b4/3p4/3Pq3/2P2B1P/PP3PP1/R1BQ1RK1 b - -,e4f5
8/1k6/2R5/p1p1Np1p/2P2P2/6n1/PPK5/7r w - -,c6c5
1r6/2p5/4p3/2K1Bp1k/3P2p1/6P1/8/8 b - -,b8d8
8/4pp2/1P3kp1/8/r7/2K5/2P3BP/N7 b - -,a4a1
7r/1kb1q1p1/2p1pn1p/1p2p3/P3P2Q/2P1BP2/1r4PP/RN3RK1 b - -,h8a8
2b1kb1r/1p3p2/2r1p1p1/qn1pP3/1n1P1PP1/pP4K1/P2BN3/RB1QNR2 b k -,a5b6
1rb1r1k1/2q2pbp/pn1p2p1/2pP2Bn/8/2N2NPP/1P2PPBK/R2Q1R2 w - -,e2e4
8/p2r1p1p/4n3/1p6/3k2N1/6P1/5PK1/R7 b - -,d7b7
2b3k1/bp2qppp/2pp3r/p1P1r3/5N2/1P2PBP1/P2Q1P1P/2RR2K1 b - -,e5c5
rnb2qk1/1p3p1p/4p1p1/1N6/8/3B4/PbP1Q1PP/3R1RK1 b - -,b2g7
r1bqk2r/ppp1npb1/3p1np1/3Pp2p/2P1P1P1/2N1B3/PP2BP1P/R2QK1NR w KQkq h6,g4g5
8/R2nppk1/5n1p/2pPN1p1/5B2/2P2PPK/1r5P/8 w - -,e5d7
rnbqkb1r/pp2pppp/2p2B2/3p4/3P4/2N5/PPP1PPPP/R2QKBNR b KQkq -,e7f6
r6r/p3kppp/2p1bn2/8/4N3/6P1/PP1RPP2/4KB1R w K -,e4f6
r1b1kB1r/3p1ppp/pq2pn2/8/1p2P3/5P2/PPPQ1P1P/1NKR1B1R b kq -,e8f8
4r1k1/3N1p1p/n3p1p1/p3P1Q1/P6P/8/2q2PP1/3R2K1 w - -,d7f6
