8/8/1pk5/8/8/3K4/2r5/1R6 b - -,c2c5
7k/1q3r1p/2p2Pb1/8/1P4Q1/2B5/5PPP/R5K1 b - -,b7b8
3N4/1p1n4/3p1k2/3Pp2p/p1P5/4K3/P7/8 b - -,d7c5
r1b2rk1/pp1nppbp/2np2p1/3N4/3NP3/4BP2/PPPq2PP/1K1R1B1R w - -,d1d2
r4rk1/q2n1p2/2p3N1/1pb1p1Np/p3P1n1/P7/BPP1QP2/R1B2RK1 b - -,g8g7
8/p3q1k1/Pp3Rp1/2n4p/5Q2/7P/6P1/6K1 w - -,f6d6
r2qk2r/1bpp1ppp/p1nb1n2/1p2p3/4P3/PB1P1N2/1PP2PPP/RNBQ1RK1 b kq -,e8g8
3R4/2p3p1/2k1p1n1/2p1P3/5PP1/1P2r1B1/6K1/8 b - -,e3b3
r5k1/1pp1q1bp/p1n1p1p1/4p2n/P3P3/2NQBP1P/1PP2P2/R2R2K1 b - -,a8f8
8/3b1pkp/p5P1/2R5/1r2P3/1P4P1/P4R1P/3r1BK1 b - -,h7g6
4rr1k/p2q1p1p/4pP2/Pp5Q/1PpPpb1B/2P3PP/8/4RNK1 b - -,f8g8
6k1/2p2rp1/p1np3p/2p2r2/2P1RP2/1PB3P1/P6P/4R1K1 w - -,e1e2
8/8/1b6/3bk1p1/8/3BPP2/4NK2/8 b - -,d5c6
r1b3k1/pp4pp/4pr2/3pRpn1/3P4/1NPB1P2/PP4PP/2R3K1 w - -,c3c4
r2r2k1/pp2n1p1/4bp2/2P1p3/8/2Pp4/PP1BNPPP/R3K2R w KQ -,e2g3
r1bqkb1r/pp3ppp/2pp1n2/4p3/2B1P3/2NP2Q1/PPP2PPP/R1B1K2R b KQkq -,d8b6
2rqr3/1p2bkpn/p2p1p2/4pPp1/2b1P2P/2NBB1Q1/PPP4R/6RK b - -,e8h8
3r2k1/p1R4p/8/1pN2p2/8/bP5P/2P2P2/6K1 b - -,a7a5
q4rk1/2r3p1/2b1p3/p1b1pp2/1pP1P3/1P2N1Pp/P1Q2P1P/3RR1KB b - -,c5d4
r4rk1/1b2qppp/1pp1p3/p3P3/PnBP4/4P3/NP4PP/R2Q1RK1 w - -,a2b4
4rr2/p2bp3/1p1p2kp/3B4/P1PR1p2/1P4P1/5P1P/4R1K1 b - -,f4g3
2rq2k1/p3np2/R2p1r1p/2p2Pp1/2P3P1/2RN1Q1P/P4P2/6K1 b - -,d8c7
5rk1/1pp1r1bp/p1np2p1/5q2/2P2P2/1P2B1N1/P2Q2PP/4RRK1 b - -,f5a5
r2r2k1/pp2bppp/3qpnb1/4N1B1/3P2P1/1Qn4P/PP2BP2/2RR2K1 w - -,b2c3
r1b1k1nr/pp1pqpp1/2p5/2b4p/2BpP3/2PP1Q2/PP3PPP/RNB2RK1 b kq -,d7d6
4R3/5p1k/5pn1/1ppB4/3b1P2/1P4KP/8/8 b - -,h7g7
r2q1rk1/1p3ppp/p2Pp3/2Pp4/1P1NnP2/P2Q2P1/6KP/2R1R3 b - -,d8d7
1r4k1/1r1nppb1/q2p2pp/3Pn3/2p1P3/1PN1B2P/P1Q1NPP1/1R1R2K1 w - -,e3d4
r1bqkb1r/3p1p1p/p1p3p1/4P2n/P3P3/2N5/1PP3PP/R1BQKB1R w KQkq -,c1e3
2Q5/2p2qk1/r1Np1n1p/3Pp2P/2P1Pp2/P1N2Pr1/8/4K2R w K -,c8a6
2bn4/1p6/3kpr1p/n2pNp2/P2P1N2/4R1P1/2r2P1P/1R3BK1 w - -,f1d3
8/7R/2p1k3/K7/PP6/1r5p/8/8 w - -,h7h5
1rr1k3/4nppp/8/7R/p4P2/4P2P/P4P2/3R2K1 b - -,f7f5
r3r1k1/ppq2ppp/2n2n2/4pb2/8/P2PB1P1/1P2NPBP/R2Q1RK1 w - -,d3d4
8/2r1k3/1pBp1p1p/pP2p1pP/1r4P1/R4P1K/8/8 b - -,e7e6
r5k1/1bpq1rb1/1p2p2p/1p1pP3/1P1P1pQN/3B3P/PP3PP1/R3R1K1 b - -,d7e7
r1bq1rk1/1p1n1pbp/2pp1np1/p5B1/2PNP3/2N5/PP1QBPPP/R4RK1 w - a6,a1d1
r3r1k1/1pqn1pp1/2p1pbbp/p1Pp4/3P4/PPQ1P2P/1B1NBPP1/R3R1K1 w - -,e2d3
2r5/pb3kpp/5n2/Ppb5/8/2P1B3/1P3PPP/3RR1K1 b - -,b7d5
6k1/q1N2npp/1pb1p3/5P2/1P2p3/6P1/7P/B2Q2K1 w - -,c7e6
r2q1rk1/pp3pp1/2n2n1p/4pb2/2Pp4/PP4P1/4PPBP/RNBQ1RK1 w - -,b1d2
1rbr2k1/p4p1p/1p2p1p1/2p5/2PnN3/1P3B2/P4PPP/3R1R1K w - -,g2g4
7k/2p5/3pp2p/P2b4/Nr1P1P1P/K1Q3P1/3R4/1q6 w - -,a4b2
4r3/2pr1pk1/1p1p2bp/pPnN2p1/P3P3/2P2PP1/2B3P1/3RR1K1 w - -,g1f2
8/2k4p/4p3/2K1Pp2/2P4P/8/8/8 b - -,h7h5
r3kb1r/ppB1p1pp/2p2p2/3q1b2/3P4/8/PPPQBP1P/2KR3R w kq -,d2b4
8/1k6/8/3RK3/1r3p2/6nP/2R5/8 w - -,d5d4
2br2k1/p1q1rpp1/1p1b1n2/2ppN2p/3P1P2/P1P3NP/1P1B1QP1/2R1R1K1 w - -,g1h1
2rq1r1k/p3bpp1/2b1p2p/4P2P/2P2BQ1/2np2P1/P2N1P2/R3RBK1 b - -,d8d4
r4bk1/1p1rqpnp/p1p1p1p1/4B3/P1PP1QP1/1P3N1P/5P2/R4RK1 b - -,g7e8
8/r4pp1/pk6/1pp3Pp/4PKbP/3P4/R1P5/R7 w - -,a1f1
6k1/1p5p/2p5/2B2N1n/5n2/5P1P/P5r1/3R3K b - -,g2g5
7k/8/3b3p/3n2p1/1p4P1/1P1N3P/6K1/8 w - -,g2f3
r4rk1/1bp1bppp/p7/1p1qN3/Pn6/1N1P3P/1PP2PP1/R1BQR1K1 w - -,f2f3
6k1/6p1/7p/1p2K2P/p1bP2P1/P4B2/1P6/8 b - -,g8f8
r2qkb1r/pp1n1pp1/2p1pn1p/8/3P3P/3Q1NN1/PPP2PP1/R1B2RK1 w kq -,f1e1
8/8/p7/1p1b4/6p1/P5B1/1P3k1K/8 b - -,f2f3
r1bq1rk1/1pp1bppp/p1n2n2/8/2BP4/P1N5/1P2NPPP/R1BQ1RK1 b - -,e7d6
5bk1/1b1n1p1p/p2q1np1/1p1Pp1B1/4P2P/1P1B1PN1/5NPK/2Q5 b - -,d7c5
8/5Qkp/5qp1/8/2B1nP2/P3P3/5R1P/4K3 b - -,f6f7
r2q1rk1/pp3ppp/4pb2/3bN2Q/3P1B2/7R/PP3PPP/2R3K1 b - -,d5e4
r1bqkb1r/pp2pppp/2np1n2/2p5/4P3/2P2N2/PPBP1PPP/RNBQK2R b KQkq -,g7g6:c8g4
r1bq1rk1/pp2npbp/6p1/2p5/3nPB2/2N2NP1/PP3PBP/R2Q1RK1 w - -,f3d4
q1r2rk1/1b1nbppp/pp1ppn2/8/1PPN4/PQ2PN2/1B2BPPP/2R2RK1 b - -,f8e8
r2qr1k1/1ppb1pp1/1p1p1n1p/4n3/4PB2/1NPB1P2/PP4PP/R2Q1RK1 w - -,f4e5
6k1/6pp/5p2/8/1p2P1P1/1bp1RP2/7P/rNK5 w - -,h2h4
k1r5/pb6/1p1R1P2/2p4P/8/2PB4/P1P3q1/1K6 b - -,g2h1
5rk1/2pqb1p1/p1nppr1p/1p6/4P3/P1NPB2P/1PP2PP1/2RQ1R1K b - -,d6d5
5r1r/1bq1b1k1/3p2p1/p1n1p3/PpP1P1n1/1P2B1N1/2Q2PB1/2R1RNK1 b - -,c5e6
r2q1r1k/1ppb1pbp/p1np1np1/4p3/3PP3/2PB1N1P/PPN2PP1/R1BQR1K1 w - -,c1g5
7r/pp2qk2/2p1b1pr/3pPpR1/Q2P1P2/4P3/PP4B1/2R3K1 b - -,a7a6
2rq1r2/pb2ppkp/1p4p1/3p4/1PP1n3/1Q2PN2/P3BPPP/2R2RK1 b - -,e7e6
3rr1k1/5p1p/3Pq1p1/1Q6/8/7P/5PP1/2RR2K1 b - -,d8d7
1q1rr1kb/3n1p1p/1p1n2pP/p1pNp3/P3P3/1P3QPB/1B3P2/3RR1K1 b - -,f7f6
8/1p4pp/1b2k3/3npp2/p7/5PP1/PP1BK2P/2N5 b - -,b6g1
3q4/1p1r1bkn/p5p1/P2Np2p/1P1nP2P/3B2P1/6Q1/2N2RK1 b - -,f7d5
4r1k1/1p1R3p/6b1/p7/6pQ/5P2/PP2q2P/3R2K1 b - -,g4f3
2rr1bk1/2qn1ppp/pp1ppn2/4P3/2P2P2/2NB1b2/PP1BQ1PP/4RR1K w - -,f1f3
8/4p3/r2p1k2/2p2p1p/pnRP1P2/6PP/PP1K2R1/8 b - -,a4a3
2r1r1k1/1q3pbp/p2p1np1/3P4/1pbBP3/n2B1P2/P2QNNPP/2R2RK1 b - -,c4d3
8/3n1k2/5p2/5b1Q/8/5P1p/5K1P/8 b - -,f7e6
8/8/4k2n/8/3R2PP/r7/p5K1/B7 b - -,a3b3
r2qkb1r/3nn3/p3pp2/1p1p3p/3P1B1P/2NQ1N2/PP3PP1/R4RK1 b kq -,e8f7
r3k2r/p2qbp2/1pn1p3/3pPp1p/3P1P2/PP3NP1/4RK1P/R1BQ4 b kq -,e8f8
1r1q1rk1/1p1n1pbp/p2p1np1/2pP4/P3PP2/2N2B1P/1P4P1/R1BQ1RK1 w - -,a4a5
2r3k1/1R1rpp1p/2n3p1/p7/7N/2b5/P3BPPP/6K1 w - -,b7d7
3r4/1p2kp1Q/p1b1pp2/q7/Pb6/1P1B2N1/2P2PPP/3R2K1 b - -,a5d5
8/6b1/7p/6p1/6N1/3K1PkP/8/8 b - -,g3f3
3q3r/p4pk1/1b2p3/3pPn1p/5Q2/B4N2/5PPP/R1r3K1 w - -,a1c1
3B2k1/5p2/2q3pp/2bpp3/P1n5/1Q4PP/4PPK1/2R5 w - -,b3b5
4r1k1/r2n2bp/3Pp1p1/q1p3BP/p1P1B3/1p2Q3/P4PP1/1R1R2K1 w - -,a2b3
2r2rk1/1p3pbp/p1nppnp1/q7/2PBP3/1PN4P/P2QBPP1/2R2RK1 w - -,d4e3
8/5pk1/1pn1p3/1P1pP2p/q3b1pP/2Q1P1P1/4BP2/B3K3 b - -,c6b4
3rrqk1/pppb1pbp/2np2p1/8/2P1PP2/1P3BP1/PB1Q1N1P/3R1RK1 b - -,g7b2
2r5/5pbp/1k6/N4p2/1Pp5/6P1/1P1r1PBP/2R3K1 b - -,b6b5
8/6pp/3k4/1ppn4/p7/3P2P1/P4P1P/2R2K2 w - -,a2a3
2R5/p2rkp2/1p2p1p1/3r3p/PKR4P/3P2P1/4PP2/8 b - -,d5e5
6k1/pp3pp1/2p3r1/3p4/PPnBrPq1/3QP3/4R1P1/5KR1 b - -,g6e6
2Q1r2k/4P1pp/p7/3N4/2p5/1P5P/P5P1/7K b - -,e8c8
r1bqk2r/1p2ppbp/p1p2np1/8/3P4/4B1P1/PPPQNPBP/R3K2R b KQkq -,c8e6
8/6p1/1p4k1/3pR1Pn/3P4/2PN4/1P4K1/1r6 b - -,b1d1
1q3rk1/p4p1p/1p2R1pQ/5r2/3B4/2P5/P1P3PP/R5K1 b - -,f7f6
6k1/3r1p2/p7/4p1q1/2P1P3/5nR1/5PP1/4RBK1 w - -,g2f3
3rr1k1/1p3ppp/p7/2PBq3/Q2p4/7P/PP4P1/2RR3K b - -,e5d5
3r3r/2R1bk2/p7/1b1p3p/1p1P2pP/1P4B1/P4PP1/4R1K1 w - -,e1e7
2k5/1rp2ppp/p2R4/P3rb2/1P6/2N5/5PPP/2R3K1 w - -,c3d5
5r1k/6p1/p6p/1p1Q4/5PK1/1Pq3P1/P3R2P/8 b - -,c3f6
8/p5pk/1p2b2p/4P3/3B1q2/P4P1P/1Q4P1/6K1 b - -,f4g5
r6r/p2kbppp/2p1p3/3n4/2R5/1N4P1/PP2PP1P/R1B3K1 b - -,h8b8
8/pR2pk2/8/P2p1b2/3P2rp/4P3/1P4P1/4BK2 b - -,a7a6
r3r1k1/5ppp/p1pq1n2/3p1b2/N7/4P3/PP2BPPP/2RQ1RK1 w - -,e2f3
r1bqrnk1/1p3ppp/2p1p3/3pN1PP/1pPP4/1P1BP3/P1Q2P2/R3K1R1 b Q -,f7f5
8/5K2/r7/3k4/3n4/8/8/4R3 b - -,d4f3
1k6/1b1n1p2/pPq1p3/4P3/2PQ1prN/5N2/1R5P/7K w - -,b2g2
rn2kb1r/pp2pppp/2pq1n2/7b/3P4/2NB1P2/PPP1N1PP/R1BQK2R w KQkq -,c1f4
rnbqk2r/pp2bppp/4n3/2p1p3/8/2NPB1P1/PP2PPBP/2RQK1NR w Kkq -,c3d5
3R4/1pr2ppk/2p1pn1p/8/Pp2bPP1/1P6/5BBP/6K1 w - -,g4g5
3r4/pp2bp2/2p2pk1/5Rp1/1P1B2P1/8/1PP2P1P/6K1 w - -,c2c3
6k1/1p4pp/8/p1p5/2P3bP/1KP1r3/P4r2/2R2BR1 b - -,g4f3
r1r1b2q/1Q3p1k/3pp1p1/1P5p/n1PbP3/4BP2/3RB1PP/1R1N3K b - -,d4e3
7b/3b1k2/1q1p2p1/3P1pP1/2P5/1P1R1Q2/r1BK2N1/8 b - -,b6b4
2r3k1/1pr1qp1p/p3p1p1/P2p4/8/nR4P1/1R2NP1P/3Q2K1 b - -,a3b5
2rq1rk1/1p1bppbp/p2p1np1/8/4P3/1PN1B2P/1PPQBPP1/3R1RK1 b - -,d7c6
