8/4b1p1/5k1p/3Q4/P7/2q3P1/5PKP/8 b - -,c3c5
8/1R3bkp/6p1/8/3r1p1P/1p3B2/5PPK/8 w - -,h4h5
3r2k1/1p1q1p2/2p3pp/p3P3/1b1r1PP1/5Q2/5B1P/2R1R1K1 w - -,f2d4
2r2rk1/2q1bppp/p3b3/1p2p3/4N3/P2R1P2/1PPQN1PP/2KR4 w - -,d3c3
2r5/4qpk1/p2R1np1/N1P1pb2/1P2p2p/P3PP1P/3Q2P1/3B2K1 b - -,f6e8
r5k1/p1rn1p1p/1pp1q1p1/3N4/3p4/1P1QP3/P1RN1PPP/2R3K1 b - -,f7f5
8/4bpk1/2R4p/5Pp1/n1B3P1/5K1P/8/8 w - -,f3e4
1R6/7p/2k1p3/1p2P2P/1p3K2/1Ppr4/P7/8 w - -,f4e4
r2qr1k1/pp2b1pp/2pppn2/2Pn2B1/8/2N1P3/PPQ1BPPP/R2R2K1 w - -,c2b3
2r1r1k1/p2b3p/1pp1q1p1/3nNp2/P2Pp3/BP2P1P1/3Q1PP1/R1R3K1 w - -,e5c4
5k2/1p3p2/p2pp1r1/4b1qp/2R4P/3Q2N1/PP3PP1/6K1 b - h3,g5h6
2nr4/1r1q1pkp/1pn3p1/pQ1p4/P2P4/B1P2NPP/5PK1/1R2R3 w - -,e1e3
8/k6r/2PK4/8/8/8/4R3/8 b - -,h7h6
1rb1r1k1/2q2pb1/pN1p1npp/PppP4/4P1P1/1QN4P/1P3PB1/4RRK1 b - -,c7e7
2rr2k1/ppq2ppp/2n2n2/4p3/4P3/1NQ1NPPb/PP2B2P/2R1K2R b K -,c7b8
2r5/1p2p1kp/pr1pbpp1/8/P1qNPP2/1n3B2/2Q3PP/1R1R3K w - -,c2f2
r1bqkbnr/pp3ppp/2n5/3p4/3p4/3B1N2/PPP2PPP/RNBQ1RK1 w kq -,f1e1
r3k2r/1b1p1ppp/3b1q2/2p5/1B6/4PN2/PP3PPP/R2QKB1R b KQkq -,c5b4
3R4/7k/1p2nP1p/p3K2B/2P5/8/1P6/8 b - -,e6d8
rnbqk1nr/pp2ppbp/2p3p1/3pP3/3P4/2N5/PPP2PPP/R1BQKBNR w KQkq -,g1f3:c1f4:f2f4
4r3/pp4k1/2p2pqp/2Pb1Qp1/1P1Pp2P/P3R1PB/5P1K/8 b - -,g6f7
rn1q1rk1/1b2bppp/p3pn2/1p6/3P4/1BN2N2/PP2QPPP/R1B1R1K1 b - -,b8c6
5rk1/1pr2pp1/1B2b2p/p7/P7/7P/2P2PP1/R2R2K1 b - -,c7c4
3r2k1/p1r4p/5Q2/2pq1bp1/8/1P1p2N1/PB3PPP/2R3K1 w - -,g3f5
k4r1r/pp2n3/2n1bp1p/3pp2P/q1pP4/P1P1N3/2P1BPPB/RQ1R2K1 w - -,e2f3
4r1k1/pp2qpp1/4bn1p/3r4/3p4/1NR1PP2/PPB2Q1P/5R1K w - -,b3d4
8/4kp2/p1p1p3/2P2p2/P7/1P1R1P2/5P1r/5K2 w - -,d3d6
2R4k/pb5p/1n4p1/3p1p2/3N4/6P1/P3PPBP/6K1 b - -,b6c8
r4r2/p2bq2k/1p1p1npp/1PpP1p1n/2P1pP1P/2Q1P1P1/PB4B1/3R1RKN w - -,a2a4
rnbqk2r/pp2p1bp/2pp1np1/5p2/2PP4/2N2NP1/PP2PPBP/R1BQK2R w KQkq -,e1g1
rn3rk1/1p3ppp/p3pq2/8/1b6/3Q2N1/PPP2PPP/R1B2K1R w - -,c2c3
r6r/5pk1/1q2p3/p1n1Pp1p/1pPp1P1P/1P1P1QP1/R4N1K/1R6 b - -,g7g6
4rb2/2R5/p4pp1/1p3k1p/5P2/PP6/5KPP/2B5 w - -,b3b4
4r1k1/1b1n1p2/2p1q1p1/pp2b2p/4P3/P1N1BPP1/1P3Q1P/3R1BK1 b - -,b7c8
r1b3k1/pp2b1pp/2n2p2/3Bpq2/8/PN2B1R1/1PP3PP/3R1Q1K b - -,g8h8
5qk1/1p4pp/p3p3/3b3Q/P2N3P/4P1P1/5P2/6K1 b - -,h7h6
3rb3/r3kp1p/n1p3p1/pp2P3/5P2/PP1NK1P1/1R4BP/2R5 b - -,a7d7
r2q1rk1/pb1pppbp/1pn2np1/2p3B1/3P4/2PBPN2/PP1NQPPP/R4RK1 b - -,d7d6
4k3/3n2p1/5PP1/3K4/8/4N3/8/8 w - -,f6g7
r2r2k1/1pq2pp1/2p1nb1p/p3p3/P1Q1P3/2B2NP1/1PP2PKP/1R1R4 b - -,a8c8
1r4k1/pr3pb1/6p1/2pp3p/2N2P2/2PP2P1/P1R3KP/3R4 w - -,c4e5
4k2r/1p1nbppp/pq2p1b1/N2pPn2/Q2P4/5N2/PP1BBPPP/2r2RK1 w k -,f1c1
8/5b2/2p5/5k1p/p1pP3P/2P1KPP1/2N5/8 b - -,f7e6
3r1rk1/1bq2ppp/p1p2b2/1p6/3B4/P1N2B2/1PP3PP/R2Q1R1K w - -,c3d5
2nNr3/p1P5/5k2/7p/1BP1n1p1/3bP1P1/P5BP/2K5 b - -,d3c4
r2q1rk1/1p1nppbp/2pp2p1/p1nP4/2P1P3/1PN1BP2/P2QB1PP/1R3RK1 b - -,f7f5
R7/6k1/8/p5p1/2n2p2/1N4rP/P5K1/8 w - -,g2h2
4r3/pp3kpp/3P4/4qp2/8/2Q3P1/PP3P1P/R5K1 w - -,c3c7
5nk1/5pp1/p3p2p/1p1nP3/4Q1N1/PB3P1P/1P1q2PK/8 w - -,b3d5
2R5/4k1p1/5p2/p3p1p1/Pp1bp3/1P6/5PK1/8 b - -,f6f5
8/p1r2Bbk/R5np/P1p1p1p1/P1Q1P3/4N1Pq/5P2/6K1 b - -,g6f4
4r2k/1p1n1p1p/p2p1Ppq/2pNr3/P1P1P1R1/8/1PP2Q1P/6RK w - -,g1e1
8/8/5Rp1/P1p5/4p3/4k3/r6P/6K1 w - -,a5a6
8/8/p1p1k3/3p3p/rP1Bb3/2P4P/5R1K/8 w - -,f2f6
1r6/1P6/5k1p/1R4p1/5p2/3K4/8/8 w - -,d3e4
r3kb1r/ppqbpppp/1n1p1n2/3P4/2PN4/2NB4/PP3PPP/R1BQK2R w KQkq -,d1e2
2r1r1k1/4bppp/3p4/pqnPp3/2p1P3/2P3PP/P1B1QPK1/R1B1R3 w - -,c1e3
8/1K6/6r1/P6p/7k/R6P/8/8 b - -,g6g7
r2rn1k1/1b1nqpbp/2pp2p1/1p2p3/3PP3/2PBBNNP/1P1Q1PP1/3RR1K1 w - -,b2b4
r4rk1/pp4bp/1qp3p1/2n3B1/2p2Q2/2N4P/PP4P1/3R1R1K w - -,f4c4
6k1/2B1r1p1/p1Q1Pq1p/P1p5/3b4/7P/2P1R1PK/8 w - -,c6a8
r1b1k2r/1p1n1ppp/p2qpn2/2b5/2P5/1N1B1N2/PP3PPP/R1BQ1RK1 b kq -,c5a7
1k1r3r/pp3pp1/3qpnp1/2n5/3p4/R5N1/PPPQ1PPP/1K3B1R b - -,c5e4
2kr2r1/p2qnpp1/1pb1p2p/n2pP2P/P1pP2BN/B1P2Q2/2P2PP1/R4RK1 b - -,d8f8
r4rk1/p1p2pp1/bb1p3p/3Bp2Q/8/1N5R/q4PPP/2B2RK1 w - -,c1h6
7r/2r1kpp1/1p2p2p/8/3b1QN1/P7/1P6/K7 b - -,c7d7
3rk2r/pp1nppbp/1q3n2/2ppNpB1/Q2P1P2/1NP1P3/PP4PP/2R1K2R b Kk -,f6e4
1r4k1/N3bp1p/5p2/4p3/3r4/1b1P1BP1/1P2PP1P/R4RK1 b - -,b3a4
2kr3r/1pqb1p2/p3p3/3pPn1P/P1n2P2/2N4R/2P3P1/1RBQKB2 b - -,d8g8
5qk1/6p1/2Q4p/1pP4P/2n2N2/p1P3P1/5P2/6K1 w - -,c6b5
1rb1r1k1/5p1p/1q6/1pbQPnp1/4p3/1P2P1P1/RB3PNP/2R2BK1 b - -,c5e7
8/2k2p2/4bP2/rp2N1P1/4K3/8/2R5/8 b - -,c7b7
8/8/3pP2k/3Pr3/6RP/8/5K2/8 b - -,e5d5
2r5/1q2r1kp/1nR3p1/pN2bp2/P7/1B3QP1/1P3P1P/2R3K1 b - -,c8c6
8/1b3pk1/1b5N/3p4/8/3B3P/4K1P1/8 w - -,h6f5
r2qr1k1/pb3pbp/2p3p1/2Bnp3/8/2N5/PPPQBPPP/R2R2K1 w - -,c3e4
r3r1k1/1pq2ppp/2p1nnb1/p1b1p3/4P1P1/2P2QNP/PPB2PN1/R1B1R1K1 b - -,h7h6
r2q1rk1/p2b1pb1/1p2pnpp/8/nPBNN3/2P2Q2/P2B1PPP/R3R1K1 b - -,f6e4
6k1/rp2pp1p/1n1p2p1/2pP4/2P1P3/r1b2NP1/2R2PKP/2R5 w - -,c2c3
r3k2r/1b1nbppp/pq2p3/3pP3/Pp2nP2/3B1N2/NPPBQ1PP/R4R1K w kq -,a4a5
4rrk1/pp1q2bp/6p1/2pPppN1/2PB4/3P4/1P4PP/3QRRK1 b - -,c5d4
8/8/4kr1R/3pp3/8/4K3/7P/8 w - -,h6h4
r1bqkb1r/pp4pp/n1p2n2/3p1p2/3P4/P2Q1N1P/1PP1PP2/RNB1KBR1 b Qkq -,c8d7
7r/5pp1/1k2b3/1p1nP2P/p1pP2P1/P1P2B2/3B1K2/1R6 w - -,f2g3
1r4rk/3q3p/1p6/p1pnppNp/2Nn4/PP1P1PP1/3QPK2/1R5R b - -,d7e7
