6R1/5p2/7k/p4p2/b7/4KPR1/1pr4P/8 b - -,f5f4:h6h7
8/8/1pr3kp/5Nb1/6P1/1R5K/8/8 b - -,g6f6
r3k2r/pp3pp1/2pbbq1p/3p4/5P2/2PBB3/PPPQ2PP/R4RK1 b kq f3,e8g8
6k1/4bp1p/pqr3p1/3p1p2/Pp1P4/1Q2P1P1/1P1N1P1P/R5K1 b - -,b6c7
8/2p2b2/6p1/1kp5/5BP1/P1b1KP2/3N4/8 b - -,c7c6
3r4/4bkpp/p4p2/R3p3/p3P1P1/3P1P2/1P5P/1KB5 w - -,b1c2
6r1/8/3k4/2pb1p1p/pp1p3P/P4P1N/1PP1K1P1/6R1 w - -,h3f4
3q1rk1/2n2pbp/pn1p2p1/2pPPb2/1rB1NP2/1P1Q1N1P/6P1/R1B1R1K1 b - -,d6e5
4rbk1/1p5p/2n1p1p1/p1P3B1/2Nr1p2/PP4P1/5P1P/2R1R1K1 b - -,f4g3
r3k2r/pppbqpp1/1n1bpn1p/4N3/8/1B1P1N2/PPP1QPPP/R1B1K2R b KQkq -,d7a4
rr4k1/5n1p/2ppbbp1/p1p1p3/1q2P2P/1P2BNN1/P1QR1PP1/2R3K1 w - a6,d2d6
r1q2rk1/p1p2ppp/1p2b3/8/8/1NP2Q2/PP3PP1/R3R1K1 w - -,b3d4
4k3/p3r2p/6p1/2Q5/6P1/P4K2/7P/8 w - -,h2h4
r2qk2r/1p1bnpbp/p1Bpp1p1/2p5/4PP2/2NP1N2/PPP3PP/R1B1QR1K b kq -,d7c6
q5k1/2pp1rpp/1pb1n3/3NP3/1P2pP2/1B4P1/7P/B2Q2K1 w - -,f4f5
6k1/3rbp1p/2q1p1p1/R3P3/2p5/2B3P1/2P1QP1P/6K1 w - -,h2h4
r1bqk2r/pp1nbppp/2pp1n2/4p3/3PP3/2NB1N2/PPP2PPP/R1BQ1RK1 w kq -,c3e2
8/7b/r1K4P/5k2/3B4/8/8/4R3 w - -,d4b6
1r1r2k1/6pp/2nq1p2/pp1pp3/1P1Pn1b1/P1PN1N2/2Q1BPPP/R2R2K1 w - -,d3c5
rnbqkbnr/p1pp1ppp/1p2p3/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq -,c8b7
3R2k1/5pp1/p1p1r3/1p4p1/1P2P3/2PKP1P1/1P5r/5R2 b - -,g8h7
5r1k/7p/p5pb/R7/3N2p1/2NpP2P/5P2/6K1 w - -,h3g4
8/6k1/6p1/1p5p/1P2Kb1P/5PP1/8/8 w - -,e4f4
6k1/3q1pbp/1pnPr1p1/2pQ4/2P1NP2/1P2B1PP/6BK/8 w - -,e3c5
1rb1r1k1/3nqpbp/p2p1np1/1pp5/2P2B2/1PN2NPP/P1Q1PPB1/1R1R2K1 b - -,b8b6
r1b1kb1r/pp1n1ppp/2p5/q2p2B1/3Pn3/2NBPN2/PP3PPP/R2Q1RK1 b kq -,e4g5
1r1r2k1/1b1nbp1p/pq2p1P1/1p6/2pPN1P1/2P5/PP2Q1BP/R3BRK1 b - -,h7g6
2r5/2r2pk1/p3p1p1/4P2p/q1BQ1P2/2R3P1/P6P/2R3K1 w - -,f4f5
3k4/8/3B1npp/2P5/B2ppP2/8/4K2P/8 w - -,a4c6
r2qr1k1/pp3p1p/2p2np1/3n4/P2PP3/1QP5/B5PP/R1B2RK1 b - -,f6e4
3r4/5p1k/6p1/4Rb1q/8/P7/1Q5N/7K w - -,e5e1
4k3/1b4b1/pn4p1/4p3/3pP3/2r3QB/P2R4/3K2B1 b - -,c3g3
2r3k1/5p1p/5Bp1/2pR4/8/1n5P/5PP1/6K1 w - -,g1f1
r1bq1rk1/p1pn1pb1/1p1p1npp/4p3/3PP3/2PB1N1P/PP3PP1/R1BQRNK1 b - -,c8b7
5b2/p5pp/4rk2/2pR4/2N1p3/2P4P/1P3PP1/5K2 b - -,g7g6
3r2k1/p3qpp1/1r1pbn1p/Q3p3/1P2n3/P2RP2P/1B1NBPP1/2R3K1 w - -,d2f1
5r2/8/8/8/P1k1N3/8/KPP5/8 b - -,f8f4
r2q1rk1/4pp2/3pb2p/1p4p1/3bP3/P1NQ2P1/1P3PP1/R3R1K1 w - -,d3d4
5r2/1p1bqpk1/1p1b2pp/8/P2N4/1B2PQ1P/1P4P1/5RK1 w - -,f3d5
r1b1rbk1/1pp2p2/2P2npp/pP6/P3PPqN/B7/2Q3BP/R4RK1 w - -,a3f8
