8/5pk1/3R4/6K1/4B2P/8/8/6r1 w - -,g5f4
r4r1k/1b1pb1pp/8/1qP1P3/pp1QNPp1/8/PP1B2BP/R6K b - -,a8c8
r7/r7/PR4k1/4Pbp1/8/R6P/8/6K1 b - -,g6h5
2rr2k1/1pbn2p1/p1pBppbp/2PpP3/1P1P1P2/1N5P/1P2B1P1/R1R3K1 w - -,c1c3
r2qr1k1/pp1n1ppp/2p2n2/7b/Pb1BP3/2NB1N1P/1P2QPP1/R2R2K1 b - -,b4c5
r1bqkb1r/pp3ppp/2n1pn2/2pp4/4P3/2P2N1P/PPBP1PP1/RNBQK2R w KQkq -,e4e5
r5k1/2q2p1n/r2p1n1p/p3pBp1/R1P1P2P/3P1PP1/3B3K/R1Q5 b - -,c7b6
8/8/pBn1p3/3pP3/2pP4/2P2k2/2PK4/8 w - -,b6c5
6k1/pp1n1ppp/2n1p3/3p4/3P4/P3P3/NP1N1PPP/5K2 b - -,g8f8
r1q2rk1/pp2bppp/3n1n2/3p4/3N4/2PN1P2/PP4PP/R1BQ1RK1 b - -,f8e8
5rk1/2r2ppp/2p5/p1P1p3/P3P3/3R1P2/1P1K1P1P/2R5 b - -,h7h6
6k1/2p3pp/5pb1/1N6/P1p3P1/5P2/1r2nBP1/R6K b - -,c4c3
8/6B1/8/8/p1p5/1k6/3K4/8 b - -,a4a3
rn1qkbnr/p4ppp/1pp1p3/3p1b2/2PP4/1Q3NP1/PP1NPP1P/R1B1KB1R b KQkq -,b8d7
2rrbbk1/Qp3pq1/6pp/nP1NN3/8/P7/B4PPP/3RR1K1 b - -,c8c2
r1b2rk1/pp1n1pbp/6p1/3Pp2q/2B5/2B2N1P/PP2QPP1/R3R1K1 b - -,f7f6
rnbq1rk1/pp2bppp/3ppn2/8/3NP1P1/3B4/PPPNQP1P/R1B1K2R b KQ g3,b8c6
5bk1/p3rp2/1p1N2pp/2p1n3/2P5/1P2P1PP/P4PB1/5RK1 b - -,e7d7
r1bq1rk1/4bppp/p1n1pn2/1p1pP3/3P4/5NP1/PP2QPBP/RNBR2K1 b - -,f6d7
8/8/KN3k2/p7/P7/8/8/4b3 w - -,b6c4
r2k1r2/1pp1n3/p2pb3/5pBn/8/2NB2P1/PPP4P/4RRK1 b - -,d8d7
1n1k4/1pr1b1pp/4p3/2NpPp2/3P1P2/1P6/P1N1R1PP/6K1 b - -,e7c5
8/8/5pk1/2P3p1/7P/4r3/6P1/2R3K1 w - -,c5c6
1r1qr1k1/pp3pp1/2pp1n1p/4n2b/3NP3/PP3PP1/2Q1PBBP/2R2RK1 b - -,d8a5
8/8/6p1/5k1p/PR5P/5PP1/2r1K3/8 w - -,e2d3
r1b1nrk1/pp2ppbp/6p1/q1p1n1N1/2P2P1P/2NB4/PP4P1/R1BQK2R w KQ -,f4e5
8/P3k1bp/3p2p1/1P1P1p2/5P2/2r4P/P1N1K1P1/8 w - -,a7a8q
3bk3/7p/6p1/p3K3/6N1/7r/8/3R4 b - -,h7h5
k7/p1p5/1bp1r3/3bPp2/Q2p2pp/P2P4/1PP3PP/1K4R1 w - -,a4b4
1rr3k1/p4p1p/1q2pbp1/1P6/PR2Q3/2pB4/2P2PPP/4R1K1 b - -,c8d8
1qr5/5pk1/5n1p/2Q1b1p1/2Pp1pP1/P2P1P2/4BK1R/8 w - -,c5a5
4n3/1k1b4/1p1p4/p1pPp3/P1P1Pprp/1QN3n1/KP4P1/4R3 w - -,b3c2
2rr1nk1/1p3pp1/pb2p1p1/4P2q/3p3P/2P2PB1/1PB1Q1PK/3RR3 b - -,d4c3
6k1/6p1/2b1p2p/1pP1P3/1P1P3P/N5P1/K4r2/4R3 w - -,a2b1
8/3nbk2/6pp/p1p2p2/1pPP1P2/4B1P1/P1N1K2P/8 w - -,e2d3
r2n3k/3nq2p/r3p3/pp1p1p1B/b1pP1P1P/P1P1RNQ1/R1PB2P1/6K1 w - -,f3e5
4rrk1/2pq1ppp/3p1bb1/1p1B4/1n1pP1P1/1N3N1P/1PP2P2/R2QR1K1 w - -,a1a7
r1r3k1/p4ppp/b4q2/3Pp3/2p2P2/1P1Q2P1/P5BP/R2R2K1 w - -,b3c4
5r1k/p5pp/2p5/4p3/4P3/P1QP2P1/3N3P/2R1K1q1 w - -,e1e2
3rr3/1b3Qpk/p3pb2/2n1N3/1q6/2N1P3/1P3PPP/3R1RK1 w - -,f7h5
r1r3k1/1q2ppbp/p2p1np1/1p1P2B1/P7/1B3Q1P/1PP2PP1/R3R1K1 w - -,e1e2
1r3rk1/4q2p/2nn2p1/1pNp1p2/pP1PpQ1P/P1P3PB/5PK1/RR6 w - -,a1a2
r2r2k1/pp3pp1/1np2q1p/3PP2b/4P3/1QN3P1/PP4BP/R4RK1 b - -,f6e5
2r1nrk1/p2n1pp1/2p2b1p/2Pp1b2/N2P4/BN4P1/P4PBP/2RR2K1 b - -,e8c7
7R/8/3p4/3k4/3p4/4r3/3K4/8 w - -,h8g8
1rb2rk1/ppqn1pbp/3p1np1/1Pp1p3/2P5/B1NP1NP1/P3PPBP/1R1Q1RK1 w - -,b5b6
2rr2k1/4bppp/4p3/2p1P3/1pQ1P3/1P1qB1P1/2R2P1P/2R3K1 b - -,h7h6
8/r3k1p1/8/5p1B/7P/4P1P1/P4P2/6K1 w - -,h5f3
r2r2k1/p3ppb1/1pp1bn1p/6p1/3P4/P1P1PPB1/3NB1PP/1RR3K1 w - -,a3a4
r3rnB1/pp4Q1/2nkbB2/3p4/2p2P2/4q3/P5PP/3R1R1K b - -,e6g8
2kr3r/pbp2ppp/1pn4q/4Bn2/2B2P2/N1P5/PP3QPP/R4RK1 b - -,c6e5
5r1k/4Rp2/2qr3p/p1p5/2p2Q2/2P3P1/7P/4R1K1 b - -,d6f6
r2r1b1k/p2P1bpp/1pq2p2/8/2pR1Q2/2N1PNP1/PP2P2P/3R2K1 b - -,f8c5
5k2/2qn1pp1/1p5p/p7/Pn1p1P1P/1Q1P1BP1/1P1R4/2r2NK1 b - -,d7c5
3rr1k1/1p3pbp/2pP2p1/P1q2p2/2B1bB2/3nNP1P/P2Q2P1/2R1R1K1 b - -,d3c1
r1nq2k1/ppp2p1p/2n2bp1/2Pp4/3Pr3/3BBN1P/PP1Q1PP1/2R2RK1 b - -,e4e8
6k1/2r5/6p1/PR1R1p1p/8/5P2/5PKP/2q5 b - -,c1g5
8/1pr1k1pp/p4p2/6n1/8/P2NP2P/1PR2PP1/3K4 b - -,c7d7
r1n2rk1/ppqnbppp/2p1p3/3pPb2/P2P4/1N2BN2/1PP1BPPP/R2QR1K1 b - -,f8d8
3r2k1/bp1r1pp1/p1p2nnp/4p3/PP2P2P/2P3P1/2B1RP1N/R3B1K1 b - -,g6f8
8/2k5/1R6/2P1p3/2Kp4/7p/6bP/8 w - -,b6e6
r2q1r2/1b2bpk1/ppp4p/3p1Bp1/3PP3/2N3P1/PP3QPP/3R1RK1 b - -,b7c8
6k1/2r1pp1p/3n2p1/8/pRp5/4P1P1/P3K1BP/8 b - -,c4c3
3r2k1/pp3rpp/4n3/b3P3/3p1P2/N3B1KP/PP3P2/R2R4 w - -,e3c1
8/8/4n1k1/p2R2pp/P4p2/1P3R2/4r3/6K1 w - h6,g1f1
rn1q1rk1/pb2bppp/1p1pp3/2pnP3/2PP4/1P3NP1/PB3PBP/RN1Q1RK1 b - c3,d5c7
r3k2r/p1pp1ppp/b1p5/4PB1q/2P4P/PP4P1/2K2Q2/R1B5 b kq h3,f7f6
3bnr2/4q1pk/4P3/p3Qp1p/Pp1p1P2/1B1P2P1/1P5P/2R2RK1 w - -,c1c6
1r5r/1qb2kp1/2p2p2/p1p1p3/P1PpPn1N/1P1P2P1/2QB1P2/1R2R1K1 w - -,d2f4
8/4kp2/4pbpp/8/4K1P1/4PN1P/5P2/8 b - -,e7d6
r2q1rk1/pp1nppbp/n2p2p1/2pP4/2P1P3/2N1B3/PP1NQPPP/R4RK1 b - -,a6c7
1r2r1k1/1ppq1p1p/p1np1bp1/8/1PPP4/P1N1P1Pb/1BQ2PBP/2R2RK1 w - -,c3d5
3r4/8/1p1Pkpp1/pN2b2p/1p6/1P2PKP1/P2R3P/8 w - -,d2c2
