8/1k6/b4R1P/p7/8/PP5r/2K2P2/8 b - -,a6d3
r1bq1rk1/1p3pp1/p1nb1n1p/3p4/3N4/2P1B2P/PPQNBPP1/R4RK1 b - -,d6c7
r1r3k1/p4pb1/2p3n1/1p2p2R/1P2P3/1N1P4/2PB1PK1/R7 b - -,g7f8
r4rk1/p2qbppp/1pn5/2p1Pb2/2Pp1B2/1Q1P1N2/P3BPPP/1R3RK1 w - -,f3d2
8/1k3p2/4p3/4N2p/3BPb2/1P3P1p/7r/5BK1 b - -,h2d2
1rr3k1/3q3p/4bbp1/4pp2/1p6/3PP1P1/1Q1N1PBP/1R3RK1 w - -,d2f3
r2qk2r/1b1n3p/p2p2pB/3Ppp2/1p6/5QP1/PPP2PBP/R4RK1 w kq f6,c2c3
2k5/2prB3/pp6/5p1p/P1n2PpP/6P1/2Pr4/R3RK2 w - -,e7f6
r1bq1rk1/pp3ppp/4pn2/3pb3/1P6/P1P3P1/1B1NPPBP/R2Q1RK1 b - -,f6d7
r1bq1rk1/1p1pbppp/2n1pn2/p7/1PP5/P1N2N2/1BQ1PPPP/R3KB1R w KQ a6,b4b5
4R3/ppp2p1k/nq4bp/1N2Q3/Pr6/5B1P/6P1/7K b - -,b4b1
6k1/1Q5p/6p1/3pP3/4pP2/4P1P1/2r1q2P/2B2RK1 w - -,b7d5
r4r1k/pp1b1q1p/6pb/2Ppp3/1PnP4/1Q4P1/P2NR1BP/R3B1K1 w - -,d4e5
r1q2rk1/1n2b1pp/3p4/3Ppp2/1R6/1PPQB1P1/5PBP/R5K1 w - -,a1a8
r1bq1rk1/pp4pp/3p2nn/2pPpp2/2P2P2/2PBPN1P/P1Q3P1/R1B2RK1 w - -,f3g5
r3r1k1/p1p2ppp/2pp4/7q/4P1b1/2N3Q1/PPP2PPP/R4RK1 w - -,h2h3
r1k4r/1b1n1Npp/1q1RQb2/4p3/5P2/8/PPP3PP/2K4R b - -,b6b5
2r3k1/p4pp1/1p1rpn1p/5P2/3P4/3BN3/P2Q1P1P/5K2 b - -,c8d8
r1bqr1k1/pp3pbp/2N3p1/3p4/4P3/4BP2/PP2B1PP/2RQ1RK1 b - -,b7c6
3r4/pkpq2p1/8/4r2p/1PPN1n1n/P1B4b/3N1P2/R2QR1K1 w - -,e1e5
r5k1/3R1pbp/p2p2p1/n5B1/3P4/5N2/1P3PPP/6K1 b - -,a5c4
6k1/5pp1/3R3p/3p4/8/2Bn3P/r4PP1/6K1 w - -,d6d8
r2q1rk1/pp2bpp1/2p2n1p/3p1b2/3P1B2/1B2P3/PP1N1PPP/R2QR1K1 w - -,f4g3
5k2/R7/8/1r3BK1/8/8/8/8 b - -,b5b6
r3r1k1/5pbp/3p2n1/2pP1qBp/8/2N2P2/PPKQ2PP/3R3R w - -,c2c1
8/8/1p6/3pk2P/3N1p2/r4K2/8/3n2B1 w - -,f3g4
3k3r/1bq1p3/p3P1Q1/1p6/2pb4/2N1B3/PPP3PP/5RK1 b - -,d4e3
r2r2k1/1pp2pbp/p1n1Bnp1/4p3/P3P3/2N1BN1P/1PP2PP1/R3K2R b KQ -,f7e6
8/8/3Q4/2pPp3/2P1q3/8/4K2k/8 w - -,e2d2
8/1pk1bbpp/2p2p2/4n3/2P1PB2/r1N2B1P/1K4P1/2R5 b - -,f7c4
r3k2r/p4n1p/bpn1ppp1/2p5/2P1PPP1/2P2N2/P4B1P/2KR1B1R b kq -,h7h6
2r5/P4kpp/5p2/3p4/R7/P4PK1/6PP/8 b - -,c8a8
r4rk1/1ppqb1pp/p3b3/3pPp2/1P1nn3/P3BNPP/2Q1PPB1/R3K2R w KQ -,f3d4
r1b2rk1/3qbppp/p3p3/Qp1n4/n7/NN4P1/PP1BPPBP/1R3RK1 w - -,d2e1
r1bq1rk1/p2nbppp/1pp1p3/3p3n/2PP4/4BNP1/PPQNPPBP/R4RK1 b - -,c8b7
8/6p1/5p1p/2kp4/7P/1BK1PPP1/8/1b6 b - -,b1f5
3r3k/p1q4p/5pp1/PRP1pb2/3r4/5BP1/2Q2P1P/4R1K1 w - -,c2c1
