8/1pN2k2/3p3p/3PpP1n/1pP5/P7/4K3/8 w - -,a3b4
2r1r2k/3q1p2/Qp2b1pp/n2pb3/3P4/P1N1R1PP/5PB1/3R2K1 w - -,d4e5
8/pb6/7p/PP2k1p1/8/1P2K3/4N2P/8 b - -,e5d5
r2qkbnr/pppnpppp/8/3p4/1P4b1/5N2/PBPPPPPP/RN1QKB1R w KQkq -,e2e3
8/k7/2K5/6R1/5b2/8/8/8 w - -,g5f5
1kr5/1pr2pp1/p2qp2p/3p3P/3R2P1/1R2P3/PPP1Q3/2K5 w - -,d4b4
r3nrk1/4bppp/1q1p4/4pPP1/1pB1P3/1N6/1P1Q3P/1K1R3R w - -,f5f6
r1bqk2r/ppp2ppp/2pb1n2/4p3/4P3/3P1N2/PPP2PPP/RNBQ1RK1 w kq -,b1d2
r4rk1/p4ppp/n4n2/q1Pp4/3Q4/P1N1PP2/6PP/1RB1K2R b K -,a5c5
6k1/p4p2/8/7p/3b3B/1P3rP1/5P2/5RK1 w - -,b3b4
r2r1nk1/1p1bqpb1/2p5/p3P1pp/2PNB3/1P4PP/P3RB1K/4R1Q1 w - -,d4f5
r1b2rk1/1p1nppbp/1q1p2p1/p2P4/3N4/1PB1P1P1/P4PBP/R2Q1RK1 b - -,d7c5
r5rk/pp1qbp1p/4p3/4Q2N/2P5/8/PP2BPPP/5RK1 b - -,f7f6
rn1qk2r/4ppb1/2p3p1/pp1pP2p/3P1P2/2NB1Q2/PPP3PP/1K1R3R b kq -,e7e6
3r1rk1/pp2ppbp/2p1b1p1/q7/2PP2P1/1PN1PB2/P2Q3P/3R1RK1 b - -,f7f5
2k1rbr1/2pb4/ppp2pp1/4n2p/4PN1P/4BPN1/PPP3P1/2KRR3 w - -,g3e2
1r4k1/3b1q1n/3R2p1/p1pP1P2/2P1p1PB/P1Q1N2P/4N1K1/1r6 b - -,g6f5
2k1r2r/p5p1/1p2b2p/n2Bpp2/8/2P1BP2/P1P1K1PP/1R1R4 w - -,b1b4
8/5Q1p/2pR2p1/4p1k1/7n/P4Pq1/1P1R2r1/6K1 w - -,g1f1
r2qkb1r/pp2pppp/2n2n2/2pp4/3P1Bb1/4PN2/PPP1BPPP/RN1Q1RK1 b kq -,e7e6
8/2b5/p1Ppk2p/1P2p1p1/2KpP1P1/3P4/3B3P/8 b - -,a6b5
2kr4/1p4b1/p1n1p1n1/3p2pB/8/2P3PP/PPN2r1B/2KR3R b - -,g6e5
2kr2r1/pp2Qp2/1q5p/2p2bpP/8/1PB5/P1P2PP1/1K1R3R b - -,d8e8
r4r1q/pp2Nnkp/2pp2n1/2P5/1P2P1bB/2N3R1/P4PPP/5RK1 w - -,g3g4
8/2b4p/P1k5/8/6p1/8/6K1/4B3 w - -,g2f2
5rk1/pp1Rn1p1/4P3/2p5/2P2r1P/1P6/PB2RP2/6K1 b - -,f4g4
8/1B1b1k2/3p2p1/6Bp/2K1P2P/6b1/6P1/8 b - -,d7g4
4b3/ppn2pkp/2p2qp1/P7/3N4/2P3PP/1P3PB1/3Q2K1 w - -,d1b3
r2qr1k1/p4pbp/2pBn1p1/2P1N3/3Pp3/3R2P1/P1Q2PBP/R5K1 b - -,e4d3
7k/3q2p1/5n1p/2B1Rbp1/P2P4/8/6Q1/6K1 b - -,f5d3
2k1rr2/ppp3pp/2pb3q/3n2N1/3P2P1/2PRBP2/PP2Q2P/2K4R w - -,g5f7
r4rk1/3b1p1p/pq1p2p1/3PnPP1/PPpNP3/2Q5/2B3P1/R4RK1 w - -,g1h1
2rr2k1/1R3p1p/1p2p1p1/2b1B3/2P1p3/6P1/P1R1PP1P/6K1 w - -,e2e3
r1bqkb1r/ppp2ppp/3p4/3N4/2n1P3/5N2/PPP2PPP/R1BQK2R w KQkq -,d1d4
r3rnk1/pp1q2pp/2p5/3n3P/4p2R/PP2P3/1BQNKPP1/R7 b - -,d7e7
8/8/4k2p/7P/4K3/5p2/5P2/8 w - -,e4f3
8/4b1k1/7p/6P1/6KP/1B1p2P1/8/8 w - -,g5h6
r2q1rk1/4p1bp/p1p1b1p1/n1Pp4/P2P1p2/6P1/1B1QPPBP/1R2NRK1 b - -,a5c4
4r1k1/1Bp3pp/3p2r1/5p2/2PB4/1P2P3/P1n1K1PP/3R4 b - -,c7c5
3r2k1/1p4p1/2p4p/2q1pb2/Q1P5/P4B2/5PPP/R5K1 w - -,a4b4
r1b2k1r/pp2bppp/8/1Bp5/1n2p3/P4N2/1PP2PPP/R1BK3R w - -,f3d2
r1b1r2k/6pp/p2q4/1p3p2/3Pp3/1Q2P3/PP2NPPP/R2R2K1 w - b6,e2f4
rnbqnrk1/pp1pbppp/2p5/4Q3/3P4/1BN2N2/PPP2PPP/R1B2RK1 b - d3,d7d5
1rb2rk1/5p1p/p2P4/1P6/2N1pp2/3B4/Pb3PPP/2R2RK1 w - -,c4b2
r3k2r/pb1p1ppp/np1pp3/7q/2PP4/4PPP1/PP1B2BP/R2Q1RK1 b kq -,d6d5
8/6pk/3p3p/2pPp3/p3PqPP/P3R2K/1P2Q3/3r4 w - -,h3g2
6k1/1p3pp1/p3p2p/3pPbbN/2qP4/P3B2P/1P1Q1PP1/6K1 b - -,g5e3
r4r2/1p3kp1/p1b1p2p/8/8/3Q4/PP3PPP/4R1K1 w - -,h2h4
r1bqr1k1/1p1n2bp/p2Pp1p1/2p5/P5n1/2N2N2/1P2B1PP/R1BQ1RK1 b - a3,d8b6
8/5pkp/2p2bp1/2Pp4/3P1Q2/2B3Pq/5P1P/6K1 b - -,h3e6
1r6/3q1rk1/p2p1n2/2pPpnp1/1pP5/1P1Q1PP1/PN4N1/2R2RK1 w - -,d3d2
