8/8/8/1b3R2/1k1p1p2/7P/4rP2/3K4 b - -,e2f2
r1bq1rk1/pp2npbp/2n1p1p1/2ppP3/8/2P2NP1/PP1PQPBP/RNB1R1K1 b - -,d8b6
r2qkb1r/1b1n1ppp/pp1ppn2/8/2PN4/1P2P3/PB2BPPP/RN1Q1RK1 b kq c3,f8e7
r4qk1/1b2bnp1/p1npB1p1/1p6/4P3/P1N1BP2/1PPQ4/2KR3R b - -,f8b8
r7/8/1nkp4/1p2p1R1/8/P5P1/1P1BKP2/8 b - -,b6a4
rr6/5p1k/3qpQ1P/6p1/3P4/p3P1K1/R5P1/8 w - -,g3g4
r1b1k2r/p3bpp1/2p1pn1p/4B2P/q2PN3/2P2Q2/1P1KNPP1/3R3R b kq -,f6e4
r5kr/p3n1pp/b1n1pp2/3pP3/2pN4/P1P1B3/1RP1BPPP/4K2R b K -,c6d4
r3r1k1/1pqnbpp1/2p1pnp1/4N3/p1PP4/2B3N1/PP2QPPP/3RR1K1 b - -,a8d8
r1b1nrk1/6b1/p2p2qp/2pP4/P3Np2/5B1P/3Q1PPB/1R3RK1 b - -,c8h3
3qrbk1/1b3ppp/3p1n2/nNrPp3/8/2P2N1P/BP3PP1/R1BQR1K1 w - -,b5a3
r1b1rqk1/p4pbp/n2p2p1/1ppP4/5B2/6P1/PP1NPPBP/R2QR1K1 w - b6,d2e4
1rr3k1/2qnbp2/pp1pp1p1/8/NPP2P2/4QBP1/P4P2/2RR2K1 w - -,a4c3:g1g2
r7/1p2r1pk/p2b3p/3P1pq1/B7/2R1P2P/PPR1Q1P1/7K b - -,g5g3
3q4/3b1rnk/rp1p4/P1pP1pp1/2P1pP2/2Q1P1PB/R7/R1B3K1 w - -,a5b6
r1bqk2r/1pp2pp1/p2p1n2/2b1p2p/3nP3/P1NPB1PP/1PPQ1PB1/R3K1NR b KQkq -,b7b5
8/5b1p/1R6/1B2k3/P4p2/7P/1r6/5K2 b - a3,f7c4
2r3k1/1p3pp1/2nr3p/BQ1p4/4q3/PP2P2P/5PP1/2RR2K1 b - -,c8a8
QQ6/4k2p/1r6/1rK5/8/6p1/5pB1/5R2 w - -,c5d4
1rb1qrk1/3n1pbp/6p1/1p2p3/1P1p4/1Q1P1NP1/3BPPBP/1R3RK1 b - -,d7b6
3q2k1/1n3p2/p4bp1/1p2p2p/1Pp1P2P/2P2NPB/P1Q2P2/6K1 b - b3,c4b3
6k1/1p2p1bp/1p2p1p1/2r1Pr2/P1P1R3/1p3N1P/1P3PP1/4R1K1 w - -,e1e3
R7/6pk/4p2p/7P/2nqn3/6P1/4QPK1/8 w - -,a8d8
4r2k/pp3pp1/2p2nbp/2R5/3Pp3/PB2P3/1P1N1PPP/6K1 b - -,f6d7
2b1r1k1/p3B1bp/p1pR4/2P2p2/8/P5RP/6PK/1r6 w - -,e7f6
8/5p2/4k3/8/1R1P1KP1/8/8/3r4 b - -,d1f1
3r1rk1/pp2q1pp/2p1p3/7b/2QPP3/5PP1/PP4B1/3RR1K1 w - -,d1d3
r1bqkb1r/pp3ppp/2nppn2/8/3NP3/1PN5/PBP2PPP/R2QKB1R b KQkq -,f8e7
r5k1/ppq1p3/b5pp/2Bnb1r1/3P4/5Q2/5RPP/2R3K1 w - -,f3d5
R7/6k1/6p1/5p2/5Pr1/7K/8/8 w - -,a8a4
r2qkn1r/1p1bbp2/2pp3p/p2Pp1pP/P1P1P3/1PN1BP2/2QN2P1/R3K2R b KQkq -,f8h7
2R1bk2/r3qnpp/pQ2pp2/1p1P4/5P2/PB4P1/1P5P/3R2K1 b - -,f7d6
3rrnk1/1p2p1bp/pBnp2p1/4p3/2P4P/5NPB/PP2PP2/2RR2K1 w - -,b6d8
1k1r4/1R6/KP4Rp/6b1/1P6/8/8/8 b - -,b8a8
r1bq1rk1/bp3ppp/p1pp1nn1/4p3/3PP3/1BP2NNP/PP3PP1/R1BQ1RK1 b - -,h7h6
1nbr1k2/2r2p1p/p1p3p1/1pP2P2/1P1pP3/1N1B4/P5PP/2RR2K1 w - -,d3e2
2rqrbk1/5pn1/p5p1/1p1pP1P1/5P1Q/P1P1BN1B/1P6/3R2K1 b - -,c8c4
1rb2rk1/1pqnppbp/p4np1/2p5/2P5/1QNP2P1/PB1NPPBP/R4RK1 b - -,b7b6
2r5/2P3k1/5np1/1p1p3p/p2R1B1P/PbP2P1K/6P1/RB2r3 w - -,b1f5
6k1/1pn3qp/2p1p3/5r2/PpPPRpr1/1P1N1Q2/5PP1/4R1K1 w - -,d3f4
2q2r1k/3b4/p1pb1nPN/3p1p1P/3P1P2/4Q1K1/PP1B4/7R w - -,g3f3
r3k2r/p1p2pp1/1b5p/4PP2/2q4B/3p1R2/P1PQ2PP/R6K w kq -,f3f4
4r3/1p3pkp/2b3p1/p1n1p1P1/2P1P3/1PN2B1P/P2r1K2/3R4 w - -,d1d2
r1bq1rk1/pp1n1pp1/5n1p/3p4/1b1p1B2/2N2NP1/PPQ1PPBP/R3K2R w KQ -,f3d4
4b1k1/3q4/KQ3P1p/5P2/1P6/8/8/8 b - -,d7c6
5r1k/6bp/p5p1/2nQ1r1n/8/2P5/PP3PPP/R4RK1 w - -,d5c4
2r1r3/p5k1/1p1p2p1/2pP2Np/4P1n1/1P1P4/P5RP/5RK1 w - -,f1f7
3r2k1/p2Nqppp/1pQ1p3/r2n4/1P6/2P5/P3RPPP/R5K1 b - b3,a5a3
2kr3r/1bpnqp2/1p1pp3/p5pn/2PPP2p/2PB1P1P/P2N1BP1/R2Q1RK1 b - -,h5f4
2r2rk1/pp2pp2/4b1p1/2n4p/2P1pB1P/2P1P3/P3BPP1/1R1R2K1 w - h6,f4e5
4R3/8/8/4P3/3p2k1/5r2/3K4/8 b - -,f3e3
8/4p3/2k5/1p2R2P/1P3P2/p7/P6K/6r1 b - -,g1g4
r1bq1r1k/1ppp1ppp/p1n2N2/4P3/B7/6Q1/PPP2PPP/R4RK1 w - -,f6h5
2r4r/2q1k3/p2p4/1pnPpPP1/2p1P2p/2P5/PPB1Q2K/5RR1 b - -,c8g8
8/p1p2pk1/6p1/P1Pb4/1r6/4PN2/2K2PP1/R7 b - -,b4c4
r4rn1/1ppb1pk1/p2q2pb/5p1p/1PBP1N1P/P3P3/Q2RNPP1/5RK1 w - -,c4d5
2b5/4n3/5kp1/p1N2p2/4p3/2R5/2PrBK1P/8 w - -,f2e1
1r1q1rk1/5pbp/1pn1b1p1/4p3/4N3/3PN1P1/4PPBP/1R1Q1RK1 b - -,c6d4
3r4/2Q2p1k/2p1p1pp/p7/8/2P4N/q4PPP/4R1K1 b - -,d8f8
r1bq1rk1/1p3pp1/p1nbpn1p/3p4/1P1P1B2/P1N2NP1/4PPBP/R2Q1RK1 w - -,f4d6
8/8/8/7p/r5k1/8/p7/K6R w - -,h1g1
r1b2rk1/2pp2bp/3n1qp1/1p1P1p2/p4N2/P1N3P1/1PP2P1P/1KQR1B1R w - b6,c3a2
3r3k/3PNR2/7p/6p1/2pbb3/4P3/P5P1/5K2 w - -,e3d4
8/p3r1p1/n2k1pBp/2pP3P/2P5/P7/3K1P2/6R1 w - -,g1b1
r1b2rk1/5p1p/1n1pp1p1/p1p3P1/1pPPP3/1P3P2/P3N1P1/2KR1B1R b - -,a5a4
8/6k1/1R6/7p/3r2P1/6KP/5P2/8 b - -,d4d3
rn1q1rk1/pp2ppbp/2pp1np1/8/2P1P3/2NP1BPP/PP3P2/R1BQK2R w KQ -,c1e3
r1bq1rk1/pp3pp1/2n2n1p/3p4/1b1P3B/2NB4/PP2NPPP/R2QK2R w KQ -,e1g1
8/R7/P1pk4/r1p5/2P5/2P5/2K5/8 b - -,a5a2
6k1/3Q1p2/bqp3p1/p1b5/4PPn1/5NP1/1P2N1K1/5B2 b - -,g4e3
2n1k3/6pp/p1r1Pp2/1pB5/1P2P1P1/P4K2/2R4P/8 b - -,c6e6
r2qr1k1/1b1nppbp/pp1p1np1/2p5/2PPP3/2N1BPP1/PP1QN1BP/3RK2R w K -,e1g1
3r4/p3kp2/1p4p1/4p3/P1p1PnP1/2P1KP2/1PB5/7R b - -,f4g2:d8c8
r1b1kb1r/ppp1qp2/2np1npp/8/2P5/2N1PN2/PP2BPPP/R1BQ1RK1 b kq -,f8g7
3r2k1/p4pbp/6p1/1BrppP2/8/5P2/PPP4P/2KR3R w - -,b5d3
2q1r1k1/p5n1/1p1pbbpp/1Pp1pp2/P1P2P2/2NPP1P1/1B5P/R2Q1RK1 w - -,c3d5
3br3/1p3pk1/p2p2p1/3P2P1/3p1P2/P2Br3/1PP5/2K2RR1 w - -,b2b4
4r1k1/1p3qb1/pBpRb1pp/P4p2/2P1p3/1PP3P1/3Q1PBP/6K1 w - -,d6d8
3q1rk1/1pp1bppp/rnnp4/p3p3/P3P1b1/2PPBN1P/1PBN1PP1/R2QR1K1 b - -,g4h5
1rb2rk1/2qn1ppp/2nppb2/p7/Np1pP3/1P2B1PP/P1P1NPB1/1R1Q1RK1 w - -,e2d4
6k1/1b3pp1/7p/2Np4/p2P4/2n4P/5PP1/6K1 w - -,c5b7
1k1r2r1/ppq2p1p/2p1p1nb/5p1Q/3P4/2P2B1P/PP3PP1/R4R1K w - -,h5h6
r3k2r/pp2qpnp/1np1b1p1/3p4/3P2P1/2NBPN1P/PPQ2P2/2KR3R w kq -,c1b1
8/6k1/1P4p1/p3pP2/P1Qp4/3P1PPK/7P/q7 b - -,g6f5
4R3/8/2p3p1/2k5/Pn4P1/8/b2K4/8 w - -,e8b8
2r5/5k2/1pr4p/pR2p1p1/3p4/PP1P1n1P/KP1N1P2/3R4 b - -,f3d2
3r2k1/p3ppb1/1pn5/2pb2pp/P3Pq2/2P2N1P/1P3PP1/3QRBK1 w - -,e4d5
2B5/8/3k1p1p/4pPp1/8/6PP/7K/8 w - -,c8e6
r3k2r/1pp3p1/p1p2p2/4p2p/1PN1P2b/3P1P1P/P1P2P2/RR3K2 b kq b3,h4g5
r4rk1/pppqppbp/2n2np1/8/4P3/5BPP/PPPN1P2/R1BQ1RK1 w - -,f3g2
r1bq1rk1/pp2ppbp/3p1npB/2pPn3/2P1P3/2N2P2/PP1Q2PP/R3KBNR b KQ -,d8a5
8/7p/3pp1p1/1Pr1k3/3rP3/2N1K1P1/1PR4P/8 b - -,d4e4
8/8/p7/2K4p/PP2kp1P/8/8/8 w - -,b4b5
8/8/6K1/3pPP2/8/k7/8/2q5 b - -,c1g1
1qrbr1k1/1b1n1pp1/pp1ppn2/7p/NPP1P3/PN3P2/4B1PP/2RQ1RBK w - h6,g1f2
r2q1rk1/nb3n2/p4pp1/4p3/QP1pP3/1N1P1N1P/4B1P1/2R2RK1 b - -,a7b5
r4rk1/1b2ppbp/pn4p1/1p6/1P2p3/RNP1P2P/1P1N1PPB/3R2K1 w - -,b3c5
8/8/4r1p1/pp1k1p1p/2pP1P2/P1K2P1b/1P5P/3B2R1 b - -,h5h4
5k2/1pp5/1b1p2p1/pr6/3PPB2/2K5/PP1R1PP1/8 b - -,b5h5
2r1qrk1/ppb3pp/2p2n2/5p1P/2PP4/1P2PN2/PBQ1K1R1/7R w - -,d4d5
6k1/6p1/3qpn1p/3n4/2pP3P/2P3P1/4QP2/R5K1 w - -,a1a8
5rr1/2p1k3/p3P3/1p1P1pn1/8/2P1N3/PP6/4KR2 b - -,f5f4
1rbqk2r/pp2ppbp/2np1np1/2p5/4PP2/N1PP1N2/PP2B1PP/R1BQ1RK1 b k -,b7b5
r2q1rk1/pp2b1pp/1n1pp3/4n3/2P5/2N1BB1P/PP3PP1/R2Q1RK1 w - -,f3g4
8/8/1pk2p2/pR4pp/P1P4P/1Pq3P1/5P2/5K2 w - -,h4g5
3R4/2p2kp1/1p1p4/2rPnp2/P1P5/2R1K3/8/8 w - -,e3f4
2b1r1k1/1pq1bpp1/r1p1p2p/p3P1P1/P2PNP2/2Bp4/1P3QBP/R5K1 b - -,c6c5
r5k1/5p1p/3Q2p1/q2P1p2/r7/7P/5PP1/RR4K1 w - -,b1b8
5k2/R5n1/4p1p1/7P/3PPp2/5P1P/5K2/8 b - -,g6h5
3r1r2/q5k1/p3b1p1/1p2p1p1/3bP1p1/1P1B2N1/P2Q1PP1/2R2RK1 b - -,a7b6
2r1n1k1/2r2pp1/3pp2p/1q6/1P1QP3/2R2P2/2B3PP/3R2K1 w - -,c3c7
