8/2B4p/2b5/6b1/4k1KN/8/8/8 b - -,g5f6
rn1qk1nr/pp4pp/2pb1p2/3p1b2/3P3B/2N1PN2/PP3PPP/R2QKB1R b KQkq -,g8e7
6k1/8/2q1p3/4Pr2/p1nBN3/2P1b3/4Q1P1/R5K1 w - -,d4e3
8/4qpk1/6p1/2p4p/1pP1r3/1Pb2N2/5QPP/3R3K w - -,d1f1
rnb1k1nr/pp1ppp1p/6p1/2q5/4P3/3B4/P1PB1PPP/R2QK1NR w KQkq -,g1f3
8/3kn2Q/2r5/p7/P1p2p2/4b2P/1B4PK/8 w - -,h7e4
3r2k1/pp3pp1/5n1p/1Ppn4/P7/2N2qP1/3B1P1P/1R3QK1 w - -,b1c1
5rnk/pb1q2p1/1p2p2p/4Pn2/2PPB1p1/P7/2QBN2P/R5K1 w - -,c2d3
4r1k1/p2q2pp/3np3/3pQb2/P1pP1PP1/1rP5/5NBP/R3R1K1 b - -,f5g6
r2q1rk1/pp4p1/2pbRnpp/3p4/3P3B/1PN5/1PP1QPPP/4R1K1 b - -,d8d7
r1bqk2r/pp2bppp/2n1pn2/3pP3/3P4/P3BPP1/1P3K1P/RN1Q1BNR b kq -,f6d7
1q2r1k1/5pbp/1pb3p1/p1p1p3/Pr2P3/1PNP1BP1/2Q2P1P/R2R2K1 b - -,b8b7
5qk1/2n1r2p/3Q4/1p1pN1p1/3P1p2/P3PP2/1P4PP/2R3K1 w - -,c1c7
4r3/1p3qp1/pk1b1rNp/2p2P2/3p2P1/8/PPP3QP/1K1RR3 w - -,h2h3
3r1r1k/1b5p/6p1/8/p1Pq1P2/8/B4RPP/2Q2R1K w - -,h2h3
4k2r/2qnbp1p/2p1pnp1/2Pp4/r2P1P2/2NBP3/2QB1P1P/4K2R w Kk -,c2a4
8/r1k2p1p/p2Rp3/P1P2p2/8/2P2P2/7P/6K1 b - -,a7a8
8/4k3/6R1/6Kp/2P5/6Pr/8/8 w - -,g6g7
r1b2rk1/pp3ppp/8/6q1/8/1B3Q1P/PP3PP1/R3R1K1 w - -,f3f7
rnbq1rk1/1pp1bppp/p3pn2/6B1/2BP4/P1N1PN2/1P3PPP/R2QK2R b KQ -,b7b5
r6r/p2k1ppp/8/8/1Pp5/4P3/4KPPP/R6R w - -,a1c1
r3r1k1/1ppq1ppp/p1n1b2B/P6N/3Pp3/2P4P/2P2PP1/R2Q1RK1 b - -,e6f5
1rbq1r2/5pk1/2p4p/2Nn2pQ/1P3b2/3B2B1/2R2PPP/5RK1 w - -,f1d1
2r1q2k/3r2np/p2P2p1/2B1Qp2/8/7P/1PP2PP1/3R1RK1 w - -,e5d5
r2r2k1/pp3p1p/2np2p1/q1nQ4/2P5/2P1BBPP/P4P2/R4RK1 w - -,e3g5
r2q1rk1/1b3ppp/p1p2n2/1p2b3/P3P3/2NBB3/1P3PPP/R2Q1RK1 w - -,h2h3
1r2nb2/6k1/p2p1pN1/4pB2/Pp2r3/6R1/1PP2PP1/2R3K1 b - -,e4d4
4k3/5p2/r1nP2p1/4P3/P4P2/8/6P1/2R4K w - -,g2g3
3N4/8/2p2k2/p6p/PbPK4/7P/8/8 b - -,c6c5
r1b2rk1/pp1n1ppp/2q5/2bp2B1/P7/4P3/R2QBPPP/1N3RK1 b - -,d7f6
r1r3k1/1b1n1ppp/p2qpn2/3p4/Pp1P4/1Q2PB2/NP1N1PPP/2R2RK1 b - -,a6a5
5rk1/pp3ppp/P3pb2/7Q/1nBrq3/7R/1P1B1PPP/3R2K1 w - -,d2b4
r4rk1/1b2pp1p/pq1p2p1/1npPn3/4P3/1BN1QP2/PP2N1PP/3R1R1K w - -,h2h3
3N4/1b6/3p1k2/3P1p1p/p1B2P2/5K2/3b3P/8 b - -,b7c8
r2qb1k1/pp1r1p1p/2pBpnnb/2P2p2/2NP4/5QNP/PPB3P1/3R1RK1 w - -,g3h5
5k2/1b1r3p/4p3/P3Pp2/2rp1K2/5B2/3R2PP/1R6 b - -,b7f3
3R2nk/p2r2p1/3b2Bp/7Q/2p5/2P5/PP4PP/3R3K b - -,d7d8
5k2/1b2q1p1/5p2/1P2r3/2PQ2P1/5PN1/6K1/1R6 w - -,b1f1
3r2k1/7p/4p3/ppr2pp1/8/2p3P1/P1B1PP1P/1R1NK3 w - -,b1c1
r1bq1rk1/3n2pp/p1p1pb2/3p4/8/2N2BB1/PPP2PPP/R2Q1RK1 b - -,d7b6
6k1/2Q3p1/4pp2/1P3bp1/3Pp2q/8/1B1KPP2/8 w - -,b5b6
2rr2k1/2Q1bppp/p1p1p3/1p2P3/5P2/2P1B3/PP4PP/3R1RK1 b - -,c8c7
8/1N6/5k2/P2B1p1p/6pP/8/2r3P1/6K1 b - -,f6e5
2r2rk1/pp3ppp/4pn2/1bb5/2N1P3/1P4P1/PB3PBP/3R1RK1 b - -,f8d8
3r3k/p2r2bp/2p2qp1/Q3pp2/3n4/1BB2P2/PPP3PP/KR1R4 b - -,d7d5
3q1rk1/r3bppp/1p2pn2/p7/P1bP1B2/2N3P1/1P3PBP/R1RQ2K1 w - -,f4e5
8/r4K2/5P1k/4R3/8/8/8/8 w - -,e5e7
r1Rn4/1r4pk/pP1qpp1p/P2p4/3P4/1Q6/5PPP/2R2BK1 b - -,b7b8
8/3Pk3/4P1p1/p1N5/8/2n1KP2/8/8 w - -,c5b7
8/8/8/4pp2/3k1p1R/2r2PPP/2PK4/8 w - -,g3f4
1r3rk1/p4pbp/b1npp1p1/2p5/2P1PP2/2BP2P1/P5BP/2RN1RK1 b - -,c6b4
5r2/6k1/p3bbp1/5p2/1P2p3/P3P1P1/5P2/3R1BKR b - -,f8a8
8/6K1/r6P/8/6k1/8/8/8 b - -,g4g5
3rr1k1/pb1n1pp1/3bq2p/2P5/Q2p4/4NNP1/P3PPBP/2R2RK1 b - -,d4e3
r1b1k2r/1p1p1ppp/p1n2n2/4p3/4P3/2N5/PPP2PPP/R1B1KB1R b KQkq -,c6b4
8/8/2n3p1/3p4/p2P2kP/4K3/8/6N1 w - -,g1e2
3r2k1/1p4pp/1bp5/1n6/1PN1P3/3K4/1B4PP/R7 w - -,d3e2
3k4/ppp2n2/2b1r2p/2R5/2PB4/r2B1PR1/2P3P1/2K5 w - -,g3g8
br6/5pbk/1q1p2p1/3P3p/1p2n3/1B2NP1P/1B1Q2P1/R5K1 w - -,f3e4
3r3k/1pq1r1p1/3pQ2p/3Rp3/1P6/5PP1/3RP1KP/8 w - -,e6g6
r2qr1k1/pp1n1pp1/2p1p2p/3p4/PBPPn3/3QP3/1P1N1PPP/R2R2K1 b - -,f7f5
5k2/7R/1p6/2p5/2P5/1P6/P4P2/3q2K1 w - -,g1g2
r2qk2r/1p1nbppp/2p1pn2/p2p4/2PP4/P1NQPN2/1P1B1PPP/R3R1K1 b kq -,e8g8
4rq1k/r2b4/3p3p/p1pPp1pP/PpP1N1P1/1P2RP2/2Q5/1K2R3 w - -,c2b2
r5k1/2rnppbp/3p2p1/3P4/Pq2PP2/3QB1PP/1P4K1/R2NR3 w - -,e1e2
3k4/2b5/1p2Q3/1P2P2p/P4P1P/3BK1P1/8/7q b - -,h1e1
