8/5bk1/6p1/2P5/8/1P1n4/P5Bp/1K2R3 w - -,e1h1
6k1/6b1/3pp1p1/1b5p/p3P2P/Pr1p1P2/1P1B2P1/1RKN4 w - -,d1c3
1r2br2/pp2npk1/3qp1p1/4N2p/3P4/P2BPPQ1/6PP/R4RK1 w - -,f1c1
8/5pkp/6p1/3R4/4PP2/5P1P/6K1/r7 w - -,h3h4
2r2rk1/pp2npbp/1qn3p1/4p3/3pP1b1/3P1NP1/PP1BNPBP/RQ1R2K1 b - -,f7f5
3r4/2q1b1kp/p1npprp1/Pp2p3/4P3/1NP1N2Q/1P1R1PPP/R5K1 w - -,e3g4:g1h1
2r3r1/p2bkppp/1p1bp1n1/2p5/2P1PP2/3NBP2/PP4RP/2KB2R1 b - -,g8e8
5k2/p5p1/1p1Pp1p1/3B2b1/P7/8/1P6/5K2 w - -,d5e6
r1bqkb1r/pppn1ppp/2n5/4p3/2Pp4/1P1P1NP1/P3PPBP/RNBQ1RK1 b kq -,f8e7
8/5p1k/p1q3p1/P1p1Q2p/5P2/1P4P1/1KP4P/8 b - -,c6c8
5r2/1n1b2nk/3p1ppN/2pPp3/1q2P1Pp/1P2QN1P/5P1K/3B2R1 w - -,d1c2
8/8/6p1/1pk1Pp1p/5P2/5K2/P7/8 b - -,c5d5
5rk1/4bppp/4b3/1Pp5/1pN1P3/1P3P2/r3N1PP/3R1K1R w - -,f1f2
r2r2k1/5pbp/5Qp1/4p3/P3B3/5N2/bPP3PP/1K1R3R w - -,b1a2
5r1k/p4pp1/1q2p2p/3pP2P/3P4/b4QP1/Pn3P2/1RB2BK1 b - -,b6b4
3rrbk1/1p1n1p1p/1Np1b1p1/4p3/4P3/1qNPB1PP/5PB1/R1Q2RK1 w - -,a1b1
rnb1r1k1/p1q2ppp/2pb1p2/1p6/3P4/P2BB1N1/1PP2PPP/R2Q1RK1 b - -,c8e6
7k/6p1/7p/1R6/1P1P4/8/3r4/5K2 b - -,d2d4
rn3rk1/p3bppp/b1p1pn2/8/P2q4/1QN3P1/1P1NPPBP/R1BR2K1 b - -,f6d5
1k1rrb2/1q5Q/p1p5/P2ppN2/1Pp3N1/2P1P3/6PP/5RK1 w - -,h7g6
4k3/5p2/3p2p1/R3r2p/8/5K1P/5PP1/8 w - -,a5a7
rr3q2/3bnpkn/3p2p1/pppPp1p1/4P1P1/PPPB1QNP/3N1PK1/2R1R3 b - -,h7f6
8/5R2/4p1r1/8/3pk3/8/1P2KP2/8 b - -,e6e5
r1bqk2r/pp1nppb1/2p3pp/3n2N1/2BP4/4BN2/PPPQ1PPP/R3K2R w KQkq -,g5e4
r2q1rk1/pp3ppp/2p5/8/4PQ2/2NP3P/PPP3P1/R5K1 b - -,d8b6
5r2/1R4bk/1p1r1q1p/pP3p1Q/P7/3p1BP1/1P3PK1/4R3 b - -,d3d2
2r5/p3bkp1/Q3p3/2ppPq1b/5P2/1P4P1/PB4B1/2R3K1 b - -,c8h8
8/3r4/1kn2Q1P/1p6/2p3P1/3n4/5P1K/8 w - -,g4g5
r1r2k2/3nbp1p/2p1b1p1/4p3/1pP1P3/1N1BBP1P/1P3KP1/R2R4 w - -,f2e2
r1br2k1/p1p1pp1p/1np3p1/4q3/4N1P1/1P1PBP2/P3PQ1P/R2R2K1 b - -,f7f5
r2q1rk1/p5bp/1p2bnn1/2pp1p2/2P2P2/2N2B1P/PPQN2PB/R4RK1 w - -,a1e1
r4n2/p1q3kp/3p1Qn1/1ppP4/2N5/2P3PB/PP5P/5RK1 b - -,g7g8
r1bqk1nr/pp2ppbp/2np2p1/2pP4/2P5/5NP1/PP2PPBP/RNBQK2R b KQkq -,c6d4
8/2r5/4kp2/2R2pp1/3P4/7P/6PK/8 b - -,c7c5
4r1k1/2r2pp1/p1Np3p/Bp1P3P/5b2/P7/1PP5/1K1R4 b - -,c7c8
4r1k1/3b1p1p/4pn2/1p1p2p1/1P6/R1P5/4BPPP/R5K1 b - -,f6e4
4rrk1/4bppp/p2p4/4P2n/5Q2/BB3P2/3R1P1P/4R1K1 b - -,h5f4
4r2k/2B3pp/8/8/2qPQpP1/7P/2p2PK1/R7 b - -,e8e4
8/1bp2p2/1p3kp1/3PR2p/1N3P1P/P5P1/1P3K2/1r6 w - -,e5e2
2krr3/Bb5p/1Qn3q1/1p1p1pp1/1b6/3P4/PP2B1PP/2RK3R w - -,d3d4
rnb1kb1r/pp2pp1p/1q4p1/2pp2P1/3P4/2P1P3/PPQN1PP1/R3KBNR b KQkq -,b8c6
1rbq1rk1/1p1n1pbp/p2ppnp1/2pP4/2P1PP1Q/2N2N2/PP2B1PP/R1B2RK1 b - -,e6d5
4k1r1/p4p2/3Pp1p1/6Pp/5P1P/2K5/2P5/3R4 w - -,c3b4
3r1bk1/1p1r2p1/2p1p2p/p3P3/P3NP2/nRP2NPP/4K3/R7 b - -,a3c4
2b2k2/p4p1p/3r2p1/2pB4/1pP1P3/8/P1R1KPPP/8 w - -,e2e3
rn1qkbnr/ppp2ppp/4p3/3pPb2/8/5N2/PPPP1PPP/RNBQKB1R w KQkq -,a2a3
r6r/pp1k1p1p/n3b1pB/1p6/1q6/2N3Q1/P1P3PP/R2R2K1 b - -,d7c8
4rrk1/3nqpp1/1Pp5/3p1p2/p2P2p1/PP3PP1/1BQ4P/3R1RK1 w - -,b2c1
3k4/8/1pPp2p1/p5Pp/P3K2P/1P6/8/8 w - -,e4d4
r3k2r/1q3ppp/pp2p3/2b1p3/N1P1n3/4BQ2/PP3PPP/R4RK1 w kq -,a4b6
2b1k2r/1p3p2/p2bp2p/8/3N1nP1/7P/P2K2B1/3N2R1 w k -,g2f3
2rq1rk1/1b2npb1/pp1ppnpp/8/3PP3/4BNNP/PPB2PP1/2RQR1K1 b - -,g8h7
6k1/r5bp/1p1p1np1/1PqPpp2/1pP5/1P3PP1/2B1RRKP/rN2Q3 b - -,a7a3
r1q3k1/1RQb1r1p/2pp1bp1/4pp1n/2P5/3PP1P1/4NPBP/2B2RK1 w - -,g2c6
2r2rk1/4b1p1/p2ppn2/q3n3/1p2PB2/3B2pP/PPPQN3/1K1R2R1 w - -,e2d4
r5r1/1b2bp2/1N1kn1p1/p1p1p1P1/Pp2P3/1P2BN2/2P1BP2/2K4R w - -,b6a8
r2q1rk1/1bp2pp1/3p1n1p/4p3/1p1nP3/3P1N1P/BPP2PP1/RN1QR1K1 b - -,d4f3
2b1r1k1/ppqnr1p1/3b3p/3pNP2/3P4/P2Q1P1P/BP2R2B/4R1K1 b - -,d7f6
5rk1/p1r3pp/3p4/8/1P2pb2/P2K4/1B5P/R6R w - -,d3e4
8/5p2/2p5/Bpr2k2/3b1pr1/PP1R4/2K1R1P1/8 w - -,c2b1
4r1k1/5ppp/R7/1p2P3/1P4P1/1r5P/5PK1/3R4 w - -,d1d4
8/4pp1k/2bp3p/5P2/Pq2P2P/2N5/1P2Q3/4K3 w - -,e2a6
3r1bk1/5ppp/8/pN2P3/Pnn2B2/6PP/6B1/5R1K b - -,b4d3
1rbq1rk1/1p2bppp/p2p1n2/n1p1p3/B1P5/1P1PPN2/PB1N1PPP/R2Q1RK1 w - -,b3b4
8/6kp/p5p1/3p1b2/QPp3qP/2P1r1P1/P1N4K/5R2 w - -,c2e3
r4k2/3b1p1p/1r1np1p1/1P1p4/8/1RN1P2P/4BPP1/1R4K1 w - -,b3b4
r1bqkb1r/1p3pp1/p1nppn1p/6B1/3NP3/2N2P2/PPPQ2PP/R3KB1R w KQkq -,g5e3
8/8/8/1k6/1pnK1B2/1B6/8/8 b - -,c4a5
3R4/1pq1rk2/4r1p1/2P2p2/7p/2QRpPP1/P3P1KP/8 w - -,c3h8
5rk1/1bb2pp1/7p/pB1p4/P2P4/4QP1P/2R1KPrq/5R2 b - -,b7c8
3r3r/1p1kn1pq/p1pp1p1p/4p2P/4P1PN/1P1PP1Q1/1PPK1R2/5R2 b - -,h8e8
rnbqkb1r/pppp3p/5pp1/5p2/3P4/2N1P3/PPP2PPP/R2QKBNR b KQkq -,a7a6:d7d5
4rr2/ppqnn1kp/2p3pN/8/5P2/3Pp2P/PPP3B1/2Q1RRK1 w - -,h6g4
r3kn1r/pp1bbp2/1q2p2p/3pP1p1/1PnP4/P1N1BN2/5PPP/RB1Q1RK1 w kq -,d1b3
8/5p2/2k1b3/1r6/2p3P1/5R2/2K5/3R4 b - -,e6g4
2b3k1/2n1n1b1/4Q3/5p2/p2p4/P1P3qN/B1K2PPP/4R3 b - -,c8e6
r5k1/2n4p/6p1/8/P2R1NP1/7P/8/7K w - -,h1g2
r2q1rk1/1pp1n1b1/p3Pppp/3p4/5B1P/2P2N2/PP2QPP1/2KR3R b - -,f8e8
