5k2/p1r5/5Pb1/8/7Q/3K4/8/8 w - -,d3d4
rnb1kb1r/pp1p1ppp/1q2p3/8/2P5/1N2P3/PP1N1PPP/R2QKB1R b KQkq -,b8c6
r2q1rk1/pp3pb1/2npbnpp/2p1p3/2P5/PPNP1NP1/1B2PPBP/R2Q1RK1 w - -,f3d2
Q1b5/6k1/p3p1p1/1p3p2/3P4/4PB2/P4PPK/2q5 b - -,c1c7
r2qr1k1/pp3pp1/2np1n1p/2p2P1b/2PPp3/P1P1P1NP/2Q3P1/RBB2RK1 b - -,g7g6
8/pbp2k1p/4p3/4PP2/2P3P1/B3K2p/P6P/8 b - -,a7a6
1r1q1rk1/4p1b1/1pp3pp/p4p2/PnNPP3/1P3PP1/1B2Q1KP/3R1R2 b - -,f5e4
8/5p1p/6p1/p4pP1/4bP1P/PkR5/3K4/8 b - -,b3b2
1k3r2/2RR4/8/p7/1b1N4/r6P/6P1/5K2 w - -,f1e2
3rr1k1/1p3ppp/p7/2Pq4/Q2p4/7P/PP1R2P1/2R4K b - -,h7h6
q4rk1/r2p2pp/2pbp3/5p2/1P1P4/2p2QP1/P4PKP/1RB2R2 b - -,a7a2
r1bqk1nr/pp1pppbp/2n3p1/1Bp5/4PP2/5N2/PPPP2PP/RNBQK2R w KQkq -,e1g1
8/7P/3k2K1/6N1/8/8/1b4P1/8 b - -,d6d5
r2qn1k1/p1p3b1/Pp1p1rnp/1NPPp1p1/1PN1PpQ1/B5P1/5P1P/R3R1K1 b - -,g7f8
r2q1rk1/pp2bppp/4b3/3p4/3Q1B2/P5P1/1P2PPBP/R4RK1 b - -,d8a5
3r2k1/2N3Rp/2p5/1p1n4/8/7P/1P3PP1/6K1 b - -,g8h8
2rr2k1/1pp2pp1/pqbbp2p/3n4/3PN3/P3PNP1/1P1QBP1P/2R1R1K1 w - -,d2c2
1k1r3r/1bp1bpp1/1n2q3/2ppP2p/2P2P2/1PB3Q1/3NB1PP/3R1RK1 w - -,f4f5
8/8/6p1/4k2p/7P/4K3/b5P1/8 b - -,e5f5
2q5/kb4Q1/pp6/8/4B3/8/PPP5/1K6 w - -,a2a4
r1bqr1k1/1pnn1pbp/p1p3p1/2PpN3/3P1B2/2N1P2P/PPQ1BPP1/3R1RK1 b - -,d7e5
6k1/8/1Q6/p1p2K1p/2P4q/1P3P1P/P7/8 b - -,h4h3
8/3b1k1p/Bb1Bppp1/1P1p4/p2P1P2/2K1P3/6PP/8 b - -,b6a5
r1b2rk1/ppqn1pbp/2pp1np1/4p3/2PPP3/2N1BN2/PPQ1BPPP/R4RK1 w - -,h2h3
5k2/1p1R4/2p1pNp1/p3P2p/P4n2/5P1P/1r4PK/8 w - -,f6h7
3r2k1/p1r1qp1p/1n2n1p1/1Bpp4/8/1P2P1QP/P1R1NPP1/3R2K1 w - -,d1c1
r1b2rk1/p3bppp/1pn1pn2/3p4/3P4/2P1BN1P/P2NBPP1/1R3RK1 w - -,e3f4
1k6/ppqrRp2/2p2P2/6n1/3P4/P1N5/1P2Q3/1K6 b - -,g5e6
8/4k2p/n3p3/2b3p1/6P1/K4p1P/8/5B2 w - -,a3a4
1r2r3/1p1Rnpk1/pBn4p/6p1/4p1P1/1BP5/PP3PKP/3R4 b - -,g7g8
8/5pk1/bq4p1/pp1Bp2p/4P3/2P1bPP1/1PQ2NKP/8 b - -,b5b4
3r4/2q2pbk/Qp4pp/2p1p3/2P1P3/P2nBN1P/5PP1/5RK1 w - -,f1b1
R7/3pkp2/6p1/4PpPp/8/2b1B1K1/p6r/8 w - -,e3c5
3br3/2nr1k2/p3q1p1/PpBpPp1p/1Pp2P1P/2P2QP1/2BR4/3R1K2 w - -,f3g2
r4rk1/pbqn1ppp/1p1bpn2/2pp4/2PP4/PP2PN2/1BQ1BPPP/RN1R2K1 w - -,h2h3
8/8/2K2k2/p3r1pp/P4p1P/P4P2/5P2/3R4 w - -,h4g5
3r4/1p2kp2/p3bn1R/3p1Bp1/3N2P1/1P2PP2/P2K4/8 b - -,d8c8
8/8/2N2k2/6p1/5pK1/r7/8/6R1 b - -,a3a2
4r3/8/R3pk2/5p2/6p1/6P1/4PK2/8 b - -,e8b8
7r/3b2pp/pR4n1/4kp2/B3p3/B7/P4PPP/6K1 w - -,a4d7
r3k2r/ppqn1pp1/2pbbn1p/4p3/3PP2B/2PB1N2/PP4PP/RN1Q1RK1 w kq -,h4g3
