8/8/5k1p/3bN1P1/1r2PK1P/5B2/8/8 b - -,h6g5
q4rk1/pb1rb1pp/1pnpp3/2p2p2/3PBB2/2P1PN1P/PPQ2PP1/2RR2K1 w - f6,e4d3
r1bqk2r/pp3pbp/2n1p1p1/2p4P/3pP3/2NP1N2/PPP2PP1/R1BQK2R w KQkq -,c3e2
r3r1k1/pp1nbppp/1q2pn2/3p2B1/3N4/3PPN2/PPQ2PPP/2R2RK1 w - -,c2b3
1Q6/p3q1kb/1p4p1/2p5/2PpB3/P2P4/6K1/8 b - -,g6g5
r2qk2r/ppp2ppp/1bn1bn2/3pp3/4P3/1BNPBN2/PPPQ1PPP/R3K2R w KQkq -,e4d5
8/5p1p/1p1r2p1/p2Pk3/4Pp2/5K1P/PR4P1/8 b - -,h7h5
4k3/2p5/8/K1Pq4/5n2/P7/5Q1P/2B5 w - -,c1f4
r4k1r/1p5p/1qn1pp2/3pp3/p7/2P3P1/PP2PP1P/R2QKB1R w KQ -,d1d2
4k1r1/5p2/1r6/1n1pPpPR/p1pP1P2/BpP5/1K6/1R6 w - -,h5h2
3qr1k1/1br2ppp/ppnp1n2/2p1p3/1PP5/PQ1PPN1P/1B3PP1/R2R1BK1 b - -,a6a5
8/1p4k1/3B1b2/6pp/5p2/5P1P/4b1P1/4K3 w - -,e1e2
rq3rk1/pp1bbppp/2n2n2/1N2p3/8/2P3Q1/PPNB1PPP/R3KB1R w KQ -,e1c1
r1b2rk1/1pn2ppp/p2p4/2q1p3/4P3/3BNQ1P/PPP2PP1/R3R1K1 w - -,d3c4
2b5/p7/5kp1/8/5P2/P7/5KBP/8 w - -,f2e3
5k2/5b1K/6r1/8/8/5R2/8/8 w - -,f3h3
6k1/3r1p1p/1p4p1/1RbB4/P4P2/6P1/2R3KP/3r4 w - -,d5f3
6k1/1R1bbpp1/p4n1p/8/3N4/4P1B1/5PPP/2r2NK1 b - -,e7c5
2r1r1k1/p1q1bpp1/1pn1pPb1/2ppP3/5B2/2P3P1/PP3PBQ/R3R1K1 b - -,e7f8
1k6/1b6/1P4p1/PN2ppp1/2p3P1/4KP1P/8/8 w - -,b5d6
8/8/8/4pp1P/p7/R3bkp1/p7/5K2 w - -,a3a2
8/p7/3b4/1Ppk3p/P1Rp1P2/r5P1/2RK3P/8 b - -,h5h4
5rk1/pp4p1/2nprq1p/3p4/3P3n/2PBP1QP/PP1N1P2/3K1RR1 b - -,c6e7
r1b2rk1/ppp2pp1/7p/3Pp1qQ/6P1/2PR4/PP3P1P/2K3NR w - -,h5g5
r2qk2r/1pn1bpp1/p2p3p/2pPpP2/1PP1B1P1/3PB2P/P7/R2Q1RK1 b kq -,e7g5
3bK3/2kP4/7p/6pP/6P1/3B4/8/8 b - -,d8f6
2r1r3/4p1b1/pBp3k1/Pp1bPppp/3P1n2/1PR2NPP/3N1P1K/4R3 b - -,f4e6
2B5/8/pp1p4/2pP2n1/2P5/2K1k3/PP6/8 b - -,g5e4
5q2/7k/4P1p1/p2pP1Pp/P1bN3P/2N1Q1K1/2P5/7r w - -,d4f3
8/4k3/1p1r1qpp/p1npNp2/3Q1P2/7P/P1P1BPP1/6K1 w - -,e2f3
r4k2/ppq1bp2/4p3/4n3/4N1P1/7P/PP3Q1K/3R1R2 w - -,h2h1
6rk/B4ppp/5n2/r7/8/P4B2/6PP/R6K w - -,a7d4
6k1/p3R3/1b3rp1/8/2P1R3/3K4/8/8 w - -,e4e5
2r5/p2r1kp1/1p2pb2/7p/3P4/2PK2BP/R3R1P1/8 w - -,g3e5
r3k2r/ppqnnppp/2pbp3/3p4/4P1P1/2NP1Q1P/PPPB1P2/2KR1B1R w kq -,d3d4
2rq3r/3nkppp/N3b3/4p3/2p5/5PPB/PP1Q1B1P/2R1K2R b K -,e6h3
1r5r/5ppk/4p3/P3qn1p/7Q/3B1P2/1P3BPP/3R2K1 b - -,b8b2
r7/5pkp/pp2p1p1/2n5/2P5/1PN1RP2/P4P1P/3r2K1 w - -,c3d1
b4rk1/5pp1/4p2p/4P3/1p1n4/2nQ2P1/5P1P/2R2K2 b - -,d4f3
r1bqkb1r/pp2pp1p/2p3pn/1P6/2P5/2N5/P2PBPPP/R1BQ1RK1 b kq -,h6f5
3r1rk1/ppQ4p/1n2pp2/3b1q2/P1pP1B2/2P3P1/2P2P1P/4RBK1 w - -,a4a5
2Rr2k1/5p2/Q3pnp1/3q3p/3P3P/6P1/5P2/2R3K1 b - -,g8g7
6k1/1b2bp1p/3pp3/6p1/p1rBPPP1/2P5/P3R2P/1KN5 w - g6,e4e5
r1b2rk1/1p2bppp/p1n5/q2np1B1/4N3/2PB1N2/PP2QPPP/R2R2K1 w - -,d3c2
r2r4/1pb2p1k/p6p/8/2nR3P/2PN2P1/PP3P2/3R2K1 b - -,d8d4
2bq1rk1/2n2pbp/pn1p2p1/2pP4/1rB1PP2/1PNQ1N1P/6P1/R1B1R1K1 w - -,e4e5
4rrk1/p1pq2pp/2p2p2/2bp1b2/3P4/3B2P1/PPPQ1PP1/R4RK1 w - -,d4c5
1n4k1/1br5/pp1bp2p/3p1p2/1P1P1Np1/P2BP1P1/3N1PP1/5RK1 w - -,d2b1
r1bqk2r/pp2b1pp/n1pP1n2/4pp2/8/2NP1NP1/PP2PPBP/R1BQK2R b KQkq -,d8d6
rnbqkb1r/p3pp1p/5np1/2pPp3/2p5/2N2N2/PP3PPP/R1BQKB1R w KQkq -,f3e5
3rr3/5kpp/1n2pb2/2p5/2P5/4BNP1/5PP1/3RR1K1 w - -,e3c5
2rqrnk1/pb1nbpp1/1pp4p/3p1B2/3P4/2N1PPB1/PPQ1N1PP/4RR1K b - -,g7g6
4rnk1/1bp2r2/4p1qp/1p2Ppp1/8/1BP1B1P1/1P2Q1PP/3R1RK1 b - -,b7c6
r2q1rk1/1b2bpp1/p2ppn1p/1p1n4/2NP4/2PB1N2/PPQB1PPP/R3R1K1 w - -,c4e3
1n2nbk1/1r3r2/pp2qpp1/2pNp2p/QPP1P2N/P3B1P1/5P1P/3RR1K1 b - -,g8h7
1kbr3r/pp2qp1p/1bn1p3/3pN2Q/6P1/2N1P3/PPP2PB1/2KR3R b - -,c6e5
2r3k1/4p1bp/2p3p1/p7/4P3/4B3/PPP3PP/3K3R b - -,g7b2
5b1Q/2q2p2/2nkbN1p/1r2p3/1p2P2P/p4P2/PPP5/1KR4R b - -,b5b8
1r1q1r2/p4pbk/1pn1n1pp/2p1p3/P1N1P3/B1NP3P/2P2PP1/1R1Q1RK1 w - -,g1h2
8/p4r2/8/1k3Pp1/4p3/8/5PK1/1R6 b - -,b5c4
8/5k1p/4P3/5P2/6P1/3n1K2/7P/8 b - -,f7f6
r4rk1/1bqn1ppp/pp2pn2/8/2PN4/2N3P1/PPQ1BPP1/R2R2K1 b - -,f8d8
3rr3/p1p3pk/2n3qp/2Q5/3P4/2P2b2/PP1R2PP/R1B3K1 w - -,g1f1
