8/8/1R2bp2/2B1k2K/8/1p4P1/5r2/8 b - -,f2f5
8/5k2/3b2p1/5b2/8/5P2/6KP/R7 b - -,f7g7
2r1rbk1/1bq3pp/1pp1pp2/p2n4/3PNP2/P2NP3/1P2QPBP/2RR2K1 w - -,e4g3
2r3k1/pb1r1pbp/1pnqp1p1/6B1/3P4/2P1QN2/P3BPPP/2RR2K1 w - -,h2h4
5r2/p4kpp/4n3/8/2R5/B7/P5PP/3r1NK1 b - -,f8b8
5rk1/rppqnpp1/p2pbn1p/4p3/4P3/2PP1N1P/PPB2PP1/R2QRNK1 w - -,d3d4
8/8/8/4QK2/6pk/5r2/8/8 w - -,f5g6
r4rk1/3bpp1p/p7/2pPP1B1/P6Q/2q3nP/4B1PK/1R3R2 b - -,g3f1
rnb2rk1/1pq1p1bp/2pp1np1/p4p2/2PP4/1P3NP1/PB1NPPBP/R2Q1RK1 w - a6,d1c2
5k2/3p3p/3q4/1P3p1p/2p2P2/2NnQK2/1P6/8 w - -,c3e2
rn1q1rk1/pb2ppbp/3p1np1/2pP4/2N1P3/6P1/PP2NPBP/R1BQ1RK1 b - -,b8d7
r1bq1rk1/pp1Bppbp/3p1np1/2p5/4P3/1P1P4/PBP1NPPP/RN1Q1RK1 b - -,c8d7
1n3rk1/p4ppp/3qp1b1/3n4/1p1P1P2/4BQN1/PPP3PP/R4RK1 w - -,g3e4
r2N2kr/5p2/p2R2np/q7/2p4B/4Q3/PPP3PP/2K4R b - -,g8h7
2r1r3/pb3pk1/1q4p1/1p3nB1/8/P2R2p1/BPP3PP/R4Q1K b - -,c8c2
8/p3k3/1p4p1/6P1/P1Br4/1P3K2/8/8 w - -,f3g3
r1bqnrk1/ppp1bppp/3p4/4P3/3Q1B2/P1N5/1PP2PPP/R3KB1R w KQ -,c3d5
8/5kp1/4N2p/p7/6P1/1Pr4P/P3R1K1/8 w - a6,e6f4
8/1pr1p1k1/p2R2pp/3PNp2/1PB1p3/2P3PP/1P4P1/6K1 b - -,e7d6
1rq2rk1/1p2bppp/2np1n2/p1p1p3/2P5/P1NP2Pb/1PN1PP1P/1RBQR1KB b - -,h7h6
2n5/2P5/3k1N2/3p1p2/8/6P1/7P/6K1 b - -,c8e7
rn3rk1/p2pqppp/bp6/3Q4/5p2/P1N1P3/1P3PPP/R3KB1R w KQ -,d5a8
r2qk2r/pp2bppp/2n1pn2/2pp4/3P1Bb1/2PBPN2/PP1N1PPP/R2Q1RK1 w kq -,d1b1
r3k2r/ppp1q1pp/2b5/4b3/4p3/1PB1P3/P2P2PP/R2Q1RK1 w kq -,d1h5
1r3bk1/r1q2p2/4p1p1/3pP1B1/p2P4/R1P2Q2/1P3RP1/6K1 w - -,g5f6
8/R4k2/3p4/2pPpP2/2P5/3B2n1/6r1/4K3 b - -,f7f6
r2qkb1r/3b1pp1/p1Nppn1p/1p6/4P3/2N1BP2/PPPQ2PP/2KR1B1R b kq -,d7c6
r3k2r/qp1n1pp1/2pbpn2/p1Pp1b2/3P1P1p/P1N1PB1P/1P1N2P1/R1BQ1RK1 b kq -,d6e7
8/1k2n3/1p2P1p1/4N2p/PK6/6PP/8/8 b - -,b7c7
8/p5kp/3N2p1/1P3p2/5P2/1b2n1PP/4r1B1/R5K1 w - -,a1a7
r1q1r1k1/1ppb1pbp/p1np1np1/8/2PNP3/2N1B1PP/PP3PBK/R2Q1R2 w - -,a1c1
r4rk1/b1pq2pp/p1n5/P2p4/1p1Nn3/2P2N1P/1PQ2PP1/R1B2RK1 w - -,c1e3
2k3r1/1p1nb3/1p2p3/4P1N1/1P1p3p/8/P6P/4RR1K b - -,e7g5
8/1p6/1P4p1/2pk1p2/4pP2/2K1P3/3P4/8 w - -,c3b3
1k5B/8/8/2n2p2/4bP1P/P5K1/8/3B4 w - -,h4h5
r2qkb1r/pppnpppp/5n2/5b2/Q1pP4/5NP1/PP2PPBP/RNB1K2R b KQkq -,e7e6
2r4r/kp1q1pp1/3bp1p1/p2p4/P2P2P1/1PP2Q1P/K1RB1P2/4R3 w - -,e1h1
1r1q1rk1/bp2npp1/3p3p/1PnPp2b/N7/1Q2PPP1/4N1BP/1RB2R1K w - -,a4c5
r3q1k1/p1pn3r/1p1p1p1p/4p1p1/2PPP3/2P1N1P1/P3QPP1/3RR1K1 b - -,e8f7
3r4/1q1b1Qbk/1Np2ppp/pP6/4R3/2P3P1/P4P1P/5BK1 b - -,b7b6
3r2k1/p6p/1p4p1/3q1p1B/P1Q1p3/4P2P/3r1PP1/5RK1 w - -,h5e2
r1bqkb1r/ppp2pp1/2np1n1p/4p3/2B1P3/3P1N1P/PPP2PP1/RNBQ1RK1 b kq -,g7g6
3b2k1/5p2/1n1p2pp/N2Pp3/p3P3/1p1P2P1/P4P1P/3B2K1 w - -,a2b3
8/6kp/2p2b2/2Pp4/p2P2qp/P5P1/1B3Q1K/8 w - -,g3h4
8/7p/p1r3k1/1p4p1/1P6/P6P/6PK/4R3 w - -,e1e3
8/p1k2p2/5q2/2Qp4/Pp6/6P1/1P3P1P/6K1 b - -,f6c6
8/8/1p1p3p/pP2nk2/P1P2p2/7P/4NK2/8 b - -,e5c4
8/p3k3/1pBnpbpp/1Pp1p3/8/6P1/1PPN1P1P/6K1 b - -,f6g5
r1b1kb1r/p1qp2pp/1p2p3/3nPp2/1n6/2P2NP1/PP2QPBP/RNB1K2R w KQkq -,c3c4
r2qk2r/1b4bp/p3pnp1/1pp5/5P2/P1p5/1PPNBBPP/R2Q1RK1 w kq -,b2c3
3r1rk1/pp2nppp/1qnN4/4p3/8/1PP3P1/1P2QPBP/R2R2K1 b - -,b6b3
r1b1k1nr/pp1pppbp/2n3p1/2q5/4P3/2N2N2/PPPB1PPP/R2QKB1R w KQkq -,f1d3
2r5/1p3r1k/p2B1n1N/3P3p/4p1P1/4P3/PPqQB1P1/3R2K1 b - -,h7h6
