8/8/2pR3p/7P/2k1K3/3p3r/8/8 b - -,c6c5
r4rk1/2q2p2/1p2pPp1/pP1p1nB1/2pP4/2P2NP1/1PQ2PK1/7R w - -,c2f5
2r1k2r/4bpp1/p2pbn1p/1pq1p3/4P1PP/2NQNP2/PPPB4/2KR3R b k h3,b5b4
r7/2P4p/2k4P/3bB3/8/8/6PK/3R4 b - -,a8c8
2b5/2q1n1pk/p3pr1p/3pNp2/1p1P1P1Q/3BP2R/PP4PP/6K1 w - -,h4e1
3r2k1/1b2q1pp/pQ6/3p1p2/3pp3/1N2P3/PP3PPP/2R3K1 w - -,c1c7
rnbqkb1r/pp3ppp/2p1p3/3p4/2PPn3/5NP1/PPQ1PPBP/RNB1K2R b KQkq -,f8e7:f8d6
r4rk1/pb1nqpp1/1pp2n1p/3pNB2/3P1PP1/1P2P3/P1QN3P/R4RK1 b - g3,g7g6
8/pp3k2/8/4Rbp1/4p3/4K3/PPP5/8 b - -,f5e6
5k2/3R2p1/pprN1pb1/6P1/1PP5/2K5/P7/8 w - -,c3d4
2r1r1k1/1b4bp/p2p1qp1/p3n3/P2BP3/1PN4R/2PQ2BP/3R3K b - -,e8f8
5rk1/r4q2/pN1Pb2p/R1p2p2/2Nbp1p1/8/1PQ2PPP/5R1K w - -,f1a1
r1b2rk1/ppp2ppp/3b1q2/3PP3/2BB4/P1N4P/1P3PK1/R3Q3 b - -,f6g5
3rrnk1/pp3pb1/2p1q2p/4P2b/1PNp4/P2B2BP/2Q3P1/4RRK1 b - -,h5g6
rr4k1/pN1nbpp1/Bpp4p/2Ppp3/1P1PbPPP/R3P3/1P1K4/2B4R w - -,h1h2
2r1r1k1/1b1nqpp1/pp5p/2pp4/P2Pn3/2N1PN2/1PQ2PPP/1BR2RK1 w - -,c2d3
r2qr1k1/pp2bpp1/2p2np1/P5B1/Rn1P4/2N3PP/1P3PB1/3Q1RK1 b - -,f6d5
rn2kb1r/p1q2p1p/2p1pQb1/1p2N3/2pP2P1/2N1P3/PP3P1P/R3KB1R b KQkq -,h8g8
2r2k2/pb3ppp/2BRpn2/8/Nrp5/6P1/PP2PP1P/3R2K1 w - -,d6d8
7k/1ppq2pp/1p1n1p2/3P1b2/3N1Q2/2N1P2P/PP4P1/6K1 b - -,f5g6
6k1/8/4K3/5R1p/7P/6r1/8/8 b - -,g3a3
4r3/P1K3k1/8/8/4B3/6p1/8/8 w - -,a7a8q
r2qk1nr/1bpnppb1/p2p3p/1p4pP/3PP3/2N1BP2/PPPQ2P1/2KR1BNR w kq -,d4d5
rnbq1rk1/pp2bppp/4pn2/3P4/3N4/6P1/PP2PPBP/RNBQ1RK1 b - -,f6d5:e6d5
5k2/4p3/2BpPb1p/r1pP4/PpK3P1/1P6/8/5R2 b - -,f8g7
r1b1k2r/pp1p1ppp/n1p2n2/q7/1bPNp3/PQN3P1/1P1PPPBP/R1B1K2R b KQkq -,b4c5
r5k1/pp1b1pp1/2pr1nnp/q3P3/2P2PP1/1P1B3P/PB1N1Q1K/R7 w - -,e5d6
8/5pk1/2Bp2p1/p2P3p/1r3P2/4K3/7P/1b1R4 w - -,c6d7
r3rbk1/pp1q2p1/2n1bp1p/2pnp3/P1N5/2PP1NPP/1P1BQPBK/R2R4 b - -,a8d8
r1b2qkr/p7/3p3p/2pP2p1/4B3/2b1R2P/PPQ2PP1/R5K1 w - -,b2c3
8/5k2/6p1/2N4p/1n6/6PP/5P2/6K1 w - -,f2f4
r2qrnk1/1p3pb1/1Pp2np1/p1Pp1b1p/3Pp2P/2N1P3/PB1NBPP1/1K1Q2RR w - -,d2f1
