7k/R7/7p/8/2r1P3/5K2/7P/8 b - -,h8g8
r1bqr1k1/pppp1ppp/2n2n2/4p3/2PP4/P1Q1PN2/1P3PPP/R1B1KB1R b KQ d3,e5d4
3r1r2/pbq1ppkp/1pn3p1/2p5/2BPP3/2P1Q3/P3NPPP/2R2RK1 b - -,e7e5
5r2/p5p1/3n4/1p2R3/6k1/1PP5/P3K2P/2B5 b - -,f8e8
8/5p2/p3p1p1/1p3k2/1P1b1P1P/P5K1/8/3N4 w - -,g3f3
r1b2rk1/pp3ppp/2n2n2/q3p3/2BP4/P1P2N2/1B3PPP/R2Q1RK1 w - -,f1e1
2b1rr1k/1pq3pp/p1n1pn2/3p4/5P2/PNN3P1/1PPQ2BP/4RR1K w - -,e1e2
3r2k1/3q1ppp/7B/r4n2/P1B5/8/1PP3QP/R4RK1 w - -,f1f5
3r2k1/pp4p1/4p3/4p2p/4P1nP/1PP4R/q2N2P1/2Q1K3 b - -,g4f2
1r3rk1/pb3pbp/2n2np1/4p3/1p2PP1N/4B1PP/PP4B1/R2N1RK1 w - -,f1f2
4r1k1/1p1b4/p2p3p/P1pP1p2/1n3P2/1Rb2N1P/5BP1/5BK1 b - -,c3f6
6k1/pp1qrp1p/5bp1/2Pp4/1P3P2/2PQ1NP1/P5KP/4R3 b - -,e7e1
3rrbk1/pp1n1ppp/8/5P2/5P2/3R4/PB2Q1PP/5R1K b - -,e8e2
3q3r/1p2nkp1/2p1n1pr/p2pPp2/Pb1P1P1P/1P1QBNP1/2R1B1K1/7R b - -,h8f8
3r2k1/pp1r1p2/6pp/1p6/4P3/3PRN1P/Pb3PP1/1R4K1 b - -,b2d4
3q1k1n/5nbQ/6p1/p2pP1P1/3P4/2rB4/P1N4R/2B4K w - -,c1a3
r2qkb1r/ppp1nppp/3p1n2/3Pp3/4P1b1/2N1BN2/PPP2PPP/R2QKB1R w KQkq -,f1e2
3r2k1/5p1p/1P4p1/8/Bp6/2b3PP/P1R1KP2/8 w - -,b6b7
8/8/3bP1Bk/1P5P/2Kp4/5p2/8/8 w - -,b5b6
rnbqkb1r/5ppp/p3pn2/1pp5/3PN3/3BPN2/PP3PPP/R1BQK2R b KQkq -,b8d7
8/r7/8/2kbPp2/2p3p1/2K3Pp/1PP1B2P/4R3 b - -,a7e7
3q2k1/pb2bppp/1pn1p3/2p5/2P1Q2P/1P3NP1/PB2PPB1/6K1 b - -,e7f6
4rrk1/1q4p1/2npbpPp/1p1N3P/p1n1PQ2/PN5B/1PP4R/1K1R4 w - -,h3e6
4r1k1/pp4p1/2pbp2p/8/3PR2P/2P5/PPK3P1/4B3 w - -,h4h5
4n1k1/BBrr1ppp/2N5/8/8/1R4P1/4PP1P/2b3K1 w - -,c6a5
r2qk2r/pp1nnpbp/2p1p1p1/3p4/4P2P/P1NP1QP1/1PP2PB1/R1B1K2R b KQkq -,h7h5
b4rk1/pq3pp1/4p2p/6r1/QNp5/2P1RP2/PP4PP/R5K1 b - -,b7b6
r2bqrk1/ppp3pp/2np1n2/3Npb2/2PP4/6P1/PP2NPBP/R1BQ1RK1 b - -,f6d5
8/4r1k1/5n1p/3Pp1p1/p7/4Q2P/1qB3P1/R6K w - -,e3a3
2qrr1k1/p4p1p/1p4p1/2p1n3/P4Q2/2PP1BP1/4PP1P/1R3RK1 b - -,c8e6
r1b2rk1/q4ppp/p3p3/2Q5/Pn2NP2/8/1P2B1PP/2R2RK1 w - -,g1h1
r1bq1rk1/pp3ppp/8/3p1n2/3n4/2P3P1/PP3PBP/R1BQ1RK1 w - -,c3d4
3nr1k1/2pq1pbp/pn1p2p1/3R1PN1/1r2P1Q1/4B1N1/PP4PP/4R1K1 w - -,e3b6
1r2k2r/Rbqn1pp1/2p5/2b5/2pB1P1p/2N1N2P/2P2QP1/1R4K1 w k -,d4c5
r3k1r1/pb1n1p2/1q2pP1n/1p2P1bp/2NP2p1/2P3P1/P1BN3P/R1BQR1K1 b q -,b5c4
2r1qr1k/4n1bp/4Q1p1/5p2/4nP2/7P/2PRNBB1/3R2K1 w - -,g2e4
8/2qb2k1/p2p2pp/n3p3/2PpP3/P2P1NPP/1Q4B1/6K1 b - -,a5b7
2rqk2r/1b1n1pbp/p1npp1p1/1p4P1/4PP2/1NN1B1QP/PPP5/1K1R1B1R b k -,b5b4
2r3k1/2r1pp1p/3p2p1/3P4/1p4P1/qP1R1P2/1QP4P/2K1R3 w - -,e1e2
r1b1kb1r/pp2pppp/1q6/8/8/1B6/1BPPQPPP/R4RK1 b kq -,c8d7
8/2kr1p2/4p2p/1pb2p1B/p4P2/P1P3P1/1PK4P/5R2 w - -,h2h3
r1bqk2r/4ppbp/2p3p1/3n2P1/2pPNP1P/4B1N1/PP1Q4/R4RK1 w kq -,e3f2
