8/4k3/2K1p3/4p2p/4P2P/5P2/8/8 b - -,e7f7
5r1k/4Q1p1/3p4/7p/3bB3/5PP1/q6P/1R5K b - -,f8c8
2r1q1k1/pp3ppp/3b1n2/3n4/1B6/P3PN1P/1P2QPP1/3R2K1 w - -,b4d6
r1bq1rk1/pp2npbp/2pp1np1/4p3/4PPP1/2NP3P/PPP1N1B1/R1BQ1RK1 b - -,e5f4
r1bqk1nr/pp3pbp/2np2p1/2p1p3/4P3/2PP1NP1/PP1N1P1P/R1BQKB1R w KQkq e6,f1g2
r3kb1r/p4ppp/2p5/3p4/3N4/P3P3/1n1NKPPP/R6R w kq -,d4c6
r1b1k2r/3nq1pp/2p1pp2/1pPn4/3P4/4BN2/P2Q1PPP/R3KB1R b KQkq -,b5b4
8/4pk2/3p2pp/2pP4/2Pb1PPP/3R4/2rNK3/8 b - -,d4b2
rnb2rk1/4ppbp/p2p1np1/q1pP4/2P1P3/1RNB1N1P/P2B1PP1/3QK2R b K -,e7e5
r1b1rnk1/2q1bppp/1p1p1n2/1NpPp3/1PP1P3/4B3/3NBPPP/2RQ1RK1 b - -,c7d8
r2r2k1/1pn1q1b1/p1pR1p2/2P1pQp1/4N3/4P1B1/PP3PP1/2R3K1 b - -,c7d5
1kr5/1n3p2/p3q1p1/1p4P1/5Q2/PPR5/K1P5/8 b - -,b8a8
r2qkb1r/ppp2ppp/2B5/8/4p3/2P1P3/P2P1PPP/R1BQK2R b KQkq -,b7c6
8/p3bk2/1p1R4/2P3p1/2P2pP1/5K2/P4B2/r7 w - -,d6d7
r5k1/pR3pbp/6p1/8/4r3/4B3/P4PPP/5RK1 b - -,e4a4
5r2/p2b2k1/1p1p4/4p1PR/P1P1B3/1P2KP2/8/8 b - -,d7f5
rnbqk1nr/pppp1ppp/8/4p3/1bP5/3P4/PP2PPPP/RNBQKBNR w KQkq -,b1d2
r4rk1/ppb1nnpp/2ppb2q/8/2PPpPP1/1P2P3/PB1QNNB1/4RRK1 b - -,d6d5
2R5/1p6/p7/4p3/5kp1/P7/1P1K4/8 w - -,d2e2
2r2rk1/p4npp/p4p2/1b2pP2/1nNpP1PP/1P1Pb3/4N1B1/3Q1R1K b - -,h7h6
1K6/5p1p/5Pp1/8/8/7P/8/k7 w - -,b8c7
