8/8/3n4/6kp/6p1/4K1P1/8/4N3 b - -,g5f5
r3r1k1/pb1n1pbp/1pn1p1p1/2p1P1B1/B7/2P2N2/PP2RPPP/R4NK1 w - -,a1d1
r3k2r/1pqb4/p1nbpn2/3p1p2/3P1Ppp/3BP1P1/PP1BNNKP/R2Q1R2 b kq -,h4g3
r7/1Q1bk1qp/p5p1/8/5P2/1B6/PP3PPP/6K1 w - -,b7a8
r1bq1rk1/1p2npbp/2pp2p1/p2Pp2n/1PP1P3/P1N2NP1/1B2BP1P/R2Q1RK1 b - -,f7f5
8/1p1k3p/p1pn1bp1/P4p2/1PP1pP2/1K2P1P1/6BP/4B3 b - -,h7h5
8/4k1n1/1p2p1B1/p2p3p/1n1P1PPP/1P3P2/1P2K3/6B1 b - -,e7f6
r3r1k1/1pp2pBp/p1nq4/P4b1N/3Pp3/2P4P/2P2PP1/R2Q1RK1 w - -,g7f6
r5k1/2pqb1pp/4pn2/1p2p3/4P3/2P4P/1P1NQPP1/2B2RK1 b - -,d7c6
5rk1/2rbq1p1/p3p1Qp/1p1pP3/3Nn2P/P1PB2p1/1P5K/2R3R1 w - -,h2h3
1rbqkb1r/2p2ppp/p1p2n2/3p4/3P4/2N1B3/PPP2PPP/1R1QK1NR w Kk -,g1e2
5k2/5p2/1p4p1/p2Bbb1p/R7/4p1P1/K2nP2P/6R1 w - h6,g1c1
2k4r/pp4p1/2p2npp/q3b3/3r2PP/2NB1P2/PPPQ4/1K1R3R w - -,a2a3
5r1k/5p2/pq4pp/1n2p3/2B1P3/3Q3P/5PP1/1R4K1 w - -,c4b5
r2r2k1/pb3p1p/1p2p1p1/6q1/6N1/1QP5/PP3PPP/3RR1K1 w - -,g4e3
r3kb1r/pp2ppp1/1np3bp/3n4/3q4/4NPPN/PPQPP1BP/R1B2R1K w kq -,c2b3
3r2k1/pppr1pp1/7p/6q1/8/P1Q1P3/1P3PPP/2R2RK1 w - -,c3b3
r3k3/ppqb1p1p/4pnr1/2P5/2P1p3/P3QP2/2PBB1PP/R4RK1 w q -,d2c3
r5k1/5pp1/2nq2p1/1Q1p1n2/1P6/2pN1P2/r3N1PP/2R1R1K1 w - -,e2c3
r4k2/p1rp1ppp/8/R3P3/4bPP1/1B6/P6P/5RK1 w - -,f4f5
Q1bqn3/2b3pk/3p2p1/2pP3p/4PB1P/2PB1NP1/8/6K1 w - -,f3g5
6k1/p7/1p1N1Pp1/7p/7P/3n2K1/P5P1/8 w - -,g3f3
1k1r2r1/pp1nbp1p/2p1ppb1/8/2PP1P1N/PP4P1/1B2B2P/2RR2K1 b - f3,g6e4
8/5k2/6p1/4p2p/1r2P3/5P2/1P1RK1P1/8 w - h6,e2d3
1r1b3k/2p4p/1p1p4/1P1Pp3/4Ppq1/1Q6/1P3B1P/R6K w - -,b3d3
r4bk1/p4p2/2p1bnp1/1p2p2p/4P3/P1N1BB1P/1PP2PP1/3R2K1 w - h6,c3e2
8/8/6p1/2k2p2/r6P/5KP1/p7/R7 b - -,c5c4
rnbqk2r/1p2bpp1/p2ppn1p/6B1/3NPP2/2N2Q2/PPP3PP/R3KB1R w KQkq -,g5h4
3r2k1/pp3pp1/4p1p1/2Nn4/3R4/1P3Q1P/q4PP1/6K1 b - -,a2a1
3r4/6p1/1p3k1p/4RP2/1p1n1KB1/3P4/1P3P1P/8 w - -,h2h4
r2qrnk1/4bppp/Bp2p3/3p4/3P3P/2P5/PP1NQPP1/1K1R3R b - -,d8c7
4rrk1/1pq3p1/p3bpQp/P3p3/1bNpN2P/1P1P4/2P2PP1/R4RK1 w - -,a1a4
2b5/1p2kp2/p4n1p/3p1Pp1/3N2P1/4P2P/PP2K1B1/8 b - -,e7d6
8/2p5/3p2p1/p2Pp3/P3P1kp/2Pr4/5P1K/2R5 w - -,c1g1
rnb2rk1/p1p2ppp/1p2pn2/3q4/3P4/2B5/PPQNPPPP/R3KB1R b KQ -,c8b7
5r2/3b3k/6pp/4pp2/p2p2P1/2qP2NB/R2NPP1P/6K1 b - -,d7e6
2r2rk1/p3qpp1/1p5p/3b4/3P1n2/P4P2/1P1RBBPP/3Q1RK1 b - -,e7g5
r7/5k2/3P4/2p1R1b1/p1P5/6p1/PPB3K1/8 b - -,g5f6
r2q1r1k/1pp1n1pp/3b1p2/p2bp3/Q1N5/P2PB1P1/1PR1PPBP/2R3K1 b - -,d5g2
3r1k2/5ppp/1p3q1n/p1p5/P1PpBPbP/1P1P2P1/2Q3K1/2B1R3 b - -,f6e6
4r3/6k1/1pp3pp/p2p4/2PP2P1/PP3K2/5P2/1R6 w - -,c4d5
r5k1/4p2p/2Pp2p1/3q4/4N3/4KP1P/6P1/2Q5 b - -,a8c8
5rk1/pp1R1p1p/2p5/6p1/4b1P1/1P1NP1P1/P4K1P/8 b - -,e4d3
5q1k/pQ1R2bp/1p3p2/2r5/8/6P1/P4P2/5RK1 b - -,h7h5
r3kb1r/pp1q1ppp/2n1pnb1/8/3P2P1/2N1BN1P/PP2BP2/R2QK2R w KQkq -,f3e5
r3k2r/pppn3p/5pp1/4p3/2N1P3/2P1bP2/PPK3PP/R6R w kq -,c4e3
6k1/3b3p/p1pQ2p1/1p3nB1/3P4/5B2/PP4P1/6K1 b - -,f5d6
3q2k1/1pp2p2/p2p2p1/P2P1n1p/2P5/2Q2N1P/1P3PP1/6K1 w - -,c3b4
3r2k1/p2r1pb1/2p3p1/q3pnPp/1B2N2P/2P2P2/PP1R1Q2/1K1R4 b - -,d7d2
r2q1bnr/ppp2kpp/8/4N3/3nP1b1/3P4/PPP3PP/RNBQK2R b KQ -,f7e6
r4k2/6pp/8/3r2N1/8/8/P4PPP/2R2K2 w - -,h2h4
1rb1k2r/1pqnbp2/p2ppnp1/7p/P3PP2/1NN2B2/1PP1Q1PP/R1B2R1K b k -,b7b6
8/R7/2p1k3/1bPp1p2/8/5K2/5P2/8 w - -,a7b7
2rqr1k1/1p1nbpp1/3p3p/pNpPp3/P1N1Pn2/BP3Q1P/2P2PP1/3RR1K1 b - -,d7f6
1R6/1b1k1r2/5p2/p1p1nPp1/3bP1P1/1P3B2/6K1/2R5 b - -,d7c7
r1b2rk1/ppq1ppb1/6pp/2P5/4n3/Q3BN2/PPP2PPP/2KR1B1R b - -,b7b6
3rrnk1/1p3ppp/p1p5/P2nPq2/3PR3/B4N2/1Q3PPP/4R1K1 b - -,f5c8
8/5p2/4kP2/4P3/5P2/5KR1/r7/8 b - -,e6f5
8/p1pk3p/1pn2p2/3p2p1/3P2Pn/2PN4/PP1N1P1P/2K5 w - -,f2f4
2bqr1k1/p1p1rpp1/1p1n1n1p/3p4/1P1PP3/P2B1PN1/2QB2PP/4RRK1 b - -,d5e4
8/3k4/3P1P2/5K2/4N3/8/8/4r3 w - -,f6f7
r1b1k2r/pp2ppbp/6p1/q2Pn3/4NB2/5N2/PP3PPP/R2QK2R w KQkq -,e1f1
2rq1rk1/pp2bppp/2n1pn2/1BppNb2/5P2/1P1PP2P/PBP3P1/RN1Q1RK1 w - -,b5c6
1R6/1P3pk1/4p2p/4P1p1/2p1P1P1/5P2/1r5P/4K3 w - -,e1f1
1rkr4/2pnb1p1/1pQRp3/4P3/1pP2P2/6Pq/P7/3RB1K1 b - -,g7g5
r2b1rk1/ppR2ppp/4p3/1q1pP3/3P4/4PN2/PP1Q2PP/5RK1 w - -,c7c5
8/3r1k2/1pp1Rpp1/p1r4p/7P/2P3P1/PP2R3/6K1 b - -,b6b5
r2q1rk1/pp3ppp/5b2/2p5/3p2b1/1P1Q2P1/P1PPNPBP/2KR3R w - -,g2e4
8/6Q1/3k1p1R/2p5/1p1b2P1/1P1q4/8/7K w - -,g7f8
6k1/Q4p1p/3P1bp1/3B4/5P2/3r4/6KP/8 b - -,d3d2
2r2rk1/3nb1pp/1qp2pb1/P2pp3/3P4/P1Q1PP2/1N2NBPP/2R2RK1 b - -,b6a6
4K3/3P4/4k3/8/8/3R4/4p3/8 b - -,e2e1q
r1b1nrk1/pp3p1p/3p2p1/2pPq3/2P1PR2/2N5/PP1QB1PP/5RK1 b - -,c8d7
8/1P2R3/8/8/3pp3/8/1PPk1p2/5K2 w - -,e7e4
8/8/p2b4/4k1p1/P1P2Pp1/1N6/4K1P1/8 b - -,g5f4
1r2q1k1/1n4pp/1N1p4/P2Pbr1b/1P2p3/R3B3/4BPQP/4R1K1 w - -,e2h5
7R/kpp5/4p3/2b1P3/2P1K3/2r5/8/5N2 w - -,f1d2
8/8/3K4/8/4k3/3n4/b7/B7 b - -,a2d5
r2qk2r/ppn1b1p1/2ppbn1p/5p1P/2PPpB2/2N1PP2/PP1QB1P1/R3K1NR b KQkq -,e8g8
r2r2k1/pp2bp1p/4p1p1/3b4/3P3N/P3PBP1/1PR2K1P/5R2 w - -,f3d5
6k1/3nrpp1/2q2b1p/1p1Rp3/rPp1P3/P4N1P/1BQ2PP1/2R3K1 b - -,d7b6
rnq2rk1/pbp2ppp/3Bpn2/3p4/3P4/1QPBPN2/1P1N1PPP/R3K2R b KQ -,c7d6
8/1B1b3p/3k2p1/p1b2p2/5P2/1P5P/P3K1P1/4N3 b - f3,d7b5
5rk1/p4p1p/2p3p1/8/P7/1r6/1PR2KPP/7R b - -,f8b8
8/p2kr1pb/2n4p/8/R5R1/1P3N1P/P4rP1/3K4 b - -,a7a5:f2f1
1N4k1/6p1/4p2p/pP1pP1b1/3P2Nn/P4q2/2K5/1Q4R1 b - -,f3e2
8/8/p1pNnk2/2P1p2p/1P2K1pP/P5P1/5P2/8 b - -,a6a5
