8/6p1/p7/Bp6/1P2b3/1k3pP1/5K2/8 w - -,f2e3
3n1r2/3qb2k/3p3p/RppBpp1b/5P2/1QPPN1B1/1P3PKP/8 b - -,e5f4
8/8/7K/p3k1P1/P6P/8/8/2q5 w - -,h6g6
r2q1rk1/4bppp/p1npbn2/1p1Np3/4P2P/2N5/PPP2PP1/R1BQKB1R w KQ -,c1e3
6k1/3b2p1/pp2p2p/4P3/P1pP2PP/1r2B3/4KP2/R7 w - -,e2d2
7r/1k6/8/pp1q1p1p/2p2Pp1/2P1Q1P1/1P6/K1N5 b - -,h8d8
8/3n1k2/2n1p1pp/2p1P3/2P1NP2/PK2B3/6PP/8 w - -,e3c5
r1bq1rk1/ppp2pp1/2n1p2p/3p4/2PP4/P1nBPN2/1PQ2PPP/R3K2R w KQ -,c2c3
r2qk2r/4n1bp/p4p2/nppP1p2/2P5/5N1P/P2N1PP1/R1BQ1RK1 b kq -,e8g8
2kr4/pp3ppp/2p1p3/4P1P1/1nB2P2/7P/P1P2R2/6K1 b - -,b7b5
1r5r/pqp2pk1/3bbn1p/2p1N1p1/2P5/3B3P/PPQ1RPPB/4R1K1 w - -,f2f4
2rb1rk1/1b4pp/1nq1p3/p2nPp2/2pP4/P1P2N2/3B2PP/RB1Q1RNK b - -,h7h6
8/pn6/1pB1p3/1P3k2/2p4P/2P1pPK1/8/8 b - -,b7c5
2kr1r2/1p2nppn/p1p1p2p/4P2P/2PPN1P1/1P3B2/1P6/2KR3R w - -,e4d6
rnbq1rk1/pp2ppb1/5np1/3p3p/2PP1B2/2N2N2/PP1QBPPP/R3K2R b KQ -,b8c6
1r1q1r1k/7p/ppb1p3/4P3/2pB1p1b/1P2Q3/P2N2PP/2RR2K1 w - -,e3c3
r3nrk1/1ppbqppp/3p4/p1nPp3/2P1P3/2N3P1/PPNQ1PBP/4RRK1 w - -,f2f4
8/4p1k1/2prP3/1p3Pr1/pP1P1Rp1/P2B2Pp/5K1P/8 w - -,d3e2
r2r2k1/2qbbppp/p1nppn2/1p6/4P3/PNN1BP2/1PPQB1PP/R2R2K1 w - -,d2e1
2r1k1r1/Qp1q1n1p/5p2/3Ppp1B/8/2P5/P4PPP/3RR1K1 b - -,c8c3
