8/6k1/8/r5Kp/7P/4R1P1/8/8 w - -,g5f4
2r5/1p1R1bkp/4R3/1Pb2p1r/6p1/3B2P1/6KN/8 w - -,d3c4
r2q1rk1/pp2bppp/2p1pn2/P3N3/1n1P4/2N1P3/1P2QPPP/R1BR2K1 b - -,c6c5
r1r5/2p1nkNp/p1b2n2/5pB1/p1P5/7B/5PPP/R3R1K1 b - -,f7g7
8/5pkp/6p1/r3R3/3p4/1n4P1/4PPBP/6K1 w - -,e5a5
8/1b3k2/2p4b/p1p2P2/P1P1K1N1/8/1B6/8 b - -,h6g5
r1bq1rk1/pp1nbpp1/2p1p2p/3pP3/2PP4/2N2N2/PPQ2PPP/2KR1B1R w - -,c4d5
7k/pp2p2b/2np4/8/8/8/PPP2B2/2KN4 w - -,c1d2
8/4k3/1p5p/7R/3P1KP1/6r1/8/8 b - -,g3d3
r1bqk2r/pp1n1ppp/2p5/3pP3/5Pn1/2N2N2/PPPQ2PP/R3KBR1 b Qkq -,d8b6
4k3/1q1b1p2/1b2pP2/3p3r/pPrP2N1/P1N1Q1Pp/7P/1R1R2K1 w - -,c3e2
2kr3r/pppnq1p1/3bp3/3p1p2/3P2Q1/3B2P1/PPPN2PP/2KR3R w - -,g4e2
1n2rbk1/3r1ppp/2n5/4PP2/q1B1Q3/4B3/1P4PP/2R4K w - -,c4f7
5rk1/p4pp1/1p1p4/4pP2/q3P2p/7P/PP1Q2P1/1R5K w - -,d2d5
2k5/2pr4/pp3B2/5p1p/P4PpP/6P1/3nK3/2r1R3 w - -,e1c1
r3r1kb/pq1b1p1p/np2p1pB/3P4/2B1P2Q/5N2/5PPP/1R3RK1 w - -,h6e3
2r3k1/1N2bp1p/p1r1p1p1/2p1P3/1pP2PP1/3R4/PP4KP/3R4 b - -,c6c7
3r3r/p3n1k1/1pb4q/2p2p2/7P/P2PP1P1/1P1Q1KB1/2R1R3 w - -,b2b4
1R3bk1/5p1p/5qp1/p1r5/Q7/6PP/5P2/5NK1 w - -,f1e3
8/2p2rpk/p6p/np1q1P2/4r2N/1PP1Q2P/1P2R1P1/6K1 w - -,e3e4
r1bqr1k1/1p2bppp/2pp1n2/p3n3/P2NP3/1BN5/1PP1QPPP/R1BR2K1 w - -,c1f4
8/7p/1n1Pkrp1/2p1p1B1/6P1/2N4P/1P2K3/8 w - -,g5f6
8/1k3p2/1p3q2/3Ppbp1/7p/Q6P/1P3PP1/2B3K1 w - -,a3b4
r1b2k1r/ppppb1pp/3q4/4p2Q/3B4/2PB3P/PP4P1/RN2R1K1 w - -,e1f1
1kr5/pp3pp1/1n6/2bp2p1/6P1/P1NRP2r/1PQ2P1q/1KBR4 w - -,c2e2
1rq1r1kb/p1p2p1p/2pp2pB/2n5/2P1PP2/1PN2b2/P2Q2PP/4RR1K w - -,f1f3
5rk1/3nppbp/br1pP1p1/p1pP4/5P2/q1P1N1PP/P1RQN1B1/3R2K1 b - -,d7f6
r3k2r/pbqnbppp/1p1ppn2/2p5/P3P3/2PB1N1P/1P1PQPP1/RNB1R1K1 w kq -,b1a3
