8/R7/p3rkp1/1p6/2r2KPP/8/3p4/3R4 w - -,f4f3
8/8/K7/5p1P/4nk2/P7/5Np1/8 w - -,f2h3
8/1r5p/5k2/Rb1P4/p2KBP1P/8/8/8 w - -,d4c5
1r2r1k1/2qbbppp/p1nppn2/Pp6/4PP2/1NN1BB2/1PP3PP/R3QR1K b - -,c6b4
8/5ppk/R6p/5P2/Nb4K1/r5P1/7P/8 w - -,g4f4
1q2r1k1/1p3p2/7p/2PP1bp1/4p2n/1B5P/3R1PP1/1R3QK1 b - -,b8f4
r1b2N1r/5kpp/p2p1n2/qp6/4P3/2N5/PPPQ1PPP/2KR3R b - -,h8f8
r3k2r/pp1nppBp/2p3p1/2Pp1b1n/3P4/1P2PN2/1P3PPP/RN2KB1R b KQkq -,h5g7
4rr2/1b2qpk1/1p1p1np1/p2PpPQp/2PpP2P/6P1/PP4BN/3R1RK1 w - -,f1f2
r1b1r1k1/p1qn1pbp/2p3p1/1p1pP3/P3N3/2PBBN1P/1P3PP1/R2Q1RK1 b - -,d5e4
8/8/2n5/p5p1/Pp1k4/1P3K1B/2P5/8 b - -,c6e5
3r1rk1/pp3pb1/b4qpp/8/3P4/1P4P1/P3NPBP/R2Q1RK1 b - -,f8e8
r1r2bk1/3q1ppp/3p4/3Np2P/4P3/Pp1Q4/1P3PP1/1K1R3R b - -,d7a7
r1b2rk1/1p5p/1q4p1/3pp3/p7/4RNPP/PP1NK1B1/R1B5 b - -,e5e4
1rbr2k1/4qpp1/p1nppn1p/bppP4/2P5/PPN1PNP1/1BQ2PBP/1R3RK1 b - -,a5c3
8/5Rkp/8/2p1r1pP/2B5/8/6P1/6K1 b - -,g7h6
2r5/8/p2p4/1p6/2q4Q/2P3R1/PP1k4/1K6 w - -,h4h2
8/1p3q1k/p2Qp2p/P1BpPp2/8/1b4P1/5K2/8 w - -,f2e3
8/4r2p/p5pk/4Np1q/PQpP4/2P5/2B2PP1/3K4 w - -,g2g4
6k1/5pp1/2q4p/1p1p1Q2/8/rp3PP1/8/4RK2 w - -,f5d3
4r3/7p/p1k3pn/B3Pp2/2pR1PP1/1n5P/NP6/1K4R1 b - -,b3d4
r3k2r/pp1qnbb1/3p2pp/2p2p2/2PnPN2/2NPB1P1/PP1Q2BP/R4RK1 w kq -,a1e1
1R6/2prr1k1/1p1q1pp1/1b1p3p/1P1P4/2Q1P2P/3N1PP1/R5K1 b - -,d7d8
6k1/p3nrb1/3q2pp/5p2/N2Np3/6P1/Q3PPBP/3R2K1 b - -,e7c6
3r1rk1/ppq1bpp1/2p1p1p1/8/3P2Q1/2P3P1/PP3PBP/3RR1K1 b - -,e7f6
1kr4r/pp2qpp1/1n1bpnp1/8/3NP3/1B5P/PP2QPP1/1KBR3R b - -,d6c5
1k1r3r/pppqn3/1n1bp3/NP3pp1/Q2P3p/4P1P1/P2B1PBP/1RR3K1 w - -,a4b3
5rk1/4qpb1/2p3p1/4p2p/4P1b1/P5N1/5PP1/R1Q2RK1 w - -,f2f3
8/7k/p4r2/1p2pb1P/2Pp1n2/N5R1/PP1K4/5B2 b - c3,b5b4
3q1r1k/8/1p1p3b/p1pP4/2P3P1/2R1ppP1/PP3P2/1Q3RK1 b - -,e3e2
2bnr1n1/5pbk/p5pp/1p1B4/5N2/1P2BN1P/P4PP1/4R1K1 w - -,e1c1
8/5pk1/R5p1/8/4K1Pb/7P/8/8 w - -,e4f4
8/3n4/K7/1Pk3p1/4P3/6p1/6B1/8 b - -,g5g4
5n1r/2r5/1ppk1b2/p2p4/P2P1p2/1P1NP1R1/3K2B1/5R2 w - -,f1f4
R7/8/8/4ppk1/8/3r4/5PK1/8 w - -,a8e8
3r2k1/1p4p1/4p3/p6Q/Pb2b3/1R2N1BP/5PP1/q5K1 w - -,g1h2
3R3r/1kp2pb1/1pp1b1p1/p3Pn2/2PN1P1p/1P3N1P/PB4PK/8 w - -,d8h8
r4rk1/pp1q1ppp/4p3/1PRn4/P2P4/4B3/3Q1PPP/R5K1 b - -,a7a6
r1r3k1/p4ppp/Q3pn2/2pq4/1P6/P3PNP1/5PP1/2R2RK1 b - -,f6e4
6k1/1p3pb1/p3p1pp/3qP3/5P1P/1P6/P4BP1/4Q1K1 b - h3,g6g5
2rqrnk1/1p4b1/p3p1pp/2p1Pn2/N1Pp1BQ1/1P5P/P4PP1/R3RBK1 w - -,f1d3
6k1/1p5p/8/2q2p2/p2N4/3Q1PP1/5K1P/8 w - -,f2e3
1rb1k2r/8/4pn2/p7/Pp1P1P2/5B2/1PPB2P1/R4RK1 w k -,a1e1
r2qk2r/pp1n1ppp/4p3/n2pP2b/Q7/2PB4/PP1N1PPP/R3K1NR w KQkq -,d3b5
3r4/7P/8/5PP1/1p2kBK1/3p4/1P6/8 b - -,d3d2
r1bq1rk1/pppnb1pp/4p3/2Pp1p2/3PnB2/2N1PN1P/PPQ2PP1/R3KB1R b KQ -,c7c6
r1b2rk1/ppp1R1p1/5p2/6n1/2PP1p1q/2PB1P2/P2NR1QP/7K b - -,c8h3
2n3kr/r4Bq1/1p1pPp1b/p1n1pPp1/2P1P3/4B1NP/PP1Q3R/6RK b - -,g8f8
8/8/6kp/1RbN1pp1/2P5/r2K1P1P/8/8 w - -,d3e2
r3kbnr/pp3ppp/1q2p3/1b1pP3/8/3BBN2/PP3PPP/R2Q1RK1 b kq -,b6a6
2br1bk1/p5pn/2p4p/2p4r/N1Pp4/1P1P1R1P/P5K1/2BR2N1 b - -,h7g5
4r3/5k1p/4p1p1/2qnB3/R7/1n1Q1P2/6PP/3R3K b - -,b3c1
1rr2bk1/1p1n1p2/p1p1p1p1/N6p/1P1P1P1P/2PB1KP1/1P2R3/3R4 w - -,d3c4
4r1k1/bp3p1p/2pp3r/p4qp1/2P3b1/PP1NP1P1/1B3PQP/2R1R1K1 w - -,e3e4
2rqr1k1/5ppp/pp2p3/8/2nP4/2P2P2/P3QP1P/BRR3K1 b - -,c4a3
4k2r/p1pr1pp1/1p2b3/2p1P2p/6Pb/P1N2PBP/1PP3K1/3R1R2 b - -,h4e7
r4rk1/1ppn1ppp/p2q4/3Pp3/N3P3/3Q4/PP3PPP/2R2RK1 w - -,d3c2
7r/1p6/1r1p4/p1p1k1p1/P1PbPp1p/1P3P1B/R1K5/1R6 b - -,g5g4
N4rk1/ppp2ppp/5n2/8/3P4/P3P3/5P1P/1RB1KQ1q b - -,h1h2
2r1r1k1/pppq1ppp/8/8/3p4/P2P2P1/1PQRPPKP/2R5 b - -,e8e6
2k4r/p2q1p2/1bp5/3pp3/1P1pP1p1/P2P2Nr/5PKP/2RQ3R b - -,d5e4
8/5k2/5B2/8/6K1/8/8/8 b - -,f7f6
6k1/pp5p/2p1n3/4P3/2qP2P1/7R/5K2/4Q3 b - -,c4d4
2r2qk1/p6p/bp2p1p1/n2pP3/Q5P1/2N1P3/PP4BP/3R2K1 b - -,f8c5
r1bqk2r/3pbpp1/p1n1p1np/1p1N1N2/2B1P3/4B3/PP3PPP/R2Q1RK1 b kq -,e6d5
4r1k1/3q2pp/1p2r3/2p1p3/3nQp2/2BP2P1/PR2PP1P/2R3K1 b - -,e6f6
r3r1k1/p4pbp/2pp2p1/3b2N1/8/1NP4P/PP4P1/4RRK1 b - -,h7h6
5rk1/1p2q1p1/3r4/p2p3p/3p1pP1/PQ1P1P1P/1P3PK1/R4R2 b - -,f8e8
8/7p/3k2p1/p7/2PK2P1/7P/B3r3/2R5 w - -,c4c5
r5k1/5pp1/2pq4/1p1n1P1p/1P1R1PP1/r1P2QKP/8/1B2R3 b - -,d6f6
rn1qk3/1p6/2pr2pp/p4p2/2Q1p2P/6P1/PP2PPB1/R3K2R b KQq -,b8d7
4r1k1/p1rnqp1p/1pp3p1/2p1p3/P1N1P3/3P2RP/1PPQ1PP1/5RK1 b - -,g8h8
r1b1k2r/ppp2ppp/2n2n2/3q4/1b1P4/2N2N2/PP2BPPP/R1BQK2R b KQkq -,e8g8
1r5k/6p1/7p/3p3P/1p1P1PK1/6P1/R7/8 b - -,b4b3
1nbqk2r/1p3ppp/8/r2N4/p3N3/3Pp1P1/PP4BP/R1BQ1K2 w k -,e4c3
rnb1r1k1/pp3pbp/q2p2p1/2pP2Bn/2N1P1P1/2NB3P/P4P2/2RQ1RK1 b - g3,b7b5
r2qr1k1/1b3p1p/p2npnp1/1p1p4/1P1P1P1Q/P1N1P2P/3N2P1/1BR2RK1 w - -,b1d3
r2qk1nr/pbp2ppp/1p1pp3/3P4/2P1P3/2PQ1N2/P4PPP/R1B2RK1 b kq -,e6e5
r3kb1r/p2b1pp1/2pp1q1p/4p3/4P3/3Q1N2/PPPN1PPP/R4RK1 b kq -,f8e7
6k1/3q1pp1/2b1NR1p/3pP2P/3P3Q/8/1r4PK/8 b - -,f7e6
4n1k1/pb3r1p/1p3pp1/3P4/8/1PN5/P4PBP/2qR2K1 w - -,d1c1
6k1/4b1pp/8/p7/4N3/r2R1KP1/7P/8 w - -,f3e3
r2qr1k1/pQ3ppp/2p1pn2/8/P2Pn3/B1P2N2/5PPP/R4RK1 b - -,d8b6
rr1qnbk1/N2b4/1p1p2n1/2pPp1pp/1PP1Pp2/2NQ1PP1/R4BBP/1R4K1 b - -,g6e7
r2q1rk1/pp1n1pp1/2pb1n1p/3p2B1/3P2b1/2PB1N2/PPQN1PPP/R4RK1 w - -,g5h4
2r1k2r/1pqn1p2/4p1p1/p1ppPn1p/P2P1P2/RPP2N2/3QRBPP/6K1 w k -,a3a1
8/3rkp2/4pb2/p6p/2N5/8/P3KB2/3R4 w - -,f2c5
8/5p2/5Pp1/4p1k1/2K1P3/6P1/8/8 b - -,g5f6
1q2r1k1/6b1/2n1n1pp/1pp1pp2/8/1QPPN2P/1P2BPP1/2B1R1K1 b - -,b5b4
2r2rk1/1p1b2p1/p3p1p1/P2pPnNp/1P1P4/4P3/4B1P1/R1R3K1 w - -,e2d3
2r2rk1/1pp5/p3Q1pp/1P2n3/P7/7P/5PP1/2R3K1 b - -,e5f7
5rk1/1r3pp1/2np4/pppN2p1/4P3/P2P4/RPP2RPP/6K1 b - -,a5a4
rn1qkb1r/ppp2pp1/4pn1p/3p1b2/8/1P3NP1/PBPPPPBP/RN1QK2R w KQkq -,e1g1
1r1r2k1/2q1npbp/b1n1p1p1/p2pP3/P2N1PP1/2P1BN2/B2Q1R1P/R5K1 b - -,c7d7
r1bqk1nr/pp1pppbp/2n3p1/2p5/4PP2/3P2P1/PPP3BP/RNBQK1NR b KQkq -,e7e6
5bk1/1P1b1r1p/6p1/3pn3/4q1P1/3p3P/1R3PK1/1Q1RN3 w - -,g2g1
rn1qkb1r/p4ppp/b3pn2/4N3/PppP4/8/1P2BPPP/RNBQ1RK1 b kq -,f8e7
r1bq1rk1/p3b1pp/4p3/1ppPp3/3n4/3PN1P1/PP3PBP/R1BQR1K1 b - -,e7d6
rn1qkb1r/ppp2ppp/4pn2/3p4/3P2b1/4PN2/PPPN1PPP/R1BQKB1R w KQkq -,f1e2
6k1/3R4/1pr4p/p4n2/4p3/P1B4P/1P2P3/6K1 b - -,c6g6
1rb2rk1/p4ppp/1p2p3/4R3/2P5/2P3P1/P4PBP/3R2K1 w - -,c4c5
r2q1rk1/1b2bppp/p3pn2/8/PpQNP3/1N3P2/1P1B2PP/R4RK1 b - -,e7d6
r1bqk1nr/p4ppp/2p5/3pp3/2P5/6P1/PP1QPPBP/RN2K2R b KQkq -,c8b7
1k1rr3/ppq2ppp/1n1b4/1Q6/4p3/2P2B1P/PP1B1PP1/R4RK1 w - -,a1e1
1kr5/1p3p2/p3pQ2/qb2p1pP/4P1P1/2P1b3/PPB1N3/1K1R4 w - -,e2c1
5rk1/p3ppbp/1p1qb1p1/4N3/P2r4/1P4PP/5PB1/2R1RQK1 w - -,c1c6
r4rk1/pp2ppbp/nn1p2p1/3P4/5P2/2P1B1PP/PP2N1BK/R4R2 b - -,b6c4
r2qr3/1bp2pbk/pn1p1npp/1p1Pp3/4P3/1BP1BNNP/PP1Q1PP1/R3R1K1 b - -,f6d7
3r1k2/1pp2rpp/pn4n1/3Ppp2/1P5b/P1N1PP2/1B2BPKP/2R3R1 b - -,f7d7
3r4/7R/p1p1kp2/1pb1p1p1/2n1P3/1BP2PB1/PP2K1P1/8 w - -,g3e1
r3k2r/ppqb1ppp/2nbp3/3n4/4Q3/2PB1NP1/PP3P1P/RNB1K2R b KQkq -,c6e5
r7/8/1pkp4/3Rp2p/P1P4P/1P3KP1/8/8 b - -,a8f8
r4rk1/pp2bqp1/2ppp3/4p1Pb/4P2p/P2PQN1P/1PP1NPK1/3R1R2 w - -,e2g1
r5k1/5pp1/1pb1p2p/8/1B2P3/nB1K1P2/6PP/7R b - -,c6b5
4r2k/R5p1/5q1p/2P5/2b1p1QP/4P1B1/P4PPK/8 w - -,a2a4
6k1/2R5/5p2/4p3/4P1pp/3rB3/5K2/8 b - -,h4h3
1r4k1/4ppbp/3p2p1/2pP4/q4BQ1/3r2PP/4P1BK/2N5 w - -,e2d3
r1bqkbnr/pp1p1ppp/2n1p3/2p5/2P5/2N3P1/PP1PPP1P/R1BQKBNR w KQkq -,g1f3
3r2k1/pp4b1/2r2ppp/2n1P3/2pp1P2/1P4PB/P1P4P/2BRR1K1 b - -,f6e5
3r1q2/p6k/1npp1bpp/6P1/2b5/4QN2/PP3P1P/R3R1K1 b - -,f6b2
7r/4k2r/2n1p3/4P3/1pNP1P1p/2P4R/2P1K3/7R b - -,b4c3
8/1p3p2/7k/P7/PK2P1R1/5rp1/8/8 w - -,b4c5
r1b2rk1/pp2qpb1/4p1pp/2P5/n1N1NP2/4P1P1/PP2Q1BP/R4RK1 b - -,a4c5
3N4/7p/2r2pp1/4p3/8/4B3/4kPPP/1K6 b - -,c6d6
r1bq1rk1/p1p2ppp/1bpp1n2/4p3/4P3/2PP1N1P/PP3PP1/RNBQR1K1 b - -,f8e8
4r1k1/p1p2pp1/1p2p2p/4P3/2PQ2PP/1P2P3/P2R1P2/2q3K1 w - -,g1g2
rr6/3k2pp/1Rp1p3/P1PpPp2/3P4/8/5KPP/R7 b - -,d7c7
2k3rr/p2nbp2/4p3/q1ppn1PP/1p6/3P2Q1/PPPBN1B1/1K1R3R b - -,e7g5
2b2rk1/5ppp/2pbpn2/1p1p2N1/1n6/2N1P3/1B1PBPPP/R5K1 b - -,c8b7
8/8/p6p/3p4/1P1P1k2/r6b/7P/6RK w - -,g1e1
8/1p3k1p/p2p1np1/3P1p2/3B4/6PP/PPP1K3/8 w - -,c2c4
rnb1qrk1/1p3pbp/p2p1np1/2pP3P/4P2R/2N5/PP2BPP1/R1BQK1N1 w Q -,a2a4
1r1q1rk1/1p1b1pbp/2np2p1/p1pPp3/8/P1NP2PP/1P2PPB1/1RBQ1RK1 b - -,c6e7
2rq1rk1/pp1n1ppp/3b1n2/1N1p4/3Pp3/1P2PP2/P2BB1PP/R2Q1RK1 b - -,d6b8
4R3/1k3p2/1P1b2p1/3b3p/r2P3P/8/5PP1/1R4K1 b - -,a4d4
r3kb1r/ppq1pppp/2p2n2/P2nNb2/3P4/2N5/1PP2PPP/R1BQKB1R w KQkq -,c3d5
