8/p7/5p2/1Pp2kp1/2P1R3/5P2/r4KP1/8 w - -,f2f1
1r2rbk1/1bqn1ppp/p2p4/1p2nRPP/4P3/PNN5/1PPBQ1B1/R5K1 w - -,a1f1
kb1r4/p4pp1/4r2p/2R5/P2p4/3N2P1/5P1P/2R3K1 w - -,g1f1
8/5r2/1P5R/5p2/3k1P2/5KP1/8/8 w - -,h6d6
4rk2/1p5R/4P2P/p1b2B2/8/8/6K1/8 w - a6,h7b7
5R2/6p1/1P4kp/K7/5p2/8/8/1r6 b - -,g6g5
r1rQ2k1/5p1p/1pp1p1p1/p6P/P1bP1P2/2P3P1/1P4B1/R3R1K1 b - -,c8d8
5k2/n2q1r1p/1p1PR3/p1p2pr1/2Pp4/PP1B2P1/4Q1K1/4R3 w - -,e6e8
7r/1p1k3p/2n1pp2/3p4/1P1N1P2/3P4/6PP/R5K1 w - -,d4b3
8/p5k1/1p2nr1p/q2pNp2/2pPr3/2P2R2/P2Q2PP/1R4K1 w - -,e5c6
4n3/r1p3r1/2R1pk1p/5p2/3P3P/4PB2/5P2/2R2K2 w - -,c1b1:c6c2
1k1r3r/ppp1b1pp/2n1p3/2P1Pb2/2B3q1/2Q1BN2/PP4PP/4RRK1 w - -,b2b4
r5k1/pp1q2pp/2n2r2/2p1b3/2Pp2b1/3P1NP1/PP4BP/R2QBRK1 w - -,d1a4
8/4r1k1/4p1p1/1B1pP1P1/P4p1p/r3P3/5PK1/4R3 b - -,e7c7
2kr3r/ppp1qp1p/5np1/2p5/4P1b1/2N1Q3/PPPN1PPP/R3K2R w KQ -,h2h3
rn1qk2r/pp2bpp1/2p2n1p/3pN2b/3P3B/2N5/PPQ1PPPP/R3KB1R w KQkq -,e2e3
8/r4pp1/pkr4p/R1p5/2K1P3/R5P1/P4P1P/8 b - -,c6c8
3r1b1r/ppk4p/2nn1p2/P3pp2/1P5P/2P2N2/3N1PP1/R1B1R1K1 w - -,d2b3
r1b2rk1/p1qnppbp/2pp1np1/8/Pp1PP3/2NBBN1P/1PPQ1PP1/R4RK1 w - -,c3e2
4r1k1/p7/5b1p/1p1p1pp1/2bP1P2/P1N1BKP1/1P5P/2R5 w - b6,c1b1
rn1qk1nr/pp2ppbp/2pp2p1/8/2BPP1b1/2N2N2/PPP2PPP/R1BQK2R b KQkq -,e7e6
