8/6pk/7p/p1R5/6P1/Kp6/2p5/1r6 b - -,b3b2
2q3k1/5pp1/pp1bp2p/1p1n4/3PN3/4QNP1/PP2PPKP/8 w - -,e3d3
1q6/5Qbk/6p1/p6p/2B1PB2/7P/5P1K/8 b - -,b8f8
4r1k1/1pp2rpp/p2p1p1q/8/P1PB4/2N3R1/1P6/3K2Q1 b - -,h6h5
3Q4/8/5pk1/8/4p1qP/8/5P2/5K2 b - -,g4h4
r2q1rk1/ppn3pp/4bb2/3pp3/NP2PpP1/P2P3P/5PB1/1R1QK1NR b K -,b7b6
rn3rk1/2q1ppbp/3p2p1/p1pPn1B1/2N1P3/8/PPQ1NPPP/R4RK1 w - -,c4e5
8/2p3R1/8/5k1p/4q3/1PB5/P2PPK2/8 w - -,e2e3
2rr2k1/1b2q1pp/1p2p3/p1pP1p2/Pn1Pn3/NP2P1P1/1Q3PBP/2RRN1K1 b - -,b7d5
1r5k/pp2q2p/3rB1p1/2P2p2/4p3/1Q2Pn2/PP2K3/5R2 w - -,c5d6
1r3rk1/1p1b1pbp/1p2p1p1/3pP3/1P3P2/2N2RP1/P1P4P/R4BK1 w - -,a1c1
8/2r2k2/4b1p1/2Pn4/3Q2P1/5PK1/8/8 b - -,d5e7
1r6/4k2p/1N1pb3/4pp2/2P5/1n1B1P2/1K4PP/R7 w - -,a1a7
rnbqr1k1/pp2ppbp/2p2np1/3p2B1/2PP4/2NBPN1P/PP3PP1/R2QK2R w KQ -,e1g1
r1b3k1/pp1n2pp/2pbp2q/3p1r2/2PP1P2/1P1NP1Q1/PB3PBP/R4RK1 w - -,g1h1
r4rk1/1pp1q1pp/3p4/1bnP1p2/p4N2/P1Q1P1P1/1P3PBP/3RR1K1 b - -,a8e8
r2q1rk1/pp1bppbp/2np1np1/8/3NP3/1BN1BP2/PPPQ2PP/R3K2R b KQ -,a8b8:d8a5:a7a5:a7a6:a8c8:c6e5:c6d4:c6a5
8/8/8/8/6Kp/kp3N2/8/4b3 w - -,f3e5
8/1b2rnkp/p4b2/2N1pP2/1p6/4N3/PPP1R1BP/1K6 b - -,b7c8
r3r1k1/p1p1pp1p/1pNp1bp1/3P4/2P1P3/6Pq/PP1Q1P1P/R4RK1 b - e3,e7e6
5R2/6pk/1p3nrp/1P3p2/4b3/2R5/5KP1/5B2 b - -,f6g4
r3rk2/1pq2p2/2p2Q1p/p3p3/Pb2P3/3R3P/NPP2PP1/4R1K1 b - -,b4e1
r1bq1rk1/pp1n1pbp/2pp1np1/4p3/2PPP3/2N2NP1/PP3PBP/R1BQR1K1 b - -,d8b6:e5d4:f8e8:d8c7:h7h6
1rr2k2/5p1p/4b1p1/4p3/1PPp4/5P2/6PP/2R1KB1R w K -,c4c5
r1bq1rk1/p4p1p/3pp1p1/2pPb3/1nP1P3/R1N5/1P3PPP/2BQRBK1 w - -,c1e3
r1b1k2r/ppB2pp1/2npp3/8/2PP4/2n2N2/PP2PP1P/R3KB1R b KQkq -,c3e4
5k2/3b2p1/4B2p/2p1R3/5P1K/3r3P/6P1/8 b - -,d7c6
2kr3r/p3qpp1/1pp2n1p/8/PPbPP3/2N1BR1P/2Q3P1/3R2K1 b - -,c8b7
1r3rk1/2q1ppb1/p2p2pp/2p5/2nPP2B/Q1P2N1P/P4PP1/1R2R1K1 w - -,a3a6
3r2k1/1b1qbppp/1pn1pn2/1Npp4/2PP4/1P3NP1/1B2PPBP/1Q3RK1 w - -,e2e3
r2q1rk1/1p1nbppp/2p1pn2/p2p3b/2P5/1P1P1NPP/PB1NPPB1/R2Q1RK1 w - a6,a2a3
8/7p/6p1/1R4Pk/2p2P2/2K1P3/4r3/8 w - -,b5e5
8/R3Bpk1/8/6p1/4P3/6b1/2r5/7K w - -,e7g5
8/8/4Bp1p/n3p1p1/1k2P1P1/3K2P1/8/8 b - -,a5b7
4rrk1/5p2/3b2pp/p2PQ3/P5PP/3B3R/2P5/R6K b - -,e8e5
r1b1qrk1/ppp3pp/2nppb2/5p2/3P4/1P2PNP1/PBPQ1PBP/R4RK1 b - -,c8d7
1r3rk1/1bq3bp/6p1/p1P1p3/1P2pp2/2P5/P1NB1PPP/R1Q1R1K1 w - -,c1a3
r4rk1/1p2qpp1/p1n2n1p/2Ppp3/7B/3QPP2/PP2N1PP/2R2RK1 w - -,h4f6
1rb1nrnk/1p2q1bp/p2p2p1/2pPpp1P/P1P1P1P1/2N1B3/1PQNBP2/R3K1R1 w Q f6,g4f5
rnb1kb1r/ppqp1ppp/5n2/2pPp3/2P1P3/2N5/PPQN1PPP/R1B1KB1R b KQkq -,d7d6
6k1/1p1b1r2/1q2prpp/p1ppRn2/P4P2/2PP1NP1/1PQ3BP/4R2K b - -,f5g7
8/1k6/1P2r3/P4R2/2P5/1K6/8/4b3 w - -,b3a4
1r1r2k1/p3pp1p/q3n1pb/4P3/2pPR3/5NBP/P1Q2PP1/R5K1 b - -,b8c8
8/5rkp/3q2p1/b1pPp3/P1B5/1P4P1/4QP1P/2B3K1 w - -,e2g4
r2N1k2/2p2p1p/4b1p1/Np1n4/2p5/2P5/1P3PPP/3R1RK1 b - -,a8d8
2kr3r/pppqbn1p/2n1p3/3pP3/3PbpP1/P1P1BN2/1P1NB3/R2QK1R1 w - -,e3f4
8/1p6/8/6p1/3k4/p2p1PP1/Pn6/1R3K2 b - -,d3d2
r1b2rk1/p6p/1pp2q2/2n2pN1/2P1p3/2P1Q1P1/P2R1PBP/3R2K1 b - -,h7h6
2b3k1/4q1pp/p3p3/1p1PB3/1P2p3/PQ2P2P/5PP1/6K1 b - -,e7d7
rn2kbnr/pp3ppp/q1p1p3/3pP3/3P4/2PQ1N2/PP3PPP/RNB1K2R w KQkq -,d3a6
rr4k1/3nppb1/b2p1np1/q1pP3p/5N1P/2N2PP1/PPQBP1B1/R3K2R b KQ -,a5c7
8/8/6p1/8/8/6k1/8/5K2 b - -,g6g5
1r6/5ppk/3R1n2/5Q1p/P7/2P2P1P/6P1/5KNq b - -,g7g6
r1r3k1/2p4p/p1Np4/P2Pppb1/1PN5/3n4/5PPP/RR4K1 b - -,g5f6
8/4Q1b1/p7/2pP1k2/6q1/4R1K1/P7/8 w - -,g3h2
4r1k1/5ppp/pp2b3/2p5/q1PRPN2/P1Q2P2/6PP/K1R5 b - -,c5d4
2rr2k1/1b2bppn/p4q1p/2p1n3/Pp2PNP1/1P1PB2P/5QB1/1R1RN1K1 w - -,e1f3
5n2/2NP1bk1/5pp1/pB2p3/1p6/4K2P/PP6/8 b - -,f8d7
8/8/1p1q1p2/6p1/1k1rQ3/6RP/6PK/8 w - -,e4c2
1r2r1k1/q4pp1/np1p3p/1Q1Pp1b1/2P5/P2NR2P/2RN1PP1/6K1 w - -,e3e2
4r2r/1kp3pp/3p4/1N6/Pp3K2/3Rn3/2P3P1/R7 w - -,a1b1
1nr2k2/p1r2pp1/1pp2bp1/8/PP3P2/4P1P1/2R2K1P/2R1BB2 b - -,g6g5
rn2k2r/ppqn1ppp/2p1p3/3p3b/2PP3P/1QN1PP2/PP1BB2P/2KR3R b kq -,d7b6
8/2p5/2r5/pk6/1p6/2B3P1/P1R5/K7 b - -,b4c3
Q2R1nkb/8/p3b1p1/2P1p2p/1p2p2P/5P2/1q4P1/4KB1R w - -,d8f8
8/6k1/p1p1r1p1/1pP4p/5r2/1PP2P2/2B5/1K4R1 w - -,c2e4
8/3q1kpp/1p2rp2/3Bb3/8/1Q2B1P1/PP3P1P/6K1 w - -,e3b6
1r1k4/5p1p/1bRP2p1/pB6/Pp2K3/8/1P4PP/8 b - -,b4b3
r3qrk1/pp3nbp/n1pp2p1/5b2/2P4B/P1N2N2/1P1QBPPP/R4RK1 b - -,a6c5
8/2k5/6R1/8/4NK2/8/8/4r3 w - -,f4e5
8/p3k3/1p5p/2pPN1p1/P1P5/4K1PP/3n4/8 b - -,d2f1
6k1/1nB1b2p/6pP/3Pp1p1/P3P3/5P2/4K3/2R5 w - -,a4a5
r2rbnk1/1p2qppp/p1n1p3/2NpP3/3P4/3B1N2/PP3PPP/2RQR1K1 w - -,d1d2
k5r1/2p5/p2p3B/3P4/r1P5/3R1KN1/8/8 w - -,d3c3
1kq4r/p2bp3/1p1p1b2/2pP1p2/2N5/P1PP1B2/1P3P2/1K3Q1R b - -,h8h1
2b1q2r/2n1n2k/p2p1ppb/2pPp2p/2P1PP1P/P1BBN1P1/4Q1K1/5RN1 w - -,f4e5
r7/p1R2Nk1/3p2pp/5p2/8/6PP/P3rP2/6K1 w - -,f7d6
8/3B4/1p3p1p/3pk2P/P5P1/4K3/8/1n6 b - -,b1c3
5b2/7p/p3Bkp1/1p1P4/8/1P3K2/P6P/8 b - -,f8d6
rnbq1rk1/p1p1ppbp/1p1p1np1/8/3PP3/2N1BN1P/PPPQ1PP1/R3KB1R b KQ -,c8b7
r1bqk2r/2p1np1p/p2p2p1/1p1P4/2n1P3/1PN2N2/P1B2PPP/R2QK2R b KQkq -,c4b6
3r2k1/pP1n2pp/1p2p3/6n1/3P3q/1PN1R3/PBQ3P1/3K1B2 b - -,d8f8
r1bq1rk1/pp1nb1pp/2p1pn2/2Pp1pB1/3P4/5NP1/PP1NPPBP/R2Q1RK1 w - -,b2b4
6nk/p4R1p/2p3p1/1p2P3/1b1P2P1/7P/1P5B/7K b - -,g8e7
