8/5R2/1r5p/4k1pK/2B5/7P/8/8 w - -,c4d3
4kr2/r3bpQp/2b5/p1q1Pp2/1p1p1P2/6N1/PPP3PP/1K1RR3 w - -,g3f5
r3nrk1/pp3pbp/2pp2p1/7q/2P1P1n1/PPN1B3/2NQ1PB1/R4RK1 w - -,e3f4
8/8/8/2K2k1p/1P5P/3R4/8/2r5 w - -,c5d5
r1bqkbnr/pp3ppp/2np4/2p1p3/2P5/2N2NP1/PP1PPP1P/R1BQKB1R w KQkq -,f1g2
2rr2kb/pp1bpp1p/1n1p2pB/Q3n3/3NP1P1/1B3P2/PPP5/1K1R3R w - -,a5e1
1b6/1k1b2pp/5p2/B4p2/3P1P2/4K1P1/7P/2R5 b - -,d7c6
r2q2k1/1b4pp/3p4/3P4/2PQ4/1P2RN1P/6P1/3K4 w - -,d1e1
1rb2rk1/p1q2pbp/1p1pp1p1/5n2/P1PP4/1P4P1/1BQ1NPBP/R3R1K1 w - -,a1c1
2r2rk1/pb3ppp/1pnqpn2/3p4/1P1P4/P2BPN1P/3N1PP1/R2Q1RK1 w - -,d1b3
r2q1rk1/1p1bppbp/p2p2p1/n1pP4/2P2Bn1/1PNQ2P1/P1N1PPBP/R4RK1 b - -,b7b5
1rq1r1k1/ppnbbppp/8/2n5/3N4/2N1BPP1/PPQ3BP/2RR2K1 w - -,c2f2
r2q1rk1/pp1n1p2/4p1pp/3P4/P1NQb1P1/2P5/7P/R1B1KBR1 b Q -,e4d5
1r2r2k/2p2ppp/2p1qnb1/p1bppNB1/4P1P1/1PPP1N1P/P3QPK1/R4R2 w - -,f1e1
2r3k1/3pn2p/pq6/1p1n1p2/4Q3/1N1B3P/PPP5/2K2R2 w - -,e4e5
r2r2k1/pp2np1p/6p1/n2p4/q7/2Q1P1PP/PP3PB1/1RB2RK1 b - -,a4a2
3r2k1/R6p/P1B3pb/4B3/5np1/8/5P1P/6K1 w - -,a7d7
