8/4k1p1/4p2p/pp2P3/1P1P1RKP/r7/8/8 w - -,b4a5
1n4k1/2pb2p1/1p1p1r2/r2Pp1qp/PNP2pP1/R4P1P/4P1B1/RQ3K2 w - -,f1e1
8/7p/6p1/1p1k4/4pK2/2P2P2/1N2p2P/8 w - -,f3e4
r2qk2r/1p1nbpp1/p1p1p2p/2Pp4/3Pb3/PP2PNP1/3BBP1P/R2Q1RK1 b kq -,e4f3
8/8/3pp3/np2p2k/p3P2P/2P1KN2/PP6/8 w - -,e3d3
r4rk1/pQp1p1b1/2nq3p/3p1bp1/3P4/4PNP1/PPPNBP2/R3K2R w KQ -,b7b3
2rq1rk1/pb1n1pp1/1p2p2p/P7/3PP3/3B1N2/3Q1PPP/R3R1K1 b - -,d8c7
3r4/1p4kp/2p1b1p1/p4p2/PnPqp3/4N1P1/P3PPBP/R1Q3K1 w - -,a2a3
r4rk1/6bp/b1pp1pp1/3n2B1/p1PP3P/Pp1B1N2/1P3PP1/2KR3R w - -,c4d5
rnb2rk1/pp2ppbp/6p1/2pq4/3P1B2/2P1PN2/P4PPP/R2QKB1R w KQ -,f1e2
1r3r1k/p1p1q1b1/6pp/3B4/2Pp1pn1/6P1/3NPP2/2RQ1RK1 w - -,g3f4
rnbqkb1r/2p2ppp/p3pn2/1p6/3P4/1B2PN2/PP3PPP/RNBQK2R b KQkq -,c8b7
rq1r2k1/pb1nbppp/1pp2n2/3p4/1P1P4/P1NBPN2/2Q2PPP/R1BR2K1 w - -,a1b1
8/8/8/5B2/pp3P2/1k2K3/8/8 w - -,f5e6
2r2r1k/1bqn2pp/1pp1p3/3P1p2/3P4/1QP1P1P1/3N1P1P/R1R2BK1 b - -,e6d5
8/8/8/8/5b2/2r1k3/3R4/3K4 b - -,e3e4
r1b2rk1/1q4bp/p7/1p1P1p2/4p3/N7/PPB1QPPP/R4RK1 w - -,c2b3
r2qk2r/1p1n1pbp/p3p1p1/3p1n2/8/B1NP1PP1/PP3PBP/2RQ1RK1 b kq -,g7f8
3b4/5k2/p1pr2p1/1p6/P2p1P2/1P1B2P1/2P3K1/R7 w - -,g2f3
2bRrk2/1p3p2/2p2np1/2n2P1p/3RP3/4B1PP/6B1/7K b - -,g6f5
1n1r4/1bk5/2np3r/p3p1p1/PpB1Pp1p/1N1R1P1P/1PP2BP1/3RK3 b - -,b7c8
2RQ4/1kn5/1p2p2p/p1q5/P3b2P/6P1/1P3P2/6K1 w - -,g1f1
5k2/5p2/1R2p1p1/1p6/6r1/PP6/1KP5/8 b - -,g4g5
3r1rk1/ppq1bp1b/2n1p2p/2p4n/4PP2/2P2N1P/PP2Q1B1/R1B1RNK1 b - -,h5f4
1nr3k1/2q2pp1/p3pb1p/8/Ppr1B3/1N2P3/1P2QPPP/2RR2K1 w - -,g2g3
2rr4/pb2qpk1/1pp1pnp1/4N2p/2PP4/4Q2P/PPB2PP1/3RR1K1 b - -,f6h7
8/1p3pk1/p2r2p1/Pp5p/5P2/6P1/1K2B2P/2R5 b - -,b7b6
6k1/1pp4p/p7/4Pp2/2P1K1P1/7P/1P1r4/R7 w - -,g4f5
r1b1kbnr/pp3p1p/2n1p1p1/2pq4/3P4/2N2NP1/PPP2P1P/R1BQKB1R b KQkq -,d5d8
r1bq1r1k/pp2n2p/2npp2Q/2p3pP/4P3/2NP2P1/PPP2PB1/R3K2R w KQ -,h6g5
8/6k1/2R3p1/pp6/5P2/4K1P1/P6P/3r4 w - -,h2h4
r2q1rk1/2p2pp1/p3pb2/2PP1n1R/4Q2P/5N2/1P3PP1/2B1R1K1 b - -,g7g6
6k1/5pp1/2N3bp/1B6/4P3/N4PPP/3K4/6r1 b - -,g1g3
rnb1kb1r/1p3pp1/p2ppn1p/q7/3NPP2/2N5/P1PQ1BPP/1R2KB1R w Kkq -,f1e2
r4n2/p3p1k1/1q1p1pp1/1p1P1PP1/7r/7B/PPP5/1K2Q1RR b - -,h4h3
r4rk1/pp1qbppp/2npbn2/4p3/4P3/2N3PP/PPP1NPBK/R1BQ1R2 b - -,a8c8
r3kbnr/pp1b1ppp/1qn1p3/3pP3/3N4/2P5/PP2BPPP/RNBQK2R w KQkq -,d4c6
5rk1/1br1q1p1/p3p2p/1p1p1p2/4nN2/1PP1P3/PQ3PPP/1BRR2K1 b - -,f8c8
r4r1k/p1q3b1/1p2b1pp/2p1pp1n/P1N1Pn2/2P2NBP/1PQ2PP1/R3RBK1 w - f6,g3f4
r4rk1/pp1bqp1n/3p2p1/2pP3n/P1N1PP1p/2N5/1P1QB1PP/R4RK1 b - -,h5g7
r2qr3/3b1kb1/p2pnpp1/1pp4p/3PB1nP/4NN2/PPPB1PP1/2KR1Q1R b - -,a8c8
2Q5/8/3q1b1k/6p1/6Bp/2P5/1P6/1K6 w - -,c8f5
r1br2k1/pp2bppp/3ppn2/q5B1/3QPP1P/2N5/PPP3P1/1K1R1B1R b - h3,b7b5
8/2p5/3p1k2/R6p/p1P1pP2/P2bP3/1r1N1K1P/8 w - -,f2e1
r3k2r/pR3ppp/2ppb1n1/B3p3/n7/3P2PP/P1PN1PB1/5RK1 b kq -,d6d5
6r1/8/5KN1/4P3/2b2N2/2k5/3p4/7R w - -,e5e6
1kn4r/1p5r/1p2p3/2qpPpp1/P7/1RPB2P1/4QR1P/6K1 w - -,g1h1
r2q1rk1/ppp1ppbp/1nn3p1/3P4/N3P1b1/4BN2/PP2BPPP/R2QK2R b KQ -,g4f3:c6e5
