8/2k4p/8/1pK5/2p5/1r5P/R5P1/8 b - -,c7b7
r4rk1/p3ppbp/1pn5/2pqP3/5Pp1/4BN2/PPP1Q2P/R3K1R1 w Q -,g1g4
2k5/2p3pp/1p3r2/2r5/4p2P/4N1K1/1R3P2/3R4 w - -,d1d4
6k1/5p1p/4r1p1/pPq5/2p2Q2/2P4P/6P1/1R5K w - -,f4b8
r5k1/pb3pbp/1p4p1/3q1P2/5BP1/1PPp4/1P1QN2P/3R1RK1 b - -,d5g2
8/5R2/1p6/2p3k1/1rK5/8/8/8 w - -,c4c3
2r3q1/pp1b3p/3k1p2/1P1p1p2/2rP4/P1N1PQ2/2R3PP/2R3K1 w - -,f3e2
1nr1nrk1/2qb1ppp/1p1pp3/8/2P1PP2/1N2B1P1/2P2RBP/R2Q2K1 w - -,f2d2
rnbqkb1r/ppppnppp/8/8/2B1Pp2/8/PPPP2PP/RNBQK1NR w KQkq -,b1c3
3r4/3P2rp/5k1R/1B2p3/4K3/1P6/8/8 b - -,f6g5
8/3b3k/1p3qp1/7p/2PpB1P1/P2Pb1QP/6K1/1R6 b - -,h5h4
8/8/1p1p4/pPp1b1kp/P1P1Pp2/3P1P2/6K1/4B3 w - -,g2f1
4k2r/p2r2bp/4pp2/1p1p1p2/2q1PP2/2P5/PPQ2BPP/2R1K2R w Kk -,e4f5
r5k1/pp1nqppp/2p1b3/3p4/3P4/2NB2nP/PPPQ1PP1/4R1K1 w - -,f2g3
r5k1/r6p/3pp1p1/2q5/Q1pbPP2/3n3P/RP1B2P1/R2N3K w - -,a4a7
8/3k4/2p5/NPP2R2/2P2p2/6p1/5r2/6K1 b - -,f4f3
7r/8/2N5/1k1K4/8/8/8/2R5 b - -,h8h5
1r6/1b2kp2/2p5/R7/P7/2B4P/5PPK/8 w - -,a5a7
3r2k1/p4pp1/1p2p2p/2b1P3/q4B1P/3B1QP1/P3PPK1/8 w - -,h4h5
4r1k1/b1r2pp1/p4q1p/8/2Q2B2/P3P2P/5PP1/3R2K1 w - -,c4c7
r1bq1rk1/1p1p1pbp/p1n1pnp1/2p5/2P5/2NP1NP1/PP1BPPBP/2RQ1RK1 b - -,a8b8
4rrk1/1b4p1/ppn1pq1p/3p1p2/3P4/2PQ1N1P/PPB2PP1/R3R1K1 w - -,c2b3
r3k2r/pppq1bpp/1nnb1p2/4pP2/3PQ3/2N1P1P1/PP2N1BP/R1B2RK1 w kq -,e4g4
1k2r2r/pp6/5qp1/P3p3/2NpP2p/3P1PQ1/1P2KP2/R7 w - -,g3h3
2rqr1k1/1p3ppp/p1nb4/3p1b2/1P1PN3/1NP5/1B3PPP/R2QRBK1 b - -,d5e4
8/p1kbN3/4p1p1/P6p/5P1P/4K1P1/8/8 w - -,e7g6
8/k7/6Kp/6p1/3N2P1/8/8/7b b - -,h1g2
1r4k1/b4pp1/4p2p/8/1pR2Pq1/1P1P2P1/3K2Q1/1N6 b - -,h6h5
3q2k1/3b3p/1p2p2p/pP1pP3/Pb1P1NB1/6P1/2Q4P/5K2 b - -,d8e7
