8/8/PK6/1R6/2k5/8/8/r7 b - -,a1a2
6k1/p5pp/4p3/3q1p2/1P1n4/P1pB2P1/4PP1P/3Q2K1 b - -,h7h6
8/7p/5k2/4p1p1/b1BbP3/p7/5PPP/2KN4 b - -,a4c6
1R5k/4p2p/N1b1Pp1Q/p2p1PrP/2pP4/P3KBq1/2P5/8 b - -,g5g8
q1r1r1k1/1b1nbppp/pp2p3/2Pn4/NP1N4/P4B2/6PP/1RRQ2BK w - -,a4b6
8/p2k1p2/2p5/2Pp4/3P1Pp1/5r2/7K/1R6 w - -,b1b7
8/1b3p2/5Pk1/1pBN2p1/4K1Pp/1P3PbP/8/8 w - -,c5b6:c5e3:c5g1
3rk3/pp4r1/3q2n1/2Q3R1/3P4/4pN2/PP6/4K1R1 w - -,c5d6
r1b2rk1/1p2qppp/p1p2n2/8/3bP3/2NB3P/PPQ2PP1/R1B1R1K1 b - -,g7g6
4knQ1/1p2r3/p6P/8/P6K/1P6/8/8 b - -,e7f7
r1b2rk1/1p3ppp/pq2pn2/8/3N4/2P5/PPB1QPPP/R4RK1 w - -,a1d1
5Q2/kp5P/p7/4pp2/P4bp1/2P2P2/KPBq1P2/8 b - -,d2c2
2bqr1k1/1p2pp1p/r1p3pb/8/P1Pp4/3P1NP1/1Q2PPBP/RR4K1 b - -,e7e5
6r1/1p4p1/p1n1kn1p/3p1p2/8/2B1PPP1/PP4BP/R5K1 b - -,g7g5
r4Bk1/5ppp/p3p1b1/1p3nP1/8/2P4P/PP3PB1/R3K2R b KQ -,a8f8
rnbqkb1r/ppp2ppp/4pn2/8/3Pp3/4BP2/PPP3PP/RN1QKBNR w KQkq -,b1d2
rn1r2k1/ppp2ppp/5n2/5bB1/1bP5/5N2/PP3PPP/RN1K1B1R w - -,b1d2
r2qkb1r/pp1n1ppb/2p1pn1p/3p4/3P1BP1/1QP2N1P/PP1NPPB1/R3K2R b KQkq -,d8b6
5rk1/1pq1n3/5rp1/p1Ppp3/5P1Q/1P1B2PP/P6K/2R2R2 w - -,f4e5
5r2/3k1p2/1p2bP2/1P1pPB2/2pP1K2/p1P5/R7/8 b - -,f8a8
3q1rk1/p2bppbp/3p1np1/2r3B1/2pNPP2/2N5/PPPQ2PP/2KRR3 w - -,e4e5
r1bq1rk1/pp1nb1pp/2pp1n2/3P1p2/2P1p3/1NN3P1/PP2PPBP/R1BQ1RK1 b - -,d7e5
5k2/6pK/4Np2/2n4P/1p3P2/6P1/2B5/8 b - -,c5e6
r1bq1rk1/p4ppp/1p1b1n2/3pp3/2P4Q/1PN1P3/PB2BPPP/R4RK1 b - -,d6e7
r4rk1/1bq3bp/pn1pp1p1/1p4P1/4P3/PPN2B2/1BP2Q1P/1K1R3R w - -,d1d3
r2qr1k1/pp1bbppp/1np1pn2/8/3PP3/1PN1N1P1/P4PBP/R1BQ1RK1 b - -,d8c7
1R6/8/6pp/4k3/6P1/5K2/1p3P2/1r6 w - -,b8b7
r1b1kb1r/5ppp/4p3/3pP3/1p1P4/P1P2N2/3BKPPP/R1R5 b kq -,b4a3
r1b1kb1r/2q2ppp/ppp1p3/4P3/5B2/3P4/PP1NQPPP/R4RK1 w kq -,a1c1
r1b2rk1/ppp2pp1/2n5/5q2/2B5/2P3Q1/P2N1PPP/R4RK1 b - -,f5e5
1r6/8/p1k1p1p1/4Rb1p/2PP3B/2K5/P5PP/8 w - -,e5c5
3r4/1p2k1pp/2p5/p2nPp2/PR1P1P2/1P2K3/3N3P/2R5 w - -,e3f3
r4rk1/1ppqb1pp/4p3/nNPpp3/PN1PbP2/1PQ4P/4B1P1/2R2RK1 w - -,f4e5
rn5r/p2qb1pp/2p1k3/1p1n2P1/3PN3/PP2P3/2Q2P1P/R1B1K2R b KQ -,e6f7
2r5/1p3k1p/4p3/p2pP3/3R1r2/1P4KP/P4P2/3R4 b - -,f4f5
r4qkr/p7/5b2/3p1p1B/2pP4/2P2Q2/5PP1/4R1K1 w - -,f3d5
8/8/8/2k5/8/p3K3/8/2N1n3 b - -,c5c4
rb1qr1k1/1b3pp1/pp3n1p/2pPP3/P4P2/2NQ2P1/1B4BP/3R1RK1 b - -,f6h7
8/pp1b4/8/7P/r3pK2/P3N3/4k3/3R4 w - -,d1d7
r3k2r/pp2n1p1/2bp2q1/3p1p1p/3B4/1P1PP3/P1PN1PPP/R2Q1RK1 b kq -,e8c8
3r1rk1/p3nppn/1p3q1p/2pPpP2/2P1B2P/2P1B1P1/P2Q4/4RR1K w - c6,d2h2
r2qk2r/pppn1ppp/4pn2/7b/3P4/P1b1PN1P/1P2BPP1/R1BQK2R w KQkq -,b2c3
5b2/1p6/2p1bnk1/P3pNp1/1P2PnPp/2PB1K1P/5N2/4B3 w - -,c3c4
8/5k2/8/r7/5P2/6K1/8/7R b - -,a5a6
r5k1/p4rpp/8/qp1NpP2/6n1/4P2R/PP4PP/2QR2K1 w - -,c1c6
r5k1/1pp2rp1/3pb2p/q7/3nNp2/P2P1PP1/5RBP/2RQ2K1 w - -,g3f4
3rr2k/7p/pN2b1p1/3Pbq2/P2Bp3/2Q5/4BPKP/1R6 b - -,e5d4
8/8/3R2pk/6p1/1n4P1/3B1P2/r7/4K3 w - -,d6g6
r4r1k/p5pp/3b4/2nq4/2p2pbP/BP6/P4QP1/R3RBK1 w - -,f1c4
1r3rk1/7p/4p3/pp1pP3/3Pqppb/P1PN4/1PQ1R1PP/R5K1 b - -,e4g6
r4rk1/1pq1b1p1/2ppRn1p/p7/2P5/2B5/PPBQ1PPP/5RK1 b - -,d6d5
5rk1/6bp/p3n1p1/p3P3/2R2P2/4BN2/P5PP/6K1 b - -,g7h6
3r3r/pppq1p1k/4bPp1/2PPn1Pp/5N1P/2R5/PP2B3/2KQ2R1 b - -,e6d5
2b2bk1/p1r2p1p/1p2P1p1/3p1B2/8/1q2P1Q1/1B4PP/1R4K1 b - -,c7c4
R7/2r1kp1p/p1Pn2p1/8/r2Np3/6PP/5PK1/3R4 w - -,a8b8
1r2r1k1/p4ppp/8/2PQnb2/8/2q5/P3BPPP/3R1KNR w - -,g1f3
3r4/p1pnbkpp/1p2bn2/8/8/1P3P2/PBPP2PP/2KR1B1R b - -,c7c6
8/4B3/8/1p1p1kPp/2pPp2P/2P5/1P3K2/2b5 b - -,c1b2
3r3k/4q1b1/1pp1bpp1/p3p3/2P1P1P1/1P2NP2/4Q3/1R2B1K1 w - -,e1c3
3r2k1/1b2bpp1/4p2p/2p1P2N/nqP1N3/4R3/1PQ2PPP/5BK1 b - -,b7e4
r4rk1/ppp2pp1/1b1Pb2p/1N2p3/4P2B/1Q6/PP2BPPP/2R4K b - -,e6b3
8/p6k/3p4/1Kp1bbQN/7R/2Pr4/PP3r2/R7 b - -,f2b2
r3kb1r/pp3pp1/n1p1p3/3nB2p/3P3P/2P2NN1/PP3PP1/3RK2R w Kkq -,g3e4
r1bq4/p1n1kprN/2p1p1p1/3nP1P1/1p1P3Q/1P1B3R/4N1PP/R5K1 w - -,h7f6
8/8/5N1k/7p/5K1P/6P1/2b5/8 b - -,h6g6
1r1q2k1/4r1np/1p1p2p1/pP1Pb2n/N1P1P3/4Q1P1/3BBR2/1K4R1 b - -,d8e8
1r1r1k2/1p2ppb1/pNbpn1pp/8/2P1P1PP/1P2BP2/P1RKB3/3R4 w - -,d2e1
4k3/7R/4Nb2/3P1p2/4rP2/8/5K2/8 w - -,h7b7
rn2k2r/pb3p2/1ppppq1p/8/P1PPB1pN/2P1P1P1/2Q2PP1/R3K2R b KQkq a3,b8d7
rnb2rk1/pp3pp1/4pb1p/q1Pp4/2P4P/2N1PN2/PP1Q1PP1/2R1KB1R b K -,b8a6
r2qkb1r/1bpnpp1p/pp1p1npP/8/P2PP3/2NQB3/1PP1BPP1/R3K1NR b KQkq -,e7e5
6r1/5p1R/4pP2/1pkbP2P/p3p3/P1P1K3/1P6/3R4 w - -,h7g7
8/8/1Bn5/p2k4/P2PpPK1/8/8/8 w - -,f4f5
1r6/2n3k1/r2p1qpR/2pPp3/PpP1Pp2/1Q3P2/1P2KB2/7R b - -,g7g8
rn1q1rk1/p3bpp1/1p2bn1p/2pp4/3P3B/2NBPN2/PPQ2PPP/R3K2R b KQ -,b8d7
6k1/1pr1ppbp/3pbnp1/6B1/2PNPP2/3B3P/r5P1/R3R2K b - -,a2a1
r3r1k1/pp3p1p/2ppb1p1/6q1/2P1Pn2/5P2/PP1QN1PP/R2R1B1K b - -,f4h3
r1bqr1k1/pp3ppp/2nb1n2/4p3/2Pp4/1P1P1NP1/P1N2PBP/R1BQR1K1 b - -,a7a5
R5nr/1p1kppb1/n2p2pp/8/1p1NP1b1/1PP1B3/1P3PPP/4KB1R b K -,b4c3
r2qkbnr/1p1b1ppp/p1npp3/2p5/3PP3/2N2NP1/PPP2PBP/R1BQ1RK1 b kq d3,c5d4
r1b2rk1/ppq5/3p2Qp/4b3/2P5/4KB1P/PP4P1/R1BR4 b - -,e5g7
3r4/pPk3pp/1b2r3/5p2/5P2/5KP1/P1R1B2P/2R5 b - -,c7b7
1q3rk1/r4pnp/1npp2p1/4p2P/p2PP1P1/2Q2PN1/PP2N3/2R1K2R w K -,d4e5
8/8/4k3/7R/PK6/8/2B4p/7r b - -,e6d6
8/8/p7/P4r2/1p1kbp2/8/2P1BKP1/4R3 b - -,f5a5
2rbk3/1pn3pp/p4p2/P1p5/2P1P1B1/6B1/1P4PP/3R2K1 b - -,c8a8
r7/3b2qk/p2p4/1p1P2QB/4P2P/8/PP6/1K5R b - -,a8f8
r1b2r1k/1p3q1p/p2p1N2/2b1pnPp/7P/2B2PN1/PPP5/R2QK2R w KQ -,g3e4
1r2r1k1/2pq1pb1/p2p1np1/P4bnp/1RPPpN2/2N1P1PP/5PBK/2BQ1R2 w - -,b4b8
2r5/1p6/1p3k2/5b2/4P2p/r1P5/5P1P/2R1K2R w K -,e4f5
B7/p1P1B1kp/5r2/3p2p1/3P2K1/8/6r1/8 w - -,g4h3
5rk1/1b2bp1p/p2qn1p1/1p1pN3/8/1B3Q2/PP3PPP/3RR1K1 b - -,e6g5
4R3/2R3pk/p2p4/3b2q1/7Q/1P1P1rP1/P6P/6K1 b - -,g5h4
3rn1k1/pp2bpp1/2rnp2p/3p4/1P1P1B2/2NBP2P/1PR2PP1/2R3K1 b - -,d6c4
2kr2r1/1b1q1ppp/1pn1p3/p1p1P3/P7/1P1P2P1/1BP3BP/R2QR1K1 b - -,c6b4
8/1PB5/6kP/3p1p2/4p3/8/4Kb2/8 b - -,f2a7
r3r1k1/pbpqbppp/1p1p4/6P1/4n2P/2PQBN2/PPP1BP2/2KRR3 w - -,h4h5
4r3/b4p1p/2NK1kp1/R7/8/5P1P/8/8 w - -,a5a7
