8/5k2/6p1/7p/4b3/PR5P/2r2BpK/8 w - -,f2g1
r1b2rk1/pp2qp1p/n2n2p1/2pPb3/4PB2/2N3P1/PP2N1BP/2RQ1RK1 b - -,c8d7
8/4nk2/5p2/2PP4/r3P1P1/p2N1PK1/R6P/8 w - -,h2h4
1k6/8/P1R5/2PK4/8/8/8/r7 b - -,a1d1
2rb1rk1/p2n2pp/1p1P4/4pp2/2q5/P1N1R1P1/1B3PKP/R2Q4 b - -,d8g5
8/4k3/7R/3p3P/2p1b3/2P5/2P4r/2KB4 b - -,e7f7
r5k1/1pR2N1p/pQ4p1/4p3/8/3rP3/1P3PPP/1q3BK1 b - -,a8f8
5rk1/p5pp/bpp3r1/3p4/2P1p3/4q1PP/PPQNP3/R3K1RB w - -,g1g2
2r2r1k/1Q4pp/5n2/pP3p2/P4B2/1qb3P1/2R3BP/5R1K w - -,f1c1
8/1Q6/P5p1/1K4k1/8/8/1q6/8 w - -,b5c6
3rb1k1/r4pp1/1b2pq1p/n7/p1NpR3/P2P2P1/1P3PBP/2RQN1K1 b - -,b6c5
8/5pk1/3r1b2/7R/2p5/2r5/P1B2RKP/8 b - -,f6d4
r2q1rk1/3nppbp/3p2p1/2pP4/4P1n1/2N3P1/PP1NQPKP/R1B4R b - -,g4f6
1rbq1r2/p3n1kp/2pp2p1/2p2P2/8/2NP3P/PPPQ2PN/R4RK1 b - -,e7f5
5rk1/p3p2p/1p3pp1/8/2r1PBP1/2n2K2/P4P1P/R6R w - -,h1e1
r1b2rk1/ppp1qppn/2np3p/4p3/2B1P3/2PP1N2/PP1N1PPP/R2QK2R w KQ -,d2f1
r7/1b1nk2p/pn3pp1/1pp1p3/1P2P3/PBP2P1P/4N1P1/3RN1K1 w - -,g1f2
8/5k2/R7/5K2/R7/6q1/8/8 b - -,g3f3
4r1k1/1p3pbp/p2p2p1/P1pP1q2/1P2r3/2PQB2P/R4PP1/1R4K1 w - -,a2d2
7b/4K3/7P/6k1/5n2/8/8/8 w - -,h6h7
8/4bpk1/Bp2p1pp/8/3q4/1P3QPP/5PK1/8 b - -,f7f5
8/8/8/6k1/r5P1/1R3K2/8/8 w - -,b3b5
8/8/3K1p2/6k1/5nPp/8/R5P1/8 w - -,d6e7
2r1k2r/5p2/pp1p1b2/3PpP2/2q4p/P2Q1N2/1P4PP/4RRK1 w k -,d3c4
4R3/2p2pk1/7p/P2P4/3b4/6P1/1r2BPK1/8 w - -,a5a6
1rb1n3/4b1k1/1pp3pp/4Pp2/r1B1P1P1/P1p1B3/2K3NP/3R1R2 w - -,e4f5
rnbqkbnr/pp2pppp/8/3p4/3P1B2/8/PP2PPPP/RN1QKBNR b KQkq -,g8f6:e7e6:b8c6
r3rbk1/1b1n1ppp/ppqppn2/8/P1NP4/2PB1N1P/1P2QPPB/R3R1K1 w - -,e2f1
2r5/4kpp1/p3p3/2n1NbP1/1pB2P2/1P6/P1P5/2K1R3 w - -,e5f3
1r5r/2qbkp2/3Np3/p1PpP2p/3Q2p1/P5P1/5PP1/1R3RK1 w - -,d4f4
8/p3kp2/1p6/8/r7/1P1K1P2/P2R2P1/8 b - -,a4a5
r2r2k1/1p3ppp/p2qbn2/3pn3/8/P1N1PN1P/1P2BPP1/R2Q1RK1 w - -,f3e5
8/p7/8/3K4/8/2k5/P7/8 b - -,c3b4
2Q4k/6p1/7p/p7/3q4/6P1/5P1P/r4RK1 b - -,h8h7
2kq2rr/pp1b1pp1/4p2b/3pP2p/PPpPP3/2P2N2/3N2PP/1RQ2R1K w - -,c1d1
4k2r/2p1npp1/bp3n2/p1q1p1Qp/P3P3/2Pr2P1/1P1N1PBP/R1B1R1K1 b k -,f6g4
8/1bqr3p/pp3kpQ/3p4/P2R4/1P4PP/5PB1/6K1 b - -,d7g7
6r1/p2pk3/1p2pr1p/1P2R1P1/8/1P4P1/1KP4P/3R4 b - -,g8g5
8/8/4k3/1KB2p2/P5p1/2b5/8/8 w - -,a4a5
5rk1/3R1ppp/4p3/8/2N2P2/2b3P1/P5KP/8 w - -,a2a4
1R6/8/p1k4p/2p5/7r/3K4/P7/8 b - -,h4a4
8/kprQ1p2/p5p1/2q5/1R3P1p/P6P/KP4P1/8 w - -,d7d8
3q2k1/1b6/p3p1PB/1p3p1R/7p/7P/PPp3P1/6RK b - -,d8d4
8/8/4K3/3p4/2bP1p2/8/5P2/2k5 w - -,e6e5
1kr5/1p1bbppR/pq1pp3/2n2PP1/3NP3/2N5/PPPQ2B1/1K6 b - -,c5a4
2r3k1/p2p2pR/1p2P1n1/5p2/5P2/P3P1K1/1Pr3B1/7R b - -,d7e6
r4rk1/pb1nqp1p/1p1b2p1/P1pPp2n/2P1P3/2N2NP1/1BQ1BP1P/R4RK1 b - -,h5g7
8/1pQ1k1p1/p7/2P5/1P6/7P/4p1PK/3q4 b - -,e7e6
1r5k/5pbp/q2P2p1/4P1P1/1R1Q1P2/7P/3B4/6K1 b - -,b8d8
r1b1k2r/pp2nppp/1bpp1q2/4p3/4P3/1BNPB3/PPP1QPPP/2KR3R b kq -,b6d4
8/r5kp/2RN2p1/5p2/4p2P/6P1/5PK1/8 w - -,d6c4
4k1rr/p1pq2pp/1p2p2n/n2pPp1P/3P3Q/P1P4N/2P2PP1/R1B2RK1 w - -,c1h6
r1bq1rk1/1pp3pp/2nppb2/p4p2/2PP4/1PQ2NP1/PB2PPBP/3R1RK1 b - -,d8e8
r2q3r/pp1bbnk1/2n1p1p1/3pPp1p/3P1P2/P1N3PP/1P1NBBK1/R2Q1R2 b - -,h8h6
8/6p1/5p2/5P1K/3kp2P/8/8/8 w - -,h5g6
4r3/ppp3kp/5pp1/8/2nP1PN1/2P2K1P/P1n3P1/2B2R2 b - -,h7h5
r4rk1/pbqn1ppp/1p2pn2/2p3B1/2P5/P1Q1PP1N/1P2B1PP/R3K2R w KQ -,e1g1
rq2nbk1/ppN2r2/3p2n1/N2Pp1pp/bP2Pp2/5P2/2Q1BBPP/2R2RK1 w - -,c2a4
5Q2/3r2rk/1q1N3p/2p1p1bR/4P3/1P3RP1/5PK1/8 w - -,d6e8
7r/p1p3k1/3pb3/2p3pr/2P1P3/1P1NKP2/P1R5/7R w - -,h1g1
3q1rk1/1ppbn1bp/3p2p1/1P2pp1n/2P5/2NP1NP1/1B2PPBP/r2Q1RK1 w - -,d1a1
r4rk1/pb1nqppp/1p6/1Bp5/3Pp3/P3P3/1P2NPPP/2RQ1RK1 b - -,f8d8
2b1r1k1/2p1rpp1/1qp4p/2NpP2P/PP1Q4/4R3/5PP1/4R1K1 b - a3,c8f5
