4k3/8/8/2R1pp2/8/5K1P/7r/8 b - -,h2h3
r1br2k1/p3ppbp/1pn2np1/2p2q2/8/PPNPPN2/1B2BPPP/2RQ1RK1 b - -,c8a6
3r3k/1p1rn2p/pqb1p1p1/4Pp2/P1B2P2/1P1p2N1/1BPQ1bPP/3RR2K w - -,e1f1
rnbqkbnr/pp3ppp/2p5/3P4/3Pp3/2N3P1/PP2PP1P/R1BQKBNR b KQkq -,c6d5
3qk2r/pp1b1ppp/3bp3/3p4/3P4/6P1/PP1NPPP1/2Q1KB1R w Kk -,c1c2
2r4k/1q5p/n3r1b1/pN1pPpR1/P2P1P2/1P6/1Q6/5BRK b - -,a6b4
8/4pp1p/3p1kp1/2pP4/3rP3/P3R1PP/5PK1/8 w - -,h3h4
r1b1k2r/p1b3pp/2p5/2Nnpp2/2N1p3/2P1B3/PP3PPP/2KR3R w kq -,h1e1
1q6/5p2/1k2p1b1/2pn2P1/1p1p2Pr/pP1P2N1/P1PBQR2/6K1 w - -,g3f1
6k1/2q1bpp1/4pn1p/2p5/B1P5/1PBQ1PP1/6KP/8 b - -,e7d6
Q7/4qk2/2p3p1/p1Npp2p/P3P1bP/1P1N2P1/2P5/1K6 b - -,d5e4
7r/8/1p1pk1p1/pPr1pP2/P1P2nPP/1B6/3K3R/2R5 b - -,g6f5
r2q1rk1/1b2bppp/p1p1pn2/3p4/4PB2/1PNB4/P1P1QPPP/R4RK1 w - -,a1d1
r2qrbk1/1bp2pp1/p2p1n1p/1p2p3/2P1P3/1P1P2NP/1P3PPN/R1BQR1K1 b - -,c7c6
3r1bk1/p4p1p/1q2p1p1/4P3/R3NP2/7P/1PQ2P2/6K1 w - -,a4c4
2r2rk1/1bqpbpp1/1pn1pn1p/pN6/1PP5/P3PN2/1BQ1BPPP/3RK2R b K -,c7b8
4r2k/1r6/p2q1bp1/Pb1Pn1Np/1p2PBnP/1B4Q1/1PP3P1/1K1RR3 w - -,d1d4
r2qkbnr/pp2pppp/2n5/3p4/3P2b1/2P2N1P/PP3PP1/RNBQKB1R b KQkq -,g4h5
3r2k1/7p/p5p1/2pb1nN1/3b4/1B5P/1P3PP1/3Q1RK1 w - -,b3d5
2kr1b2/1p1n1p1r/p1p2pp1/P1P4p/2BP3P/2P2PP1/2b5/R1B2KNR w - -,h1h2
r5k1/2p2pb1/1np3p1/1b2P1B1/p5p1/8/1N3PPP/R3R1K1 w - -,g5e7
5k2/4bp2/2p1p1p1/7p/1PpP1B1P/rrP1R1P1/2R2P2/4K3 b - -,f8e8
2kr1b1r/pp1npbp1/2p1q2p/4PpB1/NPP2PP1/8/P3Q1BP/2R2RK1 w - -,g2d5
2r2rk1/p2qppbp/1p1p2p1/2p5/1PP3n1/P1NPPBPb/3B1P1P/1R1QR2K w - -,c3d5
r3k2r/3n1ppp/pqb1p3/1pb1P1B1/7R/2N5/PPPQ2PP/2K2B1R w kq -,f1d3
4rr2/2pn1k2/1p3p1p/p2P2p1/P1PP1P2/4n3/2PN1B1P/1R2R1K1 b - -,g5f4
8/8/5bkp/pppp4/5P2/2PP2N1/PP3K1P/8 w - -,f2f3
8/8/2p1b3/5k1p/p1pP3P/2P2PP1/2NK4/8 b - -,f5f6
rnbqkb1r/ppp1p2p/3p1np1/5p2/2PP4/2N2N2/PPQ1PPPP/R1B1KB1R b KQkq -,f8g7
2kr3r/pp2bpp1/1qp1pn2/8/2PP1PPp/5Q1P/PP2N1K1/R1B2R2 b - c3,c6c5
rnb2rk1/1p3pp1/p2p3p/2pP4/N3q2P/1PBB4/P4KP1/R2Q3R b - -,e4e7
3r4/1p4pN/1kn3p1/4q3/p7/Q1R4P/5P2/6K1 w - -,c3c1
8/2r3pk/1p2pp2/pP2N2p/5P1P/P5P1/3RPK2/2n5 w - -,e5d7
3r1rk1/4bppp/1pq1p3/4R3/3P1BP1/2PQ3P/5P2/1R4K1 w - -,e5b5
8/8/1rpkp2p/3p4/3P1P2/1PR5/1KR4P/6r1 b - -,g1f1
3r4/1p3pk1/4pbp1/p4q1p/3Pp3/2B1PPPP/PP2Q1K1/2R5 b - -,g6g5
8/6kp/1R4p1/2pB4/2P5/r5bb/2R3K1/8 w - -,g2h3
r2q1rk1/pb1nbppp/1p6/2npP3/8/P4NP1/1PQN1PBP/R1B2RK1 w - -,b2b4
8/7p/8/5p2/P2kp3/6RP/r5P1/5K2 w - -,g3b3
r3k2r/1bqnbppp/p2pp3/1p4P1/3NP3/1PN1BP2/1PP1Q2P/1K1R3R b kq -,d7c5
r1bq1rk1/ppp2pb1/3p1np1/3Pp2p/2P1P2P/2N3N1/PP2QPP1/R1B1K2R w KQ h6,c1g5
4r1k1/1q2rp1p/p1bp1np1/1pp3B1/P1PbPNP1/1P3P2/2BQ3P/3RR2K w - -,a4b5
r2qk2r/pp2bppp/2npb3/2pNp3/2B1P3/3P4/PPP2PPP/R1BQK2R w KQkq -,e1g1
r5k1/1p1brnbp/p2p2p1/q1pP1p2/2P5/1PN1B3/P2QNPPP/2R2RK1 w - -,f1e1
r5k1/r2p1pp1/p2Q3p/1p2PR2/8/P1P4P/qP1R2PK/8 w - -,d6d4
2r3k1/1b3ppp/p3p3/8/2N3P1/1P6/P5Pr/RB2R1K1 b - -,h2g2
r2q1rk1/pp2n1pp/3b1n2/1P1pp1B1/6b1/2P2N1P/P1QNBPP1/R4RK1 b - -,g4h5
3r2k1/ppb1npp1/q3p2p/4P3/2PB2P1/P3QN2/5P1P/2R3K1 w - -,d4c5
b3r1k1/5pbp/6p1/1p2n3/4n3/1N2R2P/1P1N1PP1/2B3K1 w - -,d2e4
8/8/8/2Bk3p/p6n/3K4/P7/8 w - -,c5g1
r2qr1k1/1pp2ppp/1b2n1n1/p2pP3/P2P2P1/1Q3NNP/1P3P2/R1B1R1K1 w - -,c1e3
5bk1/1P3p2/2Q5/5p2/8/3bp2P/6PK/8 b - -,e3e2
2r1kb1r/p4p2/bq2p1p1/1p1pPn1p/1PpP1P2/2P2NP1/P1Q4P/R1BR1BK1 b k b3,a6b7
r4rk1/p1pq1pp1/7p/3p1b2/5P2/2NB4/PPPQ2PP/2K2R2 w - -,d3e2
8/2R2k1p/5np1/2P5/4p3/6PB/5PKP/2r5 b - -,f7e8
3r4/2R5/8/8/2p5/1k2K3/8/8 b - -,c4c3
2r3k1/2rq1p2/1pp1p1pp/p3P3/P1RPQ1PP/5PK1/1PR5/8 b - -,g8g7
r4k2/3n2pp/p2n1p2/Rp2pP2/1p5P/1P2K1P1/2P1N3/R7 b - -,d6f5
r4rk1/pp1nqppp/2pb2b1/4p3/2PPB3/1P3N2/PBQ2PPP/R3R1K1 w - -,d4e5
r3kb1r/1bqn1ppp/p2ppn2/6B1/1p1NPP2/3B1Q2/PPP1N1PP/1K1R3R b kq -,f8e7
4r1k1/r5b1/3p1Rpp/pp1P4/3PpQ2/1P1q2P1/PB5P/2R4K w - -,f6e6
1r1n4/2p3p1/1pkp3p/4p3/1PP1P3/2K1BP1P/6P1/R7 b - -,d8e6
8/8/r4p2/3P2P1/4PK2/1k6/p7/R7 b - -,f6g5
r1r3k1/1p3pbp/4P1p1/p7/2R1P3/1P3P2/P2KB1PP/7R b - -,f7e6
4R3/p4p2/2pN1k1p/6q1/8/2PB4/PP2KP1P/8 b - -,g5g4
r4rk1/1bp1qpp1/p1n1p2p/1pR5/3P4/4PN2/PP3PPP/1B1Q1RK1 b - -,g7g6
2r5/4k1pp/5p2/p1n1p3/Pp2P3/1P3P2/3K2PP/2N1R3 b - -,c5e6
5k2/4pp1p/p6P/Pp1R1rP1/3P4/2P3R1/2K5/8 b - -,f5d5
r1bqr1k1/pppn1ppp/2p5/2b1p3/2N1P3/3P1N2/PPP2PPP/R1BQR1K1 b - -,f7f6
r4b1r/pp3k1p/1qn1ppb1/1B1p2p1/3P4/P1N1P1P1/1P2QPP1/2R1K1NR b K -,a8c8
3r2k1/3r2p1/p1bpp2p/8/2N1P3/2N1R3/PP5P/3R3K w - -,e3d3
3rrb2/2p2pk1/p4NB1/1p1pq1n1/8/2P1PQ2/PP5R/6RK w - -,f6e8
3q1rk1/2r3b1/4p3/3p2R1/pp1P3Q/4NR2/PPP1PP2/1K6 w - -,f3f8
r4rk1/bppqnpp1/p2pbn1p/4p3/4P3/2PPBN1P/PPB2PP1/R2QRNK1 w - -,e3a7
2R2rk1/p2qnpbp/1p2b1p1/1P2n3/N2p4/3P1NP1/3BPPBP/3Q1RK1 b - -,f8c8
8/6pk/4b2p/2PNp1q1/4P3/6PP/2R2QBK/2r5 b - -,c1b1
r1bqk2r/ppp1bppp/4pn2/n7/8/2N3N1/PPPPBPPP/R1BQK2R b KQkq -,b7b6
6k1/5pbR/2p1n3/p1Pp1B2/P2P4/1q2PP1Q/1r6/2RK4 w - -,c1c2
8/pp5k/7P/7R/1p3r2/1P6/PKP2P2/8 w - -,h5d5
1r3rk1/2pbq1Bp/3p2p1/n2P4/1p2PpP1/1P3P2/P2Q4/1N1RKB1R b K -,g8g7
r3kb1r/ppp2ppp/2npb1q1/1Q2P3/2P5/P1B2N2/1P2PPPP/R3KB1R b KQkq -,e8c8
r1q2rk1/pn1b1pbp/Bp4p1/2pPp3/4PP2/2P1B3/P3N1PP/1R1Q1RK1 b - -,f7f6
rBb3k1/5p1p/p1P1n1p1/1p1N4/3b4/5B1P/PP3PP1/3R2K1 w - -,c6c7
r1bq2k1/pp1nrppp/2pb1n2/4p1N1/2BP4/2N1P2P/PPQ2PP1/R1BR2K1 b - -,e5d4
7k/1p3p1p/3p2p1/rB6/p3Pb2/1b3P2/1P2R1PP/5RK1 w - -,b5d3
2r5/1p3pk1/4p1p1/6P1/1R6/1Pn1PN2/5P2/6K1 b - -,b7b5
5r2/pkpr1q2/1pb1R1p1/3p1pBp/3P3P/2P3P1/PP2QP2/4R1K1 b - -,a7a6
2br1rk1/1pq1bppp/n1p1p3/p1n5/2P1PP2/PP3NP1/2QN2BP/R2R2BK b - -,b7b6
rnbqr1k1/1ppp1ppp/4pn2/p7/1bPP4/2N1PN2/PP1B1PPP/R2QKB1R w KQ -,a2a3
1qkr1b1r/1pp2ppp/p4nb1/3Pp3/N1P5/1N2P1PP/PP4B1/2RQ1RK1 b - -,b8a7
8/3n4/8/4k3/1PB1p2p/2K1P2P/5P2/8 w - -,b4b5
8/8/4K3/4P3/1k4p1/R7/p4P2/r7 w - -,a3a8
2b1r1k1/r7/p1p1pqp1/2Np3p/PPnP1P1P/2Q3PB/4R2K/4R3 b - -,f6f7
r3k2r/1ppqbpp1/5n2/p2p4/P2Np3/1P2P1Pb/2PP2BK/R1BQ3R b kq -,h3g4
5r1k/2p3b1/pp1p1nqp/3Npn2/2P1Q3/6P1/PP3P2/2B2RKR w - -,d5f6
2kr3r/pp2qpb1/2p1b1pp/2B1P3/8/2NP1n1P/PPP2QP1/2KR3R b - -,e7g5
rnr1bbk1/1p5p/p2p1pp1/P2Pp3/4P3/2N1BP2/1P1KB1PP/R1R5 b - -,b8d7
8/6k1/6p1/2R2p2/5P2/6r1/5K2/8 b - -,g3a3
8/8/5p2/4b1p1/6k1/3K1n2/7p/7R w - -,d3e2
rn1qk2r/p2pbppp/1pb2n2/2p2N2/2p5/2N3P1/PP3PBP/R1BQ1RK1 b kq -,e8g8
8/3Q1pk1/1p6/P7/4q1pp/1KP5/8/8 w - -,a5a6
5r1k/1p2b2p/1nb1n1p1/3pPp2/3P1P1q/1P1BBNN1/3Q2RP/7K b - -,h4h6
6k1/3n1r2/pp1p1q2/2pP3p/Q1P1PB2/4K1Pb/PP5P/1R6 w - -,b1d1
r1bqrnk1/p3bpp1/1pp1pn2/3p2N1/2PP1B1P/2N1P3/PPQ2P2/2KR1B1R b - h3,f6h5
r2qkb1r/1p3pp1/p3pn1p/3pB3/6b1/2NP2P1/PP2PPBP/2RQ1RK1 b kq -,f6d7
2k5/2p3R1/2p5/2b1p3/p1p1P2P/P1P3p1/1PN3r1/3K4 w - -,h4h5
3r1rk1/1pqn1pp1/2pb1np1/P7/P2B4/4P1P1/N1Q1BP1P/R2R2K1 b - -,c7a5
r2qkb1r/5pp1/p1b1pn1p/3p4/1p1NP3/4BP2/PPPQ2PP/1K1R1B1R b kq -,c6b7
4r3/2r3k1/1pNRpn1p/p5p1/4P3/3RKPPP/PP6/8 b - -,e6e5
r1r3k1/1p3pp1/4b2p/pP1p4/q6B/P3PN2/5PPP/Q3KB1R b K -,e6g4
6B1/p2b4/6p1/p1p2k2/5b2/2P4P/1P3BP1/5K2 w - -,f2c5
2kr2r1/1ppqn2n/p2p1b1p/3Pp2P/4Pp2/5N2/PPPBQP2/2KN2RR b - -,g8g1
r3b1k1/1p2rpb1/p1p3p1/P1N3q1/2B1Pp1p/2PR1P1P/1P3QP1/3R2K1 b - -,g7e5
n2k4/pbp3bp/5p2/8/4PB2/1P4P1/P4P1P/2R3K1 w - -,c1c4
8/8/1Rp4r/k1PpNp2/3n2p1/6P1/5K2/8 b - -,h6e6
8/8/5R2/3k1p1p/5P1P/p4KP1/r7/8 b - -,a2a1
r1q1r1k1/pp3ppp/1np2n2/N2bN3/P2Pp3/6PP/1P1QPPBK/R1R5 w - -,b2b4
1r6/4qpk1/2rp3p/1b1RpPpP/4P1P1/1P3B2/3Q4/3R2K1 b - -,b8b6
6k1/1pr2p1p/1q1p1bp1/pP1Pp3/3nP3/2RBB3/P2Q1PPP/6K1 w - -,c3a3
8/b7/6p1/8/7p/5Pk1/1N1NK2n/8 w - -,b2d3
6k1/2nn3p/3p2p1/1ppPppb1/2P1P3/1P3P2/N5PP/BN4K1 w - f6,a1c3
rr4k1/5ppb/1Pp1p2p/p1bp2PP/1q6/1P6/PB1QPPB1/3R1RK1 w - -,d2c1
r3kb1r/1bq2ppp/p2p1n2/1pB1pP2/4P3/3B1NQ1/P1PN2PP/1R3R1K b kq -,c7c5
1r3rk1/p2b3p/2p1n1p1/3p1p2/3P1Pn1/2N1PN2/P4PBP/1R3RK1 w - -,c3a4
rnbqk2r/ppp2ppp/3bpn2/3p4/2PP1B2/2N2N2/PP2PPPP/R2QKB1R w KQkq -,f4d6:f4g5
r2q2k1/4ppbp/1p1p2p1/2nPn3/p2NP3/P3BP2/1PRQB1PP/6K1 b - -,d8f8
3r3k/2p3p1/1ppq3p/8/P5RP/2NnQP2/1P3P1K/8 w - -,h2g2
2qr3k/1b2p2p/4p1pb/pp2P3/5P2/P6P/1PN2QPB/4R1K1 b - -,d8d3
5rk1/p4p2/b1p2Qpp/5P2/4N1P1/2PP4/Pr2B1KP/b7 w - -,g2f1
r2q1rk1/1p2bppp/p1bp1n2/4p3/1nP1P3/N1N1B3/PP1QBPPP/R4RK1 b - -,d8a5
7r/ppkb4/5pB1/3n2pp/2pP4/6PP/P4KP1/2R3N1 w - -,c1c4
3R4/p3rpk1/1b4p1/8/2B5/1P2P1P1/5PK1/7R b - -,b6d8
8/6p1/n4p1p/2k1pP2/1p2P3/1P1K3P/2N3P1/8 w - -,d3e3
r2b1n1r/ppn3pp/3R4/1Pk5/2B5/1PP3P1/5PP1/R5K1 w - -,a1d1
1r4k1/R2n1ppp/4p3/3pP3/1b1P3P/1N2RNP1/2r2PK1/8 b - -,b8d8
5R2/1p1r4/3P4/1PP2k2/2KB1b2/5p2/8/8 b - -,f5e4
2r5/3r1kp1/1R2N2p/1p6/7P/1Rn2P1K/6P1/8 w - -,e6f4
4r3/6b1/2k1P2p/2pn2pP/2Np2N1/6P1/2P1RP2/6K1 w - -,c4e5
r1bqk2r/pp3pp1/2pbpn1p/3p4/2PP4/5NP1/PP2PPBP/RN1Q1RK1 w kq -,b1d2
r3k2r/2qnbpp1/bp1p1n1p/p1pPp3/P1P1PP2/1PN1B1PP/4N1B1/R2QK2R b KQkq -,h6h5
1k1rr3/p2b3p/Bp1Pn3/2p3p1/5p2/3R1P2/PB3KPP/3R4 b - -,d8c8
r2q1rk1/pb3ppp/1p2pb2/3n4/2BB4/1P2P3/P2NQPPP/R2R2K1 w - -,d2f3
8/5kp1/B2p1n2/p2Pp2r/1p2P3/5K2/PP4R1/8 w - -,a6c8
r3r1k1/pp3ppp/1qb1p3/3pPn2/2P5/PP1R1N2/1B2QPPP/5R1K w - -,b2d4
1n6/1Bb2p2/p2k2p1/4p3/1P2P2p/1K2NP1P/6P1/8 b - -,d6e6
8/2k3pp/1n3p2/5P2/r7/1N3K2/2B2P1P/8 w - -,b3c5
n2qr1k1/5pp1/3n3p/2pPN3/2P2B2/3Q2P1/5PK1/R7 w - -,e5c6
4r1k1/6p1/p5pp/1p6/3P3P/P1B1K1P1/1P4b1/2R5 w - -,e3f2
3r1rk1/4b1p1/7p/1p1pn3/p1p2P2/2P1B2P/PP2B1P1/3RR1K1 b - f3,e5g6
2r4r/pp3k2/1qnbpp2/1B1p3p/4P1Q1/2N5/PP3PPP/R4RK1 w - h6,g4h3
3b2k1/3n1p1p/3p2p1/2pPp3/1P2B1P1/2P2P2/r2B3P/3R2K1 w - -,d2h6
r3Nr2/p2n2kp/1p2p1p1/4P3/5q2/8/PP2Q1PP/1B1R2K1 b - -,a8e8
7k/pp5P/8/6K1/3r3p/6nR/PP6/8 w - -,h3h4
r1bqk2r/1p2bppp/p1n1p3/2p2n2/3PN3/2P2N2/PP3PPP/R1BQRBK1 b kq d3,c5d4
3r2k1/p1qr1p1p/2p2bp1/2P1p3/1PQn4/P1NR1P1P/5BP1/3R3K b - -,d4e6
r5k1/1p2pp1p/1bnpb1p1/1N6/1PP1P3/2B2PP1/3R2KP/3B4 w - -,d1e2
2R5/r6p/1p1qN1pk/p1pB2N1/P1P4n/1P6/5P2/4R1K1 b - -,h6h5
5rk1/2n2ppp/4b3/R3P3/1p6/5N2/1P2NPPP/6K1 w - -,e2d4
4r3/1bk4p/1p1p2p1/p3p3/2P1P3/2P1K1P1/1R2BP1P/8 b - -,b7c6
2R5/p5pk/5p2/2p1nN2/8/r7/5PK1/8 b - -,h7g6
6k1/1q3pp1/p3p2p/1p6/n3N3/PP3PP1/4P1KP/2Q5 b - -,a4b6
r2q1rk1/pb2ppbp/1pn2np1/3p4/2PP4/1P1B1N2/PB1N1PPP/R2Q1RK1 w - -,a2a3
r4rk1/4p1bp/pq1p1np1/1p1b2N1/3P1P2/P2BB2Q/1P4PP/R4RK1 b - -,e7e6
2b5/p1r1kp1p/6p1/R1pp4/5P2/1P1B3P/P1P2KP1/8 w - -,c2c3
8/7R/6p1/4ppP1/3p2kP/5r2/3K4/8 w - -,h7h6
6k1/8/3p4/b3ppp1/4Pqp1/5P2/PB3QKP/8 b - -,g4f3
8/8/3k4/4p3/1p6/2pn3P/2R4P/5K2 w - -,h3h4
1kbb3r/1p3p2/p2ppp2/2q5/Pn2PP1p/2NBRNrP/1PP3P1/4QR1K w - -,e3e2
4r2k/1pq2bpp/2pp4/p1n2P2/2P2b2/1PN3PP/P2Q2B1/4R1K1 w - -,e1e8
r3kb1r/1pqn1pp1/p4n1p/3ppP2/2b1P1P1/1NN1B3/PPP1B2P/R2QK1R1 w Qkq -,c3d5
2q1r1k1/5p1b/2p4p/p3r1bP/1p1NPpP1/2P2P2/PPB3Q1/R3R1K1 w - -,e1d1
4r3/pp1r1k2/3b4/3Ppp1p/1P6/P4KP1/1B2R2P/3R4 b - -,d7c7
