8/k7/8/PK1N4/8/8/8/8 w - -,a5a6
4r1k1/2q2ppp/p2p4/p2P4/2Pnr3/R2B4/3Q1PPP/R5K1 b - -,e4e5
rr4k1/3n1ppb/P1N4p/2bp4/8/4q3/4B1PP/R2Q1RK1 w - -,g1h1
b1r3k1/2qnbpp1/p2pp2p/4n3/2P1PBP1/1NQ1N2P/P2R1PB1/6K1 b - -,d7b6:d7f6
6k1/6pp/b3pn2/8/3P4/8/1p3KPP/4N3 w - -,e1c2
8/p3k1pp/8/1p1nN3/2pP4/P4P1P/1P1K2P1/8 w - b6,e5c6
6B1/5R2/1p4k1/2p1qpp1/2P5/4P1PP/Pb3P2/3R2K1 w - -,f7d7
r1bq1k1r/ppp2ppp/3b4/4n3/2Bp4/8/PPPN1PPP/R1BQR1K1 w - -,e1e5
1n1qr3/r2b1k2/p3p1pp/1p6/2pPQB2/2P2B2/5PPP/R3R1K1 w - -,f3h5
8/5kpb/4p3/2N1Pp1p/1pB5/1Pr1nP2/6PP/3R1K2 w - -,f1e2
r1b2rk1/3nppbp/p2p1np1/qPpP4/4P3/2N1BPN1/PP1Q2PP/R3KB1R b KQ -,d7b6
8/pp4kp/6p1/2P1n3/7q/3r3P/PP3pQ1/3R3K w - -,d1d3
4r1k1/4npbp/5np1/pN6/P1qP1BP1/2N2P2/3Q3P/5RK1 w - -,b5d6
r4rk1/ppn1qpp1/2pp3p/4pPn1/4P1P1/2NP1B2/PPPQ2RP/5RK1 w - -,g2g3
8/6pk/q1p5/p4ppn/3P4/PR3PPP/5B2/2R3K1 w - -,b3c3
8/4k3/1K2p3/p1P1PpR1/Pp3P1r/1P6/8/8 b - -,h4h1
3r4/3P3p/4R1p1/2b2p2/B2k1P2/6P1/7P/6K1 w - -,e6e8
2b1r1k1/r3q1bp/p2pN1p1/2pPnp1n/P7/2N3P1/3BPPBP/1RQ2RK1 w - -,e6g7
2b1r1n1/5pbk/p3N1pp/1p1B4/8/1P2BN1P/P4PP1/2R3K1 b - -,c8e6
1r6/p2rpk1p/2p3pb/B2bPp2/8/1P3PP1/PN2K2P/1R1R4 w - -,b2d3
3r2k1/5p1p/B5pb/2r5/P7/2p2P2/2R3PP/1R3K2 b - -,d8d2
r1r3k1/pp1qbpp1/1n2b2p/3pPp2/1P1P3P/P2QNNP1/3B1P2/R1R3K1 w - -,f3e1
3rr3/4b2k/1p1p1qp1/pPpRp2p/P3P2P/1P4PB/4QP1K/3R4 w - -,e2e3
8/8/1R2p3/5k2/7K/8/P5r1/8 b - -,e6e5
r1b2rk1/p1p3p1/2q1pnn1/1P1p1p2/P2P3p/3N2P1/4PPBP/R1B2RK1 w - -,b5c6
3r4/2pr4/1p2k2b/pPp2ppp/2N1Pp2/2PP1P1P/P3KPR1/3R4 w - -,c4b2
5k2/1p5p/4P1b1/1PrN4/p3p3/P6P/6PK/3R4 b - -,c5b5
8/8/2K5/4r1pk/2p5/P1R4P/6P1/8 w - -,c3c4
3r2k1/6p1/2p1b1Bp/q2pB3/1p1P2Pb/8/1PP3Q1/rNKR2R1 w - -,e5f4
2b2rk1/1p5p/3p2p1/4p1q1/2P3P1/r4P2/2Q1B2P/1R3RK1 b - -,g5e3
r2q1rk1/4bppp/p1p1pn2/3n2B1/3P4/P1N5/1P3PPP/1BRQ1RK1 w - -,c3a4
2r3k1/pb1n1ppp/4p3/qp2P3/3P4/PB1Q1P2/1B1n2PP/4K2R w K -,d3d2
8/2k3Kp/1p5P/p7/P1BP4/5n2/1P3p2/8 b - -,f3g5
8/5bk1/3q1pp1/2N4p/1Q1p3P/6P1/1P3P1K/8 b - -,d4d3
r1b2rk1/pp4pp/1qnbpn2/3p4/2pP4/P1P2NP1/1P2QPBP/RNB2RK1 b - -,g8h8
8/2B5/2b5/8/p4pkp/P7/5K2/8 w - -,f2g1
2r1kb1r/1pqb1ppp/p2ppn2/4n3/P3PB2/1NN2P2/1PPQB1PP/2KR3R b k a3,h7h5
4r3/p1q2k1p/5np1/2p2p2/2P1b3/1P6/P1BQN1PP/3R2K1 w - -,c2e4
8/ppp1r3/5k2/5ppp/1P1R3P/P1P2KP1/8/8 w - -,h4g5
5bk1/3r1p2/p1p1r1q1/4p2p/1PR1P1pP/P3B1P1/2Q1PPK1/5N2 w - -,c4c3
5r1k/1pRq3p/p7/3N4/1P5P/P3Q1P1/6K1/8 b - -,d7d5
8/p7/8/2r1p2p/2P1p1k1/4K1P1/P1R2P2/8 b - -,g4f5
8/8/1n1k2p1/1P3p2/1P1KpP2/6P1/4B3/8 b - -,b6d5
rn1qk2r/pbppnppp/1p2p3/8/1bPPP3/P1N2P2/1P4PP/R1BQKBNR b KQkq -,b4c3
r4rk1/1pq2pp1/p2p3p/3Pp3/8/2P1Q1P1/P3PP1P/1R3RK1 b - -,b7b5
r2q1rk1/1pp1bppp/pn2p3/8/2PP4/1PBQ1P2/P3N1PP/R4RK1 b - -,d8d7
2R5/1p2k3/1r6/p3pp1p/Pn3N1P/6P1/5P2/5K2 w - -,f4h5
r1b1k2b/pp2p3/2pp2p1/q2PnpN1/2P5/2P5/P3BPP1/R1BQK3 w Qq -,e1f1
r1b2rk1/pPp1p1bp/1n3qp1/1BQ3N1/4P3/2N1p3/PP3PPP/2KR3R b - -,c8b7
rn1qkbnr/pp3ppp/2p1p3/3pPb2/3P4/8/PPPNNPPP/R1BQKB1R b KQkq -,g8e7
1rb2rk1/p4pbp/1p4p1/2N5/3p3N/3P2P1/P3PPBP/2R2RK1 b - -,b6c5
r5k1/4r1p1/4n1pp/p1p5/1b2P3/1B3PP1/1P3B1P/2RR2K1 b - -,a5a4
8/5p2/3k2pp/p2P4/7P/1B3KP1/P4P2/2r5 b - -,c1e1
2rq1rk1/p2n1ppp/1p2pb2/3b4/1Pp1P3/P1BP1NP1/1Q3PBP/R1R3K1 b - e3,f6c3
r1b1k2r/pp2ppbp/2np1np1/q7/2PB4/5NP1/PP2PPBP/RN1Q1RK1 w kq -,d4c3
r2q1rk1/pp3pnp/1npb2pB/3p4/3P4/2NBP3/PPQ2PPP/2R1K2R w K -,h2h4
rn2k2r/pp1b1p2/7p/1BPp2p1/1b2n3/2N1P1B1/qPQ2PPP/2R1K1NR w Kkq -,b5d7
8/2pkb3/4p1p1/pp2P2p/2p1KP2/P1P3PP/1P1B4/8 b - -,a5a4
R7/1p1r1ppk/5n1p/1Pppr3/4n3/2N1P3/1P3PPP/3RBK2 w - -,c3a4
r2rb1k1/1p2b2p/p5p1/q2nNp2/P1BP4/1P3Q2/1B4PP/R2R2K1 b - -,g8g7
r1b2rk1/pp2ppbp/3p2p1/3Pn2q/8/1N4PP/PP2PPB1/R1BQ1RK1 w - -,g3g4
r1b2rk1/2p3pp/p2b1qn1/1pp1pp2/3PP3/2P2NBP/PPN2PP1/R2Q1RK1 b - -,e5d4
3r1r1k/ppp1b1pp/6q1/8/1P1PnB2/P4P1Q/B4P1P/6RK w - -,f3e4
2rqr1k1/1b1nbppp/pp1ppn2/8/2PNP3/1PNBBP2/P2Q2PP/2R2RK1 b - -,d8c7
8/BB4k1/5p2/6pp/8/8/5P2/5K2 w - -,b7e4
2rqr1k1/3n1pb1/pn2p1p1/1p2P1P1/3N1PQ1/P1N2b2/1PP3B1/R1B3K1 w - -,d4f3
2r3k1/pp1nbp1p/5n2/3p2p1/3P1N2/5PP1/PP3K1P/R1B2B2 w - g6,f4g2
3r2k1/pp1r1n2/5qpb/P1p1p2p/2NpP3/1P1P3P/4QPPB/R4RK1 b - -,d8e8
1r1q1rk1/1p2ppbp/2n1b1p1/p7/P1NpP3/BP1P2P1/2Q2PBP/RR4K1 b - -,b7b5
4rrk1/2pbp1b1/pp1p3p/2nP1p1q/2PN4/P1N1P1BP/1PQ2PP1/2KR3R b - -,g8h8
r4rk1/pq3ppp/n2pn3/4p1P1/8/5N1P/PPPBQP2/R4RK1 b - -,a6c5
r1b1kb1r/ppq2ppp/2n1pn2/2p5/2BP4/1P2PN2/P4PPP/RNBQ1RK1 b kq -,a7a6
6B1/4k1pp/4b3/1p3p2/2p1PP2/5P2/rP1R1K1P/8 w - -,g8e6
r1bqk2r/1p1nbp1p/p2p2p1/2pP2Bn/Q3P3/2N2N2/PP3PPP/R3KB1R w KQkq -,g5h6
1k5r/1pq1bp2/p1n1b2p/3pPp1P/PP1P1QR1/2PN1N2/1B3P2/6RK b - -,f5g4
8/8/3pk1p1/1p6/4KPP1/7P/8/8 b - -,d6d5
r3k1r1/q3bp2/p3bB2/1p1pPp2/1P1P2pp/8/P2Q1PPP/NR2R1K1 w q -,a1b3
4bk1r/8/r3PN2/pp5p/3R3P/P7/1PP5/1K2R3 b - -,a6a7
8/5K2/p1kp4/7p/4P3/r4P2/P4R2/8 b - -,c6d7
r4r1k/p1np2pp/1p3p2/2p2P1q/2BnP3/P1Q2P2/1P1B1R1P/2K3R1 w - -,d2f4
1rb1r1k1/1pqnbpp1/p2pp2p/8/P2BPP2/2N3PP/1PP1Q1B1/R2R3K b - -,b7b6
4r3/2pR1p1k/1p5p/1Pb1P3/6P1/5bKP/2P5/4R3 b - -,f3a8
r1b2rk1/pp1n2p1/2nbpq1p/3p4/3P4/3B1NN1/PP3PPP/R1BQ1RK1 w - -,d3c2
4r1k1/1prn1ppb/2p1p2p/p1N5/P2PP1Pq/5P1P/BP1Q2K1/2RR4 b - -,h4d8
8/5k2/p7/4PPp1/n2N2N1/8/3b2P1/5K2 b - -,a4c5
