4r3/4P3/7p/5pk1/6p1/8/K6P/4R3 b - -,g5f6
r2r4/ppb4p/2n1kpp1/1B1p4/5PP1/3R4/PP5P/2BR2K1 b - g3,c7b6
1R6/8/1P3p2/5k1p/7P/5P2/7K/6r1 b - -,g1b1
6k1/5pP1/6p1/3p3p/p1b2Q1P/8/6PK/8 b - -,g8g7
2brr1k1/1p2qpb1/2pp1np1/p1n4p/N1PN4/BP2P1PP/P2Q1PB1/2RR2K1 b - -,f6e4
4k3/pb3p1p/1p2p3/8/P7/3p2P1/1P3QP1/2q1R1K1 b - -,d3d2
8/2R5/4k1p1/5p1p/3p1P2/3K2P1/r4P1P/8 w - h6,d3d4
2r1r1k1/p4pp1/1p2p3/1b4Pp/4P2P/2B2P2/PP1R4/1K2R3 b - -,e8d8
3q1rk1/3bpp2/3p2pQ/p2P3p/1pR4P/1P4P1/P3PPB1/6K1 b - -,e7e5
r1bq2nk/pp2n2r/3p3p/3Pp2P/2B1P1P1/2N1Q3/PP1K1P2/5RR1 b - -,g8f6
8/8/2k3p1/8/4P2P/3KBr2/8/8 b - -,f3h3
Q7/2q3k1/3pR3/2p2pPp/2Pb4/1P1P4/p7/7K w - -,a8a2
r4rk1/1p1bqpp1/n1pp1n2/3P3p/p1P1PN1P/P5P1/1PQN2B1/4RRK1 b - -,a8e8
4r3/8/1pp3pk/1b6/4r3/P1R1NR2/2K4P/8 w - -,f3g3
R7/1k2P3/3K4/3P4/8/8/p5r1/8 b - -,g2g6
r1b5/1pnnkp1p/4pp2/8/1PPNNP2/8/4B1PP/3R2K1 b - f3,a8a4
6k1/pp2r1pp/2pb1r2/3pN2P/3PnPR1/8/PPP1N2R/1K6 b - -,f6f5
3r2k1/ppq2pb1/6p1/P1P4p/2Q5/3NP1P1/P4P1P/1R4K1 w - -,a5a6
8/4ppkp/2Bn1bp1/p1QP4/8/6P1/1qR2P1P/6K1 b - -,b2b3
r2q1rk1/1pnn1ppp/2p3b1/p2p4/P2P1BPb/2N1PP1P/1P1QN1B1/R4K1R w - -,e3e4
3k3r/1p2pp2/p1rp1n1p/3P4/4PP2/P2K2B1/1P3P2/R6R b - -,c6c7
rr1b1qk1/1p1n2pp/3p4/1BnPpp2/p3P3/N3BP2/PP1Q2PP/2R2R1K w - f6,a3c4
2b1kb1r/3n2pp/p1q2n2/1p1Np1N1/2p1P3/4B1Q1/PPB2PPP/3R2K1 w k -,g5e6
8/3R1pkp/1p4p1/p3K3/3P4/P5P1/2B3b1/4r3 w - -,e5f4
5k2/p1p5/1pp3P1/7p/4RKb1/4N1P1/PPPr4/8 w - -,f4g5
r4k2/pq3pp1/3nrb1p/3pN2Q/1p1P1PP1/2p1PR2/PP1N3P/2R3K1 w - -,b2c3
r2q1rk1/pb4pp/4p3/1pb2p2/3p1P1n/1P6/P1PPB1PP/R1BQ1RNK w - -,g1f3
2qrk2r/4b3/pp1pp2p/5pp1/2PNnP2/BP1RP3/P1Q3PP/3R2K1 w k -,c2e2
8/p2r4/2R2Bp1/1P1k1nP1/P7/8/8/2K5 w - -,c1b2
r2qkb1r/3n1ppp/p3pn2/1p1p4/3P2b1/1BN2N2/PPP2PPP/R1BQ1RK1 w kq -,d1d3
3qrnk1/1p1b1pbp/p2p2p1/2pP1P2/P1P2Bn1/2NB2N1/1P1Q2PP/5RK1 w - -,c3e4
r1b1k2r/p1B1qpb1/2p4p/3p2p1/4n3/2P5/PP2QPPP/RN2KB1R w KQkq d6,c7a5
1r5k/pB2q1bp/5pp1/8/8/5Q2/PPP2PPP/3R2K1 w - -,b7d5
r2qk2r/pp3ppp/2n5/5b2/1b1p4/3P2P1/PP1BNPBP/R2QK2R b KQkq -,b4e7
2b5/7p/4k1p1/1N6/8/P7/8/2K5 w - -,c1d2
r3kb1r/2pn1ppp/p1q1b3/1pnN2B1/2B5/4QN2/PPP2PPP/2KR3R w kq b6,f3d4
8/5R2/2p5/2b1kP2/r5P1/2P5/3BK3/8 w - -,g4g5
r1r5/p2k1p1p/4p1p1/3p4/8/BPb2P2/P1P1R1PP/3R3K b - -,c8c6
r1b1r1k1/pp3pbp/1q4p1/3pP1B1/6n1/2PB4/PP1N1PPP/1R1QR1K1 w - -,g5h4
3r4/p4q1k/1p1p3p/3Nbp1p/1Q2pB2/6PB/P1r1PP2/3R2K1 w - -,d5e3
8/1k2b1p1/2p2pPp/5P1P/1p2KP2/B2P4/8/8 w - -,a3b2
r3k2r/ppp1npp1/2nqb3/2p1p2p/2P5/3PB1PP/PP2PPB1/R2QK1NR w KQkq -,g1f3
r1bqk1nr/ppppppbp/2n3p1/8/2PPP3/4B3/PP3PPP/RN1QKBNR b KQkq -,e7e5
1nr1r1k1/5pb1/p5p1/1qB5/1P2p2Q/4NP2/7P/2R2RK1 b - b3,b8d7
rnbqk2r/1p2bppp/2p1p3/p2p3n/P1PP1B2/2NBPN2/1P3PPP/R2QK2R w KQkq -,e1g1
r2qkb1r/1p1np1pp/p1p2p2/2PpBb1n/3P4/2N1PN2/PP3PPP/R2QKB1R w KQkq -,e5g3
rn1qkbnr/pp2pppp/2p5/8/8/2NBBQ1P/PPP2PP1/R3K2R b KQkq -,b8d7
r7/p4kr1/2p1p3/3q1p2/1P1P1R2/P5P1/4Q2P/2R3K1 w - -,e2c4
3r4/4kp2/p1b1pNrp/q1b1P2Q/3n1B2/p4P2/5RPK/2RB4 w - -,f4e3
r1b2rk1/pp4pp/1bn1pqB1/3p4/8/1N3NB1/PPP2PPP/R2Q1RK1 b - -,f6g6
8/3bk3/2p5/2K1P2p/1pB4P/8/1P6/8 b - -,d7e6
8/8/1p1k4/2p3pp/PpK5/4P3/2P3PP/8 b - -,h5h4
