8/8/Q5pk/P4p2/1P6/4P1P1/2q5/6K1 b - -,c2b1
4k3/8/2R5/3p4/3NqP2/4P3/5K2/8 b - -,e8f7
r2qk2r/pp1nbppp/2p1pnb1/3p4/3P4/2P2PP1/PP2PNBP/RNBQ1RK1 w kq -,b1d2
3r4/ppb3k1/1np2p1p/6p1/4PPP1/1P2B1P1/P4KB1/7R w - -,e4e5
8/8/7p/6p1/4k3/p1K3P1/4B2P/8 b - -,e4f5
8/1p4p1/5p1p/3kpP2/2p3PP/P2rKP2/1P4R1/8 w - -,e3e2
2r4k/7p/4p3/3pPp2/4q3/3N2P1/3b1P1P/1R3QK1 w - -,b1b6
r2q1rk1/1p3pp1/p2bbn1p/2np4/3N3B/3BP2P/PP2NPP1/R2Q1RK1 b - -,a8c8
r1br1k2/1p2bpp1/1qn5/p2pP1p1/3p1B1P/P2B4/1P2QPP1/2R1R1K1 w - -,e2h5
r1bqr1k1/pp3ppp/2n2n2/b1pp4/8/2PPPN2/PB2BPPP/RN1Q1RK1 b - -,a5c7
5rk1/pb1n1ppp/1p1q1n2/3pp3/1P6/PQ1P1NP1/1B2PPBP/2R3K1 b - -,d5d4
r2r2k1/pp3pb1/2p3pp/2n1p2q/2P1P1n1/2NQBBPb/PP1N1P1P/R3R1K1 w - -,d3e2
rnbq1rk1/ppp3pp/3p1n2/2bP1p2/8/5NP1/PP2PPBP/RNBQ1RK1 w - -,b1c3
6k1/6p1/5p2/3K1n1P/8/R7/8/8 b - -,g8h7
6r1/8/4N3/2Bn4/1kn5/4P3/2R2P1P/4K3 b - -,b4b5
2br2k1/6p1/3rp2p/p1N1N3/1p1P1PPb/8/PP1R3P/1K1R4 b - -,d6d5
1qr2bk1/1p1b1p1p/4p1p1/1Pn3N1/8/4P1P1/1B2BP1P/1Q1R2K1 b - -,c8d8
r1bqk1nr/pppp1ppp/1bn5/1P2p3/2B1P3/5N2/P1PP1PPP/RNBQK2R b KQkq -,c6a5
rnqr2k1/pp3ppp/2b1pn2/2b5/2N2B2/1QN3P1/PP2PPBP/R4RK1 w - -,e2e4
q2r2k1/6bp/p2Nppp1/1pNbP3/5P2/8/PPP2QPP/3R3K w - -,h1g1
2B5/5k2/1n2p2p/1P3pp1/8/4PP2/5PKP/8 w - -,c8b7
r1bq1rk1/pp3p2/2n4p/2b5/2B3p1/6P1/PPQN1PP1/RN3RK1 b - -,c5d4
r4rk1/1pqbppb1/p1np1np1/7p/P2NP3/2N1BP2/1PPQB1PP/R2R2K1 w - -,d4b3
2k1r3/ppp2p1p/6p1/3r4/8/4PP1P/P1R1K3/6R1 w - -,g1c1
4kN2/1bbq1ppr/p3p3/1pB1Pn2/1P1pNP2/3P2Q1/P5PP/2R4K w - -,g3f2
r2qk2r/pppnpbb1/6pp/5p2/3P1B2/2P1PNQ1/PP1N2PP/R4RK1 b kq -,a8c8
8/6k1/2q2bp1/3b1p1p/1p3P1P/1B1QP1P1/5K2/2N5 b - -,d5h1
2br1rk1/pq2ppbp/n1p2np1/1p2N3/2pPPP2/P1N2B2/1P2QBPP/2R2RK1 b - -,f6d7
7k/6p1/p2Bp2p/1p2P1qP/8/PP3Q1K/8/8 w - -,d6c7
8/1b1r1k1p/p4pp1/1p6/5B1P/PPR3P1/4KP2/8 w - -,c3e3
8/7p/p1p5/3p3P/1b1P2Pk/1P2BP2/5K2/8 b - -,b4a5
8/2r1q1k1/6p1/p3p1NP/1p2P3/4P1Q1/bP3R1K/8 b - -,g7h6
1r6/Qp1b1k1p/3p1q2/1N1P1n2/2P5/6P1/P6P/4RB1K b - -,b8g8
2b1r1k1/p6p/1p1p2p1/2pP1p2/2P5/3Pr1P1/PP1R1KBP/5R2 b - -,e3e7
8/2p2pk1/1q2R1p1/1p3n1p/8/1PP2N1P/1PQ3P1/7K b - -,b6e6
8/3k4/8/2PK1p1p/7P/8/8/8 b - -,f5f4
6k1/8/6p1/p3P1b1/3Pn3/3R1Q2/P5B1/2q3K1 w - -,f3f1
r2bq1rk/p2b1p2/Pp2p1p1/1P1pP1Pp/3P1P2/3Q2KP/N1RB4/1R6 w - -,h3h4
8/8/K6R/1P3r1P/2k5/8/8/8 b - -,c4d5
r3k3/4n1b1/p4pp1/1p6/3pPB2/1B1b3r/PP3RKP/R3N3 b q -,h3h4
r1bqrbk1/5ppp/p2p1n2/npp1p1B1/4P3/2PP1N2/PPB2PPP/R2QRNK1 b - -,h7h6
rnbqk2r/1p2bppp/p2ppn2/8/2PNP3/6P1/PP3PBP/RNBQ1RK1 b kq c3,e8g8:d8c7
2q2rk1/pp3r1p/3p2p1/P1bP1PP1/2Q1PB1n/R5NP/1PR5/3K4 b - -,f7c7
1r1q1rk1/R4ppp/3pb2b/8/1p2PP2/4B3/1PPQ2BP/5RK1 b - -,d8h4
r1bqk2r/ppp1bppp/2np1n2/8/4Pp2/2NP2P1/PPP3BP/R1BQK1NR w KQkq -,c1f4
3rr1k1/pp2n1bp/1np1q1p1/5p2/3P2P1/2N1P1QP/PP4B1/R1BR3K w - -,b2b3
2q1r1k1/r4pbp/pp1p4/2pPn1P1/P3P1n1/2N3B1/1P1QBPP1/R3R1K1 b - -,c5c4
2b5/4kpp1/pr1p3p/R1r1p3/R1P1P3/1PKB1P1P/6P1/8 b - -,c5c6
4k3/5q2/1Q4p1/6P1/5Pp1/1p5K/8/8 w - -,h3g4
8/1p1kbr2/1n2p1pp/3pPp2/pP1P1P1P/P3BKP1/3N4/2R5 b - -,f7f8
1r4k1/7p/5ppB/4p3/3p4/b2N1P1P/2p3P1/6K1 w - -,g1f2
r6r/1p3pkp/6p1/3p4/1p4b1/5n1P/PPPN1PP1/R2KR3 w - -,d2f3
8/6k1/4R2p/1r3K1P/6P1/5P2/8/8 w - -,e6e5
rnbqk2r/pp2nppp/2pb4/3p4/3P4/2N1P1B1/PP3PPP/R2QKBNR w KQkq -,f1d3
8/3bNk2/3P1p2/5N2/1r6/5K2/4RP2/r7 b - -,a1a3
6k1/3r1pp1/2p1pb1p/7P/q1PPQ3/4B3/5PP1/2R3K1 w - -,g2g3
r3k1nr/p1pqbppp/2p1b3/8/Q1B2B2/2Pp4/PP3PPP/RN2R1K1 w kq -,c4d3
8/1n6/1P6/2B3p1/R3p3/P2r1k2/K4P2/8 w - -,a4c4
r1bqkb1r/1p1p1ppp/p1n1pn2/8/3NP3/2N1B3/PPP2PPP/R2QKB1R w KQkq -,a2a3:f2f4:f2f3:d1d2:f1d3:f1e2:d4c6
3nrrk1/pb4pp/1p1bpp1n/2p4q/2PpPP2/PP1P1NP1/1B3QBN/4RRK1 b - -,d6c7
r1b4r/1p2q1kp/p1pb1np1/6N1/1P2p3/2B3P1/P1Q2PBP/R4RK1 b - -,d6e5
r5k1/1p2r1p1/p1pb2p1/3p1pn1/1P4P1/2P2P1P/1P2PBB1/3RR1K1 b - -,f5f4
r1r3k1/1p6/1q1npbp1/pbNn3Q/3P4/P7/1P1B1PPP/2R1R1K1 w - -,h5g6
r5k1/1p4pp/p1nbp3/5r2/1P1Pp1q1/P4NP1/1B2Q2P/4RRK1 w - -,e2e4
6k1/p1pq1rpp/3n4/1p2R3/5P2/1PN3P1/PK1Q3P/8 w - -,e5d5
8/6B1/1p6/2b3p1/PP2kp2/2P3p1/6K1/8 b - -,c5f2
rn1qkb1r/1b2pp1p/p2p1np1/1p6/3NP3/2N3P1/PPP2PBP/R1BQ1RK1 w kq -,c1g5
3r4/1k4p1/p1p2p2/PpP2P2/1r2PK2/2R2P1P/8/5B2 w - -,f4e3
r2q1r2/p2nppkp/2p3p1/8/4PP2/8/PP1QBP1P/R3K2R w KQ -,e1c1
r3k2r/1bpn1p1p/1p1pp3/p7/2PP1N2/2PB1P2/P4KPP/R6R b - -,e8f8
5rk1/1bR2pbp/p3p3/q3P1N1/2p2Q2/2N4P/PP4P1/2K1R3 b - -,a5c7
2r2rk1/4bp1p/p3B1p1/1p6/2n5/PN2BP2/1PP3PP/2KR3R b - -,f7e6
6k1/6b1/7p/1P3p2/2R1P3/4B3/2PK2q1/8 w - -,d2e1
8/p1kr4/Pp3p2/1P2n2p/1bPR1B1P/8/5P2/5K2 w - -,d4e4
r1bqk2r/1p3ppp/p2bpn2/8/2PQ4/5N2/PP1B1PPP/2KR1B1R b kq -,d6e7
r4rk1/p3q1b1/np1p4/2pPpbpp/2P1N3/P4PB1/1P4PP/1R1QNRK1 b - -,g5g4
r1bqkb1r/pppn1ppp/4pn2/3P2B1/3P4/2N5/PP2PPPP/R2QKBNR b KQkq -,e6d5
r4rk1/1bqnppbp/pp1p1np1/2p3N1/P2P4/2P1PB1P/1P1N1PPB/R2Q1RK1 b - -,a8b8
