8/7R/8/8/8/4p3/2K1k3/5r2 b - -,f1f5
1k1r4/2pn3p/2r2p2/pP1Bp1p1/P1P1P3/5PP1/6KP/R7 w - -,b5c6
rn1q1rk1/2p2ppp/1p2pn2/p2b4/1PNP4/P4NP1/4PPBP/R2Q1RK1 w - -,c4e5
2kr4/1b2r2p/3pqN2/2p2RP1/1p2PQ2/1P2R3/2P4P/2K5 b - -,b7c6
r1b2rk1/pp2qppp/2p5/4B3/4P1n1/2N5/PPQ1BPPP/R4RK1 b - -,e7e5
r2qkb1r/pBp2ppp/1n4b1/4p3/3P1P2/2N1P1P1/PP2NQ1P/n1B2RK1 b kq -,e5d4
4r1k1/2Nqnpb1/3pb1p1/B3p2p/2P5/4P1P1/3Q1PBP/1R4K1 b - -,e8c8
2r2rk1/1q1bppbp/3p1np1/pp6/2nNP3/NBP1BP1P/PP1Q2P1/R3R1K1 w - -,a3c4
3r2k1/2R1n1pp/rp1qbp2/1p6/1P3P2/p2P4/P2QP1BP/B1R3K1 b - -,e7d5
2r1k3/4pp2/p2p2r1/Pp1P1q2/1PbB4/R4B2/2PQ4/3KR3 w - -,a3e3
2rr2k1/3qnbpp/3b1p2/p1pp4/1nP5/BQ1P1NPP/P2N1PBK/1R2R3 w - a6,c4d5
3r4/2R2pp1/p1R2k1p/1p2p3/4P3/1P2KP2/PP1r1P1P/8 b - -,f6g5
r2qr1k1/1ppb1pbp/1nn3p1/p3p3/3PP3/2N2NPP/PP3PB1/R1BQR1K1 w - e6,d4e5
n7/P6p/2Nk2p1/5p2/4p3/6P1/5PKP/8 w - -,c6d4
6k1/1n4p1/5rPp/3p4/4nP2/1P2P3/PK2B3/6R1 b - -,f6c6
4r1k1/1r3qpp/2R1p1n1/1Q1p1p2/1B1Pn3/P3PN2/5PPP/2R3K1 w - -,b5a4
rnbq2k1/ppp1prbp/3p2p1/8/3PNP2/5N2/PPP3PP/R1BQK2R b KQ -,h7h6
r1r3k1/1q3pp1/p4n1p/2bP4/R1QN4/4B2P/5PP1/3R2K1 w - -,d1a1
r1b1k2r/p4ppp/1n2p3/4P3/PqpP1P2/1nN5/2Q2KPP/3R1BNR b kq -,c8a6
3rkb1r/pR3p2/2n3p1/2ppPn1p/2q2P2/P1N2N2/5BPP/2Q2RK1 b k -,f8h6
8/1p2k3/1rpR2p1/p1n1PbPp/2B2R2/1P5P/P5PK/8 w - -,f4f5
8/4kp2/1p2p3/p1p1n1P1/2P4r/1P5P/P3KNR1/8 b - -,a5a4
bq4k1/2b2p2/2pN2p1/2Pp3p/3P1B1P/1P4P1/5PK1/4Q3 w - -,e1e7
