6R1/8/8/5r2/8/5kp1/3K4/8 b - -,f3f2
8/r7/P7/1P6/3p4/5k2/1K6/8 w - -,b2c2
r2q1rk1/pb1nbppp/1pp1pn2/3p4/2PP4/1P3NP1/PBQ1PPBP/RN3RK1 w - -,b1d2:b1c3
4r1k1/3q1p2/p2P2p1/2P1n2p/4P3/4Q3/6P1/2R4K b - -,e5g4
8/p1pk1p2/1pn1p1pb/4P3/1PP1NPP1/P4K2/5B2/8 w - -,f2e3
3r4/p1q3pk/5r1p/1Bp1np2/P3n3/2b1BQP1/P1P2P1P/1R1R1NK1 w - -,f3g2
1r4k1/1pr2npp/p3q2n/2Pp1p2/P2Pp3/BQ2P1PP/5PB1/1R2R1K1 w - -,b1b2
r4r2/1b2ppkp/2p1n1p1/1p1pP3/1PnP3N/q1PB2NP/3Q1PP1/2R1R1K1 w - -,d3c4
6k1/5p2/p5p1/3Q3p/P7/4P1PP/6PK/5q2 b - -,f1e2
r3k2r/ppqn1pp1/2pbbn1p/3p4/3P4/2PBBN2/PPQN1PPP/2KR3R w kq -,d1e1
8/p2k4/2pp1r2/2P5/2NPpr2/8/P3KP1R/8 b - -,d6c5
5rk1/3n1ppp/p3pb2/2n5/1p2P3/4BP2/PP1NB1PP/R5K1 w - -,d2c4
r1br2k1/pp2pp2/7b/n1P5/3qP2P/8/P1Q1BRP1/3R2K1 w - -,d1d4
r2q1rk1/1pp2pb1/2np1npp/p3pb2/2P5/P1NPPN2/1PQ1BPPP/R1B1R1K1 w - a6,f3d2
4rr2/1q2bp2/k1p1p1p1/1p2P2p/pPpP1P1P/P1P2QP1/2R2B2/R3K3 w - -,c2e2
2kr3r/1b1q4/1b2p3/2P4p/1p1pBpp1/3Q4/3B1PPP/R2R2K1 b - -,b7e4
r1r5/2P5/pR1B1bp1/P3pk1p/1P2R1P1/5P1P/8/6K1 b - g3,h5g4
8/1k1np1qr/p1p5/1p1p4/3P1B2/PP4P1/2P1Q3/2K1R3 w - -,e2e6
r2n3k/pppb2pp/3p2qr/Q4pN1/7P/1P2P1P1/P1P2PB1/3R1RK1 b - -,b7b6
8/8/3p1k1R/p2P4/4pK2/4P3/1r3P1P/8 b - -,f6e7
8/7R/5k2/3B1pp1/7p/3K1P2/6r1/8 b - -,f6e5
r2q2k1/1pp3pp/3p2n1/3N4/p1P1BPb1/6P1/PP1Q3P/4R2K b - -,d8d7
1r3rk1/ppp1qpbp/2n3p1/4p3/P2P4/2P1PN1P/5PP1/RQBR2K1 b - a3,f8d8
r7/PR6/3kr1p1/6K1/5B2/6P1/5P2/8 b - -,d6c6
8/7p/4k3/p1b3p1/P7/1Pp2KPP/2N2P2/8 w - -,f3e2
2r2bk1/1q3p2/p3p1pp/3r4/NPpRQP2/2P2n1P/1P4P1/R5K1 w - -,e4f3
4rrk1/Np2q1bp/n1b2np1/2pp2N1/2P1P3/P7/1P4PP/RBBQR1K1 b - -,h7h6
3r4/5k2/pp2pp1p/2p2n2/2P1N3/1P2RPP1/P4K1P/8 w - -,e3e2
3bk3/5pp1/2p2n1p/2B2P2/4p1P1/1B2K2P/PPP5/8 w - -,c2c4
3n4/ppp1k1pp/3r1p2/4n3/4P2P/P1P3B1/1PK1B1P1/7R b - h3,d8f7
2rq1rk1/1p2ppbp/p1np2p1/P7/R1B1P3/1P2B3/1P3PPP/3QR1K1 w - -,e3b6
4r1k1/pp5p/2pb4/5r2/P2Pp3/8/1P1B1PPP/R4RK1 w - -,f1e1
8/4rpk1/2p3p1/2n1P3/2B3PP/4R3/6K1/8 b - -,c5d7
r2q1rk1/1b1nbppp/pp1ppn2/6N1/2PQ4/1PN3P1/PB2PPBP/R2R2K1 b - -,b7g2
3r1rk1/p1q1npb1/1pn1b1pp/2p1p3/4P3/NPBP1NPP/PQ3PB1/2RR2K1 b - -,f7f6
7R/kpq2p2/2p1b3/p4nQ1/P1P3P1/1P3P1P/8/7K b - g3,c7g3
8/8/3KQ3/2P3pk/8/7P/8/q7 b - -,a1a3
r1b5/ppb1r3/2p1pk2/3nNppq/3P4/P4NP1/BPQ2P1P/2RR2K1 b - -,h5h3
4r3/1p1b3p/n1p3p1/1p2k3/1P3NPP/1PK2P2/4N3/R7 b - -,e5d6
r4rk1/pb1nppbp/2pp1np1/qp6/3PP3/2NBBP2/PPPQ2PP/R1N2RK1 w - -,e3h6
r1bqr1k1/1p3pbp/p1ppnnp1/4p3/2P1P3/1PNP2PP/PB2NPBK/R2Q1R2 w - -,a2a4
