8/1B3kp1/5n1p/8/1p6/2r1n3/5P2/4RK2 w - -,f2e3
4r1k1/1q1b1ppp/p4n2/4p3/pP2P3/2Q3N1/5PPP/2R2BK1 b - -,e8c8
8/N7/1p6/1Bn3p1/4pkP1/P4b1P/5K2/8 b - -,e4e3
2rqr1k1/1b1n1pb1/pn1pp1p1/1p4P1/4PPQ1/P1N5/1PP1N1B1/R1B2RK1 w - -,f1f3
1r6/pr2k1p1/R1P1pp1p/1p6/1R1P1P2/2P3PP/3K4/8 b - -,b7c7
2r1r1k1/1p3ppp/2b5/p7/P1P5/3BP3/1P1K2PP/3R2R1 w - -,b2b3
r3r1k1/3q2pp/b1p1pp2/ppPn4/3P1b2/PP3N2/1B2RPPP/1B1QR1K1 w - -,b1d3
1r3r1k/2qn1pbp/2n1b1p1/2p5/2NpPB2/RP1P2PP/2N3BK/3Q1R2 b - -,d7e5
5rk1/p1p2ppp/b1pp4/8/1r1PP3/2N1P2P/PP1R2P1/1R4K1 b - -,f8b8
8/3kp2R/3pr3/2p2R2/4P3/3K4/8/8 w - -,e4e5
8/1p2r1p1/p1p2k1p/2Pp1b2/1R5P/4PP2/PP1KB3/8 w - -,e2d3
2rr2k1/p4p1p/1p2pp2/3q4/Q4P2/P1P4P/5P2/R1R3K1 b - -,g8h8
2r3k1/1b2qp1p/pp4p1/8/3Q4/1P2P3/PR2BPPP/6K1 b - -,c8c1
1rr3k1/3b1pp1/1q1p1n1p/Rp1Pp3/4P3/1BPR3P/3N1PP1/3Q2K1 w - -,d1a1
3rb1k1/3q1pp1/2pr3p/1pRp4/p3PP2/P1Q4P/BP4PK/3R4 w - -,e4e5
r1bq2k1/1p3p1p/2pp2p1/p7/2P1P3/1PN2P2/1P1QB2r/R3R2K w - -,h1h2
6r1/4b2k/1p3nq1/p1p1Bp2/P2Pp2p/2P1P2P/3NQ1P1/6RK w - -,d2c4
r1bqkbnr/1p1ppppp/p1n5/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,b5c6
4k3/R7/3p4/3P1p1p/5P1r/4P3/6K1/8 w - -,a7h7
r2q1rk1/pp3ppp/1np1pn2/5b2/Pb1P4/1BN1PN2/1P2QPPP/R1B2RK1 w - -,e3e4
r1br2k1/p2q1pbp/Ppp1p1p1/3n2B1/3P4/1BN2Q1P/1PP2PP1/R3R1K1 b - -,d8f8
r1b1r1k1/5p1p/p1qp1Bp1/1p1pP3/5P2/2N3Q1/PPP1B1PP/2K4R w - -,e2f3
r1bq1r2/p1p2p1k/1p1p1n1p/4pNp1/2PPP3/P1P1BPP1/4Q2P/R4RK1 b - -,c8f5
r1bq1rk1/pp2bppp/2n1pn2/8/2pP4/P1N3P1/1PQ1NPBP/R1B2RK1 b - -,c6d4
r2q1rk1/2p2ppp/1p2pb2/p1n1P3/1n1P4/NP3bP1/PB1Q1PBP/R3R1K1 w - -,g2f3
r1b4r/pp2k1pp/2np1p2/5p2/3PnB1P/P2BPN2/1P3PP1/R3K2R b KQ -,c8e6
r2r2k1/5pb1/3p2p1/P2P3p/2N1nB2/6P1/1Pp2P1P/R2B2K1 w - -,d1c2
r1bq1rk1/pp2bppp/2n1pn2/8/2pP4/P1NB1N2/1P3PPP/R1BQ1RK1 w - -,d3c4
3r1rk1/3qppbp/1p3np1/p1p1Bb2/P1P5/1N1P2P1/4PPBP/R2QR1K1 b - -,f6g4
rnbqk2r/ppp3pp/4pb2/3p4/2PP4/P4N2/1P3PPP/R1BQKB1R w KQkq d6,f1d3
1r4qk/5Rp1/2p1P1Qp/8/1p1P3P/8/6K1/8 w - -,e6e7
2rq1rk1/1p2bppp/pn6/5P2/4N1P1/1P2nB2/1PPQ3P/2KR3R w - -,d2e3
rnb1k2r/1q2bppp/p2ppn2/1p4B1/3NP3/1BN2Q2/PPP2PPP/2KR3R w kq -,f3g3
8/Q2k4/8/3p1pBp/4q2P/8/2r2PPK/8 b - -,c2c7
7k/7p/5p2/2p1pQ2/p1P3PP/P7/1q6/6K1 w - -,f5f6
r4rk1/pb1nqpp1/Bpp4p/3p4/Q2P4/2n1PN2/PP3PPP/R3R1K1 w - -,b2c3
5k2/8/6pp/1pq5/2p1nP2/P4QPP/3r4/2R4K b - -,e4f2
r2qr1k1/ppp1bpp1/2pn3p/4Nb2/3P1B2/2P5/PP1N1PPP/R2QR1K1 w - -,d1f3
2brr1k1/ppq1ppb1/2n2npp/1Q4N1/2Pp4/B2P2P1/P2NPPBP/1R3RK1 w - -,g5e4
r2r2k1/1p2q1bp/2p1p1p1/p2n4/P7/4PQ1P/BPRB1PP1/3R2K1 w - -,d2e1
8/7p/b1pk2p1/4pp2/1N5P/6P1/5P2/4K3 b - -,a6b5
2r4k/3R2b1/2p3p1/p1N2q1p/3p4/4QP1P/PP4P1/6K1 w - -,e3e7
8/8/8/4p1k1/1r2B3/5KP1/8/4N3 w - -,e4c2
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1PP2/8/PPPP2PP/RNBQK1NR w KQkq -,b1c3
1r4k1/1n2pp1p/p6b/qp1PP3/1NnQ3P/P4BP1/1PR2B2/6K1 b - -,b8e8
rnbqkb1r/pp1ppp1p/5np1/2p5/3P4/4PNP1/PPP2P1P/RNBQKB1R b KQkq -,b7b6
2r4r/1kp3p1/p3R2n/bp2P2p/3pP3/5N2/1B3PPP/2R3K1 w - -,b2d4
8/1R6/p1P5/P2pN3/2bk4/8/1K6/7r b - -,h1h2
3r2k1/8/4n3/1PR2p2/3p1P2/P4KP1/1B6/8 w - -,c5c1
6k1/3rbppp/q3p3/1p1BP3/2pP1P2/4B1P1/1P3Q1P/5RK1 b - -,d7d5
7r/pb2k3/1p3n2/2p3pp/2P1p3/PPN1P2P/4B1PK/3R4 b - -,b7c6
8/pp6/2pp1kp1/5b1p/2P2P2/2N4P/PP4P1/6K1 w - -,g1f2
r5k1/Npr2pp1/1q6/1P1p2p1/Q7/6P1/R3PP1P/4R1K1 w - -,e1a1
4k3/1b4pp/2p5/2PpB3/PPr5/3K2P1/8/1R6 b - -,g7g6
r1bq1rk1/pp1nbpp1/2p1pn1p/3p4/2PP1B2/P1N1PN1P/1P3PP1/R2QKB1R w KQ -,a1c1
r7/5rk1/4p1p1/3pP3/2pR1pPP/2P2P1K/2R5/8 b - -,a8a1
8/8/4k2K/p2pP2N/2pP2r1/1nP5/RP6/8 w - -,h5f6
r3r1k1/pp2qPp1/2p5/3n3p/3Pp2P/2N1P3/PPQ2P2/2KR3R b - -,e7f7
r2r2k1/pp2ppbp/q1p2np1/8/2n1PPP1/2N1BQ1P/PPP5/1R2KB1R w K -,f1d3
2Br4/1b3pk1/pq4p1/1pbpP3/3N2Q1/P1P4P/1P6/3R1R1K b - -,b7c8
1qr1rnk1/pp2ppbp/2pp1np1/2P5/1P1P3B/P1N1PB1P/2Q2PP1/2RR2K1 b - -,d6c5
3r4/8/4pk2/4p1Rp/4P2P/3K1P2/6P1/8 w - -,d3e3
r1bq1rk1/1p2ppbp/1nnp2p1/p3P3/P2P4/1B3N2/1P2QPPP/RNBR2K1 b - -,c8g4
4k3/Q4p2/4p1p1/4P2p/1p5P/1P4P1/P5K1/3q4 b - -,d1d2
r2q1rk1/pb3ppp/1p3b2/2n5/3p1BN1/6P1/PPR1PPBP/3Q1RK1 w - -,g2b7
rnb2rk1/ppq3bp/2p3p1/4ppBn/2P5/2N2NP1/PPQ1PPBP/3R1RK1 b - -,c8e6
2bq1rk1/5ppp/p2p2N1/nr6/1p1P4/1P3BP1/PB3PQP/2R1R1K1 b - -,h7g6
3r1bk1/5ppp/1p6/3B4/qp2PP2/r5P1/3B3P/1Q1RN1K1 w - -,e1c2
8/4k3/8/6p1/3RP3/6PP/1r2pK2/8 w - -,d4d5
r2qk2r/ppnnbppp/4P3/2p5/2P5/5N2/PP2QPPP/RNB1K2R b KQkq -,c7e6
