8/R6k/6p1/4B3/4P2p/5B1P/4K1P1/2q5 b - -,h7g8
8/2pb2k1/np1p4/p3p3/2P1P3/P1N2KP1/2B4r/2R5 b - -,a6c5
2r3k1/p2R2pp/5p2/3p4/8/2P3P1/P4P1P/6K1 w - -,d7d5
3r2k1/r4ppp/p7/1p2p1b1/1P1QP1P1/1B6/P4PP1/R3R1K1 b - -,d8d4
6k1/5p1p/3N1p2/4p3/3nP3/8/r4PPP/5RK1 b - -,g8f8
5rk1/1r2p1bp/pBn1p1p1/3p2Pn/qpB1P3/5P2/PPP2Q1P/1KNR3R w - -,e4d5
4r1k1/5pp1/1pq4p/p1b2R2/P1Np4/1P1PnQ1P/3B1PP1/6K1 b - -,c6f3
8/5pp1/1pr1p1k1/3r2P1/1R1pnP2/8/2PB4/2RK4 w - -,d1e2
8/p3b3/8/2p1P2p/P2Pk1p1/2B3P1/4K3/8 w - -,d4c5
7k/1bqn2bp/3pB1p1/1ppP2B1/8/8/1PP1N1PP/5Q1K b - -,h7h6
r2qkbnr/pppb1ppp/2Np4/1B6/4P3/8/PPP2PPP/RNBQK2R b KQkq -,d7c6
r5k1/1p2p2p/4Pbp1/1PR2p1q/r4P2/4B2P/P2Q2P1/2R3K1 b - -,g8g7
6k1/1pB3p1/p1b2p2/P1r5/7p/7P/6P1/6RK w - -,h1h2
1b2q1r1/1p2rp1k/p1b1p2n/P1PN2R1/1P1P3P/4R1P1/4QPB1/6K1 b - -,c6d5
1r4k1/2R3p1/2p2n2/p1Np1b2/7P/P4B2/1P4P1/2K5 b - -,b8b6
rn2k1nr/pp3ppp/2p5/2b1Pb2/8/2N2N2/PPP3PP/R1B1KB1R w KQkq -,f1d3
8/8/R1p1k3/4p3/6P1/2P1K3/6r1/8 w - -,e3f3
r1r3k1/1q3pbp/3p1np1/p3p3/2pN4/P3P1B1/1PP2PPP/1R1Q1RK1 w - -,d4e2
r1b2rk1/pp2qppp/2np1n2/2pp4/2P5/P1N1PN2/1P1Q1PPP/3RKB1R w K -,c3d5
rnbqkb1r/1p3ppp/2p2n2/3pp3/pP6/P2P2P1/2PNPPBP/R1BQK1NR b KQkq -,c8g4
1r4k1/4qpb1/2n1p3/pN2n3/Ppp1P1p1/2P1B1P1/1PQ1BP2/3R2K1 b - -,e7f6
8/6bp/4pkp1/4p3/8/2RP2P1/1r3P1P/5BK1 b - -,g7f8
rn3rk1/pb3p2/4pq1p/4N3/PbpQ3p/2N5/1P2BPPP/R3K2R w KQ -,e1g1
8/6kp/5p2/4b3/P7/1Q1p4/KP2q2P/8 w - -,b3b7
r1r2qk1/3nbpp1/p1p1b2p/Pp1p4/1P1P4/4PN1P/N2QBPP1/1R1R2K1 b - -,e7d6
r1b2rk1/pp1pqpp1/2nb1n1p/4p3/2BPP2B/1QP2N2/5PPP/RN3RK1 b - -,d6c7
r2qk2r/pb2ppbp/n1pp1np1/8/1p1PP1PP/2N1BP2/PPPQ4/2KR1BNR w kq -,c3e2
6k1/5p2/6p1/R2p4/4r3/P5PP/1P4PK/8 b - -,e4e2
r7/5N1p/knp3p1/p3B3/Pb3P2/4PK2/6PP/1R6 b - -,b6a4
4k3/rr2p3/1R3Bp1/3P4/pp1n3P/4R3/P4P2/6K1 b - -,d4f3
r1b2rk1/p1ppqppp/1p6/4n3/1bP2B2/1N2P3/PP2BPPP/R2Q1RK1 b - -,c8b7
r1b1k2r/1p1nnpb1/pq1p2pp/2pP3P/P3P3/2NBB3/1P3PP1/R2QK1NR w KQkq -,d1c2
1b2k3/1P1n1pp1/r5p1/BR1P4/N1p5/6P1/6KP/8 b - -,f7f5
8/1K6/8/4k3/7p/5p2/7P/1R6 w - -,b7c6
r2qr1k1/pbpn1ppp/1p1p1n2/4p3/2PPP3/2N2NP1/PP1Q1PBP/R3R1K1 w - -,d4d5
1r4k1/5ppp/1n6/p2p1P2/N5P1/2P1P2P/8/1R4K1 b - -,b6d7
5r1k/p3bpp1/1n5p/1qp1BB2/4P3/2Q4P/PP3PP1/5RK1 b - -,f7f6
1r2k2r/2qnbppp/b2pp3/p5P1/1p1NPP2/8/PPPN1Q1P/1KBR3R b k -,d7c5
8/4npp1/4p1k1/4P2p/2N3K1/5P1P/5P2/8 w - -,g4f4
8/4B3/4b3/7p/7P/2p1K3/1k6/8 w - -,e7f6
r4rk1/1q1nbppp/4p3/n1p1P3/p1P2PP1/1pN1B2P/PP1N1Q1K/R4R2 b - -,d7b6
r1bq1rk1/pppnbppp/2n5/4p3/2Pp4/1P1P1NP1/P1N1PPBP/R1BQ1RK1 b - -,a7a5
r1q1r1k1/1ppb1pp1/2np1n1p/p1b1p3/2P5/PPNPPNP1/1B3PBP/2RQ1RK1 b - -,d7h3
5b2/pb1n1k1p/1pp1Rn2/3p1p2/3P2P1/PP1P3P/1B4K1/2R5 w - -,g4f5
2b2rk1/6r1/p2P2p1/n5QP/1p1P2qP/b7/6B1/BR5K b - -,g4h5
3rBk1r/ppq1pP2/6pb/2p5/3n4/2N5/PP3PPP/R2QK2R b KQ -,c5c4
8/4b1pp/4k3/2p1pp2/1p6/1PNP2PP/5P2/5K2 w - -,c3d1
3r2k1/5p1p/2b3p1/8/2R2N2/pP4PP/P2K4/8 w - -,d2c3
2kr3r/1bp3p1/1pn1p3/4P3/2q5/2P3N1/P1Q4P/4RRKB b - -,d8d3
2b2rk1/p1q1ppbp/3p1npB/2pP4/1nP1P3/2NB1N1P/1P3PP1/2Q2RK1 w - -,d3b1
r2q1rk1/1n2bppp/pN1p4/1p1Ppb2/PP6/4BB2/2P2PPP/R2Q1RK1 b - -,a8b8
5r2/pp5k/2n1prp1/2Ppbnqp/8/2PQ3P/PP2NBP1/3BRRK1 w - -,d1c2
r1r3k1/pp2bpp1/5p1p/2Pp1b2/8/4PN2/PP2BPPP/R1R3K1 w - -,b2b4
r4k2/p4p1p/1p4p1/8/8/nP6/P4PPP/R4RK1 w - -,a1c1
3r2k1/5p1p/p2r2p1/2RPp3/1p2B1P1/2b4P/P4P2/3R2K1 w - -,g1g2
8/p7/4K3/2q5/1p6/k7/P2Q4/8 w - -,e6d7
8/1p4p1/1k2P3/1P1K2p1/1r3N2/r2B1RP1/5P2/8 b - -,g5f4
r1bqkb1r/3n1ppp/p4n2/1p1PpN2/8/1B3P2/PPP3PP/RNBQK2R b KQkq -,d7c5
q4rk1/rb1nppbp/1n1p2p1/2pP4/4P3/1PN2NP1/PB3PBP/1R1Q1RK1 b - -,f8b8
8/r3kpK1/1R6/4PP2/8/8/8/8 b - -,a7a5
r4rk1/7q/1pp1RPp1/p2p1n2/P2P1PpQ/1PP5/5N1P/3R2K1 w - -,h4g4
1k5r/1p1r4/p1Qp4/4ppBp/1R5P/8/2P1KPP1/7q b - -,d7c7
3k4/4R1B1/p2P4/1b5P/8/6KP/5r2/8 b - -,f2d2
rnbqkb1r/pp2pppp/2p2n2/3p4/3P4/3BP3/PPPN1PPP/R1BQK1NR b KQkq -,b8d7:c8g4
8/8/1bb3pk/p4p1p/P4N1P/1B3PP1/4K3/8 b - -,c6b7
1r4rk/p4p1p/3b1PbB/q1pp1p2/5P1Q/1PP5/P3P3/2R1K1R1 w - -,e1f2
3r1rk1/1q3ppp/8/8/8/2P1Q2P/PPP2P2/1K1R3R w - -,h1g1
2r3k1/4r1pp/4p3/1Q2N1q1/3P4/1Pp1Rp1P/5PP1/4R1K1 w - -,b5f1
5k2/1n2bpp1/3n2bp/pN1B1p2/Pp4P1/1P1P3P/1B1NP3/6K1 w - -,b2d4
r1br2k1/pp2bpp1/3ppn1p/7q/2BQPP2/2N3B1/PPP3PP/2KR3R w - -,h1e1
4kb1r/5ppp/1rq1p3/pN1pPb2/Q1p2P2/P6P/5PP1/3RKB1R w Kk -,b5c7
8/3k1p2/p4r1p/1p1pqP1Q/P7/1R1K4/1P5P/8 b - -,f6f5
8/8/1p1kp3/2P2p1p/1P1N1Pp1/3K2P1/6P1/2b5 b - -,b6c5
6k1/4q1pp/p1B1p3/2b1Pr2/2R3NQ/6P1/1P4KP/4n3 w - -,g2h3
rnbq1rk1/p3bpp1/1pp2n1p/3p4/3P3B/2NBP3/PPQ2PPP/R3K1NR w KQ -,g1f3
r3k2r/2qp1pp1/ppn1p2p/4P3/2PNNP2/6P1/PP4Q1/3RK3 b kq -,e8g8
2R5/5ppk/3p3p/1p1n4/8/P5PP/4KP2/2Br4 b - -,d1h1
r1bq1rk1/pp3ppp/2nbpn2/2pp2B1/3P4/2PBPN2/PP1N1PPP/R2QK2R b KQ -,e6e5
r2q1rk1/ppp1ppbp/2np1np1/8/3PP1b1/2N2N2/PPP1BPPP/R1BQR1K1 w - -,h2h3
4rbk1/2q4p/p1p1r1p1/1pR1Pp2/1P3Q1P/1P3N2/5PP1/4R1K1 w - -,c5c2
7k/3Q1b1p/5qp1/1B6/4p3/2r3P1/3R1P1P/6K1 b - -,e4e3
r1b1k2r/3n1ppp/pqn1p3/1pbpP3/5P2/P1N1BN2/RPPQ2PP/4KB1R w Kkq -,e3c5
2k5/1p5R/p7/2P5/1P6/PKP2r2/8/8 b - -,c8b8
5k2/1p2q1b1/3NQp2/p2Pp3/2P5/8/PP2Bn2/1K1R3R w - -,e6c8
rnbq1rk1/1p1p1ppp/p4n2/2bP4/3N4/P1N5/1P3PPP/R1BQKB1R w KQ -,f1e2
r1q1N1k1/1p3pb1/2np2p1/3N1bnp/p1P1P3/6PP/PP2RBBK/1Q1R4 b - -,f5h3
r1bqr1k1/pppn1pbp/3p1np1/4p3/3PP3/2NB1N2/PPP2PPP/R1BQR1K1 w - e6,d4e5
r5k1/2R3pp/p3Pp2/1p1b1P1B/4pR2/P7/1P1r2PP/7K w - -,h1g1
r4r1k/4bppp/1q1pp3/pbn4Q/4PN2/1B2BP2/1PP3PP/3R1RK1 b - -,b6b8
rqb1r1k1/3n1pbp/pppp1np1/4p3/1PPPP3/2N1BNPP/P4PB1/2RQR1K1 w - -,c4c5
r5k1/p6p/bpn1p1p1/3N4/P5P1/3nBB1P/1q1R1K2/4Q2R w - -,f2g3
2kr3r/p6p/b2p1p2/Pppn1p2/2q2B2/2P4P/3QN1P1/3RR1K1 b - -,a6b7
7r/ppp2p1p/2n5/3k4/3pr3/2P5/1P1R1PPN/R5K1 w - -,h2f3
8/p2k4/1p6/3B1Kp1/2P2p2/P7/8/8 b - -,d7d6
1r3rk1/pp1q1pbp/2np1np1/4p3/1PP3b1/2N1P1P1/2QPNPBP/1RB2RK1 w - -,f1e1
1q6/p1bnrpk1/2R3p1/pP1Bp2p/P1N1P3/5QPP/5P2/6K1 b - -,b8d8
6k1/5p2/4pp2/pp6/5rP1/PP4RP/r4P2/5RK1 w - -,b3b4
rn2kb1r/1bqp1ppp/p3pn2/8/Pp2P3/1N1B4/NPP1QPPP/R1B2RK1 b kq -,b8c6
8/8/5rk1/7p/3R3P/4KP2/8/8 b - -,f6e6
2rq1rk1/pb2b1pp/n3pp2/P7/1ppPp1N1/2P3P1/1PQ2PBP/R1B1R1K1 b - -,f6f5
4k2r/2r1ppbp/B1p1n1p1/2PnN3/1P1P4/7P/1B3PP1/R3K2R w KQk -,b4b5
1rbq1r1k/7p/2np2pb/p2NpP2/2B5/2PQN3/RP3PPP/5RK1 b - -,g6f5
r4rk1/p4ppp/1p1ppn2/2p5/2PP4/P3Pq2/1P1N1PPP/2R2RK1 w - -,d2f3
4k3/4P3/3p1p2/7p/6p1/6P1/4RPPK/2r5 b - -,c1d1
1r1k4/6pp/2R2p2/p2P4/B4Pb1/5NK1/P5PP/8 b - -,g4f5
r4bk1/1N3p1p/P3b1p1/1B6/P3p3/2r4P/5PP1/2RR2K1 b - -,c3a3
4r3/6R1/2pBk3/1pP3p1/p3p1P1/6PP/P5K1/8 b - -,e6d5
r5k1/p2n1pbp/2r1bp2/3p1p2/3P3N/3B2B1/PPP3PP/2KR1R2 b - -,d7b6
8/6r1/5R2/8/5p2/5k2/8/6K1 w - -,g1f1
4r1k1/1p3ppp/6r1/p7/2P1Pp2/1P2QPN1/P4RKP/R3b3 b - -,f4e3
3r1br1/Q2k1p2/p1pppp1p/1q6/N3P3/3R2P1/PPP2P1P/1K1R4 b - -,d7e8
8/1p6/1k1r2p1/1P2R2p/2n2K1P/3p2P1/8/3R4 b - -,c4e5
2r1kb2/pR4p1/2n1p3/3p1p2/3Pn2r/q1PB1P2/3BN3/3QK1R1 b - -,e4d2
8/5Rpp/r7/8/p1kp3P/6P1/4KP2/8 w - -,f7g7
r1b2k1r/1pq2ppp/p2b1Q2/5p2/8/8/PPP2PP1/R1B1RB1K w - -,c1h6
r1bqk1nr/p2pppbp/2p3p1/8/4PB2/2N5/PPP2PPP/R2QKB1R b KQkq -,g8f6
2kr3r/1pn3b1/2p2p2/R1Bp3p/5q1P/5N2/Q4PP1/1R4K1 w - -,a5a4
rrnb4/q2b1k2/2pp2p1/p1P2p1p/N2NpPnP/PP2P1P1/3BQ1K1/1RR2B2 b - -,d6d5
r1bqkbnr/pp1ppp1p/2n3p1/8/2Pp4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,f3d4
1b6/7k/3p1p2/P1pPp3/2P1N1P1/6K1/8/8 w - -,e4f6
2qr1r2/4b3/R3p1k1/1p1nBppp/1PpP4/2P1N3/2Q2PPP/R5K1 b - -,e7f6
r1bqk2r/pppn1ppp/3bpn2/8/3PN3/3B1N2/PPP2PPP/R1BQK2R b KQkq -,f6e4
3r1rk1/pp3ppp/4p3/n1P5/2P3q1/2P2N2/P3QPPP/1R3RK1 b - -,d8c8
rn2k2r/pp1b1ppp/4pn2/2pq4/1b1P1B2/2NB1N2/PPP2PPP/R2Q1RK1 b kq -,b4c3
r2q1rbk/ppp1n1pp/1b3p2/3p4/4PPP1/1N2B3/PPP1Q2P/1K1R1BR1 b - -,d8e8
2r1k2r/3bbp1p/p2ppp2/1p6/4P3/1PqQ2P1/P1P1NPBP/R1R3K1 b k -,c3d3
r2qr1k1/pb1nbppp/1pp2n2/3pB3/3P4/1QN2NP1/PP2PPBP/2RR2K1 w - -,e5f4:a2a3
5rk1/pp3pb1/4p3/3n2Bp/q7/3Q2P1/PPr2PB1/3R1RK1 w - -,b2b3
2rq1rk1/pb1nbpp1/1p2pn1p/3pN3/3p4/1P1BP2Q/PBPN1PPP/3R1RK1 w - -,e3d4
1r3rk1/1p1q1pb1/2npb1p1/p1p1p2p/2P1P2P/P1NPB1P1/1P1Q1PBK/1R3R2 b - -,b7b6
8/8/6pk/3PQ2p/pN2b2P/6P1/5q2/3K4 b - -,f2f1
5bk1/6pp/pq2pr2/3p4/1prN4/3Q4/PPP1RPPP/3R3K w - -,f2f4
3r1r1k/pp3p2/5b1p/q7/1n1PBP2/8/1P1R1P1P/3Q2RK b - -,f8g8
rn3knr/p4p1p/Bp2p1pP/2ppP3/q2P2Q1/P1P5/2PB1PP1/R3K1NR b KQ -,b8a6
8/8/3b2p1/1P1Npk2/K6p/7P/6P1/8 b - -,f5e4
r1b1qnkb/1p3r1p/2pB4/2Ppp1pN/p2Pp1B1/2Q1P1P1/PP3P1P/R4RK1 w - -,f2f3
rnb1k2r/ppp1qppp/4p3/2bpP3/5B2/2PBP3/PP1N1PPP/R2QK2R b KQkq -,a7a6
8/p4p1p/1p1kp1p1/8/3P4/P1nBP1PP/5P2/4K3 b - -,e6e5
1k1b3r/1p1r1ppp/p1n1p3/P2pP3/bB1P2P1/P2B1N2/1R1K1P1P/2R5 w - -,d2e3
2r1n1k1/1p3rb1/p2ppqp1/4n2p/1PPNPp2/5P2/P1R1BBPP/R3Q1K1 b - b3,f7c7
3r4/2b5/2P2k1p/ppP2p2/4p3/6P1/P1RN1K1P/8 b - -,f6e6
n2r2k1/5ppp/4p3/p1NbP3/1p3P2/3B2P1/PP5P/1K1R4 w - -,b2b3
8/3r4/1R6/p5pk/P2B3p/1PP4P/1r3PP1/6K1 w - -,g1h2
r2q1rk1/pp3b1p/2pb1np1/5p2/2P5/4PBP1/PPQ2N1P/R1B2R1K b - -,f7e6
1rbqk2r/2p2ppp/p1np1n2/1pb1p3/P2PP3/1BP2N2/1P3PPP/RNBQ1RK1 b k d3,c5b6
8/3n2k1/r1p1Rb1p/3Rn3/P5PP/1P6/5B2/6K1 w - -,g4g5
r2q1rk1/pp3pbp/4p3/4Pbp1/Q1Pp4/4B1P1/P3PPBP/R4RK1 w - -,a1d1
2Rr2k1/1p1qn3/pb2pppp/3n4/1P1P4/PQ4P1/1B1NBP1P/2R3K1 b - -,d8c8
8/7p/2p1k3/1pPp2p1/1P1Pn1P1/3N1K1P/8/8 b - -,e6d7
1k5r/np2q1pp/1Q2p3/4P3/3p1N1b/P7/3B2PP/1R5K b - -,h8c8
7r/8/1p1k1p2/pP3p1p/P1PP1P1P/4KBP1/8/8 w - -,e3f2
4r1k1/5p2/p1r1qBp1/1p1Rpn1p/5P2/P1P3P1/1P3Q1P/3R2K1 w - -,d5e5
rn2k2r/p3b1pp/3pp3/q1p5/4n3/2N2N2/PPP2PPP/R1BQ1RK1 b kq -,e4c3
r3r1k1/p1pq2pp/bp1p4/n3Pp1n/2P1P3/2PB1PP1/P3Q2P/R1B1RNK1 b - -,d6e5
2r4k/8/1p6/pP1qP2p/P1RP2pP/4KbP1/8/2R2Q2 b - -,c8f8
r2r2k1/pp3ppp/2nb1q2/1Q1p4/3P4/PP3N1P/1B3PP1/2R2RK1 b - -,c6e7
3r1rk1/p1p3pp/2Q5/2b1p3/8/2pPq2P/P1P3P1/R2KB2R w - -,c6e6
r2q1rk1/p2nppb1/2p3pp/6B1/Q7/2N5/PPP2PPP/R4RK1 w - -,g5e3
r2r1bk1/pp3pp1/3P3p/2p5/P1Nn4/2NR4/1P3PPP/5RK1 w - -,c3b5
2r3k1/2rq1p1p/R5p1/2pPp3/1pQ1P3/1P5P/5PP1/R5K1 b - -,g8g7
8/6k1/4R3/6p1/1K6/4P1P1/3r3P/8 w - -,h2h4
2r3k1/p3qp1p/4p1p1/1R6/2Pb4/5Q2/2R2PPP/6K1 b - -,c8c7
r3n1rk/3B3p/3p1b2/n2Pp3/4Pp2/1qB2N2/5PP1/1QR1N1K1 b - -,e8g7
r2r2k1/2q2pp1/2P1b2p/p1p4Q/2p5/2P1R1P1/5PBP/4R1K1 w - -,f2f4
1r3br1/2k2p1p/1pp1bp2/p2p4/Nn1P1P1N/1P2P1P1/1P1KB2P/2RR4 w - -,e2h5
rn2k2r/pp3pb1/1qp1b2p/4P3/4Pp2/2PB1N2/PP3Q1P/RN2K2R b kq -,b8d7
6k1/1p3p2/6p1/1R1b2p1/p2P4/P3P1P1/1P3PPK/2r5 w - -,b5d5
8/pp4k1/2pR4/4n1Pp/1P2P1r1/2P2B2/P3K3/8 b - -,g4g5
3q2k1/5rpp/2p3n1/p2p1P2/3Pp1P1/1B1b3P/PP1B1Q2/K6R b - -,g6f8
5r2/R4pk1/p5pp/1p3b2/1P6/PB3P1P/6P1/6K1 b - -,f5c8
r4bk1/2p2rpp/8/BP2n3/q4pP1/2R2P1P/3Q3K/4RB2 b - -,a4a5
8/1p1k2p1/pQ1n1p2/P2Bp2p/2P1P3/5P2/4K2q/8 w - -,e2f1
r7/8/1R6/3k1p1p/p4K1P/P3P3/5P2/8 w - -,f4f5
r3r1k1/pp4bn/4p2p/2pP2p1/2p2PP1/2N4P/PP4B1/R4RK1 w - -,d5e6
8/8/3k4/1p3p2/3P2n1/3K2P1/8/5N2 w - -,f1d2
8/4r1pp/5p2/5k2/8/3K3P/1R4P1/8 w - -,b2b4
2kr3r/p1q2p2/b2bp2p/2p2p2/2P1B3/PP3N2/4QPPP/R2R2K1 w - -,e4d3
8/7Q/6p1/7k/3Kp3/5q2/8/8 b - -,h5g5
rn1q1b1r/4nkpp/p7/3b4/P1BN4/2Q1BP2/1PP3PP/R3K2R b KQ -,d8c7
1bb2k2/5p2/1P1p1n2/2nPpN2/4P3/2P1NP1P/r1B3P1/1R1K4 b - -,f6g8
8/2kr4/q2p4/3Qp3/1P2Bp2/1KP5/8/8 b - -,d7g7
r2r2k1/1bp2ppp/1b2p3/1B6/PP1PnP2/6PP/1B2N2K/R3R3 w - -,a1d1
r2qk2r/pppnb2p/4ppp1/3p3n/3P3B/2PBPQ1P/PP1N1PP1/R3K2R w KQkq -,g2g4
3r4/2p1bkpp/1pn2p2/p1p1pN2/P1P1P1P1/2P1B2P/1P2KP2/7R w - -,e3d2
1k2r2r/1p2q3/p7/4pPbp/3pQ3/1P5R/P1PB4/1K5R w - -,d2g5
r2qkb1r/1p2pppp/1np2n2/p3Nb2/P2P4/2N3P1/1P2PP1P/R1BQKB1R b KQkq -,f6d7:e7e6
6k1/3p1p2/5Qpb/1Ppq4/8/7P/5PP1/4R1K1 w - -,e1e8
